Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Umbilicosphaera sp. A,Syracosphaera spp.,Sphenolithus compactus,Sphenolithus abies,Reticulofenestra umbilica,Reticulofenestra pseudoumbilica,Reticulofenestra producta,Reticulofenestra minutula,Reticulofenestra minuta,Reticulofenestra gelida,Pontosphaera spp.,Neosphaera coccolithomorpha,Helicosphaera carteri,Florisphaera profunda,Discoaster variabilis,Discoaster pentaradiatus,Discoaster neohamatus,Discoaster intercalaris,Discoaster hamatus,Discoaster calcaris,Discoaster brouweri,Discoaster braarudii,Discoaster bollii,Discoaster bellus,Coccolithus pelagicus,Calcidiscus macintyrei,Calcidiscus leptoporus,Sphenolithus predistentus,Reticulofenestra perplexa,Helicosphaera vedderi,Pontosphaera multipora,Pontosphaera japonica,Helicosphaera intermedia,Braarudosphaera bigelowii,Umbilicosphaera sibogae var. sibogae,Schyphosphaera sp.,Minylitha convallis,Discoaster challengeri,Sphenolithus neoabies,Discoaster pseudovariabilis,Ericsonia formosa,Helicosphaera euphratis,Sphenolithus moriformis,Rhabdosphaera clavigera,Sphenolithus grandis,Umbilicosphaera sibogae var. foliosa,Umbilicosphaera hulburtiana,Gephyrocapsa spp. medium,Emiliania huxleyi,Discoaster quinqueramus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,                 ,CN15              ,              ,164, 993,A,  1,H, 1,   1.00,      0.0100,Okada    ,Nannofossils                                 ,A              ,G                 ,rC                   ,rC                ,                      ,rC                ,rC                       ,rC                             ,                         ,                         ,rC                     ,rA                     ,                 ,                           ,C                    ,A                    ,rC                   ,rC                      ,rC                   ,rF                     ,                  ,                   ,rC                 ,                    ,                 ,                 ,C                    ,rF                    ,                      ,                         ,rC                       ,                     ,                      ,                     ,                        ,                         ,F                                   ,                  ,rF                 ,                      ,                     ,                           ,                 ,                       ,                       ,                       ,                    ,F                                   ,R                          ,C                       ,F                ,rF                     ,from shipboard Excel file of H. Okada(1767). Leg 164 file Paleo Data993A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,                 ,CN8a              ,              ,164, 993,A,  1,H, 1,  75.00,      0.7500,Okada    ,Nannofossils                                 ,A              ,M                 ,A                    ,R                 ,F                     ,C                 ,                         ,A                              ,                         ,C                        ,C                      ,A                      ,R                ,C                          ,C                    ,A                    ,C                    ,C                       ,F                    ,F                      ,                  ,F                  ,F                  ,C                   ,R                ,F                ,F                    ,F                     ,F                     ,                         ,C                        ,                     ,R                     ,                     ,                        ,                         ,                                    ,R                 ,                   ,F                     ,F                    ,                           ,                 ,                       ,F                      ,F                      ,R                   ,                                    ,                           ,                        ,                 ,                       ,from shipboard Excel file of H. Okada(1767). Leg 164 file Paleo Data993A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,                 ,CN8a              ,              ,164, 993,A,  1,H,CC,  38.00,      1.8700,Okada    ,Nannofossils                                 ,A              ,M                 ,C                    ,                  ,F                     ,C                 ,                         ,A                              ,                         ,A                        ,C                      ,A                      ,R                ,F                          ,F                    ,A                    ,C                    ,F                       ,C                    ,F                      ,rR                ,F                  ,C                  ,F                   ,R                ,F                ,F                    ,R                     ,F                     ,                         ,C                        ,                     ,R                     ,                     ,                        ,                         ,                                    ,                  ,R                  ,F                     ,F                    ,                           ,                 ,                       ,F                      ,F                      ,                    ,                                    ,                           ,                        ,                 ,                       ,from shipboard Excel file of H. Okada(1767). Leg 164 file Paleo Data993A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,                 ,CN8a              ,              ,164, 993,A,  2,X, 3,  35.00,      5.2500,Okada    ,Nannofossils                                 ,C              ,M                 ,                     ,                  ,                      ,C                 ,                         ,A                              ,                         ,                         ,                       ,A                      ,                 ,F                          ,F                    ,C                    ,A                    ,F                       ,A                    ,C                      ,                  ,F                  ,F                  ,C                   ,F                ,F                ,F                    ,F                     ,F                     ,                         ,                         ,                     ,                      ,                     ,F                       ,                         ,                                    ,                  ,C                  ,F                     ,                     ,                           ,                 ,F                      ,                       ,                       ,                    ,                                    ,                           ,                        ,                 ,                       ,from shipboard Excel file of H. Okada(1767). Leg 164 file Paleo Data993A
