Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Reticulofenestra asanoi,Pseudoemiliania lacunosa,Helicosphaera sellii,Gephyrocapsa spp. (small),Gephyrocapsa oceanica,Gephyrocapsa caribbeanica,Emiliania huxleyi,Crenalithus doronicoides,Coccolithus pelagicus,Calcidiscus macintyrei,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,NN21B         ,175,1076,A,  1,H, 3,   2.00,      3.0200,Giraudeau,Nannofossils                                 ,C              ,M                 ,-                      ,-                       ,-                   ,-                        ,A                    ,F                        ,D                ,-                       ,-                    ,-                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,NN21B         ,175,1076,A,  1,H,CC,  25.00,      4.7500,Giraudeau,Nannofossils                                 ,A              ,G                 ,-                      ,-                       ,r                   ,F                        ,A                    ,F                        ,D                ,-                       ,r                    ,-                     ,Nannos very abundant Reworked Mio/Pliocene: common
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,NN21B         ,175,1076,A,  2,H, 2,  70.00,      7.0000,Giraudeau,Nannofossils                                 ,A              ,G                 ,-                      ,-                       ,-                   ,A                        ,C                    ,C                        ,D                ,-                       ,-                    ,-                     ,Nannos very abundant Reworked Neogene: trace
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,NN21B         ,175,1076,A,  2,H, 5,  30.00,     11.1000,Giraudeau,Nannofossils                                 ,C              ,M                 ,-                      ,-                       ,-                   ,F                        ,C                    ,A                        ,D                ,-                       ,-                    ,-                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,NN21B         ,175,1076,A,  2,H,CC,   0.00,     13.2100,Giraudeau,Nannofossils                                 ,A              ,G                 ,-                      ,-                       ,-                   ,A                        ,C                    ,F                        ,D                ,-                       ,-                    ,-                     ,Nannos very abundant Reworked Paleog/Neogene: few
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,NN21B         ,175,1076,A,  3,H, 1,  80.00,     15.1000,Giraudeau,Nannofossils                                 ,C              ,P                 ,-                      ,-                       ,-                   ,C                        ,C                    ,C                        ,A                ,-                       ,-                    ,-                     ,Base NN21b Reworked Paleog/Neogene: trace
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,NN21A         ,175,1076,A,  3,H, 4,  60.00,     19.4000,Giraudeau,Nannofossils                                 ,A              ,M                 ,-                      ,-                       ,-                   ,C                        ,A                    ,A                        ,C                ,-                       ,-                    ,-                     ,"Nannos very abundant Probably isotopic stage 5 (Transitional zone sensu Weaver, 1993)"
,,,,,,,,,,,,,,,,,,,,,,,,,,,
