Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Zeugrhabdotus sisyphus	Watznaueria barnesae	Micula staurophora	Kamptnerius magnificus	Helicolithus anceps	Gartnerago obliquum	Eiffellithus turriseiffelii	Cretarhabdus crenulatus	Cretarhabdus conicus	Biscutum ellipticum	Arkhangelskiella cymbiformis	Reinhardtites anthophorus	Quadrum gartneri	Prediscosphaera cretacea	Marthasterites furcatus	Lithastrinus floralis	Broinsonia enormis	Watznaueria biporta	Microrhabdulus decoratus	Lithraphidites carniolensis	Eiffellithus eximius	Broinsonia signata	Watznaueria ovata	Tranolithus orionatus	Tranolithus gabalus	Seribiscutum primitivum	Manivitella pemmatoidea	Lithastrinus grillii	Helicolithus trabeculatus	Ahmuellerella octoradiata	Reinhardtites sp. aff. R.anthophorus/levis	Lucianorhabdus spp.	Lucianorhabdus cayeuxii	Cylindralithus biarcus	Cribrosphaerella ehrenbergii	Glaukolithus compactus	Cretarhabdus angustiforatus	Orastrum campanensis	Calculites obscurus	Biscutum coronum	Cylindralithus sculptus	Broinsonia parca	Biscutum magnum	Monomarginatus primus	Scampanella spp.	Prediscosphaera stoveri	Zygodiscus spiralis	Pervilithus varius	Micula sp.	Monomarginatus pectinatus/quaternarius	Microrhabdulus stradneri	Biscutum dissimilis	Lucianorhabdus scotus	Nephrolithus frequens	Lucianorhabdus arcuatus	Thoracosphaera spp.	Nephrolithus corystus	Teichorhabdus ethmos	Staurolithites mielnicensis	Micula murus	Thoracosphaera operculata	Prinsius dimorphosus	Placozygus sigmoides	Markalius inversus	Hornibrookina teuriensis	Cruciplacolithus tenuis	Cruciplacolithus primus	Coccolithus pelagicus	Chiasmolithus danicus	Biscutum harrisonii	Coccolithus subpertusus	Prinsius martinii	Markalius apertus	Neochiastozygus distentus	Prinsius bisulcus	Chiasmolithus bidens/solitus	Toweius eminens/pertusus	Neochiastozygus spp.	Neocrepidolithus rimosus	Cruciplacolithus latipons	Neochiastozygus concinnus	Toweius tovae	Fasciculithus tympaniformis group	Neochiastozygus digitosus	Sphenolithus sp.	Heliolithus kleinpellii	Chiasmolithus californicus/consuetus	Heliolithus riedelii	Neochiastozygus junctus	Zygrhablithus bijugatus	Scampanella sp.	Zygodiscus adamas	Discoaster multiradiatus	Comment



  SR	Paleocene        	                 	D.multiradiatus (Cr)	              	114	 700	B	 26	R	 1	  40.00	    238.4000	Crux     	Nannofossils                                 	A              	VP                	                      	                    	                  	                      	                   	                   	                           	                       	                    	                   	                            	                         	                	                        	                       	                     	                  	                   	                        	                           	                    	                  	                 	                     	                   	                       	                       	                    	                         	                         	                                          	                   	                       	                      	                            	                      	                           	                    	                   	                	                       	                	               	                     	                	                       	                   	                  	          	                                      	                        	                   	                     	                     	                       	R                  	                     	                    	                           	            	R                        	                    	                    	                  	                        	                       	                       	                     	                     	                   	                       	                 	                 	                         	F                	F                           	A                       	                    	                        	R                        	                         	F            	C                                	                         	R               	                       	                                    	                    	                       	F                      	               	                 	R                       	Overgrown coccolith;Reworked Cretaceous  from ODP Leg 114 SR Chapter 7 Table 3 p 159

  SR	Paleocene        	                 	D.multiradiatus (Cr)	              	114	 700	B	 26	R	CC	  45.00	    242.3900	Crux     	Nannofossils                                 	A              	VP                	                      	                    	                  	                      	                   	                   	                           	                       	                    	                   	                            	                         	                	                        	                       	                     	                  	                   	                        	                           	                    	                  	                 	                     	                   	                       	                       	                    	                         	                         	                                          	                   	                       	                      	                            	                      	                           	                    	                   	                	                       	                	               	                     	                	                       	                   	                  	          	                                      	                        	                   	                     	                     	                       	                   	                     	                    	                           	            	                         	                    	                    	                  	                        	                       	                       	                     	                     	                   	                       	                 	                 	                         	F                	F                           	A                       	                    	                        	                         	                         	F            	F                                	                         	                	                       	                                    	                    	                       	                       	               	                 	R                       	Overgrown coccolith; from ODP Leg 114 SR Chapter 7 Table 3 p 159

  SR	Paleocene        	                 	NP8               	              	114	 700	B	 27	R	 1	  30.00	    247.8000	Crux     	Nannofossils                                 	A              	VP                	                      	                    	                  	                      	                   	                   	                           	                       	                    	                   	                            	                         	                	                        	                       	                     	                  	                   	                        	                           	                    	                  	                 	                     	                   	                       	                       	                    	                         	                         	                                          	                   	                       	                      	                            	                      	                           	                    	                   	                	                       	                	               	                     	                	                       	                   	                  	          	                                      	                        	                   	                     	                     	                       	                   	                     	                    	                           	            	                         	                    	R                   	                  	                        	                       	                       	                     	                     	                   	                       	                 	R                	R                        	F                	R                           	A                       	                    	                        	                         	R                        	F            	R                                	                         	                	R                      	                                    	                    	R                      	R                      	               	R                	                        	Overgrown coccolith; from ODP Leg 114 SR Chapter 7 Table 3 p 159

  SR	Paleocene        	                 	NP8               	              	114	 700	B	 27	R	CC	   9.00	    249.4100	Crux     	Nannofossils                                 	A              	VP                	                      	                    	                  	                      	                   	                   	                           	                       	                    	                   	                            	                         	                	                        	                       	                     	                  	                   	                        	                           	                    	                  	                 	                     	                   	                       	                       	                    	                         	                         	                                          	                   	                       	                      	                            	                      	                           	                    	                   	                	                       	                	               	                     	                	                       	                   	                  	          	                                      	                        	                   	                     	                     	                       	R                  	                     	                    	                           	            	                         	                    	                    	R                 	                        	                       	                       	                     	                     	R                  	                       	                 	                 	                         	F                	R                           	A                       	                    	                        	                         	R                        	F            	C                                	                         	                	                       	                                    	                    	R                      	                       	               	                 	                        	Overgrown coccolith; from ODP Leg 114 SR Chapter 7 Table 3 p 159
