Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Triquetrorhabdulus rugosus,Syracosphaera histrica,Sphenolithus abies/neoabies,Reticulofenestra spp. small,Reticulofenestra pseudoumbilica,Pontosphaera japonica,Helicosphaera kamptneri,Discoaster variabilis,Discoaster surculus,Discoaster quinqueramus,Discoaster pentaradiatus,Discoaster brouweri,Coccolithus pelagicus,Calcidiscus macintyrei,Calcidiscus leptoporus,Amaurolithus delicatus,Ceratolithus acutus,Amaurolithus tricorniculatus,Amaurolithus primus,Discoaster asymmetricus,Ceratolithus rugosus,Rhabdosphaera stylifera,Pseudoemiliania lacunosa,Discoaster tamalis,Cyclolithella rotula,Discoaster intercalaris,Rhabdosphaera clavigera,Reticulofenestra doronicoides,Syracosphaera pulchra,Helicosphaera sellii,Discoaster triradiatus,Scyphosphaera pulcherrima,Gephyrocapsa spp.,Umbilicosphaera mirabilis,Gephyrocapsa caribbeanica,Gephyrocapsa oceanica,Umbilicosphaera sibogae,Ceratolithus telesmus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,108, 660,A,  1,H, 1,  38.00,      0.3800,Manivit  ,Nannofossils                                 ,F              ,P                 ,                          ,                      ,                           ,                           ,                               ,                     ,F                      ,                     ,                   ,                       ,                        ,                   ,                     ,                      ,F                     ,                      ,                   ,                            ,                   ,                       ,                    ,                       ,                        ,                  ,                    ,                       ,                       ,                             ,R                    ,                    ,                      ,                         ,C                ,                         ,A                        ,C                    ,                       ,R                    ,from ODP Leg 108 SR Chapter 4 Table 6 p 48
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,CN14b             ,              ,108, 660,A,  2,H, 4, 146.00,      7.7600,Manivit  ,Nannofossils                                 ,A              ,M                 ,                          ,R                     ,                           ,                           ,                               ,R                    ,C                      ,                     ,                   ,                       ,                        ,                   ,                     ,                      ,C                     ,                      ,                   ,                            ,                   ,                       ,R                   ,                       ,                        ,                  ,                    ,                       ,R                      ,C                            ,F                    ,                    ,                      ,R                        ,A                ,                         ,A                        ,C                    ,R                      ,R                    ,from ODP Leg 108 SR Chapter 4 Table 6 p 48
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,CN14a             ,CN14b         ,108, 660,A,  2,H, 6,  70.00,     10.0000,Manivit  ,Nannofossils                                 ,A              ,M                 ,                          ,R                     ,                           ,                           ,                               ,                     ,C                      ,                     ,                   ,                       ,                        ,                   ,                     ,                      ,C                     ,                      ,                   ,                            ,                   ,                       ,R                   ,R                      ,                        ,                  ,                    ,                       ,                       ,C                            ,R                    ,                    ,                      ,                         ,A                ,                         ,A                        ,C                    ,R                      ,                     ,from ODP Leg 108 SR Chapter 4 Table 6 p 48
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,CN14a             ,CN14b         ,108, 660,A,  2,H,CC,  13.00,     11.4300,Manivit  ,Nannofossils                                 ,A              ,M                 ,                          ,R                     ,                           ,                           ,                               ,                     ,C                      ,                     ,                   ,                       ,                        ,                   ,                     ,                      ,F                     ,                      ,                   ,                            ,                   ,                       ,                    ,                       ,                        ,                  ,                    ,                       ,R                      ,C                            ,                     ,                    ,                      ,                         ,A                ,R                        ,A                        ,C                    ,                       ,                     ,from ODP Leg 108 SR Chapter 4 Table 6 p 48
