Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Thalassionema nitzschioides,Stephanopyxis spp.,Stephanopyxis dimorpha,Rhizosolenia styliformis,Proboscia curvirostris,Neodenticula seminae,Fragilariopsis doliolus,Coscinodiscus marginatus,Thalassiosira antiqua,Actinocyclus curvatulus,Delphineis surirella,Actinoptychus senarius,Thalassiosira jouseae,Thalassiosira eccentrica,Actinocyclus ochotensis,Thalassiosira oestrupii,Pyxidicula horridus,Thalassiosira leptopus,Hemidiscus cuneiformis,Proboscia barboi,Coscinodiscus radiatus,Actinocyclus oculatus,Rhizosolenia hebetata,Proboscia alata,Neodenticula koizumii,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1248,C,  1,X,CC,  14.00,      2.3800,Watanabe ,Diatoms                                      ,C              ,M                 ,F                          ,R                 ,F                     ,                        ,T                     ,R                   ,                       ,                        ,                     ,                       ,R                   ,                      ,                     ,                        ,                       ,                       ,                   ,                      ,                      ,T               ,T                     ,                     ,R                    ,T              ,T                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1248,C,  2,X,CC,  15.00,     10.8300,Watanabe ,Diatoms                                      ,C              ,P                 ,R                          ,R                 ,F                     ,                        ,T                     ,R                   ,                       ,T                       ,                     ,                       ,R                   ,                      ,                     ,                        ,                       ,                       ,                   ,                      ,                      ,                ,                      ,+                    ,                     ,               ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1248,C,  3,X,CC,  23.00,     22.6100,Watanabe ,Diatoms                                      ,C              ,M                 ,C                          ,T                 ,F                     ,                        ,T                     ,R                   ,                       ,T                       ,                     ,                       ,                    ,                      ,                     ,                        ,                       ,                       ,                   ,                      ,                      ,                ,                      ,                     ,                     ,               ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1248,C,  4,X,CC,  38.00,     29.6400,Watanabe ,Diatoms                                      ,C              ,M                 ,F                          ,R                 ,F                     ,T                       ,T                     ,F                   ,                       ,T                       ,                     ,                       ,T                   ,                      ,                     ,                        ,                       ,F                      ,                   ,                      ,                      ,                ,T                     ,                     ,                     ,               ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1248,C,  5,X,CC,  35.00,     41.3500,Watanabe ,Diatoms                                      ,C              ,M                 ,F                          ,R                 ,F                     ,                        ,R                     ,F                   ,R                      ,R                       ,                     ,T                      ,T                   ,T                     ,                     ,T                       ,                       ,C                      ,                   ,                      ,                      ,T               ,                      ,                     ,                     ,               ,                     ,       
