Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group	Group Abundance	Group Preservation	Sphaeroidinella dehiscens	Orbulina universa	Neogloboquadrina humerosa	Globorotalia tumida flexuosa	Globorotalia tumida	Globorotalia menardii	Globorotalia crassaformis	Globigerinoides sacculifer	Globigerinoides ruber	Globigerinoides quadrilobatus	Globigerinoides extremus	Globigerinoides conglobatus	Globigerinella siphonifera	Dentoglobigerina altispira	Sphaeroidinella dehiscens s.l.	Globigerinoides trilobus	Pulleniatina obliquiloculata	Neogloboquadrina acostaensis	Globorotalia tosaensis	Globorotalia scitula	Globigerinoides fistulosus	Globigerinita glutinata	Neogloboquadrina dutertrei	Globorotalia truncatulinoides	Zeaglobigerina rubescens	Globorotalia ungulata	Globigerinoides ruber (pink)	Bolliella calida	Comment
																																													
																																													
IR		Pleistocene		N23	180	1114	A	1	R	CC	37.00	0.3700	Perembo	Planktonic Foraminifers	A	G	F	F			F	A	F	A	A	A		A	A				A						A	A	A	A	A	F	
																																													
IR		Pleistocene			180	1114	A	1	R	CC	37.00	0.3700	Perembo	Planktonic Foraminifers	F	M					R	R	R		R	R		R	F				F						R	R		R			Rock specimen
																																													
IR		Pleistocene		N21	180	1114	A	2	R	1	30.00	6.9000	Perembo	Planktonic Foraminifers	A	G	F	F	A		F	A	F		F	A							A		F		R		F	R					
																																													
IR		Pleistocene		N21	180	1114	A	2	R	1	35.00	6.9500	Perembo	Planktonic Foraminifers	C	M		R	F		R	F		R	F	F	R	R	R			R	R		R				R						
																																													
IR					180	1114	A	2	R	CC	18.00	7.3600	Perembo	Planktonic Foraminifers	T	P					P	P																							
																																													
IR		Pleistocene		N21	180	1114	A	3	R	2	47.00	17.8300	Resig	Planktonic Foraminifers	A	M	F	R	A		F	F	F		A	A		F				A	F			R	F			F					
																																													
IR		Pleistocene	N21	N22	180	1114	A	3	R	CC	23.00	18.5400	Perembo	Planktonic Foraminifers	R	P	R		R		R	R		R		R		R					R				R		R	R					
																																													
IR		Pleistocene		N21	180	1114	A	4	R	1	95.00	27.1500	Perembo	Planktonic Foraminifers	R	P	R		R		R	R	R		R	R							R		R					R					
																																													
IR			N20	N21	180	1114	A	6	R	CC	10.00	47.1600	Perembo	Planktonic Foraminifers	R	M		R	F		R	R	R			R							R												
																																													
IR		Pleistocene		N21	180	1114	A	8	R	CC	20.00	65.7000	Resig	Planktonic Foraminifers	C	M	F	R	A		F	F	F	F	F	A	F				F	A	F				R			R					
																																													
IR		Pleistocene	N20	N21	180	1114	A	9	R	CC	12.00	76.5000	Resig	Planktonic Foraminifers	F	M	R		F		R	R	R		F	F	F					F					R	R							
																																													
IR					180	1114	A	10	R	CC	25.00	85.5600	Resig	Planktonic Foraminifers	F	P		R	F			R			F	F					F	F					R	F							
																																													
IR					180	1114	A	11	R	CC	13.00	95.2000	Resig	Planktonic Foraminifers	F	P			F		R				R	F	R	R				F		R											
																																													
IR		Pleistocene		N21	180	1114	A	13	R	CC	19.00	114.1900	Resig	Planktonic Foraminifers	F	P			R		R				F							F						R		R					
																																													
IR		Pleistocene	N20	N21	180	1114	A	16	R	CC	8.00	141.6800	Perembo	Planktonic Foraminifers	F	M	R	F	A		R	R	R			F		R					F												
																																													
IR		Pleistocene	N20	N21	180	1114	A	18	R	CC	21.00	161.1100	Perembo	Planktonic Foraminifers	R	P	P				P		P																						
																																													
IR		Pleistocene		N21	180	1114	A	19	R	CC	17.00	170.6700	Perembo	Planktonic Foraminifers	C	M	F				F	F	F	R									F		F										
																																													
IR		Pleistocene		N21	180	1114	A	22	R	CC	24.00	200.4500	Perembo	Planktonic Foraminifers	F	P		R	R		R	R	R	R	R	R		R					R		R		R								
																																													
IR		Pleistocene	N20	N21	180	1114	A	23	R	CC	28.00	210.5500	Perembo	Planktonic Foraminifers	R	P					R		R	F									R						R						
																																													
IR		Pleistocene		N21	180	1114	A	25	R	CC	9.00	231.0100	Resig	Planktonic Foraminifers	C	P		R	F	R	F	R	R	F	F				R		R	F	F		R	R	R	F							
																																													
IR		Pleistocene	N20	N21	180	1114	A	26	R	CC	18.00	238.9900	Resig	Planktonic Foraminifers	F	P	R	R	F		R	R	R	F	F			R					R	R											
																																													
IR	Pliocene	Pleistocene		N21	180	1114	A	29	R	CC	12.00	266.6200	Resig	Planktonic Foraminifers	C	M	F	R	F		R	R	R	R	F			R	R		F	R	R	R											
																																													
IR	Pliocene	Pleistocene			180	1114	A	30	R	CC	23.00	277.2900	Resig	Planktonic Foraminifers	R	P						R			R						R	F													
																																													
IR	Pliocene	Pleistocene		N21	180	1114	A	31	R	1	22.00	286.0200	Perembo	Planktonic Foraminifers	A	P	R	R	F	F	R	R	R	R	F	F	R	R	R	F															
																																													
