Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Sphenolithus pseudoradians,Sphenolithus predistentus,Sphenolithus moriformis,Sphenolithus aff. distentus,Pedinocyclus larvalis,Helicosphaera reticulata,Helicosphaera compacta,Ericsonia subdisticha,Ericsonia obruta,Discoaster tanii,Discoaster nodifer,Discoaster deflandrei,Dictyococcites scrippsae,Dictyococcites bisectus,Cyclicargolithus floridanus,Coronocyclus nitescens,Coccolithus sp.1,Coccolithus pelagicus,Coccolithus eopelagicus,Calcidiscus kingii,Zygrhablithus bijugatus,Pontosphaera segmenta,Helicosphaera perch-nielseniae,Cyclicargolithus abisectus,Helicosphaera bramlettei,Helicosphaera intermedia,Discoaster adamanteus,Cruciplacolithus tarquinius,Helicosphaera euphratis,Sphenolithus ciperoensis,Sphenolithus distentus,Reticulofenestra umbilica,Sphenolithus aff. ciperoensis,Triquetrorhabdulus milowii,Helicosphaera recta,Coccolithus miopelagicus,Triquetrorhabdulus carinatus,Syracosphaera sp. 1,Catinaster umbrellus,Coccolithus fuscus,Hayaster perplexus,Crassidiscus backmanii,Sphenolithus dissimilis,Sphenolithus conicus,Sphenolith (unspecified taxon or taxa),Cyclicargolithus abisectus (> 10 microns),Cyclicargolithus abisectus (< 10 microns),Clausicoccus fenestratus,Pontosphaera spp.,Discoaster woodringii,Sphenolithus calyculus,Discoaster extensus-dilatus group,Discoaster aff. druggii,Discoaster moorei,Sphenolithus delphix,Sphenolithus capricornutus,Hayella aperta,Sphenolithus dissimilis/belemnos,Reticulofenestrid taxa,Triquetrorhabdulus serratus,Discoaster druggii,Sphenolithus belemnos,Reticulofenestra aff. pseudoumbilicus,Pyrocyclus spp.,Dictyococcites spp.,Sphenolithus multispinatus,Reticulofenestra daviesii,Pentalithus spp.,Triquetrorhabdulus auritus,Triquetrorhabdulus protodecimae,Discoaster subsurculus,Umbilicosphaera spp.,Discoaster formosus,Sphenolithus heteromorphus,Discoaster variabilis,Discoaster exilis,Triquetrorhabdulus curvus,Calcidiscus leptoporus,Sphenolithus milanettii,Thoracosphaera spp.,Calcidiscus premacintyrei,Discoaster signus-tuberi,Discoaster brouweri,Helicosphaera spp.,Reticulofenestra pseudoumbilicus,Discoaster musicus,Triquetrorhabdulus rugosus/rioensis,Discoaster kugleri,Discoaster aff. calcaris,Calcidiscus macintyrei,Discoaster pansus,Discoaster bollii,Discoaster aulakos,Discoaster prepentaradiatus,Discoaster intercalaris,Catinaster coalitus,Discoaster asymmetricus,Discoaster pseudovariabilis,Discoaster neohamatus,Discoaster hamatus,Discoaster calcaris,Catinaster calyculus,Minylitha convallis,Discoaster pentaradiatus,Discoaster bellus,Discoaster surculus,Discoaster quinqueramus/berggrenii,Coccolithus radiatus,Ceratolithus rugosus,Discoaster triradiatus,Discoaster loeblichii,Discoaster icarus,Amaurolithus primus,Syracosphaera spp.,Amaurolithus delicatus,Amaurolithus amplificus,Amaurolithus tricorniculatus,Ceratolithus armatus,Ceratolithus acutus,Scyphosphaera spp.,Discoaster tristellifer,Discoaster tamalis,Pseudoemiliania lacunosa,Ceratolithus cristatus,Helicosphaera sellii,Gephyrocapsa (small),Gephyrocapsa oceanica s.l.,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CN13b             ,              ,115, 710,A,  2,H, 3,  90.00,     13.4000,Rio      ,Nannofossils                                 ,A              ,G                 ,                          ,                         ,                       ,                           ,                     ,                        ,                      ,                     ,                ,                ,                  ,                     ,                        ,                       ,                           ,                      ,                ,                     ,                       ,                  ,                       ,                     ,                              ,                          ,                        ,                        ,                     ,                           ,                       ,                        ,                      ,                         ,                             ,                          ,                   ,                        ,                            ,                   ,                    ,                  ,                  ,                      ,                       ,                    ,                                      ,                                         ,                                         ,                        ,                 ,                     ,                      ,                                 ,                       ,                 ,                    ,                          ,              ,                                ,R                     ,                           ,                  ,                     ,                                     ,               ,F                  ,                          ,                         ,                ,                          ,                               ,                      ,                    ,                   ,                          ,                     ,                 ,                         ,C                     ,                       ,                   ,                         ,                        ,                   ,C                 ,                                ,                  ,                                   ,                  ,                        ,                      ,                 ,                 ,                  ,                           ,                       ,                   ,                       ,                           ,                     ,                  ,                   ,                    ,                   ,R                       ,                 ,                   ,                                  ,F                   ,R                   ,                      ,                     ,                 ,                   ,F                 ,                      ,                       ,                            ,                    ,                   ,                  ,                       ,                  ,C                       ,F                     ,F                   ,C                   ,C                         ,from 115 SR. Chapter 15. Table 12. microfiche in back pocket.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CN13b             ,              ,115, 710,A,  2,H, 3, 130.00,     13.8000,Rio      ,Nannofossils                                 ,A              ,G                 ,                          ,                         ,                       ,                           ,                     ,                        ,                      ,                     ,                ,                ,                  ,                     ,                        ,                       ,                           ,                      ,                ,                     ,                       ,                  ,                       ,                     ,                              ,                          ,                        ,                        ,                     ,                           ,                       ,                        ,                      ,                         ,                             ,                          ,                   ,                        ,                            ,                   ,                    ,                  ,                  ,                      ,                       ,                    ,                                      ,                                         ,                                         ,                        ,                 ,                     ,                      ,                                 ,                       ,                 ,                    ,                          ,              ,                                ,R                     ,                           ,                  ,                     ,                                     ,               ,                   ,                          ,                         ,                ,                          ,                               ,                      ,                    ,                   ,                          ,                     ,                 ,                         ,C                     ,                       ,                   ,                         ,                        ,R                  ,C                 ,                                ,                  ,                                   ,                  ,                        ,C                     ,                 ,                 ,                  ,                           ,                       ,                   ,                       ,                           ,                     ,                  ,                   ,                    ,                   ,                        ,                 ,                   ,                                  ,                    ,R                   ,                      ,                     ,                 ,                   ,C                 ,                      ,                       ,                            ,                    ,                   ,                  ,                       ,                  ,A                       ,F                     ,F                   ,C                   ,R                         ,from 115 SR. Chapter 15. Table 12. microfiche in back pocket.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CN13a             ,              ,115, 710,A,  2,H, 4,  90.00,     14.9000,Rio      ,Nannofossils                                 ,A              ,G                 ,                          ,                         ,                       ,                           ,                     ,                        ,                      ,                     ,                ,                ,                  ,                     ,                        ,                       ,                           ,                      ,                ,F                    ,                       ,                  ,                       ,                     ,                              ,                          ,                        ,                        ,                     ,                           ,                       ,                        ,                      ,                         ,                             ,                          ,                   ,                        ,                            ,                   ,                    ,                  ,                  ,                      ,                       ,                    ,                                      ,                                         ,                                         ,                        ,                 ,                     ,                      ,                                 ,                       ,                 ,                    ,                          ,              ,                                ,R                     ,                           ,                  ,                     ,                                     ,               ,                   ,                          ,                         ,                ,                          ,                               ,                      ,                    ,                   ,                          ,                     ,                 ,                         ,C                     ,                       ,                   ,                         ,                        ,R                  ,C                 ,                                ,                  ,                                   ,                  ,                        ,C                     ,                 ,                 ,                  ,                           ,                       ,                   ,R                      ,                           ,                     ,                  ,                   ,                    ,                   ,                        ,                 ,R                  ,R                                 ,F                   ,                    ,                      ,                     ,                 ,                   ,F                 ,                      ,                       ,                            ,                    ,                   ,                  ,                       ,                  ,A                       ,C                     ,F                   ,C                   ,                          ,from 115 SR. Chapter 15. Table 12. microfiche in back pocket.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CN13a             ,              ,115, 710,A,  2,H, 5,  90.00,     16.4000,Rio      ,Nannofossils                                 ,A              ,G                 ,                          ,                         ,                       ,                           ,                     ,                        ,                      ,                     ,                ,                ,                  ,                     ,                        ,                       ,                           ,                      ,                ,R                    ,                       ,                  ,                       ,                     ,                              ,                          ,                        ,                        ,                     ,                           ,                       ,                        ,                      ,                         ,                             ,                          ,                   ,                        ,                            ,                   ,                    ,                  ,                  ,                      ,                       ,                    ,                                      ,                                         ,                                         ,                        ,                 ,                     ,                      ,                                 ,                       ,                 ,                    ,                          ,              ,                                ,R                     ,                           ,                  ,                     ,                                     ,               ,                   ,                          ,                         ,                ,                          ,                               ,                      ,                    ,                   ,                          ,                     ,                 ,                         ,C                     ,                       ,                   ,                         ,                        ,R                  ,C                 ,                                ,                  ,                                   ,                  ,                        ,C                     ,                 ,                 ,                  ,                           ,                       ,                   ,                       ,                           ,                     ,                  ,                   ,                    ,                   ,R                       ,                 ,                   ,R                                 ,                    ,                    ,                      ,                     ,                 ,                   ,F                 ,                      ,                       ,                            ,                    ,                   ,                  ,                       ,                  ,A                       ,C                     ,F                   ,F                   ,                          ,from 115 SR. Chapter 15. Table 12. microfiche in back pocket.
