Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Parasubbotina griffinae	Clavigerinella jarvisi	Paragloborotalia nana	Muricoglobigerina senni	Clavigerinella eocanica	Catapsydrax unicavus	Acarinina collactea	"H." cf. bolivaraina bolivaraina	Subbotina eocaena	Parasubbotina cf. linaperta	Acarinina rohri	Acarinina bullbrooki	Acarinina punctocarinata	Paragloborotalia wilsoni	Clavigerinella columbiana	Clavigerinella akersi	Acarinina praetopilensis	Turborotalia ampliapertura	Paragloborotalia continuosa	Globoquadrina tapuriensis	Catapsydrax dissimilis	Subbotina utilisindex	Subbotina angiporoides	Dentoglobigerina galavisi	Globorotaloides suteri	Globoquadrina tripartita	Globigerina prasaepis	Dentoglobigerina globularis	Chiloguembelina cubensis	Globigerina euapertura	Cassigerinella chipolensis	Globoquadrina venezuelana	Tenuitella gemma	Catapsydrax dissimilis ciperoensis	Tenuitella clemenciae	Tenuitellinata angustiumbilicata	Subbotina gortanii	Paragloborotalia opima opima	Dentoglobigerina yeguaensis	Paragloborotalia pseudokugleri	Paragloborotalia mayeri	Globorotaloides sp.	Globoquadrina sellii	Dentoglobigerina altispira	Subbotina praeturritilina	Globigerina praebulloides	Globigerina ciperoensis	Paragloborotalia kugleri	Paragloborotalia acrostoma	Paragloborotalia siakensis	Globoquadrina praedehiscens	Globoquadrina binaiensis	Globoquadrina dehiscens	Globigerinella praesiphonifera	Dentoglobigerina baroemoenensis	Globigerinoides primordius	Comment



  IR	                 	                 	                  	              	199	1218	A	  5	H	CC	  19.00	     46.3500	planks   	Planktonic Foraminifers                      	R              	P                 	                       	                      	                     	                       	                       	                    	                   	                                	                 	                           	               	                    	                        	                        	                         	                     	                        	                          	R                          	                         	                      	                     	                      	                         	                      	                        	                     	                           	                        	                      	                          	                         	                	                                  	                     	                                	                  	                            	                           	                              	R                      	                   	                    	                          	                         	                         	                       	                        	                          	P                         	                           	                        	                       	                              	                               	                          	       

  IR	                 	                 	                  	              	199	1218	A	  6	H	 7	  39.00	     55.0900	planks   	Planktonic Foraminifers                      	R              	P                 	                       	                      	                     	                       	                       	                    	                   	                                	                 	                           	               	                    	                        	                        	                         	                     	                        	                          	                           	                         	                      	                     	                      	                         	R                     	P                       	                     	                           	                        	                      	                          	R                        	                	R                                 	                     	                                	                  	                            	                           	                              	                       	                   	                    	                          	                         	                         	                       	                        	                          	                          	                           	                        	                       	                              	                               	                          	       

  IR	                 	                 	                  	              	199	1218	A	  6	H	CC	   0.00	     55.3200	planks   	Planktonic Foraminifers                      	R              	P                 	                       	                      	                     	                       	                       	R                   	                   	                                	                 	                           	               	                    	                        	                        	                         	                     	                        	                          	R                          	                         	                      	                     	                      	                         	                      	                        	                     	                           	                        	                      	                          	R                        	                	                                  	                     	                                	                  	                            	                           	                              	R                      	                   	                    	                          	                         	                         	                       	                        	                          	                          	                           	                        	                       	                              	                               	                          	       

  IR	                 	                 	M3                	M2            	199	1218	A	  7	H	 1	 110.00	     56.8000	planks   	Planktonic Foraminifers                      	C              	M                 	                       	                      	                     	                       	                       	                    	                   	                                	                 	                           	               	                    	                        	                        	                         	                     	                        	                          	                           	                         	                      	                     	                      	                         	R                     	                        	                     	F                          	                        	                      	                          	                         	                	P                                 	                     	                                	                  	                            	                           	                              	R                      	                   	F                   	F                         	                         	                         	                       	                        	                          	F                         	F                          	R                       	                       	                              	F                              	                          	       
