Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Reticulofenestra small-sized,Helicosphaera stalis,Helicosphaera carteri,Gephyrocapsa medium-sized,Gephyrocapsa (small),Dictyococcites productus,Dictyococcites antarcticus,Cyclicargolithus floridanus,Coccolithus pelagicus,Calcidiscus leptoporus,Reticulofenestra medium-sized,Dictyococcites bisectus,Pyrocyclus spp.,Cribrocentrum reticulatum,Reticulofenestra pseudoumbilicus,Geminilithella rotula,Cyclicargolithus abisectus,Sphenolithus moriformis,Reticulofenestra lockerii,Pontosphaera spp.,Discoaster variabilis,Cruciplacolithus primus,Watznaueria barnesae,Helicosphaera sellii,Emiliania huxleyi,Neococcolithes minutus,Helicosphaera walbersdorfensis,Fasciculithus spp.,Chiasmolithus spp.,Coccolithus miopelagicus,Tetralithoides symeonidesii,Syracosphaera pulchra,Reticulofenestra umbilica,Calcidiscus macintyrei,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1122,A,  1,H,CC,   8.00,      9.2200,nannos   ,Nannofossils                                 ,C              ,M                 ,C                           ,                    ,F                    ,C                        ,C                   ,C                       ,F                         ,R                          ,C                    ,F                     ,                             ,                       ,               ,                         ,                                ,                     ,R                         ,                       ,R                        ,R                ,                     ,                       ,                    ,                    ,C                ,                      ,                              ,                  ,                  ,                        ,                           ,                     ,                         ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1122,A,  2,H,CC,   8.00,     18.8600,nannos   ,Nannofossils                                 ,F              ,M                 ,C                           ,                    ,F                    ,F                        ,C                   ,C                       ,F                         ,R                          ,C                    ,R                     ,                             ,                       ,               ,                         ,R                               ,                     ,                          ,                       ,R                        ,                 ,                     ,                       ,                    ,                    ,C                ,                      ,                              ,                  ,                  ,                        ,                           ,                     ,                         ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1122,A,  3,H,CC,   9.00,     28.5200,nannos   ,Nannofossils                                 ,C              ,M                 ,C                           ,                    ,F                    ,C                        ,C                   ,C                       ,F                         ,F                          ,A                    ,F                     ,                             ,F                      ,               ,R                        ,F                               ,R                    ,R                         ,F                      ,R                        ,                 ,                     ,R                      ,                    ,                    ,C                ,                      ,                              ,F                 ,R                 ,F                       ,R                          ,R                    ,R                        ,R                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1122,A,  4,H,CC,   5.00,     38.1200,nannos   ,Nannofossils                                 ,A              ,M                 ,C                           ,                    ,C                    ,A                        ,A                   ,C                       ,F                         ,                           ,C                    ,C                     ,                             ,R                      ,R              ,                         ,F                               ,                     ,                          ,F                      ,F                        ,                 ,                     ,                       ,                    ,                    ,F                ,                      ,                              ,                  ,                  ,F                       ,                           ,                     ,                         ,                      ,       
