Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Umbilicosphaera sibogae,Sphenolithus moriformis,Sphenolithus heteromorphus,Solidopons petrae,Reticulofenestra samodurovii,Reticulofenestra minutula,Reticulofenestra minuta,Pontosphaera discopora,Helicosphaera euphratis,Helicosphaera carteri,Helicosphaera ampliaperta,Geminilithella rotula,Discoaster variabilis,Discoaster deflandrei,Cyclicargolithus floridanus,Coronocyclus nitescens,Coccolithus pelagicus,Coccolithus miopelagicus,Pontosphaera multipora,Helicosphaera scissura,Calcidiscus tropicus,Sphenolithus belemnos,Rhabdosphaera procera,Discoaster signus,Cryptococcolithus takayamae,Scyphosphaera spp.,Calcidiscus leptoporus,Calcidiscus premacintyrei,Pontosphaera spp.,Discosphaera tubifera,Braarudosphaera bigelowii,Helicosphaera perch-nielseniae,Helicosphaera waltrans,Helicosphaera walbersdorfensis,Discoaster musicus,Hayella aperta,Scapholithus fossilis,Pyrocyclus hermosus,Triquetrorhabdulus rugosus,Helicosphaera orientalis,Triquetrorhabdulus rioensis,Triquetrorhabdulus challengeri,Triquetrorhabdulus auritus,Syracosphaera spp.,Reticulofenestra pseudoumbilicus,Discoaster pseudovariabilis,Holodiscolithus solidus,Discoaster kugleri,Calcidiscus macintyrei,Sphenolithus abies,Discoaster bellus,Catinaster coalitus,Discoaster brouweri,Discoaster bollii,Discoaster hamatus,Catinaster calyculus,Minylitha convallis,Discoaster prepentaradiatus,Discoaster pentaradiatus,Discoaster neohamatus,Discoaster loeblichii,Discoaster surculus,Discoaster quinqueramus,Discoaster berggrenii,Amaurolithus primus,Hayella challengeri,Reticulofenestra rotaria,Amaurolithus delicatus,Amaurolithus amplificus,"Discoaster ""six-rayed""",Discoaster asymmetricus,Amaurolithus tricorniculatus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,CN10              ,              ,157, 952,A, 19,X, 6,  43.00,    173.1300,Howe     ,Nannofossils                                 ,H              ,M-G               ,                       ,                       ,S                         ,                 ,                            ,A                        ,C                      ,                      ,                       ,R                    ,                         ,F                    ,A                    ,                     ,                           ,                      ,F                    ,                        ,                      ,                      ,                    ,                     ,                     ,                 ,                           ,                  ,F                     ,                         ,                 ,                     ,                         ,                              ,                      ,                              ,                  ,              ,                     ,                   ,                          ,                        ,                           ,                              ,                          ,                  ,C                               ,                           ,                       ,                  ,F                     ,R                 ,                 ,                   ,C                  ,                 ,                  ,                    ,                   ,                           ,C                       ,                     ,                     ,F                  ,                       ,                     ,                   ,                   ,                        ,F                     ,                       ,                      ,R                      ,R                           ,found in SR. Ch 29. Table 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,CN10              ,              ,157, 952,A, 19,X, 6,  58.00,    173.2800,Howe     ,Nannofossils                                 ,L              ,M                 ,                       ,                       ,                          ,                 ,                            ,F                        ,F                      ,                      ,                       ,R                    ,                         ,R                    ,F                    ,                     ,                           ,                      ,F                    ,                        ,                      ,                      ,                    ,                     ,S                    ,                 ,                           ,                  ,R                     ,                         ,                 ,                     ,                         ,                              ,                      ,                              ,                  ,              ,                     ,                   ,                          ,                        ,                           ,                              ,                          ,                  ,F                               ,                           ,                       ,                  ,R                     ,R                 ,                 ,                   ,R                  ,                 ,                  ,                    ,                   ,                           ,R                       ,                     ,                     ,R                  ,                       ,                     ,                   ,                   ,                        ,S                     ,                       ,                      ,                       ,                            ,found in SR. Ch 29. Table 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,CN10              ,              ,157, 952,A, 20,X, 3,  91.00,    178.8100,Howe     ,Nannofossils                                 ,M              ,M                 ,                       ,                       ,                          ,                 ,                            ,C                        ,C                      ,                      ,                       ,F                    ,                         ,F                    ,C                    ,                     ,                           ,                      ,F                    ,                        ,S                     ,                      ,                    ,                     ,R                    ,                 ,                           ,                  ,R                     ,                         ,                 ,                     ,                         ,                              ,                      ,                              ,                  ,              ,                     ,                   ,?S                        ,                        ,                           ,                              ,                          ,                  ,F                               ,                           ,                       ,                  ,F                     ,F                 ,                 ,                   ,R                  ,                 ,                  ,                    ,                   ,                           ,R                       ,                     ,                     ,F                  ,                       ,                     ,                   ,                   ,                        ,                      ,                       ,                      ,                       ,                            ,found in SR. Ch 29. Table 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,CN10              ,              ,157, 952,A, 20,X, 4,  31.00,    179.7100,Howe     ,Nannofossils                                 ,VH             ,M-G               ,                       ,                       ,                          ,                 ,                            ,A                        ,A                      ,                      ,                       ,F                    ,                         ,C                    ,C                    ,                     ,                           ,                      ,C                    ,                        ,R                     ,                      ,                    ,                     ,F                    ,                 ,                           ,                  ,F                     ,                         ,                 ,                     ,                         ,                              ,                      ,                              ,                  ,              ,                     ,                   ,R                         ,                        ,                           ,                              ,                          ,                  ,C                               ,                           ,                       ,                  ,F                     ,F                 ,                 ,                   ,F                  ,                 ,                  ,                    ,                   ,                           ,F                       ,                     ,                     ,F                  ,                       ,                     ,                   ,                   ,                        ,R                     ,                       ,                      ,                       ,                            ,Single Cretaceous reworking. found in SR. Ch 29. Table 4.
