Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Umbilicosphaera mirabilis	Syracosphaera pulchra	Sphenolithus abies/neoabies	Scapholithus fossilis	Rhabdosphaera clavigera	Reticulofenestra sp. (<5 microns)	Reticulofenestra sp. (5-7 microns)	Pseudoemiliania lacunosa	Pontosphaera sp.	Pontosphaera japonica	Pontosphaera discopora	Helicosphaera kamptneri	Gephyrocapsa sp. (< 3.5 microns)	Gephyrocapsa oceanica (4-5.5 microns)  	Discoaster sp.	Discoaster quinqueramus	Discoaster brouweri	Dictyococcites sp.	Calcidiscus leptoporus	Syracosphaera clava	Scyphosphaera sp.	Helicosphaera sellii	Ceratolithus cristatus	Discoaster pentaradiatus	Coccolithus pelagicus	Holodiscolithus macroporus	Sphenolithus moriformis	Ceratolithus sp.	Discosphaera tubifera	Discoaster variabilis	Umbellosphaera irregularis	Emiliania huxleyi	Cyclicargolithus floridanus	Discoaster surculus	Calcidiscus macintyrei	Comment



  SR	Late Pleistocene 	                 	CN15              	              	134	 833	A	  1	H	 1	  79.00	      0.7900	Staerker 	Nannofossils                                 	R              	E                 	C                        	C                    	rC                         	C                    	C                      	S                                	rS                                	rS                      	S               	S                    	S                     	C                      	A                               	C                                      	rC            	rC                     	rC                 	C                 	A                     	S                  	                 	                    	R                     	rS                      	R                    	                          	                       	                	S                    	rS                   	R                         	A                	rS                         	rS                 	rR                    	from ODP Leg 134 SR Chapter 10 Table 8 p 223

  SR	Late Pleistocene 	                 	CN15              	              	134	 833	A	  2	H	 2	 116.00	     12.1600	Staerker 	Nannofossils                                 	R              	E                 	C                        	C                    	rR                         	C                    	C                      	R                                	rR                                	rR                      	S               	S                    	S                     	C                      	A                               	C                                      	rR            	                       	                   	C                 	A                     	S                  	                 	                    	S                     	                        	R                    	                          	                       	R               	S                    	                     	R                         	A                	rR                         	                   	                      	from ODP Leg 134 SR Chapter 10 Table 8 p 223

  SR	Late Pleistocene 	                 	CN15              	              	134	 833	A	  3	H	 2	 126.00	     21.7600	Staerker 	Nannofossils                                 	R              	E                 	C                        	C                    	rR                         	C                    	C                      	R                                	rR                                	rR                      	S               	S                    	S                     	C                      	A                               	C                                      	rS            	rS                     	rS                 	C                 	A                     	S                  	                 	                    	S                     	rR                      	R                    	                          	                       	R               	S                    	rR                   	R                         	A                	                           	                   	                      	from ODP Leg 134 SR Chapter 10 Table 8 p 223

  SR	Late Pleistocene 	                 	CN15              	              	134	 833	A	  4	H	 3	  54.00	     32.0400	Staerker 	Nannofossils                                 	R              	E                 	C                        	C                    	rR                         	C                    	C                      	R                                	                                  	rR                      	S               	S                    	S                     	C                      	V                               	S                                      	rR            	rS                     	rR                 	S                 	C                     	S                  	                 	                    	R                     	rR                      	R                    	                          	                       	R               	S                    	rR                   	R                         	S                	                           	                   	                      	from ODP Leg 134 SR Chapter 10 Table 8 p 223

