Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Sceptroneis tenue-pesplanus (group),Resting spores (excluding Chaetoceros),Pyxilla spp.,Paralia sulcata,Melosira architecturalis,Kisseleviella carina,Cavitatus jouseanus,Benthic diatoms,Azpeitia tabularis,Actinoptychus senarius,Stellarima spp.,Rouxia naviculoides,Rocella praenitida,Pseudotriceratium radiosoreticulatum,Hemiaulus cf. incisus,Coscinodiscus marginatus,Azpeitia oligocenica,Chaetoceros spores,Thalassiothrix longissima,Thalassionema nitzschioides,Rouxia obesa,Cavitatus miocenicus,Actinocyclus octonarius,Rocella vigilans,Ikebea tenuis,Hemiaulus sp. (pyxiloides form),Thalassiosira dubiosa,Simonseniella interposita,Rocella semigelida,Coscinodiscus lewisianus var. levis,Cestodiscus trochus,Cestodiscus kugleri,Thalassiosira media/convexa,Rouxia cf. granda,Rocella gelida  var. schraderi,Thalassiosira irregulata,Cavitatus rectus,Pseudodimerogramma elegans,Goniothecium odontella,Cavitatus linearis,Kozloviella minor,Cymatosira aff. lorenziana,Asteromphalus aff. robustus-symmetricus,Asteromphalus aff. oligocenicus,Rocella gelida,Lisitzinia ornata,Coscinodiscus rhombicus,Lisitzinia ornata  f. pentagona,Thalassiosira lusca,Kisselviella magnaareolata,Thalassiosira praefraga,Kisseleviella ezoensis,Goniothecium decoratum,Raphidodiscus marylandicus,Actinocyclus ingens,Azpeitia salisburyana,Azpeitia praenodulifera,Azpeitia biradiata,Rhizosolenia hotaense,Thalassiosira fraga,Rhizosolenia norwegica,Azpeitia aff. praenodulifera,Nitzschia maleinterpretaria,Simonseniella praebarboi,Crucidenticula sawamurae,Coscinodiscus lewisianus,Actinocyclus tsugaruensis,Actinocyclus sp. (ochotensis-ingens form),Mediaria splendida,Crucidenticula ikebei,Asteromphalus cf. darwinii,Thalassionema nitzschioides  var. parva,Rouxia isopolica,Crucidenticula kanayae,Nitzschia challengeri,Denticulopsis praelauta,Nitzschia aff. challengeri,Cavitatus exiguus,Denticulopsis lauta,Actinocyclus ingens  var. nodus,Cavitatus lanceolatus,Yoshidaia divergens,Denticulopsis hyalina,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,D. hyalina        ,              ,145, 884,B, 62,X, 4,  25.00,    570.0500,Gladenkov,Diatoms                                      ,C-A            ,M/G               ,                                   ,4                                     ,            ,+              ,                        ,1                   ,6                  ,+              ,                  ,3                     ,1              ,1                  ,                  ,                                    ,                     ,2                       ,                    ,15                ,23                       ,3                          ,            ,4                   ,+                      ,                ,2            ,                               ,                     ,                         ,                  ,                                   ,                   ,                   ,                           ,                 ,                              ,                        ,                ,                          ,                      ,+?                ,                 ,                          ,                                       ,                               ,              ,                 ,                       ,                               ,                   ,                          ,                       ,                      ,                      ,                          ,90                 ,                     ,                       ,                  ,                     ,                   ,                      ,                            ,                           ,5                       ,                        ,                        ,                         ,                                         ,3                 ,                     ,                          ,                                       ,                ,                      ,+?                   ,                       ,                          ,1                ,22                 ,5                              ,7                    ,+                  ,+                    ,from Leg 145 SR; Ch 2; Table 1; p. 22-24
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,D. lauta          ,              ,145, 884,B, 62,X, 6,  25.00,    573.0500,Gladenkov,Diatoms                                      ,A              ,G                 ,                                   ,1                                     ,+           ,+              ,                        ,1                   ,3                  ,+              ,+                 ,2                     ,+              ,+                  ,                  ,                                    ,                     ,2                       ,                    ,22                ,18                       ,3                          ,            ,2                   ,+                      ,                ,5            ,                               ,                     ,                         ,                  ,                                   ,                   ,                   ,                           ,                 ,                              ,                        ,                ,                          ,                      ,1                 ,                 ,                          ,                                       ,                               ,              ,                 ,                       ,                               ,                   ,                          ,                       ,                      ,                      ,                          ,118                ,                     ,                       ,                  ,                     ,                   ,                      ,                            ,                           ,6                       ,                        ,                        ,                         ,                                         ,4                 ,+                    ,                          ,                                       ,+               ,                      ,+                    ,                       ,+                         ,+                ,24                 ,5                              ,1                    ,+                  ,                     ,from Leg 145 SR; Ch 2; Table 1; p. 22-24
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,D. lauta          ,              ,145, 884,B, 62,X,CC,  21.00,    574.0800,Gladenkov,Diatoms                                      ,A              ,G                 ,                                   ,+                                     ,            ,               ,                        ,+                   ,3                  ,+              ,                  ,+                     ,+              ,                   ,                  ,                                    ,                     ,3                       ,                    ,6                 ,16                       ,15                         ,            ,3                   ,                       ,                ,+            ,                               ,                     ,                         ,                  ,                                   ,                   ,                   ,                           ,                 ,                              ,                        ,                ,                          ,                      ,+                 ,                 ,                          ,                                       ,                               ,              ,                 ,                       ,                               ,                   ,                          ,                       ,                      ,                      ,                          ,134                ,                     ,                       ,                  ,                     ,                   ,                      ,                            ,                           ,3                       ,                        ,1                       ,                         ,                                         ,1                 ,                     ,                          ,                                       ,                ,                      ,+?                   ,                       ,+                         ,1                ,3                  ,8                              ,+                    ,                   ,                     ,from Leg 145 SR; Ch 2; Table 1; p. 22-24
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,D. lauta          ,              ,145, 884,B, 63,X, 2,  25.00,    576.5500,Gladenkov,Diatoms                                      ,A              ,G                 ,                                   ,+                                     ,            ,+              ,                        ,+                   ,1                  ,+              ,1                 ,18                    ,+              ,                   ,                  ,                                    ,                     ,8                       ,                    ,5                 ,26                       ,6                          ,            ,6                   ,                       ,                ,             ,                               ,                     ,                         ,                  ,                                   ,                   ,                   ,                           ,                 ,                              ,                        ,                ,                          ,                      ,                  ,                 ,                          ,                                       ,                               ,              ,                 ,                       ,                               ,                   ,                          ,                       ,                      ,                      ,                          ,96                 ,                     ,                       ,                  ,                     ,                   ,                      ,                            ,                           ,21                      ,                        ,                        ,                         ,                                         ,3                 ,+                    ,                          ,                                       ,                ,+                     ,+?                   ,4                      ,+                         ,+                ,6                  ,+                              ,                     ,                   ,                     ,from Leg 145 SR; Ch 2; Table 1; p. 22-24
