Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Triquetrorhabdulus rugosus	Sphenolithus abies/neoabies	Reticulofenestra sp. (small)	Reticulofenestra pseudoumbilica	Helicosphaera kamptneri	Discoaster variabilis	Discoaster surculus	Discoaster quinqueramus	Discoaster pentaradiatus	Discoaster intercalaris	Discoaster challengeri	Discoaster brouweri	Dictyococcites productus	Cyclolithella rotula	Coccolithus pelagicus	Calcidiscus macintyrei	Calcidiscus leptoporus	Amaurolithus tricorniculatus	Amaurolithus primus	Amaurolithus delicatus	Amaurolithus amplificus	Ceratolithus acutus	Ceratolithus rugosus	Discoaster asymmetricus	Helicosphaera sellii	Discoaster tamalis	Pseudoemiliania lacunosa	Pontosphaera japonica	Discoaster triradiatus	Syracosphaera pulchra	Rhabdosphaera stylifera	Rhabdosphaera clavigera	Gephyrocapsa spp.	Oolithotus antillarum	Scyphosphaera pulcherrima	Syracosphaera histrica	Gephyrocapsa caribbeanica	Gephyrocapsa oceanica	Umbilicosphaera sibogae	Ceratolithus telesmus	Umbilicosphaera mirabilis	Thoracosphaera sp.	Emiliania huxleyi	Comment



  SR	Pleistocene      	                 	CN15              	              	108	 657	A	  1	H	 2	   5.00	      1.5500	Manivit  	Nannofossils                                 	A              	G                 	                          	                           	                            	                               	                       	                     	                   	                       	                        	                       	                      	                   	                        	                    	R                    	                      	F                     	                            	                   	                      	                       	                   	                    	                       	                    	                  	                        	                     	                      	                     	R                      	                       	                 	                     	                         	                      	                         	F                    	F                      	                     	                         	R                 	A                	from ODP Leg 108 SR Chapter 4 Table 3 p 41

  SR	Pleistocene      	                 	CN14b             	              	108	 657	A	  1	H	 2	 105.00	      2.5500	Manivit  	Nannofossils                                 	A              	G                 	                          	                           	                            	                               	F                      	                     	                   	                       	                        	                       	                      	                   	                        	                    	R                    	                      	R                     	                            	                   	                      	                       	                   	                    	                       	                    	                  	                        	R                    	                      	                     	R                      	                       	                 	                     	                         	                      	                         	C                    	F                      	R                    	R                        	R                 	F                	from ODP Leg 108 SR Chapter 4 Table 3 p 41

  SR	Pleistocene      	                 	CN14a             	CN14b         	108	 657	A	  1	H	 3	  49.00	      3.4900	Manivit  	Nannofossils                                 	A              	M                 	                          	                           	                            	                               	F                      	                     	                   	                       	                        	                       	                      	                   	F                       	                    	R                    	                      	F                     	                            	                   	                      	                       	                   	                    	                       	                    	                  	R                       	                     	                      	                     	                       	                       	C                	                     	R                        	                      	C                        	A                    	R                      	                     	R                        	                  	                 	from ODP Leg 108 SR Chapter 4 Table 3 p 41

  SR	Pleistocene      	                 	CN14a             	CN14b         	108	 657	A	  1	H	 3	 150.00	      4.5000	Manivit  	Nannofossils                                 	A              	M                 	                          	                           	                            	                               	C                      	                     	                   	                       	                        	                       	                      	                   	C                       	                    	R                    	                      	R                     	                            	                   	                      	                       	                   	                    	                       	                    	                  	R                       	                     	                      	                     	R                      	                       	A                	                     	                         	                      	A                        	A                    	                       	R                    	                         	                  	                 	from ODP Leg 108 SR Chapter 4 Table 3 p 41

