Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Turborotalita quinqueloba,Sphaeroidinella dehiscens,Pulleniatina obliquiloculata,P-D intergrade,Orbulina universa,Neogloboquadrina pachyderma (sinistral),Neogloboquadrina pachyderma (dextral),Neogloboquadrina dutertrei,Globorotalia tumida,Globorotalia truncatulinoides (sin.),Globorotalia truncatulinoides (dex.),Globorotalia theyeri,Globorotalia scitula,Globorotalia menardii,Globorotalia inflata,Globorotalia hirsuta,Globorotalia flexuosa,Globorotalia crassaformis,Globorotalia anfracta,Globoquadrina hexagona,Globoquadrina conglomerata,Globigerinoides tenellus,Globigerinoides sacculifera (with sack),Globigerinoides sacculifer (without sack),Globigerinoides ruber (white),Globigerinoides ruber (pink),Globigerinoides conglobatus,Globigerinita glutinata,Globigerinella aequilateralis,Globigerina rubescens,Globigerina falconensis,Globigerina digitata,Globigerina calida,Globigerina bulloides,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,138, 847,D,  3,H, 3,  60.00,     19.7000,Farrell  ,Planktonic Foraminifers                      ,               ,                  ,.0%                      ,.0%                      ,.3%                         ,.0%           ,3.9%             ,23.5%                                  ,1.8%                                 ,25.3%                     ,.9%                ,.0%                                 ,1.8%                                ,3.0%                ,.3%                 ,6.9%                 ,.0%                 ,.0%                 ,.0%                  ,.9%                      ,.0%                  ,1.2%                  ,.3%                       ,.0%                     ,1.5%                                   ,3.6%                                     ,8.6%                         ,.6%                         ,.3%                        ,3.9%                   ,.3%                          ,.3%                  ,.0%                    ,.0%                 ,.9%               ,9.8%                 ,from ODP Leg 138 SR Chapter 34 Appendix pp 712-714
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,138, 847,D,  3,H, 3,  75.00,     19.8500,Farrell  ,Planktonic Foraminifers                      ,               ,                  ,.3%                      ,.0%                      ,1.0%                        ,.3%           ,2.0%             ,25.8%                                  ,2.0%                                 ,22.5%                     ,1.3%               ,.0%                                 ,.7%                                 ,1.0%                ,.7%                 ,4.3%                 ,1.3%                ,.0%                 ,.0%                  ,2.3%                     ,.0%                  ,1.0%                  ,1.0%                      ,.7%                     ,2.0%                                   ,5.0%                                     ,12.3%                        ,.0%                         ,.3%                        ,3.3%                   ,1.7%                         ,.0%                  ,.3%                    ,.0%                 ,1.3%              ,4.3%                 ,from ODP Leg 138 SR Chapter 34 Appendix pp 712-714
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,138, 847,D,  3,H, 3,  90.00,     20.0000,Farrell  ,Planktonic Foraminifers                      ,               ,                  ,.0%                      ,.0%                      ,.7%                         ,2.5%          ,.4%              ,14.5%                                  ,16.3%                                ,19.9%                     ,.0%                ,.0%                                 ,.0%                                 ,2.1%                ,.4%                 ,1.8%                 ,25.5%               ,.0%                 ,.0%                  ,1.4%                     ,.0%                  ,.0%                   ,.4%                       ,.0%                     ,2.5%                                   ,.7%                                      ,5.0%                         ,.0%                         ,.4%                        ,1.1%                   ,.7%                          ,.0%                  ,.4%                    ,.0%                 ,.7%               ,1.8%                 ,from ODP Leg 138 SR Chapter 34 Appendix pp 712-714
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,138, 847,D,  3,H, 3, 105.00,     20.1500,Farrell  ,Planktonic Foraminifers                      ,               ,                  ,.3%                      ,.0%                      ,.6%                         ,.6%           ,1.7%             ,9.4%                                   ,15.2%                                ,19.4%                     ,.0%                ,.0%                                 ,.8%                                 ,.6%                 ,.0%                 ,3.9%                 ,17.7%               ,.0%                 ,.0%                  ,3.3%                     ,.0%                  ,.8%                   ,.6%                       ,.0%                     ,2.5%                                   ,2.8%                                     ,8.0%                         ,.0%                         ,.0%                        ,3.3%                   ,.8%                          ,.0%                  ,.6%                    ,.0%                 ,.0%               ,5.5%                 ,from ODP Leg 138 SR Chapter 34 Appendix pp 712-714
