Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Globotruncana bulloides	Archaeoglobigerina sp.	Globotruncana sp. cf. G. arca	Rugoglobigerina sp.	Pseudoguembelina sp.	Archaeoglobigerina cretacea	Heterohelix sp.	Globotruncana sp.	Rugoglobigerina rugosa	Archaeoglobigerina blowi	Globigerinelloides sp.	Pseudotextularia sp.	Gansserina wiedenmayeri	Pseudotextularia elegans	Globotruncana ventricosa	Gansserina gansseri	Comment



  SR	Campanian        	Maestrichtian    	                  	              	144	 877	A	  1	R	 1	   8.00	      0.0800	Erba     	Planktonic Foraminifers                      	               	                  	                       	                      	                             	                   	                    	                           	               	                 	                      	                        	                      	                    	                       	1                       	1                       	cf                 	from ODP Leg 144 SR; Ch 8; Table 8; p 165

  SR	Campanian        	Maestrichtian    	                  	              	144	 877	A	  1	R	 2	  42.00	      1.9000	Erba     	Planktonic Foraminifers                      	               	                  	1                      	1                     	                             	                   	                    	                           	               	                 	                      	                        	                      	                    	?                      	                        	                        	                   	from ODP Leg 144 SR; Ch 8; Table 8; p 165

  SR	Campanian        	Maestrichtian    	                  	              	144	 877	A	  2	R	 1	  53.00	     10.0300	Erba     	Planktonic Foraminifers                      	               	                  	                       	1                     	                             	                   	                    	                           	?              	                 	                      	                        	                      	1                   	                       	                        	                        	                   	from ODP Leg 144 SR; Ch 8; Table 8; p 165

  SR	Campanian        	Maestrichtian    	                  	              	144	 877	A	  3	R	 1	 130.00	     20.3000	Erba     	Planktonic Foraminifers                      	               	                  	                       	                      	                             	?                  	                    	                           	               	                 	                      	                        	                      	1                   	                       	                        	                        	                   	from ODP Leg 144 SR; Ch 8; Table 8; p 165

  SR	Campanian        	Maestrichtian    	                  	              	144	 877	A	  4	R	 2	  18.00	     30.0900	Erba     	Planktonic Foraminifers                      	               	                  	                       	                      	                             	                   	                    	                           	1              	                 	                      	                        	1                     	                    	                       	                        	                        	                   	from ODP Leg 144 SR; Ch 8; Table 8; p 165

  SR	Campanian        	Maestrichtian    	                  	              	144	 877	A	  4	R	 3	  13.00	     31.5400	Erba     	Planktonic Foraminifers                      	               	                  	                       	                      	                             	                   	                    	                           	1              	                 	                      	                        	1                     	                    	                       	                        	                        	                   	from ODP Leg 144 SR; Ch 8; Table 8; p 165

  SR	Campanian        	Maestrichtian    	                  	              	144	 877	A	  5	R	 1	   4.00	     38.0400	Erba     	Planktonic Foraminifers                      	               	                  	                       	                      	                             	                   	                    	                           	?              	                 	                      	                        	                      	                    	                       	                        	                        	                   	from ODP Leg 144 SR; Ch 8; Table 8; p 165

  SR	Campanian        	Maestrichtian    	                  	              	144	 877	A	  7	R	 1	  88.00	     58.1800	Erba     	Planktonic Foraminifers                      	               	                  	                       	                      	                             	                   	                    	                           	1              	                 	                      	                        	1                     	                    	                       	                        	                        	                   	from ODP Leg 144 SR; Ch 8; Table 8; p 165

  SR	Campanian        	Maestrichtian    	                  	              	144	 877	A	  7	R	 2	 109.00	     59.8900	Erba     	Planktonic Foraminifers                      	               	                  	                       	                      	?                            	                   	                    	                           	               	                 	1                     	1                       	                      	                    	                       	                        	                        	                   	from ODP Leg 144 SR; Ch 8; Table 8; p 165

  SR	Campanian        	Maestrichtian    	                  	              	144	 877	A	 10	R	 1	   3.00	     86.3300	Erba     	Planktonic Foraminifers                      	               	                  	                       	                      	                             	                   	                    	R                          	               	                 	                      	                        	                      	                    	                       	                        	                        	                   	from ODP Leg 144 SR; Ch 8; Table 8; p 165

  SR	Campanian        	Maestrichtian    	                  	              	144	 877	A	 18	R	 1	  25.00	    163.7500	Erba     	Planktonic Foraminifers                      	               	                  	                       	1                     	                             	                   	                    	C                          	1              	1                	                      	                        	                      	                    	                       	                        	                        	                   	from ODP Leg 144 SR; Ch 8; Table 8; p 165

  SR	Campanian        	Maestrichtian    	                  	              	144	 877	A	 18	R	 1	  70.00	    164.2000	Erba     	Planktonic Foraminifers                      	               	                  	1                      	1                     	                             	?                  	                    	1                          	               	                 	                      	                        	                      	                    	                       	                        	                        	                   	from ODP Leg 144 SR; Ch 8; Table 8; p 165

  SR	Campanian        	Maestrichtian    	                  	              	144	 877	A	 19	R	 1	  27.00	    173.4700	Erba     	Planktonic Foraminifers                      	               	                  	                       	?                     	                             	?                  	?                   	                           	               	                 	                      	                        	                      	                    	                       	                        	                        	                   	from ODP Leg 144 SR; Ch 8; Table 8; p 165

  SR	Campanian        	Maestrichtian    	                  	              	144	 877	A	 20	R	 1	   0.00	    182.7000	Erba     	Planktonic Foraminifers                      	               	                  	                       	                      	1                            	                   	                    	                           	               	                 	                      	                        	                      	                    	                       	                        	                        	                   	from ODP Leg 144 SR; Ch 8; Table 8; p 165

  SR	Campanian        	Maestrichtian    	                  	              	144	 877	A	 20	R	 1	  61.00	    183.3100	Erba     	Planktonic Foraminifers                      	               	                  	VR                     	1                     	                             	                   	                    	                           	               	                 	                      	                        	                      	                    	                       	                        	                        	                   	from ODP Leg 144 SR; Ch 8; Table 8; p 165

