Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Orbulina universa	Neogloboquadrina humerosa	Globorotalia puncticulata	Globorotalia hirsuta	Globigerina quinqueloba	Globigerina bulloides	Neogloboquadrina pachyderma (dextral)	Neogloboquadrina asanoi	Globorotalia inflata	Globigerinita glutinata	Neogloboquadrina sp. "rounded"	Globorotalia scitula	Neogloboquadrina pachyderma (sinistral)	Neogloboquadrina pachyderma "rounded"	Globigerina umbilicata	Globigerina apertura	Globorotaloides hexagona	Neogloboquadrina dutertrei	Hastigerina aequilateralis	Globorotalia truncatulinoides	Comment



  IR	                 	                 	N22               	N23           	167	1018	A	  1	H	CC	  16.00	      4.8400	Kennett  	Planktonic Foraminifers                      	A              	G                 	                 	                         	                         	                    	                       	A                    	                                     	                       	                    	R                      	                              	R                   	A                                      	                                     	                      	                    	                        	                          	                          	                             	from IR. Ch 12. Table 3.

  IR	                 	                 	N22               	N23           	167	1018	A	  2	H	CC	  12.00	     14.4500	Kennett  	Planktonic Foraminifers                      	A              	G                 	                 	                         	                         	                    	                       	A                    	                                     	                       	                    	                       	                              	R                   	A                                      	                                     	                      	                    	                        	                          	                          	                             	from IR. Ch 12. Table 3.

  IR	                 	                 	N22               	N23           	167	1018	A	  3	H	CC	  19.00	     24.3900	Kennett  	Planktonic Foraminifers                      	A              	G                 	                 	                         	                         	                    	                       	A                    	                                     	                       	                    	F                      	                              	R                   	A                                      	                                     	A                     	                    	                        	                          	                          	                             	from IR. Ch 12. Table 3.

  IR	                 	                 	N22               	N23           	167	1018	A	  4	H	CC	  33.00	     33.9100	Kennett  	Planktonic Foraminifers                      	C              	G                 	                 	                         	                         	                    	                       	A                    	                                     	                       	                    	                       	                              	                    	A                                      	                                     	                      	                    	                        	                          	                          	                             	from IR. Ch 12. Table 3.

  IR	                 	                 	N22               	N23           	167	1018	A	  5	H	CC	  28.00	     43.6100	Kennett  	Planktonic Foraminifers                      	F              	G                 	                 	                         	                         	                    	                       	                     	                                     	                       	                    	                       	                              	                    	F                                      	                                     	                      	                    	                        	                          	                          	                             	from IR. Ch 12. Table 3.

  IR	                 	                 	N22               	N23           	167	1018	A	  6	H	CC	  36.00	     52.8100	Kennett  	Planktonic Foraminifers                      	F              	M                 	                 	                         	                         	                    	R                      	C                    	R                                    	                       	                    	                       	                              	                    	C                                      	                                     	                      	                    	                        	                          	                          	                             	from IR. Ch 12. Table 3.

  IR	                 	                 	N22               	N23           	167	1018	A	  7	H	CC	  24.00	     61.8100	Kennett  	Planktonic Foraminifers                      	A              	G                 	C                	                         	                         	                    	                       	A                    	A                                    	                       	                    	                       	                              	R                   	F                                      	                                     	                      	                    	                        	A                         	C                         	R                            	from IR. Ch 12. Table 3.

