Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Stichocorys armata	Lithopera renzae	Liriospyris stauropora	Giraffospyris toxaria	Eucyrtidium diaphanes	Dorcadospyris dentata	Didymocyrtis prismatica	Carpocanopsis cingulata	Carpocanopsis bramlettei	Calocycletta robusta	Calocycletta costata	Acrocubus octopylus	Liriospyris parkerae	Dorcadospyris alata	Lithopera thornburgi	Calocycletta caepa	Stichocorys wolffii	Stichocorys delmontensis	Siphostichartus corona	Cyrtocapsella cornuta	Carpocanopsis cristata	Botryostrobus miralestensis	Cyrtocapsella japonica	Diartus petterssoni	Stichocorys johnsoni	Diartus hughesi	Solenosphaera omnitubus omnitubus	Stylatractus universus	Stichocorys peregrina	Phormostichoartus fistula	Phormostichoartus doliolum	Lychnodictyum audax	Didymocyrtis penultima	Anthocyrtidium pliocenica	Anthocyrtidium jenghisi	Theocorythium vetulum	Pterocanium prismatium	Spongaster tetras	Amphirhopalum ypsilon	Lamprocyrtis neoheteroporos	Lamprocyrtis heteroporos	Theocalyptra davisiana	Anthocyrtidium angulare	Theocorythium trachelium trachelium	Pterocorys minythorax	Lamprocyrtis nigriniae	Collosphaera tuberosa	Comment



  SR	                 	                 	RN16              	              	138	 845	A	  1	H	 3	 110.00	      4.1000	Moore    	Radiolarians                                 	A              	M                 	                  	                	                      	                     	                     	                     	                       	                       	                        	                    	                    	                   	                    	                   	                    	                  	                   	                        	                      	                     	                      	                           	                      	                   	                    	               	                                 	-                     	                     	                         	                          	                   	                      	                         	                       	                     	                      	R                	R                    	                           	                        	R                     	                       	R                                  	F                    	R                     	R                    	from ODP Leg 138 SR Chapter 11 Figure 2 p 196-198

  SR	                 	                 	RN16              	              	138	 845	A	  1	H	 5	 110.00	      7.1000	Moore    	Radiolarians                                 	C/A            	M                 	                  	                	                      	                     	                     	                     	                       	                       	                        	                    	                    	                   	                    	                   	                    	                  	                   	                        	                      	                     	                      	                           	                      	                   	                    	               	                                 	-                     	                     	                         	                          	                   	                      	                         	                       	                     	                      	R                	R                    	                           	                        	R                     	                       	-                                  	F                    	R                     	R                    	from ODP Leg 138 SR Chapter 11 Figure 2 p 196-198

  SR	                 	                 	RN16              	              	138	 845	A	  1	H	CC	  13.00	      7.5900	Moore    	Radiolarians                                 	A              	M                 	                  	                	                      	                     	                     	                     	                       	                       	                        	                    	                    	                   	                    	                   	                    	                  	                   	                        	                      	                     	                      	                           	                      	                   	                    	               	                                 	-                     	                     	                         	                          	                   	                      	                         	                       	                     	                      	R                	R                    	                           	                        	R                     	                       	R                                  	F                    	R                     	R                    	from ODP Leg 138 SR Chapter 11 Figure 2 p 196-198

  SR	                 	                 	P12               	              	138	 845	A	  2	H	 3	 110.00	     11.7000	Moore    	Radiolarians                                 	A              	M                 	                  	                	                      	                     	                     	                     	                       	                       	                        	                    	                    	                   	                    	                   	                    	                  	                   	                        	                      	                     	                      	                           	                      	                   	                    	               	                                 	R                     	                     	                         	                          	                   	                      	                         	                       	                     	                      	R                	R                    	                           	                        	R                     	                       	R                                  	F                    	R                     	R                    	from ODP Leg 138 SR Chapter 11 Figure 2 p 196-198
