Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Datum name,Datum type,Datum comment,Datum age average [Ma],Zone name (short),Zone name,Zone comment,Upper boundary age min [Ma],Upper boundary age av. [Ma],Upper boundary age max [Ma],Lower boundary age min [Ma],Lower boundary age av. [Ma],Lower boundary age max [Ma],Preservation,Group abundance,Percentage of planktic forams in total foram assemblage [%],Candeina nitida,Cassigerinella chipolensis,Cassigerinella martinezpicoi,Catapsydrax dissimilis,Catapsydrax unicavus,Chiloguembelina cubensis,Clavatorella bermudezi,Dentoglobigerina altispira,Dentoglobigerina globosa,Dentoglobigerina sp.,Globigerina angulisuturalis,Globigerina bulloides,Globigerina ciperoensis,Globigerina druryi,Globigerina euapertura,Globigerina gortanii,Globigerina falconensis,Globigerina ouachitaensis,Globigerina praebulloides,Globigerina pseudovenezuelana,Globigerina quinqueloba,Globigerina rubescens (white),Globigerina rubescens (pink),Globigerina tapuriensis,Globigerina tripartita,Globigerinatella insueta,Globigerinella calida,Globigerinella obesa,Globigerinella siphonifera (aequilateralis),Globigerinita glutinata,Globigerinita uvula,Globigerinoides conglobatus,Globigerinoides extremus,Globigerinoides fistulosus,Globigerinoides obliquus,Globigerinoides primordius,Globigerinoides ruber (pink),Globigerinoides ruber (white),Globigerinoides sacculifer,Globigerinoides sicanus,Globigerinoides subquadratus,Globigerinoides tenellus,Globigerinoides trilobus,Globoquadrina dehiscens,Globoquadrina venezuelana,Globorotalia archeomenardii,Globorotalia cibaoensis,Globorotalia continuousa,Globorotalia crassaformis,Globorotalia crassula,Globorotalia decoraperta,Globorotalia exilis,Globorotalia fimbriata,Globorotalia flexuosa,Globorotalia fohsi fohsi,Globorotalia hirsuta,Globorotalia inflata,Globorotalia juanai,Globorotalia lenguaensis,Globorotalia limbata,Globorotalia margaritae,Globorotalia menardii,Globorotalia miotumida,Globorotalia miozea,Globorotalia merotumida,Globorotalia miozea/conoidea,Globorotalia multicamerata,Globorotalia peripheroacuta,Globorotalia peripheroronda,Globorotalia plesiotumida,Globorotalia pertenuis,Globorotalia praefohsi,Globorotalia praemenardii,Globorotalia praescitula,Globorotalia pseudomiocenica,Globorotalia scitula,Globorotalia sp.,Globorotaloides suteri,Globorotalia tosaensis,Globorotalia truncatulinoides,Globorotalia tumida,Globoturborotalita apertura,Globoturborotalita decoraperta,Globoturborotalita nepenthes,Globorotalia ungulata,Globoturborotalita obliquus,Globoturborotalita woodi,Glogoturborotalita sp.,Globorotaloides hexagona,Globorotaloides variabilis,Hantkenina alabamensis,Neogloboquadrina acostaensis,Neogloboquadrina continuosa,Neogloboquadrina dutertrei,Neogloboquadrina humerosa,Neogloboquadrina incompta,Neogloboquadrina pachyderma (dextral),Neogloboquadrina pachyderma,Neogloboquadrina pachyderma (sinistral),Neogloboquadrina sp.,Orbulina sp.,Orbulina suturalis,Orbulina universa,Paragloborotalia mayeri,Paragloborotalia nana,Paragloborotalia opima,Paragloborotalia semivera,Praeorbulina circularis,Praeorbulina sicana,Praeorbulina sp.,Pseudohastigerina cf. naguewichiensis,Pseudohastigerina micra,Pulleniatina obliquiloculata,Pulleniatina primalis,Pulleniatina sp.,Pulleniatina spectabilis,Sphaeroidinella dehiscens,Sphaeroidinellopsis kochi,Sphaeroidinellopsis seminulina,Sphaeroidinellopsis sp.,Subbotina angiporoides,Subbotina eocaena s.l.,Subbotina linaperta s.l.,Subbotinal yeguaensis s.l.,Tenuitella gemma,Tenuitella spp. N/A,Tenuitellinata angustiumbilicata,Turborotalia ampliapertura,Turborotalia cerroazulensis,Turborotalia cocoaensis,Turborotalia cunialensis,Turborotalia increbescens,Turborotalia pomeroli,Turborotalita humilis,Comment,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
349-U1433B-2R-CC-PAL-FORAMP,0,5,187.79,187.84,,,,,,,,,,,,,,G [P32],A [A87],,,,,,,,,,,,,R [A88],,,,,R [A88],,,,R [A88],R [A88],,,,,,,R [A88],F [A88],,,,,,,,R [A88],R [A88],,,,,,,,,,,,,,,,,,,,,,,R [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A88],,,,,,R [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Signs of dissoulution, some benthics.",,,349,U1433,B,2,R,CC,PAL
349-U1433B-3R-CC-PAL-FORAMP,0,5,197.13,197.18,,,,,,,,,,,,,,P [P32],P [A87],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Only a few small forms, high mica content, Fragments <20%",,,349,U1433,B,3,R,CC,PAL
349-U1433B-4R-CC-PAL-FORAMP,0,11,205.74,205.85,,,,,,,,,,,,,,,B [A87],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Few bwnthic forms; mica, pyritized worm tubes, and few clastics.",,,349,U1433,B,4,R,CC,PAL
349-U1433B-5R-CC-PAL-FORAMP,0,11,220.52,220.63,,,,,,,,,,,,,,P [P32],R [A87],,,,,,,,,,,,,,,,,,,,,,R [A88],,,,,,,,,F [A88],,,,,,,,R [A88],R [A88],,,,R [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pyrite,,,349,U1433,B,5,R,CC,PAL
349-U1433B-6R-CC-PAL-FORAMP,0,11,229.07,229.18,,,,,,,,,,,,,,P [P32],R [A87],,,,,,,,,,,,,,,,,,,,,,,R [A88],,,,,,,,R [A88],,R [A88],,,,,,R [A88],F [A88],,,,F [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A88],,,,,,,,,,,,,,,R [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mostly bronken, some large tests + very rare small forms; pyrite aggregates+mica",,,349,U1433,B,6,R,CC,PAL
349-U1433B-7R-CC-PAL-FORAMP,0,10,237.84,237.94,,,,,,,,,,,,,,,B [A87],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,only a few broken small forms,,,349,U1433,B,7,R,CC,PAL
349-U1433B-8R-CC-PAL-FORAMP,0,12,249.28,249.4,,,,,,,,,,,,,,G [P32],R [A87],,,,,,,,,,,,,R [A88],,,,,,,,,,,,,,,,,,,,R [A88],,,F [A88],,,F [A88],,,,,R [A88],,,,,,,,,,,,,,,,,,,R [A88],,,,,,,,,,,,,,,,,,R [A88],F [A88],,,,,,,,,,,,,F [A88],R [A88],,,,,,,,R [A88],,,,,,,,,,R [A88],,,,F [A88],,,,,,,,,,,,,,,,,,,,,349,U1433,B,8,R,CC,PAL
349-U1433B-9R-CC-PAL-FORAMP,0,13,258.65,258.78,,,,,,,,,,,,,,G [P32],A [A87],,,,,,,,,,,,,R [A88],,,,,,,,,R [A88],R [A88],,,,,,,,R [A88],,,,,,,,R [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A88],,,R [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A88],only very small forms,,,349,U1433,B,9,R,CC,PAL
349-U1433B-10R-CC-PAL-FORAMP,0,11,268.89,269,,,,,,,,,,,,,,M [P32],C [A87],,,,,,,,,,,,,R [A88],,,,,,,,,,,,,,,,,P [A88],,,R [A88],,,R [A88],,,F [A88],R [A88],,,,R [A88],,,,,,,,,,,,,,,,,,,R [A88],,,,,,,,,,,,,,,,,,P [A88],R [A88],,,,,,,,,,,,,F [A88],R [A88],,,R [A88],,,,,R [A88],,,,,,,,,,R [A88],,,,,,,,,,,,,,,,,,,,,,,,,349,U1433,B,10,R,CC,PAL
349-U1433B-11R-2-W 86/88-FORAMP,0,2,274.06,274.08,,,,,,,,,,,,,,G [P32],A [A87],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,only small forms,,,349,U1433,B,11,R,2,W
