Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Datum name,Zone name (short),Zone name,Group abundance,Beella digitata,Dentoglobigerina altispira,Globigerina bulloides,Globigerina falconensis,Globigerina glutinata,Globigerinella calida,Globigerinella obesa,Globigerinella siphonifera,Globigerinoides conglobatus,Globigerinoides extremus,Globigerinoides fistulosus,Globigerinoides obliquus,Globigerinoides ruber (pink),Globigerinoides ruber (white),Globigerinoides sacculifer,Globoquadrina venezuelana,Globorotalia conoidea,Globorotalia conomiozea,Globorotalia crassaformis,Globorotalia crassula,Globorotalia flexuosa,Globorotalia hirsuta (dex),Globorotalia inflata,Globorotalia limbata,Globorotalia margaritae,Globorotalia menardii,Globorotalia merotumida,Globorotalia multicamerata,Globorotalia plesiotumida,Globorotalia pliozea,Globorotalia pseudomiocenica,Globorotalia puncticulata,Globorotalia scitula,Globorotalia sphericomiozea,Globorotalia tosaensis,Globorotalia truncatulinoides,Globorotalia tumida,Globorotaloides hexagona,"Globoturborotalita apertura (Cushman, 1918)",Globoturborotalita decoraperta,Globoturborotalita nepenthes,Globoturborotalita rubescens,"Globoturborotalita woodi (Jenkins, 1960)",Neogloboquadrina acostaensis,Neogloboquadrina dutertrei,Neogloboquadrina humerosa,Neogloboquadrina pachyderma (dextral),Neogloboquadrina pachyderma (sinistral),Orbulina universa,Pulleniatina obliquiloculata,Pulleniatina primalis,Sphaeroidinella dehiscens,Sphaeroidinellopsis kochi,Sphaeroidinellopsis seminulina,Tenuitella anfracta,preservation,File Data,Ship File Links,Shore File Links,Sample,eodp_id
361,U1478,A,1,1-CC,H,CC,PAL,FORAM,0,5,6.62,6.67,,,,A,,,,R,A,R,R,A,,,,,,F,A,,,,R,,,,F,,,F,,,,,,,R,,,R,R,,,,,R,,,A,,R,,R,R,,R,,,,,,,,361-U1478A-1H-CC-PAL-FORAM,f55cc2e46ef1d28a220eee71e5173367
361,U1478,A,2,2-2,H,2,W,70/72-FORAM,0,2,8.9,8.92,,,,C,,,P,,R,,,P,,,,,,F,F,,,,P,,,,P,,,P,,,,,,,,,,P,P,,,,,R,,,P,,,,,P,,P,,,,,,,,361-U1478A-2H-2-W 70/72-FORAM,c8de91e6a56e3c0af83defe02706350b
361,U1478,A,2,2-5,H,5,W,70/72-FORAM,0,2,13.4,13.42,"T Globigerinoides ruber pink (Gradstein et al., 2012)",,,C,,,P,,R,P,,F,,,,,R,A,A,,,,,,P,,P,,,R,,,,,,,,,,P,,,,,,R,,,R,,,,P,,,,,,,,,,,361-U1478A-2H-5-W 70/72-FORAM,0585798eefdf8e06030f8f71fd4adeb7
361,U1478,A,2,2-CC,H,CC,PAL,FORAM,0,5,15.88,15.93,,,,A,,,,R,R,,R,R,R,,,,R,A,F,,,,,,,,R,,,F,,,,,,,R,,,R,,,,,,F,,,F,,R,,R,R,,,,,,,,,,361-U1478A-2H-CC-PAL-FORAM,25fe82d88112563430aad3b2e855c47b
361,U1478,A,3,3-1,H,1,W,70/72-FORAM,0,2,16.9,16.92,,,,A,,,,R,R,,R,R,R,,,,R,A,F,,,,R,,,,R,,,F,,,,,,,R,,,R,P,R,,,,R,,,F,,R,,R,R,,P,,,,,,,,361-U1478A-3H-1-W 70/72-FORAM,38db27e1b8c3e0c208e952793ad6f801
361,U1478,A,3,3-3,H,3,W,70/72-FORAM,0,2,19.9,19.92,,,,A,,,,R,R,,,R,R,,,,R,A,F,,,,,,,,R,,,P,,,,,,,,,,P,,,,,,R,,,D,,R,,R,R,,,,,,,,,,361-U1478A-3H-3-W 70/72-FORAM,5672c0106fa7d60c81e5125fd78d2826
361,U1478,A,3,3-5,H,5,W,70/72-FORAM,0,2,22.81,22.83,,,,A,,,,R,R,,R,R,R,,,,R,A,F,,,,R,,,,F,,,R,,,,,,,P,,,R,,,,,,R,,,A,,R,,R,R,,,,,,,,,,361-U1478A-3H-5-W 70/72-FORAM,bc630996693fa433bb25b8d7586e652d
361,U1478,A,3,3-CC,H,CC,PAL,FORAM,0,5,26.01,26.06,,,,A,,,R,R,R,R,R,R,R,,,,F,A,R,,,,,,,,R,,,R,,,,,,,R,,,R,R,,,,,R,,,D,,R,,R,R,,,,,,,,,,361-U1478A-3H-CC-PAL-FORAM,f03bf129a539a1fad9e67b689d04cb6c
361,U1478,A,4,4-CC,H,CC,PAL,FORAM,0,5,35.54,35.59,,,,A,,,R,R,R,,R,R,R,,,,F,A,R,,,,R,,,,R,,,R,,,,,,,R,,,R,R,,,,,R,,,A,,R,,R,R,,,,,,,,,,361-U1478A-4H-CC-PAL-FORAM,53e34e0e0f759b664f25f47d4a7d7eb0
361,U1478,A,5,5-1,H,1,W,70/72-FORAM,0,2,35.9,35.92,,,,A,,,P,,F,,P,R,P,,,,,A,F,,,,P,,,,R,,,P,,,,,,,,,,R,,,,,,P,,,R,,P,,P,,,P,,,,,,,,361-U1478A-5H-1-W 70/72-FORAM,3958f8bced4697224daa39110988aa1d
