Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Zone name,Preservation,Group abundance,Amaurolithus primus,Amaurolithus tricorniculatus,Calcidiscus macintyrei,Calcidiscus premacintyrei,Catinaster calyculus,Catinaster coalitus,Ceratolithus acutus,Ceratolithus larrymayeri,Coccolithus miopelagicus,Coronocyclus nitescens (circular),Coronocyclus nitescens (elliptical),Cyclicargolithus floridanus,Discoaster asymmetricus,Discoaster bellus,Discoaster berggrenii,Discoaster bollii,Discoaster brouweri,Discoaster hamatus,Discoaster kugleri,Discoaster loeblichii,Discoaster neohamatus,Discoaster prepentaradiatus,Discoaster quinqueramus,Discoaster pentaradiatus,Discoaster surculus,Discoaster tamalis,Discoaster triradiatus,Discoaster spp.,Emiliania huxleyi,Gephyrocapsa aperta,Gephyrocapsa spp. small (<4 microns),Gephyrocapsa caribbeanica (3-4 microns),Gephyrocapsa caribbeanica (4-5.5 microns),Gephyrocapsa ericsonii,Gephyrocapsa oceanica (3-4 microns),Gephyrocapsa oceanica (4-5.5 microns),Gephyrocapsa omega,Gephyrocapsa spp. (large >5.5 microns),Helicosphaera ampliaperta,Helicosphaera inversa,Helicosphaera sellii,Helicosphaera stalis,Helicosphaera walbersdorfensis,Minylitha convallis,Nicklithus amplificus,Pseudoemiliania lacunosa,Reticulofenestra asanoi,Reticulofenestra sp. 1,Reticulofenestra pseudoumbilicus,Reticulofenestra pseudoumbilicus (>7 microns),Reticulofenestra gelida,Reticulofenestra minuta,Reticulofenestra spp. small,Sphenolithus heteromorphus,Sphenolithus spp.,Triquetrorhabdulus rugosus,Braarudosphaera bigelowii,Calcidiscus leptoporus,Calcidiscus pacificanus,Calcidiscus tropicus,Calciosolenia spp.,Coccolithus pelagicus,Discoaster deflandrei,Discoaster druggii,Florisphaera profunda,Helicosphaera carteri,Helicosphaera wallichii,Oolithotus fragilis,Pontosphaera discopora,Pontosphaera japonica,Pontosphaera multipora,Pontosphaera spp.,Rhabdosphaera clavigera,Rhabdosphaera spp.,Scyphosphaera apsteinii,Syracosphaera pulchra,Umbellosphaera tenuis,Umbilicosphaera rotula,Umbilicosphaera sibogae,Umbilicosphaera sibogae var. foliosa,Reworked species,Sample comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
356-U1461D-2R-CC-PAL-NANNO,0,10,456.26,456.36,NN19,"NN19 - Pseudoemiliania lacunosa (Gradstein et al., 2012)",M,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,C,,,,,,,,,,,,,,P,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,micrite and aragonite needles,,,,356,U1461,D,2,R,CC,PAL,df9c540b40a2ad175ac46f155786095e
356-U1461D-5R-CC-PAL-NANNO,0,10,510.28,510.38,NN19,"NN19 - Pseudoemiliania lacunosa (Gradstein et al., 2012)",M,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,C,,,,,,,,,,,,,,R,,R,,,,,F,,,,,F,,,,,,,,P,,,P,,,,P,P,,P,,,R,,,micrite and few dolomite rhombs,,,,356,U1461,D,5,R,CC,PAL,b1b609e89ffc09e819ffef218a2c1d03
356-U1461D-7R-CC-PAL-NANNO,0,10,566.82,566.92,NN19,"NN19 - Pseudoemiliania lacunosa (Gradstein et al., 2012)",G,A,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,C,P,,R,P,,,,,,,,,,R,,,,,,,F,,,,,F,,,,,,,,F,,,P,P,,,R,,,R,,,F,,,,,,,356,U1461,D,7,R,CC,PAL,a01450861d0ded14ca81dfd8829115ec
356-U1461D-9R-CC-PAL-NANNO,0,10,585.64,585.74,NN19,"NN19 - Pseudoemiliania lacunosa (Gradstein et al., 2012)",G,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,P,,,,,,,,,,,,,F,,,,,,C,,,,,,F,,,,,,,,F,,,,P,,,,,,,,,F,,,,,,,356,U1461,D,9,R,CC,PAL,51585084f6f44789933d627be0c68559
356-U1461D-11R-CC-PAL-NANNO,0,10,611.45,611.55,NN19,"NN19 - Pseudoemiliania lacunosa (Gradstein et al., 2012)",G,C,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,R,,,,,,,,,,,,,,R,,,,,,R,C,,,,,F,,,,,,,,F,,,,,,,,,,R,,,R,,,,,,,356,U1461,D,11,R,CC,PAL,4d9fdc3a15cf3dce11e9ed7160bfdc15
356-U1461D-13R-7-PAL-NANNO,0,10,632.43,632.53,NN19,"NN19 - Pseudoemiliania lacunosa (Gradstein et al., 2012)",M,C,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,C,,,,,C,,,,,P,,,,F,,,,F,,,,,,,,,,,,,P,,,,,,,356,U1461,D,13,R,7,PAL,89acc8b2a4a37b47e7bc52bb61d186bd
356-U1461D-15R-CC-PAL-NANNO,0,10,652.51,652.61,NN19,"NN19 - Pseudoemiliania lacunosa (Gradstein et al., 2012)",M,A,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,F,,,,,,,A,,,,,F,,,,F,,,,F,,,,F,,,,,,F,,,F,,,,,,,356,U1461,D,15,R,CC,PAL,39cd10aae89ed2f5439c28f0bedf1f85
356-U1461D-17R-CC-PAL-NANNO,0,5,665.62,665.67,NN19,"NN19 - Pseudoemiliania lacunosa (Gradstein et al., 2012)",G,A,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,F,,P,,,,A,C,,,,P,F,,,,P,,,,F,,,,P,,,F,,P,,,,P,,,,,,,356,U1461,D,17,R,CC,PAL,87b5dc3c9b632d27379a7792dec8e4fe
356-U1461D-19R-CC-PAL-NANNO,0,10,684.7,684.8,NN19,"NN19 - Pseudoemiliania lacunosa (Gradstein et al., 2012)",G,C,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,F,,,F,,,A,C,,,,,,,,,C,,,,F,,,,,,,F,,,F,,,,,,,,,,356,U1461,D,19,R,CC,PAL,fcee4921e82ed1e7b072ec9eef8cda48
356-U1461D-20R-7-PAL-NANNO,0,10,700.5,700.6,NN18,"NN18 - Discoaster brouweri (Gradstein et al., 2012)",G,D,,,F,,,,,,,,,,,,,,C,,,,,,,,,,,,,,VA,,,,,,,,,,,,,,,C,,,,,,VA,C,,,,,F,,,,P,,,,F,,,,F,,,,,F,,,,,,,,,,,356,U1461,D,20,R,7,PAL,8950679cfd4716b835f9e6f274612fef
