Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Sample preparation comment,General comment,Group Abundance,Preservation,Actinocyclus curvatulus,Actinocyclus octonarius,Actinocyclus octonarius var. tenellus,Actinocyclus spp.,Actinoptychus senarius,Actinoptychus splendens,Alveus marinus,Amphora spp.,Asterolampra spp.,Asteromphalus elegans,Asteromphalus flabellatus,Aulacoseira spp.,Azpeitia africana,Azpeitia barronii,Azpeitia nodulifera,Azpeitia tabularis,Bacteriastrum spp.,Chaetoceros spp. (resting spores),Coscinodiscus asteromphalus,Coscinodiscus oculus-iridis,Diploneis bombus,Ethmodiscus sp. fragments,Fragilariopsis doliolus,Fragilariopsis fossilis,Fragilariopsis reinholdii,Grammatophora spp.,Hemidiscus cuneiformis,Navicula spp.,Odontella spp.,Paralia sulcata,Pinnularia spp.,Planktoniella sol,Pseudotriceratium cinnamomeum,Rhizosolenia matuyamai,Rhizosolenia praebergonii,Rhizosolenia praebergonii var. robusta,Rhizosolenia setigera,Rhizosolenia spp.,Rhizosolenia styliformis,Roperia tesselata,Shionodiscus oestrupii,Stephanopyxis spp.,Thalassionema bacillaris,Thalassionema frauenfeldii,Thalassionema nitzschioides,Thalassionema nitzschioides var. parvum,Thalassiosira convexa,Thalassiosira convexa var. aspinosa,Thalassiosira convexa var. convexa,Thalassiosira eccentrica,Thalassiosira leptopus s. ampl.,Thalassiosira lineata,Thalassiosira miocenica,Thalassiosira spp.,Thalassiothrix longissima,Triceratium favus,Triceratium spp.,other Centric,other Pennate,other Centric or Pennate comment,Ship File Links,Shore File Links,File Data
355-U1456A-1H-1-W 0/0-DIAT,0,0,0,0,sieved (>20 um),mudline water,C,G,,,,X,,,F,,,,X,,F,,F,,X,X,X,,,X,,,,,X,,X,F,,R,X,,,,,,,R,,X,,X,R,,,,,R,,X,,F,R,X,,,,,,,
355-U1456A-1H-CC-PAL-DIAT,0,5,4.49,4.54,sieved (>38 um),,R-F,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355-U1456A-2H-CC-PAL-DIAT,0,5,10.35,10.4,smear,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355-U1456A-3H-CC-PAL-DIAT,0,5,23.34,23.39,smear,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355-U1456A-4H-CC-PAL-DIAT,0,5,32.86,32.91,smear,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355-U1456A-5H-CC-PAL-DIAT,0,5,42.25,42.3,smear,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355-U1456A-6H-CC-PAL-DIAT,0,5,51.22,51.27,smear,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355-U1456A-7H-CC-PAL-DIAT,0,8,61.02,61.1,sieved (20um),,X,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355-U1456A-7H-CC-PAL-DIAT,0,8,61.02,61.1,strewn,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355-U1456A-8H-CC-PAL-DIAT,0,5,69.79,69.84,smear,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
