Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Datum name,Datum name generic,Datum comment,Datum age average [Ma],Zone name (short),Zone name,Zone comment,Upper boundary age av. [Ma],Lower boundary age av. [Ma],Group abundance,Preservation,Fragmentation,Percentage of planktic forams in total foram assemblage [%],Fragmentation rank [auto-pop],Terrestrial organic matter,Pyrite,"Reworking comment (1= <1%, 2=light 1-10%, 3= >10%)",Aspect comment (etching),Comment (general),Acarinina alticonica,Acarinina bullbrooki,Acarinina collactea,Acarinina primitiva,Beella digitata,Candeina nitida,Cassigerinella chipolensis,Cassigerinella martinezpicoi,Catapsydrax dissimilis,Chiloguembelina cubensis,Clavatorella bermudezi,Cribrohantkenina inflata,Dentoglobigerina altispira,Dentoglobigerina baroemoenensis,Dentoglobigerina globularis,Dentoglobigerina juxtabinaiensis,Dentoglobigerina sp.,Dentoglobigerina tripartita,Dentoglobigerina venezuelana,Fohsella birnageae,Fohsella fohsi,Fohsella peripheroacuta,Fohsella peripheroronda,Fohsella praefohsi,Fohsella robusta,Globigeriantella insueta,Globigerina angulisuturalis,Globigerina bulloides,Globigerina ciperoensis,Globigerina euapertura,Globigerina falconensis,Globigerina rubescens,Globigerina woodi,Globigerinatella sp.,Globigerinatheka barri,Globigerinatheka index,Globigerinella aequilateralis,Globigerinella calida,Globigerinella praesiphonifera,Globigerinella radians,Globigerinella siphonifera,Globigerinita glutinata,Globigerinita uvula,Globigerinoides altiapertura,Globigerinoides bollii,Globigerinoides bulloideus,Globigerinoides conglobatus,Globigerinoides diminutus,Globigerinoides extremus,Globigerinoides fistulosus,Globigerinoides immaturus,Globigerinoides obliquus,Globigerinoides primordius,Globigerinoides pyramidalis,Globigerinoides quadrilobatus,Globigerinoides ruber (pink),Globigerinoides ruber (white),Globigerinoides ruber s.s.,"Globigerinoides ruber s.l. Wang, 2000",Globigerinoides sacculifer,Globigerinoides sacculifer (without sac),Globigerinoides seigliei,Globigerinoides subquadratus,Globigerinoides trilobus,Globoquadrina binaiensis,Globoquadrina dehiscens,Globorotalia archeomenardii,Globorotalia challengeri,Globorotalia cibaoensis,Globorotalia crassaformis,Globorotalia crassula,Globorotalia exilis,Globorotalia flexuosa,Globorotalia hirsuta,Globorotalia humerosa,Globorotalia incognita,Globorotalia inflata,Globorotalia juanai,Globorotalia lenguaensis,Globorotalia limbata,Globorotalia margaritae,Globorotalia menardii,Globorotalia merotumida,Globorotalia miozea,Globorotalia multicamerata,Globorotalia pertenuis,Globorotalia plesiotumida,Globorotalia praemenardii,Globorotalia praescitula,Globorotalia pseudomiocenica,Globorotalia puncticulata,Globorotalia scitula,Globorotalia theyeri,Globorotalia tosaensis,Globorotalia truncatulinoides,Globorotalia tumida,Globorotalia ungulata,Globorotalia zealandica,Globorotaloides hexagona,Globorotaloides quadrocameratus,Globoturborotalita apertura,Globoturborotalita decoraperta,Globoturborotalita nepenthes,Globoturborotalita rubescens,Globoturborotalita tenella,Globoturborotalita woodi,Neogloboquadrina acostaensis,Neogloboquadrina dutertrei,Neogloboquadrina humerosa,Neogloboquadrina nympha,Orbulina bilobata,Orbulina suturalis,Orbulina universa,Paragloborotalia kugleri,Paragloborotalia mayeri,Paragloborotalia sp.,Planorotalites palmerae,Planorotalites spp.,Praeorbulina circularis,Praeorbulina curva,Praeorbulina glomerosa,Praeorbulina sicana,Pulleniatina (D),Pulleniatina (S),Pulleniatina finalis,Pulleniatina obliquiloculata,Pulleniatina primalis,Pulleniatina spectabilis,Sphaeroidinella dehiscens,Sphaeroidinella excavata,Sphaeroidinellopsis kochi,Sphaeroidinellopsis seminulina,Sphaeroidinellopsis subdehiscens,Subbotina eocaena,Subbotina gortanii,Tenuitella gemma,Tenuitella munda,Tenuitellinata juvenilis,Turborotalita humilis,Ship File Links,Shore File Links,File Data
356-U1463C-1H-CC-PAL-FORAM-150-2000,0,5,4.06,4.11,,,,,,,,,,A [A101],VG [P39],,80,,,,,,Pteropods (P); Ostracod (P); sponge spicules,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,P [A109],,,P [A109],,,,,,P [A109],,,,,,,,,,P [A109],P [A109],P [A109],P [A109],P [A109],,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,
356-U1463C-2H-CC-PAL-FORAM-150-2000,0,5,13.4,13.45,"T Globorotalia tosaensis (Gradstein et al., 2012)",T Globorotalia tosaensis,,0.61,PT1a [G12],"PT1a - Globorotalia tosaensis High-occurrence Zone (Gradstein et al., 2012)",,0.61,1.88,A [A101],G [P39],,80,,,,,,Pteropods (P); Ostracods (P),,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,P [A109],,,P [A109],,,,,,,,,,,,,,,,P [A109],P [A109],P [A109],P [A109],P [A109],,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,P [A109],,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,
356-U1463C-3H-CC-PAL-FORAM-150-2000,0,5,23.21,23.26,,,,,,,,,,A [A101],G [P39],,80,,,,,,Pteropods (P); Ostracod (P); sponge spicules; Peloids (P),,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,P [A109],P [A109],,,,,,,,,,,,,,,P [A109],P [A109],P [A109],P [A109],P [A109],,,,,,,,,P [A109],,,,,,,,,,,,P [A109],,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,
356-U1463C-4H-CC-PAL-FORAM-150-2000,0,5,32.46,32.51,,,,,,,,,,C [A101],M [P39],,80,,,,,,Ostracod (P); glauconite; sponge spicules,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],P [A109],,,,,,,,,,,,,,,P [A109],P [A109],,P [A109],P [A109],,,P [A109],,,,,,P [A109],,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356-U1463C-5H-CC-PAL-FORAM-150-2000,0,5,41.77,41.82,,,,,,,,,,C [A101],M [P39],,80,,,,,,Ostracod (P); peloids,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],P [A109],,,,,,,,,,P [A109],,,,,P [A109],P [A109],,,P [A109],,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,P [A109],,,,,,,,,,,,,,P [A109],,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356-U1463C-6H-CC-PAL-FORAM-150-2000,0,5,51.66,51.71,,,,,,,,,,C [A101],M [P39],,80,,,,,,Ostracod (P); sponge spicules; peloids,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],P [A109],,,,,,,,,,,,,,,P [A109],P [A109],,,,,,P [A109],,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356-U1463C-13H-CC-PAL-FORAM-150-2000,0,5,115.85,115.9,,,,,,,,,,C [A101],M [P39],,80,,,,,,Ostracod (R),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,P [A109],,,,,,,,,,P [A109],P [A109],,,,,P [A109],P [A109],P [A109],P [A109],P [A109],,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,P [A109],P [A109],P [A109],P [A109],,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,
356-U1463C-20H-CC-PAL-FORAM-150-2000,0,5,182.19,182.24,"B Globorotalia truncatulinoides (Gradstein et al., 2012)",B Globorotalia truncatulinoides,,1.93,PT1a [G12],"PT1a - Globorotalia tosaensis High-occurrence Zone (Gradstein et al., 2012)",,0.61,1.88,C [A101],M [P39],,80,,,,,,Ostracod (R),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,P [A109],,,,,,,,,,F [A109],P [A109],P [A109],P [A109],F [A109],,,,,,,,,,,,,,,,P [A109],,,,,P [A109],,,,,,,,,,,P [A109],P [A109],P [A109],P [A109],,,,,,,,,,,,P [A109],,,,,P [A109],,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,
356-U1463C-21H-CC-PAL-FORAM-150-2000,0,5,192,192.05,"T Globigerinoides extremus (Gradstein et al., 2012)",T Globigerinoides extremus,,1.98,PL6 [G12],"PL6 - Globigerinoides fistulosus Highest-occurrence Zone (Atlantic) (Gradstein et al., 2012)",,1.88,2.39,C [A101],G [P39],,70,,,,,,Ostracod (R),,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,P [A109],,P [A109],,,P [A109],,,,,F [A109],P [A109],P [A109],P [A109],F [A109],,,,,,,,,P [A109],,,,,,,,,,,,R [A109],,,,,,,,,,,P [A109],P [A109],,,,,,,,,,,,,,P [A109],,,,,P [A109],,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,
356-U1463C-24H-CC-PAL-FORAM-150-2000,0,5,220.49,220.54,,T G. limbata,2.38,,PL5 (Indo-Pacific) [G12],"PL5 (Indo-Pacific) - Globorotalia pseudomiocenica Highest Occurrence Zone (Indo-Pacific) (Gradstein et al., 2012)",2.38,3.16,3.47,C [A101],M [P39],,70,,,,,,Ostracod (R),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],P [A109],,,,,,,P [A109],,,P [A109],P [A109],,,P [A109],,,,,,,,,,,,,,,,P [A109],,P [A109],,,,,,,,,,,,,,P [A109],,,,,,,,,,,,P [A109],,,,,P [A109],,,,,,,,,,,,,P [A109],,,P [A109],,,,,,,,,,,,,
