Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Preservation,Group Abundance,Amaurolithus delicatus,Amaurolithus primus,Amaurolithus tricorniculatus,Braarudosphaera bigelowii,Calcidiscus leptoporus,Calcidiscus macintyrei,Calcidiscus premacintyrei,Calcidiscus tropicus,Catinaster calyculus,Catinaster coalitus,Ceratolithus acutus,Ceratolithus cristatus,Chiasmolithus grandis,Clausicoccus subdistichus,Coccolithus eopelagicus,Coccolithus formosus,Coccolithus miopelagicus,Coccolithus pelagicus,Coronocyclus nitescens,Cyclicargolithus abisectus,Cyclicargolithus floridanus,Cyclicargolithus luminis,Discoaster adamanteus,Discoaster asymmetricus,Discoaster bellus,Discoaster berggrenii,Discoaster bollii,Discoaster brouweri,Discoaster calcaris,Discoaster calculosus,Discoaster deflandrei,Discoaster druggii,Discoaster exilis,Discoaster hamatus,Discoaster kugleri,Discoaster loeblichii,Discoaster moorei,Discoaster neohamatus,Discoaster nodifer,Discoaster pentaradiatus,Discoaster petaliformis,Discoaster prepentaradiatus,Discoaster quinqueramus,Discoaster sanmiguelensis,Discoaster signus,Discoaster spp.,Discoaster surculus,Discoaster tamalis,Discoaster tanii,Discoaster triradiatus,Discoaster variabilis,Discoaster williamsii,Emiliania huxleyi,Florisphaera profunda,Gephyrocapsa omega,Gephyrocapsa sp. (<4 microns),Gephyrocapsa sp. (>5.5 microns),Gephyrocapsa sp. (4-5.5 microns),Helicosphaera ampliaperta,Helicosphaera bramlettei,Helicosphaera burkei,Helicosphaera carteri,Helicosphaera compacta,Helicosphaera euphratis,Helicosphaera sellii,Lanternithus minutus,Minylitha convallis,Nicklithus amplificus,Orthorhabdus serratus,Pontosphaera exilis,Pontosphaera millepuncta,Pontosphaera multipora,Pontosphaera punctosa,Pontosphaera spp.,Pseudoemiliania lacunosa,Reticulofenestra asanoi,Reticulofenestra bisecta (>10 microns),Reticulofenestra bisecta (5-10 microns),Reticulofenestra circus,Reticulofenestra erbae,Reticulofenestra lockeri,Reticulofenestra pseudoumbilicus,Reticulofenestra sp. (5-7 microns),Reticulofenestra spp. small,Reticulofenestra umbilicus,Rhabdosphaera spp.,Scyphosphaera spp.,Sphenolithus abies,Sphenolithus belemnos,Sphenolithus calyculus,Sphenolithus capricornutus,Sphenolithus ciperoensis,Sphenolithus conicus,Sphenolithus delphix,Sphenolithus disbelemnos,Sphenolithus dissimilis,Sphenolithus distentus,Sphenolithus heteromorphus,Sphenolithus moriformis,Sphenolithus pospichalii,Sphenolithus predistentus,Sphenolithus pseudoheteromorphus,Sphenolithus spp.,Syracosphaera spp.,Triquetrorhabdulus carinatus,Triquetrorhabdulus longus,Triquetrorhabdulus rugosus,Umbilicosphaera rotula,Umbilicosphaera sibogae,Zygrhablithus bijugatus,Comments,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
368-U1501C-1H-CC-PAL-NANNO,0,5,9.19,9.24,NN21,G,A,,,,,F,,,,,,,R,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,C,,C,,,,F,,,,,,,,,,R,,R,,,,,,,,,C,A,,F,,,,,,,,,,,,,,,,,,R,,,,,,,Reworked Discoaster,,,,368,U1501,C,1,H,CC,PAL,69a354f172139df373f5ad0dc0e034b2
368-U1501C-2H-CC-PAL(18-23)-NANNO,0,5,17.93,17.98,NN21,G,A,,,,,F,,,,,,,R,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,C,,C,,,,F,,,,,,,,,,R,,,,,,,,,,,C,A,,F,,,,,,,,,,,,,,,,,,F,,,,,,,Reworked Discoaster,,,,368,U1501,C,2,H,CC,PAL,94bbbdf527a664b14d37a9fb8e7f97a5
368-U1501C-3H-CC-PAL(15-20)-NANNO,0,5,28.51,28.56,NN19,G,A,,,,,F,,,,,,,R,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,C,,,,,,,,,,,,,,R,,,A,,,,,,,,C,,,F,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,368,U1501,C,3,H,CC,PAL,e8e0f07142ffece11871b3b362436e68
368-U1501C-4H-CC-PAL(15-20)-NANNO,0,5,38.03,38.08,NN19,G,A,,,,,F,,,F,,,,F,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,C,C,,,,F,,,R,,,,,,,R,,R,A,,,,,,,,C,A,,C,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,368,U1501,C,4,H,CC,PAL,9acf3f19ba5448d033bfc6cd99645479
368-U1501C-5H-CC-PAL(13-18)-NANNO,0,5,46.9,46.95,NN19,G,A,,,,,C,F,,F,,,,R,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,F,,,R,,,,,,,R,,R,A,,,,,,,,C,D,,,,,,,,,,,,,,,,,,,,F,,,,,F,,,,,,368,U1501,C,5,H,CC,PAL,f34e9fedd11a00b041709c643749572c
368-U1501C-6H-CC-PAL(15-20)-NANNO,0,5,57.02,57.07,NN19,G,A,,,,,F,F,,F,,,,R,,,,,,F,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,C,,,,,F,,,R,,,,,,,R,,R,A,,,,,,,,C,A,,C,,,,,,,,,,,,,,,,,,R,,,,,C,,,,,,368,U1501,C,6,H,CC,PAL,61eb95eabc53ad167cd6b238612ccecd
368-U1501C-7H-CC-PAL(11-16)-NANNO,0,5,66.17,66.22,NN19,G,A,,,,,C,R,,F,,,,F,,,,,,R,,,,,,F,,,,C,,,,,,,,,,,,C,,,,,,,F,F,,R,,,,,,F,,,,,,C,,,F,,,,,,,R,,R,A,,,,,,,,C,A,,,,,,,,,,,,,,,,,,,,F,,,,C,C,,,,,,368,U1501,C,7,H,CC,PAL,2452da4fb275bc34dac0172a634d80e5
368-U1501C-8H-CC-PAL(23-28)-NANNO,0,5,75.76,75.81,NN15,G,A,F,,,,C,F,,R,,,,R,,,,,,F,,,,,,F,,,,C,,,,,,,,,,,,A,,,,,,,A,F,,F,F,,,,,,,,,,,C,,,F,,,,,,,R,,,F,,,,,,,,C,A,,R,,,,,,,,,,,,,,,,,A,F,,,,F,F,,,,,,368,U1501,C,8,H,CC,PAL,4b33554ba274679be9145cecb162c93c
368-U1501C-9H-CC-PAL(19-24)-NANNO,0,5,85.45,85.5,NN11,G,A,F,,,,C,R,,R,,R,,,,,,,,C,,,,,,C,,F,,C,,,,,,,,,,,,C,,,C,,,,C,R,,,F,,,,,,,,,,,C,,,,,,R,,,,R,,R,,,,,,,,C,C,A,,R,R,,,,,,,,,,,,,,,,A,F,,,,F,F,,,,,,368,U1501,C,9,H,CC,PAL,cf747ba26c2490e1cb23aab4b7dc6988
368-U1501C-10H-CC-PAL(21-26)-NANNO,0,5,94.86,94.91,NN11,G,A,F,,,,C,F,,F,,F,,,,,,,,C,,,,,,A,,C,,C,,,,,,,,,,,,C,,,A,,,,F,,,F,C,,,,,,,,,,,C,,,,,,,,,,R,,R,,,,,,,,C,F,A,,,R,,,,,,,,,,,,,,,,A,R,,,,C,F,,,,,,368,U1501,C,10,H,CC,PAL,f8e84d2560ad7fe3d41a43fd1aa76026
