Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Preservation,Group Abundance,Amaurolithus delicatus,Amaurolithus primus,Amaurolithus tricorniculatus,Braarudosphaera bigelowii,Calcidiscus leptoporus,Calcidiscus macintyrei,Calcidiscus premacintyrei,Calcidiscus tropicus,Catinaster calyculus,Catinaster coalitus,Ceratolithus acutus,Ceratolithus cristatus,Chiasmolithus grandis,Clausicoccus subdistichus,Coccolithus eopelagicus,Coccolithus formosus,Coccolithus miopelagicus,Coccolithus pelagicus,Coronocyclus nitescens,Cyclicargolithus abisectus,Cyclicargolithus floridanus,Cyclicargolithus luminis,Discoaster adamanteus,Discoaster asymmetricus,Discoaster bellus,Discoaster berggrenii,Discoaster bollii,Discoaster brouweri,Discoaster calcaris,Discoaster calculosus,Discoaster deflandrei,Discoaster druggii,Discoaster exilis,Discoaster hamatus,Discoaster kugleri,Discoaster loeblichii,Discoaster moorei,Discoaster neohamatus,Discoaster nodifer,Discoaster pentaradiatus,Discoaster petaliformis,Discoaster prepentaradiatus,Discoaster quinqueramus,Discoaster sanmiguelensis,Discoaster signus,Discoaster spp.,Discoaster surculus,Discoaster tamalis,Discoaster tanii,Discoaster triradiatus,Discoaster variabilis,Discoaster williamsii,Emiliania huxleyi,Florisphaera profunda,Gephyrocapsa omega,Gephyrocapsa sp. (<4 microns),Gephyrocapsa sp. (>5.5 microns),Gephyrocapsa sp. (4-5.5 microns),Helicosphaera ampliaperta,Helicosphaera bramlettei,Helicosphaera burkei,Helicosphaera carteri,Helicosphaera compacta,Helicosphaera euphratis,Helicosphaera sellii,Lanternithus minutus,Minylitha convallis,Nicklithus amplificus,Orthorhabdus serratus,Pontosphaera exilis,Pontosphaera millepuncta,Pontosphaera multipora,Pontosphaera punctosa,Pontosphaera spp.,Pseudoemiliania lacunosa,Reticulofenestra asanoi,Reticulofenestra bisecta (>10 microns),Reticulofenestra bisecta (5-10 microns),Reticulofenestra circus,Reticulofenestra erbae,Reticulofenestra lockeri,Reticulofenestra pseudoumbilicus,Reticulofenestra sp. (5-7 microns),Reticulofenestra spp. small,Reticulofenestra umbilicus,Rhabdosphaera spp.,Scyphosphaera spp.,Sphenolithus abies,Sphenolithus belemnos,Sphenolithus calyculus,Sphenolithus capricornutus,Sphenolithus ciperoensis,Sphenolithus conicus,Sphenolithus delphix,Sphenolithus disbelemnos,Sphenolithus dissimilis,Sphenolithus distentus,Sphenolithus heteromorphus,Sphenolithus moriformis,Sphenolithus pospichalii,Sphenolithus predistentus,Sphenolithus pseudoheteromorphus,Sphenolithus spp.,Syracosphaera spp.,Triquetrorhabdulus carinatus,Triquetrorhabdulus longus,Triquetrorhabdulus rugosus,Umbilicosphaera rotula,Umbilicosphaera sibogae,Zygrhablithus bijugatus,Comments,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
368-U1501C-11H-CC-PAL(39-44)-NANNO,0,5,104.86,104.91,NN8,G,A,,,,,C,F,,F,,C,,,,,,,,C,,,,,,R,,,,C,,,,,C,,,C,F,F,,F,,C,C,,,,,,,,A,,,,,,,,,,,C,,,,,,,,,,R,,,,,,,,,,A,F,C,,,,,,,,,,,,,,,,,,,A,,,,R,C,F,,,,,,368,U1501,C,11,H,CC,PAL,2526565d1339bb3379532a1f13e4b7af
368-U1501C-12H-CC-PAL(28-33)-NANNO,0,5,113.92,113.97,NN7,G,A,,,,,C,F,,R,,,,,,,,,,C,,,,,,R,,,,,,,,,C,,,C,F,F,,F,,,F,,,,,,,,C,,,,,,,,,,,C,,,,,,,,,,R,,,,,,,,,,C,F,C,,,,,,,,,,,,,,,C,,,,A,,,,,C,C,,,,,,368,U1501,C,12,H,CC,PAL,2f727676b9e5ea6d8413cd9727813fa8
368-U1501C-13H-CC-PAL(21-26)-NANNO,0,5,123.78,123.83,NN7,G,A,,,,,C,F,,R,,,,,,,,,,C,,,,,,R,,,,,,,F,,A,,,,F,,,C,,,,,,,,,,,C,,,,,,,,,,,C,,,,,,,,,,R,,R,,,,,,,,C,C,A,,R,,,,,,,,,,,,,C,,,,A,,,,,C,F,,,,,,368,U1501,C,13,H,CC,PAL,5b5a435984cba3db87a14d3fb5ac3bd3
368-U1501C-14H-CC-PAL(21-26)-NANNO,0,5,131.48,131.53,NN7,G,A,,,,,C,F,F,F,,,,,,,,,,C,,,,,,F,,,,,,,C,,A,,F,,F,,,F,,,,,,,,,,,C,,,,,,,,,,,C,,,,,,,,,,R,,,,,,,,,,C,C,A,,,,,,,,,,,,,,,C,,,,A,,,,,C,F,,,,,,368,U1501,C,14,H,CC,PAL,bbdeef76656adcfd6123fbfc20b456bf
368-U1501C-15H-CC-PAL(20-25)-NANNO,0,5,142.14,142.19,NN6,G,A,,,,,C,F,R,F,,,,,,,,,,C,,,C,,,F,,,,,,,C,,C,,F,,F,,,R,,,,,,,,,,,C,,,,,,,,,,,C,,,,,,,,,,R,,R,,,,,,,,C,C,A,,R,,,,,,,,,,,,,C,,,,C,,,,,C,C,,,,,,368,U1501,C,15,H,CC,PAL,7d8c311e83271bf1c75b66b7fdd028d1
368-U1501C-16H-CC-PAL(26-31)-NANNO,0,5,151.75,151.8,NN5,G,A,,,,,C,,,F,,,,,,,,,,C,F,,A,,,F,,,,,,,F,,C,,F,,F,,,,F,,,,,,,,,,C,,,,,,,,,,,C,,,,,,,,,,R,,,,,,,,,,C,C,A,,,,,,,,,,,,,,C,C,,,,C,,,,,C,F,,,,,,368,U1501,C,16,H,CC,PAL,068e305c33740e4ae8952568e428ad1c
368-U1501C-17H-CC-PAL(0-5)-NANNO,0,5,156.7,156.75,NN5,G,A,,,,,C,,F,R,,,,,,,,,R,C,R,,A,,,R,,,,,,,F,,C,,R,,R,,,F,F,,,,,,,,,,C,,,,,,,,,,,F,,R,,,,,,,,R,,R,,,,,,,,R,F,A,,,,,,,,,,,,,,C,C,F,,,C,,,,,C,F,,,,,,368,U1501,C,17,H,CC,PAL,259ee224073554b81df7a64640e3aba2
368-U1501C-18F-CC-PAL-NANNO,0,5,161.67,161.72,NN5,G,A,,,,,C,,F,F,,,,,,,,,R,C,F,,A,,,,,,,,,,C,,F,,,,R,,,R,C,,,,F,,,,,,F,,,,,,,,,,,F,,R,,,,,,,,R,,,,,,,,,,R,C,A,,,,,,,,,,,,,,F,C,F,,,C,,,,,F,F,,,,,,368,U1501,C,18,F,CC,PAL,582bd9a359b8db2d218c09c023ae998e
368-U1501C-19F-CC-PAL(25-30)-NANNO,0,5,166.25,166.3,NN5,G,A,,,,,F,,F,R,,,,,,,,,R,C,F,,A,,,,,,,,,,F,,F,,,,R,,,,F,,,F,C,,,,,,F,,,,,,,,,,,F,,F,,,,,,,,R,,,,,,,,,,,C,A,,,,,,,,,,,,,,R,C,F,,,C,,,,,F,F,,,,,,368,U1501,C,19,F,CC,PAL,c52f2976a5f3d71cb40c51bbe40683d9
368-U1501C-20F-CC-PAL(23-28)-NANNO,0,5,169.92,169.97,NN5,G,A,,,,,F,,F,R,,,,,,,,,R,C,F,,A,,,,,,,,,,C,,F,,,,F,,,,F,,,F,F,,,,,,F,,,,,,,,,,,F,,F,,,,,,,,R,,R,,,,,,,,C,C,A,,,,,,,,,,,,,,,C,F,,,C,,,,,C,F,,,,,,368,U1501,C,20,F,CC,PAL,afea85846fa6d4096481044be9402485
368-U1501C-21F-CC-PAL(23-28)-NANNO,0,5,175.92,175.97,NN5,G,A,,,,,F,,F,F,,,,,,,,,R,C,F,,C,,,,,,,,,,C,,F,,,,F,,,,F,,,F,,,,,,,F,,,,,,,,,,,F,,F,,,,,,,,R,,R,,,,,,,,F,F,A,,,,,,,,,,,,,,,C,F,,,C,,,,,C,F,,,,,,368,U1501,C,21,F,CC,PAL,31f3a12faf6fc1fb3771352b098c23e0
368-U1501C-22F-CC-PAL(23-28)-NANNO,0,5,180.55,180.6,NN4,G,A,,,,,F,,F,F,,,,,,,,,R,C,F,,C,,,,,,,,,,C,,F,,,,F,,,,,,,,,,,,,,F,,,,,,,,F,,,F,,F,,,,,F,,,R,,R,,,,,,,,F,C,A,,,,,,,,,,,,,,,C,R,,,C,,,,,C,F,,,,,,368,U1501,C,22,F,CC,PAL,f772e8c0008bb182dfef597a7dbb228a
368-U1501C-23F-CC-PAL(27-32)-NANNO,0,5,184.4,184.45,NN4,G,A,,,,,F,,R,F,,,,,,,,,R,C,F,,C,,,,,,,,,,C,,F,,,,F,,,,,,,,,,,,,,F,,,,,,,,F,,,F,,F,,,,,F,,,R,,,,,,,,,,F,C,A,,,,,,,,,,,R,,,,C,,,,C,,,,,C,F,,,,,,368,U1501,C,23,F,CC,PAL,e7dc6473669b09a0ef919294d16c380c
368-U1501C-24F-CC-PAL(10-15)-NANNO,0,5,189.42,189.47,NN2,G,A,,,,,F,,,,,,,,,,,,,C,F,,C,,,,,,,,,,C,F,,,,,R,,,,,,,,,,,,,,F,,,,,,,,R,,,F,,F,,,,,F,,,R,,,,,,,,,,C,C,A,,,,,C,,,,,,F,,,,C,,,,C,,R,C,,C,F,,,,,,368,U1501,C,24,F,CC,PAL,e0c92828887add469f49accf3232a041
368-U1501C-25F-CC-PAL(0-5)-NANNO,0,5,193.3,193.35,NN2,G,A,,,,,F,,,,,,,,,,,,R,C,F,,C,,,,,,,,,,C,F,,,,,R,,,,,,,,,,,,,,F,,,,,,,,R,,,F,,F,,,,,F,,,R,,,,,,,,,,F,C,A,,,,,F,,,,,,F,,,,C,,,,C,,C,F,,C,C,,,,,,368,U1501,C,25,F,CC,PAL,c3097f4f4d8dfbe13bfe5f9e61a12b7d
368-U1501C-26F-CC-PAL(25-30)-NANNO,0,5,198.33,198.38,NN2,G,A,,,,,F,,,,,,,,,,,,R,C,F,,C,,,,,,,,,,C,F,,,,,R,,,,,,,,,,,,,,F,,,,,,,,F,,,F,,F,,,,,F,,,R,,,,,,,,,,F,C,A,,,,,R,,,,,,R,,,,C,,,,C,,C,R,,C,C,,,,,,368,U1501,C,26,F,CC,PAL,5f6123e3677939c0b1953ab037f28a09
368-U1501C-27F-CC-PAL(29-34)-NANNO,0,5,204.03,204.08,NN2,G,A,,,,,F,,,,,,,,,,,,R,C,F,,C,,,,,,,,,,C,F,,,,,R,,,,,,,,,,,,,,F,,,,,,,,R,,,F,,F,,,,,F,,,R,,,,,,,,,,F,C,A,,,,,,,,,,,,,,,C,,,,C,,F,F,,C,F,,,,,,368,U1501,C,27,F,CC,PAL,a8437ea7a3887161ab083a371275fbc3
368-U1501C-28F-CC-PAL(20-25)-NANNO,0,5,208.65,208.7,NN2,G,A,,,,,F,,,,,,,,,,,,R,C,F,,C,,,,,,,,,,C,F,,,,,R,,,,,,,,,,,,,,R,,,,,,,,,,,R,,F,,,,,F,,,R,,,,,,,,,,F,F,A,,,,,,,,,,,,,,,C,,,,C,,F,F,,C,C,,,,,,368,U1501,C,28,F,CC,PAL,163d9082240860afc9944155e3e4fceb
368-U1501C-29F-CC-PAL(17-22)-NANNO,0,5,212.67,212.72,NN2,G,A,,,,,F,,,,,,,,,,,,F,C,F,,C,,,,,,,,,,C,F,,,,,R,,,,,,,,,,,,,,R,,,,,,,,,,,R,,F,,,,,,,,R,,,,,,,,,,F,F,A,,,,,,,,,,,,,,,C,,,,C,,C,F,,C,F,,,,,,368,U1501,C,29,F,CC,PAL,20b3d18545831c3f941a7ac459c718f6
368-U1501C-30F-CC-PAL(22-27)-NANNO,0,5,217.54,217.59,NN2,G,A,,,,,F,,,,,,,,,,,,F,C,F,,A,,,,,,,,,,C,F,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,R,,F,,,,,,,,R,,,,,,,,,,F,F,A,,,,,,,,,,,,,,,C,,,,C,,F,F,,F,F,,,,,,368,U1501,C,30,F,CC,PAL,945349ef76af70762fe1b51d681ded01
368-U1501C-31F-CC-PAL(19-24)-NANNO,0,5,221.53,221.58,NN2,G,A,,,,,F,,,,,,,,,,,,C,C,F,,A,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,C,,,,,,,,R,,,,,,,,,,F,F,C,,,,,,,,,,,,,,,A,,,,C,,F,,,F,C,,,,,,368,U1501,C,31,F,CC,PAL,a56cf2107113b302e1eb7c9e95bb4fa9
368-U1501C-32F-CC-PAL(24-29)-NANNO,0,5,226.42,226.47,NN2,G,A,,,,,F,,,,,,,,,,,,C,C,F,C,A,,,,,,,,,,C,R,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,R,,F,,,,,,,,R,,,,,,,,,,,C,C,,,,,,,,,,,,,,,A,,,,C,,F,,,R,F,,,,,,368,U1501,C,32,F,CC,PAL,366f3e3e4659fbbb5d565051e6c7d9b0
368-U1501C-33F-CC-PAL(30-35)-NANNO,0,5,231.78,231.83,NN2,G,A,,,,,R,,,,,,,,,,,,C,C,F,C,A,,,,,,,,,,C,R,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,R,,C,,,,,,,,,,R,,,,,,,,,C,A,,,,,,,F,,,,,,,,C,,,,C,,F,,,R,F,,,,,,368,U1501,C,33,F,CC,PAL,6ada95e99a9c3a0567011c9dddc8ad8c
368-U1501C-34F-CC-PAL(26-31)-NANNO,0,5,235.67,235.72,NN2,G,A,,,,,R,,,,,,,,,,,,C,C,F,C,A,,,,,,,,,,C,R,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,R,,C,,,,,,,,,,,,,,,,,,,C,A,,,,,,,C,,,,,,,,C,,,,C,,F,,,R,F,,,,,,368,U1501,C,34,F,CC,PAL,6df9d13376c3b6b9b921c884777b755d
368-U1501C-35F-CC-PAL(16-21)-NANNO,0,5,240.08,240.13,NN2,G,A,,,,,R,,,,,,,,,,,,C,C,F,C,A,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,C,,,,,,,,,,R,,,,,,,,,C,A,,,,,,,C,,,,,,,,C,,,,C,,F,,,R,F,,,,,,368,U1501,C,35,F,CC,PAL,39a234264af81ecaf76ba8096c6c5223
368-U1501C-36F-CC-PAL(25-30)-NANNO,0,5,245.23,245.28,NN2,G,A,,,,,R,,,,,,,,,,,,C,C,R,A,A,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,R,,C,,,,,,,,,,,,,,,,,,,C,A,,,,,,,C,,,,,,,,C,,,,C,,F,,,R,F,,,,,,368,U1501,C,36,F,CC,PAL,5edf3f3e275677dfb2376eabde302900
368-U1501C-37F-CC-PAL(25-30)-NANNO,0,5,249.3,249.35,NN2,G,A,,,,,R,,,,,,,,,,,,C,C,R,A,A,,,,,,,,,,C,R,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,R,,C,,,,,,,,,,,,,,,,,R,,C,A,,,,,,,C,,,,F,,,,C,,,,C,,F,,,R,,,,,,,368,U1501,C,37,F,CC,PAL,66683b6b1bb285001616574609dd0b97
368-U1501C-38F-CC-PAL(23-28)-NANNO,0,5,253.47,253.52,NN2,G,A,,,,,R,,,,,,,,,,,,C,C,C,C,A,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,C,,,,,,,,,,R,,,,,,,F,,C,A,,,,,,,C,,,,F,,,,C,,,,C,,F,,,,,,,,,,368,U1501,C,38,F,CC,PAL,b5462c4e3ea82c21ed5bbbfa0764be66
368-U1501C-39F-CC-PAL(25-30)-NANNO,0,5,256.81,256.86,NN2,G,A,,,,,R,,,,,,,,,,,,C,C,C,C,A,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,C,,,,,,,,,,,,,,,,,F,,F,A,,,,,,,C,,,,C,,,,C,,,,C,,F,,,,,,,,,,368,U1501,C,39,F,CC,PAL,d7c455df759d13fdedfad7556d44d13d
368-U1501C-40X-CC-PAL(15-20)-NANNO,0,5,265.3,265.35,NN2,G,A,,,,,,,,,,,,,,,,,F,C,R,C,A,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,C,,,,,,,,,,R,,,,C,,,F,,C,A,,,,,,,C,,,,C,,,,C,,,,C,,F,,,,,,,,,,368,U1501,C,40,X,CC,PAL,ab2888a5e379fa19f66872c9ef5bdba6
368-U1501C-41X-CC-PAL(39-44)-NANNO,0,5,273.86,273.91,NN2,G,A,,,,,,,,,,,,,,,,,C,C,F,C,C,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,C,,,C,,C,C,,,,,,,C,,,,,,,,C,,,,C,,F,,,,,,,,,,368,U1501,C,41,X,CC,PAL,36cf3ccfa58835163adb9391ba1374eb
368-U1501C-42X-CC-PAL(26-31)-NANNO,0,5,283.41,283.46,NN1,G,A,,,,,,,,,,,,,,,,,C,C,F,C,C,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,C,,,,,,,,,,,,,,F,,,C,,C,C,,,,,,C,C,,,F,,,,,C,,,,C,,F,,,,,,,,,,368,U1501,C,42,X,CC,PAL,df78495fa5f4032d9c36d73e04c710be
368-U1501C-43X-CC-PAL(39-44)-NANNO,0,5,293.1,293.15,NN1,M,A,,,,,,,,,,,,,,,,,F,C,F,C,C,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,R,,,,F,,,C,,C,C,,,,,,C,,,,F,,,,,C,,,,C,,F,,,,,,,,,,368,U1501,C,43,X,CC,PAL,d2b987c4b9444e822441b6ac84fdcb76
368-U1501C-44X-CC-PAL(53-58)-NANNO,0,5,302.51,302.56,NP25,M,A,,,,,,,,,,,,,,,,,R,C,F,C,A,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,F,F,,,C,,C,C,,,,,,,,F,,,,,R,,C,,,,C,,F,,,,,,,,,,368,U1501,C,44,X,CC,PAL,c9b05b87465b75efc744d87730f0d78d
368-U1501C-45X-CC-PAL(40-45)-NANNO,0,5,312.15,312.2,NP24,M,A,,,,,,,,,,,,,,,,,,C,F,C,A,,,,,,,,,,C,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,C,,,,,,,,,,R,,,F,F,F,,C,,C,C,,,,,,,,R,,,,,,,C,,C,,C,,,,,,,C,,,,,368,U1501,C,45,X,CC,PAL,b44b046644927d4dd1dfe7e3d3c02903
368-U1501C-46X-CC-PAL(45-50)-NANNO,0,5,321.76,321.81,NP23,M,C,,,,,,,,,,,,,,,,,,F,R,F,C,,,,,,,,,,F,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,R,,,R,F,,,,,,,,,,R,,,F,F,F,,F,,F,F,,,,,,,,,,,,,,,F,,F,,F,,,,,,,R,,,,,368,U1501,C,46,X,CC,PAL,751434f49d1cd70830db9c230f2f8813
368-U1501C-47X-CC-PAL(42-47)-NANNO,0,5,331.13,331.18,NP23,M,F,,,,,,,,,,,,,,,,,,F,R,,C,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,R,F,,,,,,,,,,,,,F,F,F,,F,,F,C,,,,,,,,,,,,,,,F,,F,,F,,,,,,,F,,,,,368,U1501,C,47,X,CC,PAL,c24f884db81fd20bc66c1f8b84ddb966
368-U1501C-48X-CC-PAL(43-48)-NANNO,0,5,340.41,340.46,NP22,M,F,,,,,,,,,,,,,,,F,,,F,R,,C,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,R,,,R,,,,,,,,R,,,R,R,F,,F,,F,F,,,,,,,,,,,,,,,R,,F,,F,,,,,,,F,,,,,368,U1501,C,48,X,CC,PAL,93d40585854795cac774aa21599307b1
368-U1501C-49X-CC-PAL(39-44)-NANNO,0,5,350.44,350.49,NP17,M,F,,,,,,,,,,,,,R,,R,,,F,,,F,,,,,,,,,,R,,,,,,,,R,,,,,,,,,,R,,,R,,,,,,,,F,,,R,,,R,,,,,,R,,R,,,R,F,,,F,,F,R,R,,,,,,,,,,,,,,R,,R,,F,,,,,,,F,,,,,368,U1501,C,49,X,CC,PAL,c8bc5c08e322be3685f2bdde381550f7
