Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group abundance,General comment,Beella digitata,Beella praedigitata,Catapsydrax parvulus,Globigerina bulloides,Globigerina ciperoensis,Globigerina euapertura,Globigerina falconensis,Globigerina foliata,Globigerina sp.,Globigerinella aequilateralis,Globigerinella calida,Globigerinella radians,Globigerinita,Globigerinita glutinata,Globigerinita uvula,Globigerinoides conglobatus,Globigerinoides obliquus,Globigerinoides quadrilobatus,Globigerinoides ruber,Globigerinoides ruber (pyramidalis),Globigerinoides sacculifer,Globigerinoides subquadratus,Globigerinoides trilobus,Globigerinopsis obesa,Globoconella,Globoconella conomiozea,Globoconella inflata,Globoconella miotumida,Globoconella miotumida (DEX),Globoconella miotumida (SIN),Globoconella mons,Globoconella pliozea,Globoconella pseudospinosa,Globoconella puncticulata,Globoconella puncticuloides (compressed),Globoconella puncticuloides (vaulted),Globoconella sphericomiozea,Globoconella subconomiozea,Globoconella triangula,Globoconella triangula     (cf.),Globoquadrina dehiscens,Globoquadrina praedehiscens,Globorotalia lenguaensis,Globorotalia praescitula,Globorotalia tumida,Globorotaloides hexagonus,Globorotaloides turgidus,Hirsutella bermudezi,Hirsutella hirsuta,Hirsutella hirsuta (DEX),Hirsutella hirsuta (SIN),Hirsutella ichinosekiensis,Hirsutella margaritae (cf.),Hirsutella panda,Hirsutella scitula,Hirsutella scitula (cf.),Hirsutella scitula (DEX),Hirsutella scitula (SIN),Menardella limbata,Neogloboquadrina acostaensis,Neogloboquadrina dutertrei,Neogloboquadrina incompta,Neogloboquadrina pachyderma,Orbulina,Orbulina bilobata,Orbulina universa,Orbulina universa (juvenile),Paragloborotalia continuosa,Paragloborotalia mayeri,Paragloborotalia nana,Pulleniatina obliquiloculata,Pulleniatina praecursor,Pulleniatina primalis,Sphaeroidinella dehiscens,Sphaeroidinellopsis paenedehiscens,Sphaeroidinellopsis seminulina,Sphaeroidinellopsis sp.,Subbotina angiporoides,Subbotina angiporoides minima,Tenuitella,Tenuitella gemma,Truncorotalia cf. crassacarina,Truncorotalia crassacarinina,Truncorotalia crassacarinina (DEX),Truncorotalia crassacarinina (SIN),Truncorotalia crassaconica,Truncorotalia crassaconica     (cf.),Truncorotalia crassaconica     (cf.) (DEX),Truncorotalia crassaconica     (cf.) (SIN),Truncorotalia crassaconica (DEX),Truncorotalia crassaconica (SIN),Truncorotalia crassaformis,Truncorotalia crassaformis (DEX),Truncorotalia crassaformis (SIN),Truncorotalia crassula,Truncorotalia crassula     (cf.),Truncorotalia crassula     (cf.) (DEX),Truncorotalia crassula     (cf.) (SIN),Truncorotalia juanai,Truncorotalia tosaensis,Truncorotalia truncatulinoides,Truncorotalia truncatulinoides (DEX),Truncorotalia truncatulinoides (SIN),Turborotalita angustiumbilicata,Turborotalita quinqueloba,Zeaglobigerina,Zeaglobigerina apertura,Zeaglobigerina connecta,Zeaglobigerina druryi,Zeaglobigerina nepenthes,Zeaglobigerina rubescens,Zeaglobigerina sp.,Zeaglobigerina woodi,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
375-U1520C-2R-CC-PAL-FORAM,0,5,647.7,647.75,G,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,C,,R,,,,,375,U1520,C,2,R,CC,PAL,26d9da891e5fa8bce67b3839e1c84f3f
375-U1520C-3R-CC-PAL-FORAM,0,5,657.79,657.84,M,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,F,R,,,,375,U1520,C,3,R,CC,PAL,2cb662ab9179e174f9051a40ac139a30
375-U1520C-4R-CC-PAL-FORAM,0,5,667.94,667.99,G,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,R,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,R,C,,R,R,,,,375,U1520,C,4,R,CC,PAL,7855d6af997e7a6f433223cb43112932
375-U1520C-5R-CC-PAL-FORAM,0,5,676.32,676.37,M,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,R,,,,,375,U1520,C,5,R,CC,PAL,6cfbc15f745ee1002bd1d0056a4ec9a3
375-U1520C-6R-CC-PAL-FORAM,0,5,685.85,685.9,M,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,C,,C,F,,,,375,U1520,C,6,R,CC,PAL,81c661a9d7105be14173809b17c372b5
375-U1520C-7R-CC-PAL-FORAM,0,5,693.05,693.1,M,C,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,A,,C,,,,,375,U1520,C,7,R,CC,PAL,ebbb2b820eeaf266ee66df89d8458d06
375-U1520C-8R-CC-PAL-FORAM,0,5,706.02,706.07,P,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,R,,,,375,U1520,C,8,R,CC,PAL,cc61a15cbf627ff61209aac5b51e59de
375-U1520C-9R-CC-PAL-FORAM,0,5,713.69,713.74,M,A,,,,,,,,,,C,,,,,F,,,,,,,,,R,,,,,A,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,375,U1520,C,9,R,CC,PAL,1c3abf10b5ebbd2ee2ca5b4c362f707f
375-U1520C-10R-CC-PAL-FORAM,0,5,726.98,727.03,G-M,D,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,F,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,C,,,,375,U1520,C,10,R,CC,PAL,83f6ae5d1acda2b50044f6cea838fa62
375-U1520C-11R-CC-PAL-FORAM,0,5,737.38,737.43,M,A,,,,,,,,,,X,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,375,U1520,C,11,R,CC,PAL,7fb48e2aa71491ed4e1428a420601dab
