Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],No. specimens/tray,Preservation,Comment,Argilloecia spp.,Bairdoppilata spp.,Blind trachyleberidids,Bradleya spp.,Cletocythereis rastromarginata,Cytheralison sp.,Cytherella sp.,Cytheropteron spp.,Dutoitella crassinodosa,Dutoitella suhmi,Glencoeleberis? sp.,Krithe spp.,Legitimocythere acanthoderma,Oertliella? sp.,Philoneptunus paragravezia,Philoneptunus cf. tricolonos,Poseidonamicus spp.,Pseudobosquetina mucronalata,Sighted trachyleberidids,Xestolebris spp.,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
371-U1508B-2R-CC-PAL-OSTRA,0,10,191.35,191.45,1.8,5,,0,0,,2,,,0,2,,,,0,,,,,0,,,0,,,,371,U1508,B,2,R,CC,PAL,6b83a43f2128570096ef455592716a64
371-U1508B-5R-CC-PAL-OSTRA,0,10,217.43,217.53,1.8,6,,0,2,,1,,,0,0,,,,0,,,,,0,,,2,,,,371,U1508,B,5,R,CC,PAL,d94098bcdbd110e8caec3d86c5d5ae59
371-U1508B-7R-CC-PAL-OSTRA,0,10,235.2,235.3,1.4,6,,1,0,,0,,,0,0,,,,0,,,,,0,,,0,,,,371,U1508,B,7,R,CC,PAL,065bce5e733a51dcf24f769123ddc45e
371-U1508B-9R-CC-PAL-OSTRA,0,10,257.61,257.71,0.7,5,,0,0,,0,,,0,0,,,,3,,,,,0,,,0,,,,371,U1508,B,9,R,CC,PAL,17b4f13c0f7d84a4d0a054eb4cca3b19
371-U1508B-11R-CC-PAL-OSTRA,0,10,275.63,275.73,0.6,7,,0,0,,0,,,0,2,,,,0,,,,,0,,,0,,,,371,U1508,B,11,R,CC,PAL,be1c62b5b9e492bdaab387261134abf2
371-U1508B-13R-CC-PAL-OSTRA,0,10,292.89,292.99,4,6,,1,1,,0,,,2,7,,,,1,,,,,0,,,0,,,,371,U1508,B,13,R,CC,PAL,43dc9a155a8b04a4b1c1b8226be805dd
371-U1508B-15R-CC-PAL-OSTRA,0,10,312.29,312.39,4.6,6,,4,1,,2,,,0,1,,,,1,,,,,0,,,2,,,,371,U1508,B,15,R,CC,PAL,863530f982ed3d750befce85470c325d
371-U1508B-16R-CC-PAL-OSTRA,0,10,324.15,324.25,3.2,6,,2,5,,4,,,0,1,,,,3,,,,,0,,,0,,,,371,U1508,B,16,R,CC,PAL,6024744f816bde05528bac46e663ffe3
371-U1508B-17R-CC-PAL-OSTRA,0,10,339.46,339.56,7.6,6,,0,1,,0,,,5,8,,,,1,,,,,1,,,0,,,,371,U1508,B,17,R,CC,PAL,be2153e65d3797df06db095c6d3164cc
371-U1508B-18R-CC-PAL-OSTRA,0,10,345.95,346.05,0,,,,,,,,,,,,,,,,,,,,,,,,,,371,U1508,B,18,R,CC,PAL,11743ea0de846805538cc4846fe5e7e4
371-U1508B-20R-CC-PAL-OSTRA,0,10,365.36,365.46,7.2,6,,3,0,,1,,,0,4,,,,2,,,,,0,,,0,,,,371,U1508,B,20,R,CC,PAL,133310049b67b691e1294ebd72464ec7
371-U1508B-21R-CC-PAL-OSTRA,0,10,373.16,373.26,31,6,,16,9,,0,,,6,10,,,,2,,,,,4,,,7,,,,371,U1508,B,21,R,CC,PAL,87adf14828c8b06bbb43a9e12203269c
371-U1508B-22R-CC-PAL-OSTRA,0,10,382.17,382.27,0,,,,,,,,,,,,,,,,,,,,,,,,,,371,U1508,B,22,R,CC,PAL,cb8a0f17a99c124bf2fb8849fc99bf4d
371-U1508B-23R-CC-PAL-OSTRA,0,10,389.27,389.37,1,6,,0,0,,0,,,0,0,,,,1,,,,,0,,,0,,,,371,U1508,B,23,R,CC,PAL,0c7b8caccbaf651267290add192ad409
371-U1508B-24R-CC-PAL-OSTRA,0,10,398.64,398.74,1,6,,0,0,,0,,,0,0,,,,2,,,,,0,,,0,,,,371,U1508,B,24,R,CC,PAL,c90980f0ac4e9fe01ee683d691cace10
371-U1508B-25R-CC-PAL-OSTRA,0,10,408.73,408.83,3.8,6,,3,0,,3,,,1,1,,,,5,,,,,1,,,0,,,,371,U1508,B,25,R,CC,PAL,37db23b5f28545d4b71c0e3568905a71
371-U1508B-26R-CC-PAL-OSTRA,0,10,420.29,420.39,0,,,,,,,,,,,,,,,,,,,,,,,,,,371,U1508,B,26,R,CC,PAL,2401e9c66c5079ee2c557e08f819bd3e
371-U1508B-29R-CC-PAL-OSTRA,0,10,433.76,433.86,0,,,,,,,,,,,,,,,,,,,,,,,,,,371,U1508,B,29,R,CC,PAL,e192e00b3ab8a2278c62b9f52dc32129
371-U1508B-32R-CC-PAL-OSTRA,0,10,449.06,449.16,0,,,,,,,,,,,,,,,,,,,,,,,,,,371,U1508,B,32,R,CC,PAL,0c062a98d36a8e406297240c3e438790
371-U1508B-36R-CC-PAL-OSTRA,0,10,484.52,484.62,0,,,,,,,,,,,,,,,,,,,,,,,,,,371,U1508,B,36,R,CC,PAL,665486d1d26f375b044c583fcad1997f
