Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Datum name,Datum type,Datum comment,Datum age average [Ma],Zone name (short),Zone name,Zone comment,Upper boundary age min [Ma],Upper boundary age av. [Ma],Upper boundary age max [Ma],Lower boundary age min [Ma],Lower boundary age av. [Ma],Lower boundary age max [Ma],Preservation,Group abundance,Percentage of planktic forams in total foram assemblage [%],Candeina nitida,Cassigerinella chipolensis,Cassigerinella martinezpicoi,Catapsydrax dissimilis,Catapsydrax unicavus,Chiloguembelina cubensis ,Clavatorella bermudezi ,Dentoglobigerina altispira,Dentoglobigerina globosa,Dentoglobigerina sp.,Globigerina angulisuturalis,Globigerina bulloides,Globigerina ciperoensis,Globigerina druryi ,Globigerina euapertura,Globigerina gortanii ,Globigerina falconensis,Globigerina ouachitaensis ,Globigerina praebulloides,Globigerina pseudovenezuelana ,Globigerina quinqueloba,Globigerina rubescens (white),Globigerina rubescens (pink),Globigerina tapuriensis ,Globigerina tripartita,Globigerinatella insueta ,Globigerinella calida,Globigerinella obesa,Globigerinella siphonifera (aequilateralis),Globigerinita glutinata,Globigerinita uvula,Globigerinoides conglobatus ,Globigerinoides extremus,Globigerinoides fistulosus,Globigerinoides obliquus,Globigerinoides primordius ,Globigerinoides ruber (pink),Globigerinoides ruber (white) ,Globigerinoides sacculifer,Globigerinoides sicanus,Globigerinoides subquadratus,Globigerinoides tenellus,Globigerinoides trilobus ,Globoquadrina dehiscens,Globoquadrina venezuelana,Globorotalia archeomenardii ,Globorotalia cibaoensis ,Globorotalia continuousa,Globorotalia crassaformis,Globorotalia crassula ,Globorotalia decoraperta ,Globorotalia exilis ,Globorotalia fimbriata,Globorotalia flexuosa ,Globorotalia fohsi fohsi,Globorotalia hirsuta,Globorotalia inflata,Globorotalia juanai ,Globorotalia lenguaensis,Globorotalia limbata ,Globorotalia margaritae ,Globorotalia menardii ,Globorotalia miotumida,Globorotalia miozea ,Globorotalia merotumida,Globorotalia miozea/conoidea,Globorotalia multicamerata,Globorotalia peripheroacuta ,Globorotalia peripheroronda,Globorotalia plesiotumida ,Globorotalia pertenuis,Globorotalia praefohsi,Globorotalia praemenardii,Globorotalia praescitula,Globorotalia pseudomiocenica ,Globorotalia scitula,Globorotalia sp. ,Globorotaloides suteri,Globorotalia tosaensis ,Globorotalia truncatulinoides ,Globorotalia tumida ,Globoturborotalita apertura,Globoturborotalita decoraperta ,Globoturborotalita nepenthes ,Globorotalia ungulata,Globoturborotalita obliquus,Globoturborotalita woodi,Glogoturborotalita sp. ,Globorotaloides hexagona,Globorotaloides variabilis,Hantkenina alabamensis,Neogloboquadrina acostaensis,Neogloboquadrina continuosa,Neogloboquadrina dutertrei,Neogloboquadrina humerosa,Neogloboquadrina incompta,Neogloboquadrina pachyderma (dextral) ,Neogloboquadrina pachyderma,Neogloboquadrina pachyderma (sinistral),Neogloboquadrina sp. ,Orbulina sp. ,Orbulina suturalis ,Orbulina universa ,Paragloborotalia mayeri ,Paragloborotalia nana,Paragloborotalia opima,Paragloborotalia semivera,Praeorbulina circularis,Praeorbulina sicana,Praeorbulina sp. ,Pseudohastigerina cf. naguewichiensis,Pseudohastigerina micra ,Pulleniatina obliquiloculata,Pulleniatina primalis,Pulleniatina sp.,Pulleniatina spectabilis ,Sphaeroidinella dehiscens ,Sphaeroidinellopsis kochi,Sphaeroidinellopsis seminulina,Sphaeroidinellopsis sp.,Subbotina angiporoides ,Subbotina eocaena s.l.,Subbotina linaperta s.l. ,Subbotinal yeguaensis s.l.,Tenuitella gemma ,Tenuitella spp. N/A,Tenuitellinata angustiumbilicata,Turborotalia ampliapertura,Turborotalia cerroazulensis ,Turborotalia cocoaensis ,Turborotalia cunialensis,Turborotalia increbescens,Turborotalia pomeroli ,Turborotalita humilis,Comment,Shore File Links,File Data
349-U1435A-2R-CC-PAL-FORAMP,0,1,9.7,9.71,,,,,PT1b [G12],"PT1b - Globorotalia truncatulinoides Partial-range Zone (Gradstein et al., 2012)",,,0,,,0.61,,M [P32],A [A87],,,,,,,,,,,,,,,,,,R [A88],,,,R [A88],,,,,,R [A88],,R [A88],,,R [A88],,,,,R [A88],R [A88],R [A88],,,,R [A88],,,,,,R [A88],,,,,,,,R [A88],,,,,R [A88],,,,,,,,,,,,,,,,,,R [A88],R [A88],,,,,,,,,,,,,R [A88],,,,R [A88],,,,,R [A88],,,,,,,,,,R [A88],,,,,,,,,,,,,,,,,,,,,,`30% fragmentation,,
349-U1435A-3R-CC-PAL-FORAMP,0,1,19.43,19.44,,,,,M9b [G12],"M9b - Fohsella robusta/Fohsella fohsi Concurrent-range Subzone (Gradstein et al., 2012)",,,11.79,,,13.13,,M [P32],A [A87],,,,,,,,,R [A88],,,,,,,,,,,,,,,,,,,,,,,,R [A88],R [A88],,,,R [A88],R [A88],R [A88],,,,R [A88],R [A88],,,,,,,,,,,,,R [A88],,,R [A88],,R [A88],,,,,R [A88],,,,,,,,,,,,,R [A88],R [A88],,,,,,,,,,,,,R [A88],,,,R [A88],,,,,R [A88],,,,,,,,,,R [A88],,,,R [A88],,R [A88],,,,,,,,,,,,,,,,"assemblage mixture of Pleistocene, Pliocene and Miocene species, 20-30% fragmentation. Manganese clastics.",,
349-U1435A-4R-CC-PAL-FORAMP,0,6,26.65,26.71,,,,,M9b [G12],"M9b - Fohsella robusta/Fohsella fohsi Concurrent-range Subzone (Gradstein et al., 2012)",,,11.79,,,13.13,,M [P32],A [A87],,,,,,,,,F [A88],A [A88],,,R [A88],,,,,,,,,,,,,,,,,R [A88],R [A88],,,,,R [A88],,,R [A88],R [A88],,,,R [A88],R [A88],F [A88],,,,,,,,,,,,P [A88],,P [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A88],,,,,,,,,,R [A88],R [A88],,,,,,,,,P [A88],R [A88],,,P [A88],,,,,,,,,,,,,,,,,,"assemblage mixture of Pleistocene, Pliocene and Miocene species, high fragmentation ~50%, red clay.",,
349-U1435A-5R-CC-PAL-FORAMP,0,6,39.62,39.68,,,,,O2 [G12],"O2 -  (Gradstein et al., 2012)",,,30.28,,,32.1,,M [P32],A [A87],,,R [A88],R [A88],R [A88],R [A88],F [A88],,,,,,,R [A88],,,R [A88],,,F [A88],,,,,,,,,F [A88],,,,,,,,,,,,,,,,,F [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A88],,,,,,,,,,R [A88],,,,,,,,,,,,,,,,,,,R [A88],,,,,,,,,,,,,,,F [A88],R [A88],,,R [A88],,F [A88],,,,,,,chalky,,
349-U1435A-6R-CC-PAL-FORAMP,0,5,49.25,49.3,,,,,O2 [G12],"O2 -  (Gradstein et al., 2012)",,,30.28,,,32.1,,M [P32],A [A87],,,R [A88],,R [A88],R [A88],R [A88],,,,,,,R [A88],,R [A88],R [A88],,,A [A88],,,,,,R [A88],,,R [A88],R [A88],,,,,,,,,,,,,,,,F [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A88],R [A88],,,R [A88],,R [A88],,,,,,,chalky,,
349-U1435A-7R-CC-PAL-FORAMP,0,6,59.54,59.6,,,,,O1 [G12],"O1 - Pseudohastigerina naguewichiensis Highest-occurrence Zone (Gradstein et al., 2012)",,,32.1,,,33.89,,M [P32],A [A87],,,R [A88],,R [A88],R [A88],R [A88],,,,,,,,,R [A88],R [A88],,,R [A88],,,,,,,,,R [A88],,,,,,,,,,,,,,,,,R [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A88],R [A88],,,,,,,,,,R [A88],R [A88],,,,,R [A88],,,,,,,"chalky, specimens from the Opima group present",,
349-U1435A-8R-CC-PAL-FORAMP,0,6,71.55,71.61,,,,,O1 [G12],"O1 - Pseudohastigerina naguewichiensis Highest-occurrence Zone (Gradstein et al., 2012)",,,32.1,,,33.89,,P [P32],R [A87],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A88],,,,,,,,,,,,,"mainly recrystalized calcite-dolomite grains, some benthics",,
349-U1435A-9R-1-W 69/73-PAL,0,4,75.49,75.53,,,,,O1 [G12],"O1 - Pseudohastigerina naguewichiensis Highest-occurrence Zone (Gradstein et al., 2012)",,,32.1,,,33.89,,P [P32],C [A87],,,F [A88],,,,F [A88],,,,,,,R [A88],,,R [A88],,,R [A88],,,,,,,,,,,,,,,,,,,,,,,,,,F [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A88],,,,,,,,,,,R [A88],,,,R [A88],,,,,,,,,"many small forms, some benthic forms.",,
349-U1435A-9R-2-W 132/136-PAL,0,4,77.62,77.66,,,,,O1 [G12],"O1 - Pseudohastigerina naguewichiensis Highest-occurrence Zone (Gradstein et al., 2012)",,,32.1,,,33.89,,G [P32],P [A87],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"almost barren, only two tiny unidentifiable small forms, sands, some glauconite grains, pyrite, several large agglutinated benthic forms.",,
349-U1435A-9R-CC-PAL-FORAMP,0,6,79.78,79.84,,,,,,,,,,,,,,,B [A87],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"abundant fine sands; some recrystalized calcite grains; coal fragments, mica.",,
