Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],"Reworking comment (1= <1%, 2=light 1-10%, 3= >10%)",Group abundance,Comment (general),Preservation,Globigerinoides ruber (pink),Globorotalia tosaensis,Globigerinoides fistulosus,Globorotalia truncatulinoides,Globigerinoides extremus,Globorotalia miocenica,Globorotalia limbata,Globorotalia multicamerata,Dentoglobigerina altispira,Sphaeroidinellopsis seminulina,Pulleniatina primalis,Sphaeroidinella dehiscens,Globorotalia tumida,Globorotalia margaritae,Globoturborotalita nepenthes,Globorotalia merotumida,Globoquadrina dehiscens,Globorotalia lenguaensis,Neogloboquadrina acostaensis,Paragloborotalia mayeri,Fohsella fohsi,Fohsella robusta,Fohsella lobata,Fohsella peripheroacuta,Fohsella peripheroronda,Praeorbulina sicana,Globigerinatella insueta,Orbulina suturalis,Praeorbulina glomerosa,Catapsydrax dissimilis,Globigerina ciperoensis,Globigerinoides trilobus,Paragloborotalia kugleri,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
359-U1467B-1H-CC-PAL-FORAM >150,0,5,3.41,3.46,,,,VG,,,,,,,,,,,,,P,,,,,,,,,,,,,,,R,,,,R,,,,,359,U1467,B,1,H,CC,PAL,07be3523b2641ca28dd5176dfa680378
359-U1467B-2H-CC-PAL-FORAM >150,0,5,13.14,13.19,,,,VG,R,,,,,,,,,,,,P,,,,,,,,,,,,,,,P,,,,R,,,,,359,U1467,B,2,H,CC,PAL,299f407c6c57bbd141c38aecc3b2ab0a
359-U1467B-3H-CC-PAL-FORAM >150,0,5,22.47,22.52,,,,VG,P,R,,C,,,,,,,,P,C,,,,,,,,,,,,,,,C,,,,R,,,,,359,U1467,B,3,H,CC,PAL,29c195b7cec69b293ef59d6b783961e3
359-U1467B-4H-CC-PAL-FORAM >150,0,5,32.05,32.1,,,,VG,,P,,P,,,,,,,,P,P,,,,,,,,,,,,,,,R,,,,R,,,,,359,U1467,B,4,H,CC,PAL,139fa4a8bdf0ab939e55edabd422b257
359-U1467B-5H-CC-PAL-FORAM >150,0,5,41.76,41.81,,,,VG,,,,R,,,,,,,,R,,,,,,,,,,,,,,,,C,,,,R,,,,,359,U1467,B,5,H,CC,PAL,77a1c77ba992848aa63940c6bcd71411
359-U1467B-6H-CC-PAL-FORAM >150,0,5,50.94,50.99,,,,M,,,,,,,,,,,,R,C,,,,,,,,,,,,,,,C,,,,R,,,,,359,U1467,B,6,H,CC,PAL,08d9929d29965b36a55ee36374bdf13a
359-U1467B-7H-CC-PAL-FORAM >150,0,5,60.82,60.87,,,,G,,,R,R,,,,,,,,R,C,,,,,,,,,,,,,,,C,,,,R,,,,,359,U1467,B,7,H,CC,PAL,03e9ed883303f0acf45ba2e88312a320
359-U1467B-8H-CC-PAL-FORAM >150,0,5,70.01,70.06,,,,G,,,R,,,,R,,,,,R,C,,,,,,,,,,,,,,,C,,,,R,,,,,359,U1467,B,8,H,CC,PAL,c0452fd743411ce5c495e55e8d2a34c6
359-U1467B-9H-CC-PAL-FORAM >150,0,5,79.45,79.5,,,,M,,,P,,,P,C,,,,,R,C,,,,,,,,,,,,,,,C,,,,R,,,,,359,U1467,B,9,H,CC,PAL,3536c0069642d7ec20de90796425dace
359-U1467B-10H-CC-PAL-FORAM >150,0,5,89.24,89.29,,,,M,,,P,P,R,P,R,,,,,P,C,,,,,,,,,,,,,,,R,,,,R,,,,,359,U1467,B,10,H,CC,PAL,31f3328044ce73019de71da26f67e993
359-U1467B-11H-CC-PAL-FORAM >150,0,5,97.87,97.92,,,,VG,,,C,,R,P,C,P,,,,P,P,,,,,,P,,,,,,,,,R,,,,R,,,,,359,U1467,B,11,H,CC,PAL,b052de5887b9cfd4b2f76eb107bd600b
359-U1467B-12H-CC-PAL-FORAM >150,0,5,100.54,100.59,,,,G,,P,R,,R,P,C,P,,,,P,P,,,,,,P,,,,,,,,,R,,,,R,,,,,359,U1467,B,12,H,CC,PAL,9cb4ec110c3835c41ad3ff7b0b2b9ed2
359-U1467B-13H-CC-PAL-FORAM >150,0,5,109.69,109.74,,,,M,,,,,P,,R,,R,,,P,P,,,,,,P,,,,,,,,,R,,,,R,,,,,359,U1467,B,13,H,CC,PAL,f86359ba1e43a64d241a6660ec63ebf0
359-U1467B-14H-CC-PAL-FORAM >150,0,5,118.97,119.02,,,,G,,,,,,,P,,R,P,,P,P,,,,,,P,,,,,,,,,P,,,,R,,,,,359,U1467,B,14,H,CC,PAL,97fc13f7dde8e0dda5feb6c41f851fb1
359-U1467B-15H-CC-PAL-FORAM >150,0,5,128.55,128.6,,,,G,,,,,P,P,P,,C,R,P,P,R,,,,,,R,,,,,,,,,P,,,,R,,,,,359,U1467,B,15,H,CC,PAL,23386044961dca42ac914507d229ed1f
359-U1467B-16H-CC-PAL-FORAM >150,0,5,137.88,137.93,,,,VP,,,,,P,,P,,C,P,,,R,P,,,,,R,,,,,,,,,P,,,,P,,,,,359,U1467,B,16,H,CC,PAL,fa2418511dd39dc6738b8b57efc7f768
