Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Datum name,Datum name generic,Datum comment,Datum age average [Ma],Zone name (short),Zone name,Zone comment,Upper boundary age av. [Ma],Lower boundary age av. [Ma],Group abundance,Preservation,Fragmentation,Percentage of planktic forams in total foram assemblage [%],Fragmentation rank [auto-pop],Terrestrial organic matter,Pyrite,"Reworking comment (1= <1%, 2=light 1-10%, 3= >10%)",Aspect comment (etching),Comment (general),Acarinina alticonica,Acarinina bullbrooki,Acarinina collactea,Acarinina primitiva,Beella digitata,Candeina nitida,Cassigerinella chipolensis,Cassigerinella martinezpicoi,Catapsydrax dissimilis,Chiloguembelina cubensis,Clavatorella bermudezi,Cribrohantkenina inflata,Dentoglobigerina altispira,Dentoglobigerina baroemoenensis,Dentoglobigerina globularis,Dentoglobigerina juxtabinaiensis,Dentoglobigerina sp.,Dentoglobigerina tripartita,Dentoglobigerina venezuelana,Fohsella birnageae,Fohsella fohsi,Fohsella peripheroacuta,Fohsella peripheroronda,Fohsella praefohsi,Fohsella robusta,Globigeriantella insueta,Globigerina angulisuturalis,Globigerina bulloides,Globigerina ciperoensis,Globigerina euapertura,Globigerina falconensis,Globigerina rubescens,Globigerina woodi,Globigerinatella sp.,Globigerinatheka barri,Globigerinatheka index,Globigerinella aequilateralis,Globigerinella calida,Globigerinella praesiphonifera,Globigerinella radians,Globigerinella siphonifera,Globigerinita glutinata,Globigerinita uvula,Globigerinoides altiapertura,Globigerinoides bollii,Globigerinoides bulloideus,Globigerinoides conglobatus,Globigerinoides diminutus,Globigerinoides extremus,Globigerinoides fistulosus,Globigerinoides immaturus,Globigerinoides obliquus,Globigerinoides primordius,Globigerinoides pyramidalis,Globigerinoides quadrilobatus,Globigerinoides ruber (pink),Globigerinoides ruber (white),Globigerinoides ruber s.s.,"Globigerinoides ruber s.l. Wang, 2000",Globigerinoides sacculifer,Globigerinoides sacculifer (without sac),Globigerinoides seigliei,Globigerinoides subquadratus,Globigerinoides trilobus,Globoquadrina binaiensis,Globoquadrina dehiscens,Globorotalia archeomenardii,Globorotalia challengeri,Globorotalia cibaoensis,Globorotalia crassaformis,Globorotalia crassula,Globorotalia exilis,Globorotalia flexuosa,Globorotalia hirsuta,Globorotalia humerosa,Globorotalia incognita,Globorotalia inflata,Globorotalia juanai,Globorotalia lenguaensis,Globorotalia limbata,Globorotalia margaritae,Globorotalia menardii,Globorotalia merotumida,Globorotalia miozea,Globorotalia multicamerata,Globorotalia pertenuis,Globorotalia plesiotumida,Globorotalia praemenardii,Globorotalia praescitula,Globorotalia pseudomiocenica,Globorotalia puncticulata,Globorotalia scitula,Globorotalia theyeri,Globorotalia tosaensis,Globorotalia truncatulinoides,Globorotalia tumida,Globorotalia ungulata,Globorotalia zealandica,Globorotaloides hexagona,Globorotaloides quadrocameratus,Globoturborotalita apertura,Globoturborotalita decoraperta,Globoturborotalita nepenthes,Globoturborotalita rubescens,Globoturborotalita tenella,Globoturborotalita woodi,Neogloboquadrina acostaensis,Neogloboquadrina dutertrei,Neogloboquadrina humerosa,Neogloboquadrina nympha,Orbulina bilobata,Orbulina suturalis,Orbulina universa,Paragloborotalia kugleri,Paragloborotalia mayeri,Paragloborotalia sp.,Planorotalites palmerae,Planorotalites spp.,Praeorbulina circularis,Praeorbulina curva,Praeorbulina glomerosa,Praeorbulina sicana,Pulleniatina (D),Pulleniatina (S),Pulleniatina finalis,Pulleniatina obliquiloculata,Pulleniatina primalis,Pulleniatina spectabilis,Sphaeroidinella dehiscens,Sphaeroidinella excavata,Sphaeroidinellopsis kochi,Sphaeroidinellopsis seminulina,Sphaeroidinellopsis subdehiscens,Subbotina eocaena,Subbotina gortanii,Tenuitella gemma,Tenuitella munda,Tenuitellinata juvenilis,Turborotalita humilis,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
356-U1463B-1H-CC-PAL-FORAM-150-2000,0,10,7.78,7.88,,,,,,,,,,A,VG [P39],L [F02],,1,,,,,"Pteropods (C), Scaphopods (A), Ostracod (R)",,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,P,,,R,,,,,,R,,,,,,,,,,F,F,R,R,F,,P,P,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,R,,,,,,,,,,,,R,,,,,R,,,,,,,,,,,,,F,,,P,,,,,,,,,,,,,,356,U1463,B,1,H,CC,PAL,b3fd1f4e4d608a2393012db6524450f4
356-U1463B-3H-CC-PAL-FORAM-150-2000,0,10,27.1,27.2,,,,,,,,,,A,G [P39],L [F02],,1,,,,,Glauconite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,F,F,R,P,F,,,,,,,,,P,,,,,,,,,,,,P,,,,,,,,,,,,,R,P,,,,,,,,,,,,R,,,,,P,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,356,U1463,B,3,H,CC,PAL,aade47ded7033de01620b43906298108
356-U1463B-5H-CC-PAL-FORAM-150-2000,0,10,46.03,46.13,"T Globorotalia tosaensis (Gradstein et al., 2012)",T Globorotalia tosaensis,,0.61,PT1a,"PT1a - Globorotalia tosaensis High-occurrence Zone (Gradstein et al., 2012)",,0.61,1.88,A,M [P39],L [F02],80,1,,,,,Ostracods (C); sponge spicules (P); peloids,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,R,P,,,,,P,,,,,,,,,,F,R,P,P,P,,,,,,,,,P,,,,,,,,,,,,R,,,,,,,,,,,,P,,,P,,,,,,,,,,,R,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1463,B,5,H,CC,PAL,822118f3dc903a1edb9441b17dd99c66
356-U1463B-7H-CC-PAL-FORAM-150-2000,0,10,64.44,64.54,,,,,,,,,,A,M [P39],,80,,,,,,Ostracod (P),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,R,,,,,,,,,,,,,,,,F,P,P,,P,,,P,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,P,,,P,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,356,U1463,B,7,H,CC,PAL,cded159e615e0aa3de33be0b233f5f41
356-U1463B-9H-CC-PAL-FORAM-150-2000,0,10,83.62,83.72,,,,,,,,,,A,M [P39],,80,,,,,,Ostracod (P),,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,P,,,P,,,,,,,,,,,,,,,,P,R,P,P,P,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,P,R,,,,,,,,,,,,,R,,,,,P,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,356,U1463,B,9,H,CC,PAL,f39dd99328738f9eff34cfdfaad91d59
356-U1463B-13H-CC-PAL-FORAM-150 2000,0,10,121.95,122.05,,,,,,,,,,C,M [P39],,80,,,,,,Ostracod (P); sponge spicules,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,P,R,P,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,P,,,,,P,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,356,U1463,B,13,H,CC,PAL,2d73303964c66bc4bd057940b3121d59
356-U1463B-15H-CC-PAL-FORAM-150-2000,0,10,139.18,139.28,"T Globoturborotalita apertura (Gradstein et al., 2012)",T Globoturborotalita apertura,,1.64,PT1a,"PT1a - Globorotalia tosaensis High-occurrence Zone (Gradstein et al., 2012)",,0.61,1.88,C,M [P39],,80,,,,,,Ostracod (P),,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,P,,,,,,,,,,,P,,,,,P,F,P,P,P,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,P,,,,,,,P,,,,,,,P,,,,,P,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,356,U1463,B,15,H,CC,PAL,8604e7c7740a20321e373947ee1be5de
356-U1463B-17H-CC-PAL-FORAM-150 2000,0,10,159.4,159.5,"B Globorotalia truncatulinoides (Gradstein et al., 2012)",B Globorotalia truncatulinoides,,1.93,PT1a,"PT1a - Globorotalia tosaensis High-occurrence Zone (Gradstein et al., 2012)",,0.61,1.88,C,M [P39],,70,,,,,,Ostracod (P),,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,P,,,,,,,,,,P,,,,,,P,P,P,P,,,P,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,P,P,,,,,,P,,,,,,,P,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,356,U1463,B,17,H,CC,PAL,c9093d941d26d9b5dfc858de778a4d7e
356-U1463B-19H-6-PAL-FORAM-150-2000,0,10,178.02,178.12,"T Globigerinoides fistulosus (Gradstein et al., 2012)",T Globigerinoides fistulosus,,1.88,PT1a,"PT1a - Globorotalia tosaensis High-occurrence Zone (Gradstein et al., 2012)",,0.61,1.88,C,M [P39],,70,,,,,,Ostracod (P): sponge spicules,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,P,,,P,,,,,,,,,P,P,P,,,,,P,P,P,P,P,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,P,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,356,U1463,B,19,H,6,PAL,98130285920e12f3ff72c713d96f3f96
356-U1463B-21H-CC-PAL-FORAM-150-2000,0,8,197.57,197.65,,,,,,,,,,C,M [P39],,70,,,,,,Ostracod (P); sponge spicules,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,P,,,,,,,,,,,,,,,,P,P,P,P,P,,,P,,,,,,P,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,P,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,356,U1463,B,21,H,CC,PAL,d3d6d7360c36bf3f23ae9179d45237db
