Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Datum name,Datum type,Datum comment,Datum age average [Ma],Zone name (short),Zone name,Zone comment,Upper boundary age min [Ma],Upper boundary age av. [Ma],Upper boundary age max [Ma],Lower boundary age min [Ma],Lower boundary age av. [Ma],Lower boundary age max [Ma],Preservation,Group abundance,Percentage of planktic forams in total foram assemblage [%],Candeina nitida,Cassigerinella chipolensis,Cassigerinella martinezpicoi,Catapsydrax dissimilis,Catapsydrax unicavus,Chiloguembelina cubensis,Clavatorella bermudezi,Dentoglobigerina altispira,Dentoglobigerina globosa,Dentoglobigerina sp.,Globigerina angulisuturalis,Globigerina bulloides,Globigerina ciperoensis,Globigerina druryi,Globigerina euapertura,Globigerina gortanii,Globigerina falconensis,Globigerina ouachitaensis,Globigerina praebulloides,Globigerina pseudovenezuelana,Globigerina quinqueloba,Globigerina rubescens (white),Globigerina rubescens (pink),Globigerina tapuriensis,Globigerina tripartita,Globigerinatella insueta,Globigerinella calida,Globigerinella obesa,Globigerinella siphonifera (aequilateralis),Globigerinita glutinata,Globigerinita uvula,Globigerinoides conglobatus,Globigerinoides extremus,Globigerinoides fistulosus,Globigerinoides obliquus,Globigerinoides primordius,Globigerinoides ruber (pink),Globigerinoides ruber (white),Globigerinoides sacculifer,Globigerinoides sicanus,Globigerinoides subquadratus,Globigerinoides tenellus,Globigerinoides trilobus,Globoquadrina dehiscens,Globoquadrina venezuelana,Globorotalia archeomenardii,Globorotalia cibaoensis,Globorotalia continuousa,Globorotalia crassaformis,Globorotalia crassula,Globorotalia decoraperta,Globorotalia exilis,Globorotalia fimbriata,Globorotalia flexuosa,Globorotalia fohsi fohsi,Globorotalia hirsuta,Globorotalia inflata,Globorotalia juanai,Globorotalia lenguaensis,Globorotalia limbata,Globorotalia margaritae,Globorotalia menardii,Globorotalia miotumida,Globorotalia miozea,Globorotalia merotumida,Globorotalia miozea/conoidea,Globorotalia multicamerata,Globorotalia peripheroacuta,Globorotalia peripheroronda,Globorotalia plesiotumida,Globorotalia pertenuis,Globorotalia praefohsi,Globorotalia praemenardii,Globorotalia praescitula,Globorotalia pseudomiocenica,Globorotalia scitula,Globorotalia sp.,Globorotaloides suteri,Globorotalia tosaensis,Globorotalia truncatulinoides,Globorotalia tumida,Globoturborotalita apertura,Globoturborotalita decoraperta,Globoturborotalita nepenthes,Globorotalia ungulata,Globoturborotalita obliquus,Globoturborotalita woodi,Glogoturborotalita sp.,Globorotaloides hexagona,Globorotaloides variabilis,Hantkenina alabamensis,Neogloboquadrina acostaensis,Neogloboquadrina continuosa,Neogloboquadrina dutertrei,Neogloboquadrina humerosa,Neogloboquadrina incompta,Neogloboquadrina pachyderma (dextral),Neogloboquadrina pachyderma,Neogloboquadrina pachyderma (sinistral),Neogloboquadrina sp.,Orbulina sp.,Orbulina suturalis,Orbulina universa,Paragloborotalia mayeri,Paragloborotalia nana,Paragloborotalia opima,Paragloborotalia semivera,Praeorbulina circularis,Praeorbulina sicana,Praeorbulina sp.,Pseudohastigerina cf. naguewichiensis,Pseudohastigerina micra,Pulleniatina obliquiloculata,Pulleniatina primalis,Pulleniatina sp.,Pulleniatina spectabilis,Sphaeroidinella dehiscens,Sphaeroidinellopsis kochi,Sphaeroidinellopsis seminulina,Sphaeroidinellopsis sp.,Subbotina angiporoides,Subbotina eocaena s.l.,Subbotina linaperta s.l.,Subbotinal yeguaensis s.l.,Tenuitella gemma,Tenuitella spp. N/A,Tenuitellinata angustiumbilicata,Turborotalia ampliapertura,Turborotalia cerroazulensis,Turborotalia cocoaensis,Turborotalia cunialensis,Turborotalia increbescens,Turborotalia pomeroli,Turborotalita humilis,Comment,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
349-U1431D-24X-CC-PAL-FORAMP,0,5,217.07,217.12,,,,,,,,,,,,3.59,,G [P32],C,,R,,,,,,,F,,,,,,,,,,,,,,,,,,,,,R,,,,R,,R,,,R,F,,,,,,,,,,,,,,,,,,,,,,R,,,,,,R,,,,R,,,,R,,,,,,R,,,,,,,,,,,,,,,,,,,R,F,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,349,U1431,D,24,X,CC,PAL,5e042e1715e27f20e5aeba5e66c3e7d0
349-U1431D-25X-CC-PAL-FORAMP,0,5,226.57,226.62,"T Globoturborotalita nepenthes (Gradstein et al., 2012)",T,,4.37,PL2,"PL2 - Globorotalia margaritae Highest Occurrence Zone (Gradstein et al., 2012)",,,3.85,,,4.37,,M [P32],A,,,,,,,,,R,,,,,,R,,,,,,,,,,,,,,,R,R,,,R,,R,,,,R,,,,R,,,,,,,,,,,,,,,,,R,,R,R,,,,,,,,R,,,,,,,,,,,,R,R,,,,,,,,R,,,R,,,,,,R,,,,,,,,,,,,,,,,,R,R,,,,,,,,,,,,,,,,,,,349,U1431,D,25,X,CC,PAL,7fe51bd36a54c7ce2284692661f720b4
349-U1431D-27X-CC-PAL-FORAMP,0,5,245.87,245.92,,,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,only 3 small specimens,,,349,U1431,D,27,X,CC,PAL,82b14dac266a255ea983cc4a077c7845
349-U1431D-28X-CC-PAL-FORAMP,0,5,255.38,255.43,,,,,,,,,,,,,,,B,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"almost barren, only 3 specimens",,,349,U1431,D,28,X,CC,PAL,8a92931935573b6c839ccf91a8a030fa
349-U1431D-29X-CC-PAL-FORAMP,0,5,265.21,265.26,,,,,,,,,,,,,,G [P32],A,,,,,,,,,R,R,,,,,R,,,,,,,,,,,,,,,,,,,R,,R,,,R,R,,,,,,,,,,,,,,,,,R,,,,,,R,,,,,R,,,,,,,,,,,,,,,,R,,,,,,,,,,,,R,,,,,,R,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,349,U1431,D,29,X,CC,PAL,fe72a5fedd6ecc6a3dec555a9812e1a4
349-U1431D-30X-CC-PAL-FORAMP,0,5,270.38,270.43,,,,,,,,,,,,,,G [P32],A,,,,,,,,,R,R,,,R,,,,,,,,,,,,,,,,R,R,R,,,R,,R,,,,R,,,,R,,,,,,,,,,,,,,,,,,,R,R,,,,R,,,,,,,,,,,,,,,R,R,R,,,,,,,,,,R,R,R,,R,,,R,,,,,,,,,,,,,R,,,,,R,,,,,,,,,,,,,,,,"abundant residue including mica, shallow water benthics such as Ammonia and Rotalinoides.",,,349,U1431,D,30,X,CC,PAL,ba3ea2d7c1cc99e5cf0c17d0215b7e40
349-U1431D-31X-CC-PAL-FORAMP,0,5,284.6,284.65,,,,,,,,,,,,,,G [P32],A,,R,,,,,,,R,R,,,R,,,,,,,,,,,,,,,,,R,R,,R,R,,R,,,,R,,,,R,,,,,,,,,R,,,,,,,,R,,R,,,,,R,,,,,,,,R,,,,,,,,R,R,,,,,,,,R,,,R,,,,,,R,,,,,,,,,,,,,R,,,R,,R,,,,,,,,,,,,,,,,,,,349,U1431,D,31,X,CC,PAL,0b8efe16cb9d894310f1637acb200ce1
349-U1431D-32X-CC-PAL-FORAMP,0,5,294.15,294.2,,,,,,,,,,,,,,G [P32],A,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,R,,,,R,,R,,,,,R,,,R,,,,,,,,,,,,,,,,,,,R,,,,,,,,,R,,,,,,,,,,,,R,,,,,,,,,R,,,R,,,,,R,R,,,,,,,,,,,,,R,,,,,R,,,,,,,,,,,,,,,,,,,349,U1431,D,32,X,CC,PAL,4d2d227bfe432d4a559434a7049d08b4
349-U1431D-33X-CC-PAL-FORAMP,0,5,298.56,298.61,,,,,,,,,,,,,,G [P32],R,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,R,R,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,R,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,only a few specimens,,,349,U1431,D,33,X,CC,PAL,e4f00b427a4b3a0af55fea3be6ca704e
349-U1431D-34X-CC-PAL-FORAMP,0,5,313.51,313.56,,,,,,,,,,,,,,G [P32],A,,,,,,,,,,,,,R,,,,,R,,,,R,,,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"foram sands, all small (plan+bent), well sorted, with some mica.
Juvenile forms of other species from high productivity area.",,,349,U1431,D,34,X,CC,PAL,bba2c06b5dbe85527d4ce08f6a92d0e2
349-U1431D-35X-CC-PAL-FORAMP,0,5,317.65,317.7,,,,,,,,,,,,,,M [P32],R,,,,,,,,,R,,,,,,R,,,,,,,,,,,,,,,,,,,,,R,,,R,R,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,349,U1431,D,35,X,CC,PAL,247b76fb690581187742f1db1a630b8e
349-U1431D-36X-CC-PAL-FORAMP,0,5,329.77,329.82,,,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"a few benthic only, some ""stained"" tests ""humerosa""",,,349,U1431,D,36,X,CC,PAL,aeafdaa5fa3a145dc479bbb7c9308bcb
349-U1431D-37X-CC-PAL-FORAMP,0,5,334.65,334.7,,,,,,,,,,,,,,M [P32],P,,,,,,,,,R,,,,,,R,,,,,,,,,,,,,,,,,,,,,R,,,,R,,,,R,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,R,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sand layer with shallow water benthic species,,,349,U1431,D,37,X,CC,PAL,22c492e5fcfe5255cd31d50b2583fddd
349-U1431D-38X-CC-PAL-FORAMP,0,5,346.72,346.77,,,,,,,,,,,,,,M [P32],P,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,R,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,349,U1431,D,38,X,CC,PAL,56b52e68d32030f9175eb508ce0ae968
349-U1431D-39X-CC-PAL-FORAMP,0,5,361.67,361.72,,,,,,,,,,,,,,G [P32],A,,,,,,,,,F,R,,,F,,,,,,,,,,,,,,,,,,,,R,F,,F,,,,F,,,,F,,,,R,,,,,R,,,,,,,,,,R,,,,,,,,R,,,,,,R,,,,,R,,F,R,,,,,,,,R,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,39,X,CC,PAL,9a5a7fc8d28afbdf265f12aa4e19aeb2
349-U1431D-40X-CC-PAL-FORAMP,0,5,363.92,363.97,"B Sphaeroidinella dehiscens sensu lato (Gradstein et al., 2012)",B,,5.53,PL1 (Indo-Pacific),"PL1 (Atlantic) - Globorotalia tumida/Globoturborotalita nepenthes Concurrent-range Zone (Atlantic) (Gradstein et al., 2012)",,,4.37,,,5.72,,M [P32],R,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,R,,F,,,,R,,,,R,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,R,F,F,F,,,,,,,,,,,R,,,R,,,R,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,349,U1431,D,40,X,CC,PAL,3632c332100d15a0dc234ee74b3beefa
349-U1431D-41X-CC-PAL-FORAMP,0,5,378.81,378.86,,,,,,,,,,,,,,G [P32],A,,,,,,,,,F,,,,,,R,,,,,,,,,,,,,,,R,,,,R,,F,,,,R,,,,R,,,,,,,,,,,,,,,,,,,R,,,,,,,,R,,,,,,,,,,,,R,R,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,R,,F,,,,,,,,,,,,,,,,S. cf. dehiscens,,,349,U1431,D,41,X,CC,PAL,b2d9dca271ca9778fb74c7254d16bf4e
349-U1431D-42X-CC-PAL-FORAMP,0,5,385.13,385.18,,,,,,,,,,,,,,M [P32],P,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,"mainly benthic forams, dominated by Nuttallides umboniferus, only a few specimens of each of the identified PF species, young forms of Dentoglobigerina and Globoturborotalita.",,,349,U1431,D,42,X,CC,PAL,d3d9f0a3488e6eefe47bd8674c2654fd
349-U1431D-43X-CC-PAL-FORAMP,0,5,392.3,392.35,"B Globorotalia margaritae (Gradstein et al., 2012)",B,,6.08,M14,"M14 - Globigerinoides extremus Partial-range Zone (Gradstein et al., 2012)",,,5.72,,,6.14,,G [P32],C,,,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,,R,R,,R,,R,,,,R,,,R,R,,,,,,,,,,,,,,,,,,R,R,,,,,,,,R,,,,,R,R,,,,,,,F,R,,,,,,,,F,,,,,,R,,,R,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,some worm tubes,,,349,U1431,D,43,X,CC,PAL,ac5c5e9cca74cabce4c15147f1d49bc9
349-U1431D-44X-CC-PAL-FORAMP,0,5,399.01,399.06,,,,,,,,,,,,,,G [P32],A,,,,,,,,,F,R,,,R,,R,,,R,,,,,,,,,,,R,R,,,,R,,F,,,,F,,,,R,,,,,,,,,,R,,,,,,,,R,R,,,,,,,,,,,,,R,R,,,,,,,R,,,,,,,,,A,,,A,,,R,,,R,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,"sand layer, some shallow water benthic forams.",,,349,U1431,D,44,X,CC,PAL,a3a8bcc033c842bb53d7671c0cef11ca
349-U1431D-45X-CC-PAL-FORAMP,0,5,406.18,406.23,,,,,,,,,,,,,,M [P32],P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,R,,,,,,,,,R,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,sand layer with mica; only a few speciems of forams; Globorotalia sp. specimens broken.,,,349,U1431,D,45,X,CC,PAL,c142b2f3b49df536b02e62a4b2146f71
349-U1431D-46X-CC-PAL-FORAMP,0,5,417.95,418.0,,,,,,,,,,,,,,P [P32],P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,"sand layer, only a few specimens",,,349,U1431,D,46,X,CC,PAL,ec38d87b1226dd7c11de4a58610f327f
349-U1431D-47X-CC-PAL-FORAMP,0,5,431.07,431.12,,,,,,,,,,,,,,M [P32],P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,R,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,numerous tiny specimens relating to high productivity,,,349,U1431,D,47,X,CC,PAL,1e6881d67b016c362163026f3bf844a3
349-U1431D-48X-CC-PAL-FORAMP,0,5,435.63,435.68,,,,,,,,,,,,,,P [P32],P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sand layer; only some reworked/stained forms (planktonic and benthic).,,,349,U1431,D,48,X,CC,PAL,f2ecfea91c78da5b0a6ca44fc4004ebf
349-U1431D-53X-CC-PAL-FORAMP,0,5,489.29,489.34,,,,,,,,,,,,,,P [P32],B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"abundant clay residue (=deepsea clay), no forams.",,,349,U1431,D,53,X,CC,PAL,a9512e4b0eaa877a5689cb74aaf82b3f
349-U1431D-54X-CC-PAL-FORAMP,0,5,489.34,489.39,,,,,,,,,,,,,,M [P32],R,,,,,,,,,R,,,,R,,R,,,,,,,,,,,,,,R,,R,,,R,,R,,,,R,,,,R,,R,,,,,,,,,,,,,,,,,R,,,R,,,,,,,,,,,,,,,,,,,R,,,R,,,,,R,,,R,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,54,X,CC,PAL,659e8fb65add6f75db2109bbdd89a8c1
349-U1431D-55X-CC-PAL-FORAMP,0,5,500.17,500.22,,,,,,,,,,,,,,P [P32],B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abundant weathered sands (igneous origin?),,,349,U1431,D,55,X,CC,PAL,389ad7fa82e3024b0d3a848c49b601a2
349-U1431D-58X-CC-PAL-FORAMP,0,5,527.31,527.36,,,,,,,,,,,,,,M [P32],R,,,,,,,,,R,R,,,R,,,,,R,,,,,,,,,,,R,,,,,,,R,,,,R,,,,R,,R,,,,,,,,,,,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,R,,,,R,,,,,R,,,R,,,,,R,R,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,abundant sand + some stained forams,,,349,U1431,D,58,X,CC,PAL,faabc4f5166dfd2eac0aa43909cdc52a
349-U1431D-60X-CC-PAL-FORAMP,0,5,554.09,554.14,,,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yellowish clay and dar ash,,,349,U1431,D,60,X,CC,PAL,b9074d1ed3ec7243bf2ebabab497273f
349-U1431D-61X-CC-PAL-FORAMP,0,5,557.46,557.51,,,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"abundant clay aggregates; almost barren, only 02 specimens of S. seminula found",,,349,U1431,D,61,X,CC,PAL,7c91519b1a0893cb7401e20a573349da
349-U1431D-62X-CC-PAL-FORAMP,0,3,565.8,565.83,,,,,,,,,,,,,,G [P32],R,,,,,,,,,R,R,,,R,,,,,,,,,,,,,,,,,,,,,,,R,,,,F,,,,R,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,R,,,R,,,,,,R,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,abundant sand + mica flakes,,,349,U1431,D,62,X,CC,PAL,04cc152c6ae1dbfaa2592ebaad6da1c8
349-U1431D-63X-CC-PAL-FORAMP,0,5,575.5,575.55,,,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sand,,,349,U1431,D,63,X,CC,PAL,ac11eb852ef5ca7da3a0c2fb8c9b7de9
349-U1431D-64X-CC-PAL-FORAMP,0,5,585.49,585.54,,,,,,,,,,,,,,M [P32],R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,R,,,,,,,,R,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,R,,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,abundant sand and mica,,,349,U1431,D,64,X,CC,PAL,6c11726d3eb604f13f52dd0ce3cfcbe5
349-U1431D-66X-CC-PAL-FORAMP,0,5,604.81,604.86,"B Globigerinoides extremus (Gradstein et al., 2012)",B,,8.93,M13b,"M13b - Globorotalia plesiotumida/Globorotalia lenguaensis Concurrent-range Subzone (Gradstein et al., 2012)",,,6.14,,,8.58,,P [P32],C,,,,,,,,,F,,,,,,R,,,,,,,,,,,,,,,,,,,R,,F,,,,R,,,,R,,R,,,,,,,,,,,,,,,R,,R,R,,,,,,,,,,,,R,,,,,,,,R,R,,,,,,,,R,,,,,,,,R,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,clay and sand + ash grains,,,349,U1431,D,66,X,CC,PAL,27dffcefb841ef4c96f4dd0f9fe7dd76
