Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Datum name,Datum type,Datum comment,Datum age average [Ma],Zone name (short),Zone name,Zone comment,Upper boundary age min [Ma],Upper boundary age av. [Ma],Upper boundary age max [Ma],Lower boundary age min [Ma],Lower boundary age av. [Ma],Lower boundary age max [Ma],Preservation,Group abundance,Percentage of planktic forams in total foram assemblage [%],Candeina nitida,Cassigerinella chipolensis,Cassigerinella martinezpicoi,Catapsydrax dissimilis,Catapsydrax unicavus,Chiloguembelina cubensis,Clavatorella bermudezi,Dentoglobigerina altispira,Dentoglobigerina globosa,Dentoglobigerina sp.,Globigerina angulisuturalis,Globigerina bulloides,Globigerina ciperoensis,Globigerina druryi,Globigerina euapertura,Globigerina gortanii,Globigerina falconensis,Globigerina ouachitaensis,Globigerina praebulloides,Globigerina pseudovenezuelana,Globigerina quinqueloba,Globigerina rubescens (white),Globigerina rubescens (pink),Globigerina tapuriensis,Globigerina tripartita,Globigerinatella insueta,Globigerinella calida,Globigerinella obesa,Globigerinella siphonifera (aequilateralis),Globigerinita glutinata,Globigerinita uvula,Globigerinoides conglobatus,Globigerinoides extremus,Globigerinoides fistulosus,Globigerinoides obliquus,Globigerinoides primordius,Globigerinoides ruber (pink),Globigerinoides ruber (white),Globigerinoides sacculifer,Globigerinoides sicanus,Globigerinoides subquadratus,Globigerinoides tenellus,Globigerinoides trilobus,Globoquadrina dehiscens,Globoquadrina venezuelana,Globorotalia archeomenardii,Globorotalia cibaoensis,Globorotalia continuousa,Globorotalia crassaformis,Globorotalia crassula,Globorotalia decoraperta,Globorotalia exilis,Globorotalia fimbriata,Globorotalia flexuosa,Globorotalia fohsi fohsi,Globorotalia hirsuta,Globorotalia inflata,Globorotalia juanai,Globorotalia lenguaensis,Globorotalia limbata,Globorotalia margaritae,Globorotalia menardii,Globorotalia miotumida,Globorotalia miozea,Globorotalia merotumida,Globorotalia miozea/conoidea,Globorotalia multicamerata,Globorotalia peripheroacuta,Globorotalia peripheroronda,Globorotalia plesiotumida,Globorotalia pertenuis,Globorotalia praefohsi,Globorotalia praemenardii,Globorotalia praescitula,Globorotalia pseudomiocenica,Globorotalia scitula,Globorotalia sp.,Globorotaloides suteri,Globorotalia tosaensis,Globorotalia truncatulinoides,Globorotalia tumida,Globoturborotalita apertura,Globoturborotalita decoraperta,Globoturborotalita nepenthes,Globorotalia ungulata,Globoturborotalita obliquus,Globoturborotalita woodi,Glogoturborotalita sp.,Globorotaloides hexagona,Globorotaloides variabilis,Hantkenina alabamensis,Neogloboquadrina acostaensis,Neogloboquadrina continuosa,Neogloboquadrina dutertrei,Neogloboquadrina humerosa,Neogloboquadrina incompta,Neogloboquadrina pachyderma (dextral),Neogloboquadrina pachyderma,Neogloboquadrina pachyderma (sinistral),Neogloboquadrina sp.,Orbulina sp.,Orbulina suturalis,Orbulina universa,Paragloborotalia mayeri,Paragloborotalia nana,Paragloborotalia opima,Paragloborotalia semivera,Praeorbulina circularis,Praeorbulina sicana,Praeorbulina sp.,Pseudohastigerina cf. naguewichiensis,Pseudohastigerina micra,Pulleniatina obliquiloculata,Pulleniatina primalis,Pulleniatina sp.,Pulleniatina spectabilis,Sphaeroidinella dehiscens,Sphaeroidinellopsis kochi,Sphaeroidinellopsis seminulina,Sphaeroidinellopsis sp.,Subbotina angiporoides,Subbotina eocaena s.l.,Subbotina linaperta s.l.,Subbotinal yeguaensis s.l.,Tenuitella gemma,Tenuitella spp. N/A,Tenuitellinata angustiumbilicata,Turborotalia ampliapertura,Turborotalia cerroazulensis,Turborotalia cocoaensis,Turborotalia cunialensis,Turborotalia increbescens,Turborotalia pomeroli,Turborotalita humilis,Comment,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
349-U1431D-11H-5-PAL-FORAMP,0,5,96.1,96.15,"T Globigerinoides extremus (Gradstein et al., 2012)",T,,1.98,PL6,"PL6 - Globigerinoides fistulosus Highest-occurrence Zone (Atlantic) (Gradstein et al., 2012)",,,1.88,,,2.39,,G [P32],A,,,,,,,,,R,,R,,,,,,,R,,,,,,,,,,,,,R,,,R,,R,,,A,A,,,R,,,,,,,R,,,,,,,R,,,,,,R,,,,,,,,R,,,,,R,R,,,,R,R,,,,,,,R,,,,,,R,R,,,R,,R,R,,,,,,,,,,,,R,,,,R,,,,,,,,,,,,,,,,,,redeposition of late Mio-e.Plio (turbudite),,,349,U1431,D,11,H,5,PAL,c7890d64dd3fea8ef34778153b583492
349-U1431D-12H-7-PAL-FORAMP,0,8,107.57,107.65,,,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,12,H,7,PAL,5623a46230255e5355597ad827e43f20
349-U1431D-13H-CC-PAL-FORAMP,0,8,116.85,116.93,"B Globorotalia truncatulinoides (Chaisson and Pearson, 1997)",B,,2.58,PL5 (Indo-Pacific),"PL5 (Indo-Pacific) - Globorotalia pseudomiocenica Highest Occurrence Zone (Indo-Pacific) (Gradstein et al., 2012)",,,3.16,,,3.47,,M [P32],A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,R,,,,,,,R,,,,R,,,,,,R,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,R,R,,,,,,,,,,,,,,R,,,,F,,R,R,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,mainly dissolution resistant species + many broken tests,,,349,U1431,D,13,H,CC,PAL,b6e3464993858ec093cfe62ba4199ef8
349-U1431D-14H-CC-PAL-FORAMP,0,7,125.45,125.52,,,,,,,,,,,,,,M [P32],R,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,R,,,,,F,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,R,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,349,U1431,D,14,H,CC,PAL,8884d21a4d19199539b3f7bd4687471d
349-U1431D-15H-CC-PAL-FORAMP,0,6,135.2,135.26,,,,,,,,,,,,,,M [P32],A,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,R,,R,,,R,,R,,,R,,,,,R,,,,,,,,,,,,,,,,R,,R,,,,,,,,,R,,,,,R,,,,,,,,R,R,,,,R,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,mostly small,,,349,U1431,D,15,H,CC,PAL,97481798c6ea149a92187c621d6608c5
349-U1431D-16H-CC-PAL-FORAMP,0,5,144.13,144.18,,,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"only 01 G. menardii, probably contamination",,,349,U1431,D,16,H,CC,PAL,665e58eee0372ca18ecf210b71ca17e5
349-U1431D-17H-CC-PAL-FORAMP,0,5,153.56,153.61,,,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"some plant and other organic debris, worm tubes often mineralized with pyrite, few benthic forams",,,349,U1431,D,17,H,CC,PAL,acf3cb36e13b10a405594634545a9a67
349-U1431D-18H-CC-PAL-FORAMP,0,0,162.0,162.0,"T Globorotalia multicamerata (Gradstein et al., 2012)",T,,2.98,PL5 (Indo-Pacific),"PL5 (Indo-Pacific) - Globorotalia pseudomiocenica Highest Occurrence Zone (Indo-Pacific) (Gradstein et al., 2012)",,,3.16,,,3.47,,G [P32],A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,R,,R,R,,R,,,,R,R,,,,,,,,,R,,,R,,,,,,,,R,,R,R,,,,R,,,,,,,,,,,,,,R,,R,,,,,,,,,,,,R,,,,,,R,,,,,,,,,,,,,R,,,R,,,,,,,,,,,,,,,,,,,,,349,U1431,D,18,H,CC,PAL,91063d6f0b0084b7ba2a532ed4d4c5b2
349-U1431D-19H-CC-PAL-FORAMP,0,7,168.8,168.87,,,,,PL5 (Indo-Pacific),"PL5 (Indo-Pacific) - Globorotalia pseudomiocenica Highest Occurrence Zone (Indo-Pacific) (Gradstein et al., 2012)",,,3.16,,,3.47,,M [P32],A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,R,,R,,,,,,,,,,,F,F,,,,,,R,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,349,U1431,D,19,H,CC,PAL,69f4faaacb069b5265ae5f1b5fd4b97e
349-U1431D-20X-CC-PAL-FORAMP,0,4,177.9,177.94,,,,,,,,,,,,,,M [P32],P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,some worm tubes present,,,349,U1431,D,20,X,CC,PAL,346b6341e28f71ffa4ad060898a28225
349-U1431D-21X-CC-PAL-FORAMP,0,5,188.3,188.35,T Dentoglobigerina altispira,,,,PL4 (Indo-Pacific),"PL4 (Indo-Pacific) - Dentoglobigerina altispira Highest Occurrence Zone (Indo-Pacific) (Gradstein et al., 2012)",,,3.47,,,3.59,,M [P32],C,,R,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,R,R,,,F,,F,,,F,F,,,,F,,,,,,R,,,,,,,R,,,,R,,R,,,,,R,,,,,,,,R,,,,,,R,,R,R,,,,,,,,,,,R,,,,,,R,,,,,,,,,,,,,R,,,,,F,,,,,,,,,,,,,,,,PL1-PL2,,,349,U1431,D,21,X,CC,PAL,f205272d411c5522174792801b625a03
349-U1431D-22X-CC-PAL-FORAMP,0,5,197.84,197.89,,,,,PL4 (Indo-Pacific),"PL4 (Indo-Pacific) - Dentoglobigerina altispira Highest Occurrence Zone (Indo-Pacific) (Gradstein et al., 2012)",,,3.47,,,3.59,,M [P32],P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,349,U1431,D,22,X,CC,PAL,a9c538ac4f13a36c191cdc0ecd9671b4
349-U1431D-23X-CC-PAL-FORAMP,0,5,207.56,207.61,"T Globorotalia margaritae (Gradstein et al., 2012)",T,,3.85,PL3,"PL3 - Sphaeroidinellopsis seminulina Highest Occurrence Zone (Indo-Pacific) (Gradstein et al., 2012)",,,3.59,,,3.85,,M [P32],A,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,R,,R,,,,R,,,,R,,,,,,,,,,,,,,,,,,R,R,,,,,,,,,,,,,R,,,,,,,,,R,,,,,,,,R,,,R,,,,,,,,,,,,,,,,,,,,,,R,R,R,,,,,,,,,,,,,,,,,,,349,U1431,D,23,X,CC,PAL,82b9c75bba1f339420889ea331bb98ff
