Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group abundance,Amphistegina sp.,Bathysiphon sp.,Cibicidoides eocenicus,Cibicidoides grimsdalei,Cibicidoides havanensis,Cibicidoides laurisae,Cibicidoides pachyderma,Cibicidoides sp.,Cibicioides mundulus,Cribrostomoides subglobosus,Dorothia brevis,Eggerella bradyi,Fursenkoina complanata,Glandulina sp.,Globocassidulina moluccensis,Globocassidulina subglobosa,Gyroidina sp.,Haplophragmoides sp.,Karrerulina sp.,Lagena sulcata,Lepidocyclina sp.,Melonis barleeanum,Nodosaria longiscata,Nodosaria sp.,Nonionella sp.,Nuttalides sp.,Oridorsalis umbonatus,Planulina weullerstorfi,Pleurostomella cylindrica,Pullenia sp.,Pullennia simplex,Pyrgo sp.,Quinqueloculina sp.,Reophax sp.,Rhabdammina sp.,Rhizammina sp.,Saccammina sp.,Sigmavirgulina tortuosa,Sphaeroidina bulloides,Stilostomella abyssorum,Stilostomella sp.,Trifarina sp.,Uvigerina hispida,Uvigerina peregrina,Uvigerina sp.,General comment,File Data,Shore File Links,eodp_id
351-U1438D-2R-CC-PAL-FORAM,351,U1438,D,2,2-CC,R,CC,PAL,FORAM,0,6,222.62,222.68,M [P02],C,,,R,,,,,,,,P,,,,F,,,,,,,,,R,,P,P,,,,,,,,,,,,,,,,,,,,,,403dd09a4791c9ef6641db4b215779d8
351-U1438D-3R-CC-PAL-FORAM,351,U1438,D,3,3-CC,R,CC,PAL,FORAM,0,6,230.1,230.16,M [P02],R,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,b987ee4adbebe15bba9f4064782083b8
351-U1438D-3R-CC-PAL-FORAM,351,U1438,D,3,3-CC,R,CC,PAL,FORAM,0,6,230.1,230.16,P [P02],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f86380cb1d8ed28dbe401fe2270a866a
351-U1438D-4R-CC-PAL-FORAM,351,U1438,D,4,4-CC,R,CC,PAL,FORAM,0,5,231.56,231.61,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0272f48070e44592b8ae18542aab53f9
351-U1438D-5R-CC-PAL-FORAM,351,U1438,D,5,5-CC,R,CC,PAL,FORAM,0,7,239.55,239.62,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eeb9c4eb8c96cb1f8182bccd2cb5b4a6
351-U1438D-6R-CC-PAL-FORAM,351,U1438,D,6,6-CC,R,CC,PAL,FORAM,0,0,250.14,250.14,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d79ca391759034601df9967f0c8df384
351-U1438D-7R-CC-PAL-FORAM,351,U1438,D,7,7-CC,R,CC,PAL,FORAM,0,0,259.84,259.84,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,caf38abf624eae444fa617cec4e2406f
351-U1438D-8R-CC-PAL-FORAM,351,U1438,D,8,8-CC,R,CC,PAL,FORAM,0,0,269.84,269.84,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e680ad72011e9ba8027e5338effa1c79
351-U1438D-9R-CC-PAL-FORAM,351,U1438,D,9,9-CC,R,CC,PAL,FORAM,0,0,280.66,280.66,M [P02],R,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ad1210e01f807493326f06f87b6768ab
351-U1438D-10R-2-A 44/45-FORAM,351,U1438,D,10,10-2,R,2,A,44/45-FORAM,0,1,288.6,288.61,M [P02],R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cca8ff08235527b60178b74521b76acb
