Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group abundance,Percentage of benthic forams in total foram assemblage [%],"Reworking comment (1= <1%, 2= light 1-10%, 3= >10%)","PALEO WATER DEPTH (IS=inner shelf, MS=middle shelf, OS=outer shelf)",Temperature Range,Aspect comment (etching),Comment (general),Large Benthic Forams [%],Acervulina mabahethi,Agglutinated spp. (indeterminate),Ammodiscus sp.,Ammonia spp.,Amphicoryna scalaris,Amphicoryna separans,Amphicoryna spp.,Amphistegina hauerina,Amphistegina lessonii,Amphistegina lobifera,Amphistegina papillosa,Amphistegina radiata,Amphistegina spp.,Anomalinella rostrata,Anomalinoides globulosus,Anomalinoides spp.,Articulina alticostata,Articulina pacifica,Assilina ammonoides,Astacolus spp.,Asterorotalia concinna,Astrononion spp.,Astrororalia milletti,Bolivina pusilla,Bolivina robusta,Bolivina sp.,Bolivina striatula,Bolivinella elegans,Bolivinita quadrilatera,Borelis spp.,Brizalina semilineata,Brizalina spp.,Bulimina aculeata,Bulimina barbata,Bulimina marginata,Bulimina sp.,Bulimina striata,Buliminella spp.,Buliminoides spp.,Cancris auriculus,Cancris spp.,Cassidulina carinata,Cassidulina sp.,Cassidulinoides spp.,Cerebrina lacunata,Challengeria spp.,Chilostomella oolina,Chilostomella sp.,Chrysalidinella dimorpha,Cibicides mediocris,Cibicides praecinctus,Cibicides spp.,Cibicides tenuimargo,Cibicides wuellerstorfi,Cibicidoides bradyi,Cibicidoides globulosus,Cibicidoides mundula,Cibicidoides renzi,Cibicidoides sp.,Cibicidoides subhaidingerii,Clavulina subangularis,Cornuspira spp.,Cristellaria bradyi,Cycloclypeus? sp.,Cymbaloporetta sp. 1,Cymbaloporetta spp.,Discorbia spp.,Discorbinella sp. 1,Discorbinella spp.,Discorbis spp.,Eggerella bradyi,Ehrenbergina pacifica,Ehrenbergina spp.,Elhpidium craticulatum,Elongobula crispum,Elongobula parallela,Elphidium advenum limbatum,Elphidium excavatum,Elphidium hispidulum,Elphidium macellum,Elphidium spp.,Epistominella exigua,Epistominella spp.,Euloxostomum pseudobeyrichi,Eusphaeroidina inflata,Favocassidulina favus,Fissurina formosa,Fissurina marginata,Fissurina sp.,Frondricularia spp.,Gaudryina convexa,Gavelinopsis praegeri,Glabratella spp.,Glandulina spp.,Globobulimina affinis,Globocassidulina spp.,Globocassidulina subglobosa,Globogyroidina boninensis,Guttulina communis,Guttulina spp.,Guttulina yabei,Gyroidina neosoldanii,Gyroidinoides spp.,Hauerina spp.,Heterolepa bradyi,Heterostegina depressa,Hoeglundina elegans,Homotrema rubra,Hyalinea spp.,Inaequilina spp.,Karreriella bradyi,Laevidentalina communis,Laevidentalina inflexa,Laevidentalina spp.,Lagena sp.,Laticarinina pauperata,Lenticulina rotulata,Lenticulina sp.,Lobatula Lobatula,Marginopora spp.,Marginulina obesa,Martinotiella spp.,Martinottiella communis,Martinottiella hosoyaensis,Melonis barleeanus,Melonis pompilioides,Melonis spp.,Migros flintii,Miliolina spp.,Miliolinella oceanica,Miliolinella sp. 1,Miliolinella subrotunda,Monalysidium spp.,Mucronina compressa,Neoeponides margaritifer,Neoeponides procerus,Neoeponides spp.,Neorotalia spp.,Nephrolepidina ferrori,Nephrolepidina Spp.,Neugeborina longiscata,Nodosaria spp.,Nonionella sp.,Nonionoides grateloupi,Nonionoides spp.,Numullites spp.,Nuttallides umbonifera,Obesopleurostomella brevis,Olgia spp.,Oolina globosa,Oolina spp.,Operculina ammonoides,Operculina complanata,Operculina spp.,Operculinella venosa,Ophthalmidium circularis,Oridorsalis spp.,Oridorsalis umbonatus,Osangulariella bradyi,Parafissurina sp.,Parasorites spp.,Patellina spp.,Patellinella spp.,Peneroplis spp.,Pileolina spp.,Planispirinella spp.,Planogypsina sp. 1,Planorbulina spp.,Planorbulinella larvata,Planospirina spp.,Planularia gemmata,Planularia spp.,Planulina spp.,Pleurostomella acuminata,Pleurostomella acuta,Pleurostomella sp. A,Pleurostomella spp.,Procerolagena spp.,Pseudoclavulina juncea,Pseudonodosaria sp.,Pseudonodosaria spp.,Pseudorotalia angusta,Pseudorotalia annectens,Pseudorotalia globosa,Pseudorotalia indopacifica,Pseudorotalia inermis,Pseudorotalia schroetiana,Pseudorotalia spp.,Pullenia bulloides,Pullenia quinqueloba,Pullenia simplex,Pullenia sp.,Pyramidulina glanduliniformis,Pyrgo denticulata,Pyrgo lucernula,Pyrgo murrhina,Pyrgo spp.,Quinqueloculina exmouthensis,Quinqueloculina lamarckiana,Quinqueloculina neocostata,Quinqueloculina patagonica,Quinqueloculina philippinensis,Quinqueloculina spp.,Quinqueloculina subpolygona,Rectobolivina bifrons,Recurvoides sp.,Reophax spp.,Reusella spp.,Rhabdammina? sp.,Rhizammina sp.,"Rhizammina sp. (Kaiho, 1992)",Rosalina spp.,Rotalinoides gaimardii,Rotalinoides spp.,Rotliammina sp.,Rudigaudryina minor,Sagrinella jugosa,Sagrinella spp.,Sahulia barkeri,Saraceneria spp.,Semicassis craticulata,Septotextularia rugosa,Sigmoidella elegantissima,Sigmoidella spp.,Sigmoilopsis schlumbergeri,Siphogeneria raphana,Siphogenerina dimorpha,Siphogenerina indica,Siphonaperta spp.,Siphoniferoides siphonifera,Siphonina tubulosa,Siphouvigerina hispida,Siphouvigerina interrupta,Siphouvigerina porrecta,Siphouvigerina proboscidae,Sorites spp.,Sphaerogypsina globulus,Sphaeroidina bulloides,Spiroloculina sp. N/A,Spiroloculina spp.,Spirotextularia fistulosa,Spirotextularia spp.,Spirotextularia tubulosa,Sprioloculina corrugata,Stilostomella abyssorum,Stilostomella gracillima,Stilostomella lepidula,Stilostomella sp.,Textularia agglutinans,Textularia catenata,Textularia lateralis,Textularia spp.,Textularia sp. 1,Textulariella barrettii,Tosaia hanzawai,Tretomphaloides spp.,Tribliolepidina spp.,Trifarina spp.,Triloculina spp.,Tritaxis fusca,Unidentified benthic forams,Uvigerina graciliformis,Uvigerina hispidocostata,Uvigerina peregrina,Uvigerina senticosa,Uvigerina spp.,Vaginulinopsis bradyi,Vertebralina spp.,Wiesnerella spp.,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
356-U1464B-1H-CC-PAL-FORAM-150-2000,0,5,2.21,2.26,VG [P39],,37,,,,,Ostracods present; gastropods present; pteropods present; scaphopods present; bryozoans present.,0,,,P,,,,,,,,,,,,,,,,,,,,,,P,P,,,,,,,,,,F,,,,,P,,,,,,,,,,,P,,,,,,,F,,,,,,P,,,,F,,,,,,,,,,,,,,P,,,,,,,,,,,P,,,R,,,,,,,,,,,,R,P,,,P,,R,,,,P,,,,,,,,P,P,,,P,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,R,,R,,,,,P,,,,,,,,,P,,P,,,,,,,,,,,,P,P,,R,,,,P,P,P,R,,,,,,,,,R,P,A,,,,,,,R,,,,,,,P,,,R,http://web.ship.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=31370631,http://web.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=31370631,"http://web.ship.iodp.tamu.edu:80/resteasy-asman/re?service=getFile&recordId=31370631,",356,U1464,B,1,H,CC,PAL
356-U1464B-2H-CC-PAL-FORAM-150-2000,0,5,11.46,11.51,G [P39],,18,,,,,Ostracods present; gastropods present; pteropods present; glauconite present.,1,,,,R,,,,,,,,,,,,,,,,,,,,,P,P,,,,,,,,,P,R,P,,,R,P,F,,,,,,,,,,F,,,,,,,F,,,,,,P,,,,P,,,,,,,,,,,,R,,P,,,,,,,,,,,,,,R,,,,,,,,,,,,R,,,,,P,P,,,F,,,,,,,,,P,,,,,P,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,P,P,,,,,,,,,F,,,,,,P,,,,,P,P,,P,,,P,,,,,,,,P,,,,,,,,P,R,F,,,,,,P,,,R,,,P,,,,,,http://web.ship.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=31351291,http://web.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=31351291,"http://web.ship.iodp.tamu.edu:80/resteasy-asman/re?service=getFile&recordId=31351291,",356,U1464,B,2,H,CC,PAL
356-U1464B-4H-CC-PAL-FORAM-150-2000,0,5,30.77,30.82,M [P39],,16,,,,,Ostracods present,0,,,P,P,,,,,,,,,,,,,,,,,,,,,P,P,,,,,,,,,,,,,,,R,,,,,,,,,,,F,,,,,,,A,,,,,,R,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,P,F,,,P,P,,,,,,,,P,,,,,,,,,,,,,,,P,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,P,,P,,,,R,P,,,,,,,,,,,R,,P,,,,,,,,,,,,,,,,,,http://web.ship.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=31380571,http://web.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=31380571,"http://web.ship.iodp.tamu.edu:80/resteasy-asman/re?service=getFile&recordId=31380571,",356,U1464,B,4,H,CC,PAL
356-U1464B-6H-CC-PAL-FORAM-150-2000,0,5,49.75,49.8,M [P39],,10,,,,,Ostracods present; glauconite present; few and very small LBF.,5,,,,P,,R,P,,,,,,,,,,,,,,,,,,P,R,,,,,F,,,,,P,,,,,P,,,,,,,,,,,F,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,A,,,A,,,,,,,,,P,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,R,,,,F,,,,,,,,,,,,,,F,,,,,,,,,,,,P,,P,,,,http://web.ship.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=31385661,http://web.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=31385661,"http://web.ship.iodp.tamu.edu:80/resteasy-asman/re?service=getFile&recordId=31385661,",356,U1464,B,6,H,CC,PAL
356-U1464B-8H-CC-PAL-FORAM-150-2000,0,5,69.09,69.14,P [P39],D [A10],12,,OS/UB,,,Pteropod and ostracods present,0,,,,,,,R,,,,,,,,,,,,,,,,,,P,P,,,,,R,,,,,,,,,,,,,,,,,,,,,R,,,,,,,F,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,R,,,A,,,,,,,,,,,,,,,,,A,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,R,,,,,,,,,,,,,,,,P,,,,,P,,,,R,,,,,P,,,,,,,,,P,,,,,,,,,,,,P,,P,,,,http://web.ship.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=31439701,http://web.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=31439701,"http://web.ship.iodp.tamu.edu:80/resteasy-asman/re?service=getFile&recordId=31439701,",356,U1464,B,8,H,CC,PAL
356-U1464B-10H-CC-PAL-FORAM-150-2000,0,5,88.12,88.17,P [P39],C [A10],10,,OS/UB,,,Ostracods and glauconite present,0,,,,,,,F,,,,,,,,,,,,,,,,,,F,F,,,,,A,,,,,P,,,,,,,,,,,,,,,,A,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,P,F,,,A,,,,,,,,,F,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,A,P,,,,,,,,,,,,,,,,,,,P,,P,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,P,,,,http://web.ship.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=31406691,http://web.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=31406691,"http://web.ship.iodp.tamu.edu:80/resteasy-asman/re?service=getFile&recordId=31406691,",356,U1464,B,10,H,CC,PAL
356-U1464B-12H-CC-PAL-FORAM-150-2000,0,5,106.87,106.92,M [P39],C [A10],24,,OS/UB,,,Ostracods and bryazoa present,0,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,A,,A,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,A,,,,,,,,,,,,,,,,,F,F,,,,,,R,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,F,,,R,,,,,,,,,,,,,P,,,,,,,,,,A,P,,,,,,,,,,,,,P,F,,,http://web.ship.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=31404721,http://web.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=31404721,"http://web.ship.iodp.tamu.edu:80/resteasy-asman/re?service=getFile&recordId=31404721,",356,U1464,B,12,H,CC,PAL
356-U1464B-14H-CC-PAL-FORAM-150-2000,0,5,126.25,126.3,M [P39],C [A10],18,,,,,Ostracods and bryazoa present,0,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,P,,,,R,,,,,,,A,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,F,,,A,,,,,,,,,,,,,,,,,A,F,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,A,,R,,,,,,,,,,,,,,,,,,,,F,,,,,,P,,,,,,,,,,,R,,,,,,,F,,,P,,,,F,,,F,R,,,,,,,,,,F,R,,,,,,,,,,,,,P,R,,,http://web.ship.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=31408371,http://web.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=31408371,"http://web.ship.iodp.tamu.edu:80/resteasy-asman/re?service=getFile&recordId=31408371,",356,U1464,B,14,H,CC,PAL
356-U1464B-16H-CC-PAL-FORAM-150-2000,0,5,145.0,145.05,M [P39],,20,,,,,Ostracods present; bryozoa present.,0,,,,,,,P,,R,,,,,,,,,,,,,,,,R,P,,,,,,,,,,,,,,,P,,,,,,,,,,,F,,,,,P,,D,R,R,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,P,R,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,R,,,,,,,,,,,,,,,P,,,,,,,,F,,,F,,,,P,,,,,,,,,,,,,,F,,,,,,P,,,P,,,P,,,,,,http://web.ship.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=31409581,http://web.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=31409581,"http://web.ship.iodp.tamu.edu:80/resteasy-asman/re?service=getFile&recordId=31409581,",356,U1464,B,16,H,CC,PAL
356-U1464B-18H-6-PAL-FORAM-150-2000,0,5,162.95,163.0,G [P39],,28,,,,,"Ostracods present, bryozoa present.",,,,,,,,,,,,,,,,,,,,,,,,,,F,R,,,,,,,,,,,,,,P,P,,,,,,,,,,,P,,,,,R,,A,R,P,,,,,P,,,R,,,,,,,,,,,P,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,P,,,,,,,,,P,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,P,,R,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,P,,,,R,P,,,,,,,,,,,,,,,,,,,,,R,,R,P,,,,,,R,,,P,,,,,,,,,,,A,R,,,,,F,,,,,,,,,,,,http://web.ship.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=31416701,http://web.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=31416701,"http://web.ship.iodp.tamu.edu:80/resteasy-asman/re?service=getFile&recordId=31416701,",356,U1464,B,18,H,6,PAL
