Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Zone name,Datum name,Preservation,Group Abundance,Comments,Anthocyrtidium angulare,Buccinosphaera invaginata,Collosphaera tuberosa,Pterocanium prismatium,Stylatractus universus,Pliocene - Pleistocene boundary,Anthocyrtidium euryclathrum,Anthocyrtidium jenghisi,Anthocyrtidium nosicaae,Didymocyrtis penultima,Lamprocyrtis neoheteroporos,Lamprocyrtis nigrinae,Lychnodictyum audax,Phormostichoartus doliolum,Phormostichoartus dolum,Phormostichoartus fistula,Pterocorys hertwigii,Stichocorys peregrina,Theocorythium trachelium trachelium,Theocorythium vetulum,Miocene - Pliocene boundary,Cyrtocapsella cornuta,Cyrtocapsella japonica,Artophormis gracilis,Botryostrobus miralestensis,Calocycletta costata,Calocycletta robusta,Calocycletta serrata,Calocycletta virginis,Carpocanopsis bramlettei,Carpocanopsis cristata,Carpocanopsis favosa,Cyrtocapsella tetrapera,Diartus hughesi,Diartus petterssoni,Didymocyrtis prismatica,Didymocyrtis tubaria,Didymocyrtis violina,Dorcadospyris alata,Dorcadospyris ateuchus,Dorcadospyris dentata,Dorcadospyris forcipata,Eucyrtidium diaphanes,Siphostichartus corona,Stichocorys delmontensis,Stichocorys wolffii,Theocyrtis annosa,Oligocene - Miocene boundary,Carpocanopsis cingulata,Centrobotrys gravida,Centrobotrys petrushevskayae,Dorcadospyris papilio,Dorcadospyris pseudopapilio,Lithocyclia angusta,Lithocyclia crux,Lychnocanoma elongata,Lychnocanoma trifolium,Eocene - Oligocene boundary,Podocyrtis diamesa,Acrosphaera spinosa,Actinomma delicatulum,Actinomma sp.,Actinomma sp. A,Antarctissa denticulata,Anthocyrtidium ophirense,Archaeospongoprunum sp.,Bekoma bidartensis,Buryella clinata,Buryella tetradica,Calocyclas bandyca,Calocyclas hispida,Calocyclas turris,Calocycloma castum,Ceratospyris borealis,Cryptamphorella sp.,Cryptocarpium azyx,Cryptocarpium ornatum,Cycladophora bicornis,Cycladophora davisiana,Cycladophora pliocenica,Dictyophimus hirundo,Dictyoprora armadillo,Dictyoprora mongolfieri,Dictyoprora pirum,Didymocyrtis antepenultima,Didymocyrtis sp.,Eucyrtidium anomalum,Eucyrtidium calvertense,Eucyrtidium punctatum,Eucyrtidium sp.,Eusyringium fistuligerum,Eusyringium lagena,Hexacontium sp.,Lamprocyclas junonis,Lamprocyrtis nigriniae,Lamptonium fabaeforme chaunothorax,Lamptonium fabaeforme constrictum,Lamptonium fabaeforme fabaeforme,Lamptonium pennatum,Lamptonium sanfilippoae,Liriospyris reticulata,Liriospyris sp.,Lithelius minor,Lithocyclia aristotelis gr.,Lophocyrtis jacchia,Lophocyrtis sp.,Lychnocanoma amphitrite,Lychnocanoma bellum,Lychnocanoma sp.,Lychnocanoma sp. B,Novixitus sp.,Otosphaera polymorpha,Phormocyrtis cubensis,Phormocyrtis striata exquisita,Phormocyrtis striata striata,Podocyrtis acalles,Podocyrtis ampla,Podocyrtis chalara,Podocyrtis dorus,Podocyrtis fasciolata,Podocyrtis goetheana,Podocyrtis helenae,Podocyrtis papalis,Podocyrtis sinuosa,Podocyrtis trachodes,Pterocanium praetextum,Pterocanium trilobum,Pterocodon (?) anteclinata,Pterocodon(?) ampla,Pterocodon(?) anteclinata,Pterocorys minythorax,Saturnalis circularis,Sethochytris triconiscus,Solenosphaera omnitubus procera,Spongatractus balbis,Spongocore sp.,Stylochlamydium asteriscus,Stylodictya multispina,Stylodictya validispina,Theocalyptra davisiana,Theocotyle conica,Theocotyle cryptocephala,Theocotyle nigriniae,Theocotyle venezuelensis,Theocotylissa alpha,Theocotylissa ficus,Tholospyris scaphipes,Thyrsocyrtis bromia,Thyrsocyrtis hirsuta,Thyrsocyrtis lochites,Thyrsocyrtis rhizodon,Thyrsocyrtis robusta,Thyrsocyrtis tensa,Thyrsocyrtis tetracantha,Thyrsocyrtis triacantha,Tristylospyris triceros,Paleocene-Eocene boundary,Bekoma campechensis,Orbula discipulus,Peritiviator (?) dumitricai,Pterocodon (?) poculum,Stylotrochus nitidus,Cretaceous-Paleogene boundary,Afens liriodes,Dictyomitra lamellicostata,Orbiculiforma renillaeformis,Siphocampe bassilis,Siphocampe daseia,Theocapsomma teren,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
362-U1481A-12-1-PAL-RADS_KACH,0,2,734.1,734.12,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362,U1481,A,12,,1,PAL,e94f6f3ba747f7e5e99c7372b0388eaf
362-U1481A-13-1-PAL-RADS_KACH,0,2,1033.0,1033.02,,,,,B,Nanno fossils found. Discoaster brouweri and D. pentaraditus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362,U1481,A,13,,1,PAL,a1e2e192517e34e6c371b0f5077878fe
362-U1481A-2R-CC-PAL-RADS_KACH,0,5,1154.49,1154.54,,,,,B,pyritized rad and sponge spicule fragments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362,U1481,A,2,R,CC,PAL,026793edb58b2f5bd0248cdf28440703
362-U1481A-3R-1-W 111/113-RADS_KACH,0,2,1160.51,1160.53,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362,U1481,A,3,R,1,W,e57db1cb85f4bc67bee7acd1bc5d3b9d
362-U1481A-3R-5-W 49/50-RADS_KACH,0,1,1164.9,1164.91,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362,U1481,A,3,R,5,W,a5881989ff1736b8a85025438d09c124
362-U1481A-3R-CC-PAL-RADS_KACH,0,5,1168.58,1168.63,,,,,B,pyritized rad and sponge spicule fragments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362,U1481,A,3,R,CC,PAL,5e34357583ada7726b9ece2c0dae8d40
362-U1481A-4R-3-W 15/17-RADS_KACH,0,2,1171.62,1171.64,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362,U1481,A,4,R,3,W,82aa6c5c2d4f31cd68b03bd602a5cdaf
362-U1481A-4R-3-W 49/51-RADS_KACH,0,2,1171.96,1171.98,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362,U1481,A,4,R,3,W,1459250773defecbff9ed087279f34cd
362-U1481A-4R-CC-PAL,0,5,1174.37,1174.42,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362,U1481,A,4,R,CC,PAL,c3029ddb1ed4f33612c47aecd3cc2990
362-U1481A-5R-CC-PAL,0,5,1181.41,1181.46,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362,U1481,A,5,R,CC,PAL,b5260f3553879d79faff18626ce30f16
