Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Zone name,Preservation,Group abundance,Emiliania huxleyi,Gephyrocapsa sp. (<4 microns),Gephyrocapsa sp. (closed >4 microns),Gephyrocapsa sp. (4-5.5 microns),Gephyrocapsa sp. (>5.5 microns),Pseudoemiliania lacunosa,Pseudoemiliania ovata,Reticulofenestra sp. (>7 microns),Reticulofenestra sp. (5-7 microns),Reticulofenestra sp. (3-5 microns),Reticulofenestra sp. (<3 microns),Cyclicargolithus floridanus,Cyclicargolithus abisectus,Reticulofenestra bisecta,Coccolithus pelagicus,Coccolithus miopelagicus,Calcidiscus leptoporus,Calcidiscus macintyrei,Calcidiscus premacintyrei,Calcidiscus tropicus,Calcidiscus tropicus +grill,Umbilicosphaera sp.,Umbilicosphaera rotula,Umbilicosphaera jafari,Coronocyclus nitescens,Hayaster perplexus,Oolithotus sp.,Tetralithoides quadrilaminata,Clausicoccus fenestratus,Hughesius tasmaniae,Hughesius gizoensis,Helicosphaera carteri,Helicosphaera sellii,Helicosphaera intermedia,Helicosphaera euphratis,Helicosphaera ampliaperta,Helicosphaera obliqua,Helicosphaera recta,Pontosphaera sp.,Scyphosphaera apsteinii,Scyphosphaera pulcherrima,Scyphosphaera globulata,Rhabdosphaera clavigera,Syracosphaera pulchra,Braarudosphaera bigelowii,Discosphaera tubifera,Umbellosphaera tenuis,Holodiscolithus macroporus,Calciosolenia sp.,Coronosphaera mediterranea,Ilselithina fusa,Discoaster brouweri,Discoaster asymmetricus,Discoaster tamalis,Discoaster triradiatus,Discoaster calcaris,Discoaster altus,Discoaster sp. cf. D. brouweri,Discoaster surculus,Discoaster variabilis,Discoaster exilis,Discoaster deflandrei,Discoaster bollii,Discoaster musicus,Discoaster petaliformis,Discoaster kugleri,Discoaster sp. cf. D. variabilis,Discoaster pentaradiatus,Discoaster prepentaradiatus,Discoaster quinqueramus,Discoaster berggrenii,Discoaster berggrenii ssp. extensus,Discoaster bergenii,Discoaster bellus,Discoaster hamatus,Catinaster coalitus,Catinaster calyculus,Sphenolithus abies,Sphenolithus heteromorphus,Sphenolithus pseudoheteromorphus,Sphenolithus belemnos,Sphenolithus conicus,Sphenolithus ciperoensis,Sphenolithus calyculus,Sphenolithus delphix,Sphenolithus capricornutus,Ceratolithus cristatus,Ceratolithus armatus,Amaurolithus delicatus,Amaurolithus tricorniculatus,Amaurolithus primus,Nicklithus amplificus,Orthorhabdus rugosus,Orthorhabdus striatus,Orthorhabdus serratus,Orthorhabdus rioi,Triquetrorhabdulus carinatus,Triquetrorhabdulus milowii,Triquetrorhabdulus challengeri,Minylitha convallis,Florisphaera profunda,Thoracosphaera heimii,Scrippsiella sp.,Thoracosphaera sp.,Ascidian spicules,Reworked species,Nannofossil comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
359-U1472A-1H-CC-PAL,0,5,5.02,5.07,NN21,"NN21 - Emiliania huxleyi (Gradstein et al., 2012)",G,A,C,A,,C,P,,,,,,,,,,R,,C,,,,,A,,,,R,R,,,,,F,,,,,,,F,,,,,F,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,R,,,,,,359,U1472,A,1,H,CC,PAL,19a871b0a2b89dd63876102c3b21bd47
359-U1472A-2H-CC-PAL,0,5,14.62,14.67,NN19,"NN19 - Pseudoemiliania lacunosa (Gradstein et al., 2012)",G,A,,A,,C,P,A,,,,,,,,,R,,C,,,,,A,,,,F,R,,,,,F,,,,,,,R,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,R,,,,,,359,U1472,A,2,H,CC,PAL,225a007035b1317410bd7b9e6b22addf
359-U1472A-3H-CC-PAL,0,5,24.28,24.33,NN19,"NN19 - Pseudoemiliania lacunosa (Gradstein et al., 2012)",M,C,,A,,,P,R,,,,,,,,,,,R,,,,,C,,R,,,,,,,,F,,,,,,,R,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,F,,,,,,359,U1472,A,3,H,CC,PAL,f946767f7dc836398bde914a0a7e4fed
359-U1472A-4H-CC-PAL,0,5,33.29,33.34,NN19,"NN19 - Pseudoemiliania lacunosa (Gradstein et al., 2012)",M,C,,C,,,,R,,,,,,,,,,,R,,,,,F,,F,,,,,,,,R,,,,,,,R,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,R,,,,,,359,U1472,A,4,H,CC,PAL,98a4732bd69031f2a572b6bafb397115
359-U1472A-5H-CC-PAL,0,5,43.06,43.11,NN19,"NN19 - Pseudoemiliania lacunosa (Gradstein et al., 2012)",P,F,,R,,,,R,,,,P,,,,,,,R,,,,,R,,F,,,,,,,,R,,,,,,,R,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,359,U1472,A,5,H,CC,PAL,ccf201d282f7de94a7b1c38d77fb6459
359-U1472A-6H-CC-PAL,0,5,52.57,52.62,,,M,C,,R,,,,R,,,,R,,,,,R,,R,,,,,R,,F,,,,,,,,R,,,,,,,R,,,,,R,P,,,,,,,C,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,359,U1472,A,6,H,CC,PAL,0b311b22bf1507f8ee61def52766a424
359-U1472A-7H-CC-PAL,0,5,61.59,61.64,,,M,A,,R,,,,C,,,,A,C,,,,C,,C,C,,,,F,,F,,,,,,,,R,,,,,,,R,R,,,,F,,,,,,,,C,,,,,,F,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1472,A,7,H,CC,PAL,bfbf9f1887033855a4e57a021df568a2
359-U1472A-8H-CC-PAL,0,5,71.72,71.77,,,M,C,,,,,,,,,,A,R,,,,R,,R,R,,,,F,,F,,,,,,,,R,,,,,,,R,,,,,,,,,,,,,R,,,,,,P,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1472,A,8,H,CC,PAL,9c9559489a8686d978baf61ecb025390
359-U1472A-9H-CC-PAL,0,5,80.23,80.28,,,G,A,,,,,,,,,,A,C,,,,,,C,R,,,,F,,F,,R,,,,,,F,,,,,,,R,R,,,,F,,,,,,,,A,,,,,,R,C,,,,,,C,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,R,R,,,,,,359,U1472,A,9,H,CC,PAL,387e9808f633edbbdc9a700692301ba1
359-U1472A-10H-CC-PAL,0,5,90.51,90.56,,,M,A,,,,,,R,,,,C,C,,,,R,,F,R,,,,C,,C,,R,,,,,,R,,,,,,,R,R,,,,R,R,,,,,,,F,,,,,,R,R,,,,,,R,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,359,U1472,A,10,H,CC,PAL,83fb55edb4c76ad39b45171efb9c8234
