Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Datum name,Datum type,Datum comment,Datum age average [Ma],Zone name (short),Zone name,Zone comment,Upper boundary age min [Ma],Upper boundary age av. [Ma],Upper boundary age max [Ma],Lower boundary age min [Ma],Lower boundary age av. [Ma],Lower boundary age max [Ma],Preservation,Group abundance,Percentage of planktic forams in total foram assemblage [%],Candeina nitida,Cassigerinella chipolensis,Cassigerinella martinezpicoi,Catapsydrax dissimilis,Catapsydrax unicavus,Chiloguembelina cubensis,Clavatorella bermudezi,Dentoglobigerina altispira,Dentoglobigerina globosa,Dentoglobigerina sp.,Globigerina angulisuturalis,Globigerina bulloides,Globigerina ciperoensis,Globigerina druryi,Globigerina euapertura,Globigerina gortanii,Globigerina falconensis,Globigerina ouachitaensis,Globigerina praebulloides,Globigerina pseudovenezuelana,Globigerina quinqueloba,Globigerina rubescens (white),Globigerina rubescens (pink),Globigerina tapuriensis,Globigerina tripartita,Globigerinatella insueta,Globigerinella calida,Globigerinella obesa,Globigerinella siphonifera (aequilateralis),Globigerinita glutinata,Globigerinita uvula,Globigerinoides conglobatus,Globigerinoides extremus,Globigerinoides fistulosus,Globigerinoides obliquus,Globigerinoides primordius,Globigerinoides ruber (pink),Globigerinoides ruber (white),Globigerinoides sacculifer,Globigerinoides sicanus,Globigerinoides subquadratus,Globigerinoides tenellus,Globigerinoides trilobus,Globoquadrina binaiensis,Globoquadrina dehiscens,Globoquadrina venezuelana,Globorotalia archeomenardii,Globorotalia cibaoensis,Globorotalia continuousa,Globorotalia crassaformis,Globorotalia crassula,Globorotalia decoraperta,Globorotalia exilis,Globorotalia fimbriata,Globorotalia flexuosa,Globorotalia fohsi fohsi,Globorotalia hirsuta,Globorotalia inflata,Globorotalia juanai,Globorotalia lenguaensis,Globorotalia limbata,Globorotalia margaritae,Globorotalia menardii,Globorotalia miotumida,Globorotalia miozea,Globorotalia merotumida,Globorotalia miozea/conoidea,Globorotalia multicamerata,Globorotalia peripheroacuta,Globorotalia peripheroronda,Globorotalia plesiotumida,Globorotalia pertenuis,Globorotalia praefohsi,Globorotalia praemenardii,Globorotalia praescitula,Globorotalia pseudomiocenica,Globorotalia scitula,Globorotalia sp.,Globorotaloides suteri,Globorotalia tosaensis,Globorotalia truncatulinoides,Globorotalia tumida,Globoturborotalita apertura,Globoturborotalita decoraperta,Globoturborotalita nepenthes,Globorotalia ungulata,Globoturborotalita obliquus,Globoturborotalita woodi,Glogoturborotalita sp.,Globorotaloides hexagona,Globorotaloides variabilis,Hantkenina alabamensis,Neogloboquadrina acostaensis,Neogloboquadrina continuosa,Neogloboquadrina dutertrei,Neogloboquadrina humerosa,Neogloboquadrina incompta,Neogloboquadrina pachyderma (dextral),Neogloboquadrina pachyderma,Neogloboquadrina pachyderma (sinistral),Neogloboquadrina sp.,Orbulina sp.,Orbulina suturalis,Orbulina universa,Paragloborotalia mayeri,Paragloborotalia nana,Paragloborotalia opima,Paragloborotalia semivera,Paragloborotalia sp.,Praeorbulina circularis,Praeorbulina sicana,Praeorbulina sp.,Pseudohastigerina cf. naguewichiensis,Pseudohastigerina micra,Pulleniatina obliquiloculata,Pulleniatina primalis,Pulleniatina sp.,Pulleniatina spectabilis,Sphaeroidinella dehiscens,Sphaeroidinellopsis kochi,Sphaeroidinellopsis seminulina,Sphaeroidinellopsis sp.,Subbotina angiporoides,Subbotina eocaena s.l.,Subbotina linaperta s.l.,Subbotinal yeguaensis s.l.,Tenuitella gemma,Tenuitella spp. N/A,Tenuitellinata angustiumbilicata,Turborotalia ampliapertura,Turborotalia cerroazulensis,Turborotalia cocoaensis,Turborotalia cunialensis,Turborotalia increbescens,Turborotalia pomeroli,Turborotalita humilis,Comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
367-U1500A-2R-CC-PAL-FORAM,0,5,386.97,387.02,,,,,,,,,,,,,,M,P,75,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,P,,,R,,F,,,,P,,,,R,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,P,,,R,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,R,,,,P,R,,,,,,,,,,,,,,,P,,,,,367,U1500,A,2,R,CC,PAL
367-U1500A-3R-CC-PAL-FORAM,0,5,394.63,394.68,,,,,,,,,,,,,,M,R,70,P,,,,,,,P,,,,P,,,,,,,,,,,,,,,,,,,,,F,,R,,,,P,,,,F,,,,,,,,,,,,,,,,,,,,P,,,P,,,,,P,,,,,P,,,,,,P,,P,R,,,,,,,,,,,P,,,,,P,,,P,,,,,,,,,,,,,,,,,F,R,,,,,,,,,,,,,,,,,,,367,U1500,A,3,R,CC,PAL
367-U1500A-4R-CC-PAL-FORAM,0,5,401.66,401.71,,,,,,,,,,,,,,M,P,85,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,P,,,P,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,367,U1500,A,4,R,CC,PAL
367-U1500A-5R-CC-PAL-FORAM,0,5,409.95,410,,,,,,,,,,,,,,M,R,70,,,,,P,,,P,,,,P,,,,,,,,,,,,,,,,,,,,,,,P,,,,P,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,P,,R,,,,,,,,,,,,,,,,,D,R,,,,,,,,,,,,,,,,,,,367,U1500,A,5,R,CC,PAL
367-U1500A-9R-CC-PAL-FORAM,0,5,448.91,448.96,,,,,,,,,,,,,,G,A,,,,,,,,,P,,,,R,,,,,,,,,,,,,,,,,,R,,F,R,,R,,,,P,,,,R,,,,,,,,,,,,,,,,,,P,R,R,,,,,,,,R,,,,,R,R,,,,,,,R,R,,,R,,,,,R,,,R,,,,,P,R,R,P,,,,,,,,,,,,,,,,R,P,,,,,,,,,,,,,,,,,,,,367,U1500,A,9,R,CC,PAL
367-U1500A-10R-CC-PAL-FORAM,0,5,455.8,455.85,,,,,,,,,,,,,,G,C,,,,,,,,,P,R,R,,P,,,,,,,,,,,,,,,,,,,,,R,,P,,,,P,,,,R,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,R,,,,,P,,,P,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,367,U1500,A,10,R,CC,PAL
367-U1500A-13R-CC-PAL-FORAM,0,5,485.91,485.96,,,,,,,,,,,,,,P,P,40,,,,,,,,P,P,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,R,,,,,,,,,,,,,,,,,,P,,,,,P,,,,,,,,,,,,,,,,,,,R,,,,,,,,P,,,,,,,,,,,R,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,lots of upper slope BF,,,,367,U1500,A,13,R,CC,PAL
367-U1500A-15R-1-PAL-FORAM,0,3,641.2,641.23,,,,,,,,,,,,,,M,R,50,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,R,,P,,,,P,,,,D,,P,P,,,,,,,,,,,,,,,P,,P,,,,,,,,R,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,P,F,P,,,,,,,,,,,,,,,"lot of shallow water benthic foraminifers, coral reef BF",,,,367,U1500,A,15,R,1,PAL
367-U1500A-17R-1-PAL-FORAM,0,5,660.89,660.94,,,,,,,,,,,,,,M,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,R,,,,,,,,,,,,,,,,,,,367,U1500,A,17,R,1,PAL
367-U1500A-18R-CC-PAL-FORAM,0,5,672.32,672.37,,,,,,,,,,,,,,M,C,,,,,,,,,P,R,R,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,P,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1500,A,18,R,CC,PAL
