Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Datum name,Datum type,Datum age average [Ma],Zone name (short),Zone name,Preservation,Group abundance,Percentage of nannos in total assemblage [%],Emiliania huxleyi,Gephyrocapsa caribbeanica,Gephyrocapsa oceanica,Gephyrocapsa sp. (<4 microns),Gephyrocapsa sp. (closed >4 microns),Gephyrocapsa sp. (4-5.5 microns),Gephyrocapsa sp. (>5.5 microns),Pseudoemiliania lacunosa,Reticulofenestra sp. (>7 microns),Reticulofenestra sp. (5-7 microns),Reticulofenestra sp. (3-5 microns),Reticulofenestra sp. (<3 microns),Reticulofenestra asanoi,Reticulofenestra pseudoumbilicus,Cyclicargolithus floridanus,Coccolithus pelagicus,Coccolithus pliopelagicus,Calcidiscus leptoporus,Calcidiscus macintyrei,Umbilicosphaera foliosa,Umbilicosphaera sibogae,Coronocyclus nitescens,Hayaster perplexus,Oolithotus sp.,Helicosphaera carteri,Helicosphaera sellii,Helicosphaera hyalina,Helicosphaera inversa,Helicosphaera wallichii,Helicosphaera spp.,Pontosphaera japonica,Pontosphaera multipora,Pontosphaera sp.,Scyphosphaera globulata,Scyphosphaera spp.,Rhabdosphaera clavigera,Syracosphaera pulchra,Syracosphaera spp.,Braarudosphaera bigelowii,Discosphaera tubifera,Umbellosphaera irregularis,Umbellosphaera tenuis,Calciosolenia murrayi,Discoaster brouweri,Discoaster asymmetricus,Discoaster tamalis,Discoaster triradiatus,Discoaster surculus,Discoaster variabilis,Discoaster pentaradiatus,Discoaster quinqueramus,Discoaster berggrenii,Discoaster blackstockae,Discoaster challengeri,Discoaster decorus,Discoaster neohamatus,Discoaster neorectus,Discoaster pansus,Discoaster quadramus,Discoaster tristellifer,Discoaster loeblichii,Discoaster spp.,Sphenolithus abies,Sphenolithus grandis,Sphenolithus neoabies,Sphenolithus spp.,Sphenolithus verensis,Ceratolithus cristatus,Ceratolithus armatus,Ceratolithus acutus,Ceratolithus larrymayeri,Ceratolithus rugosus,Ceratolithus spp.,Amaurolithus bizarrus,Amaurolithus delicatus,Amaurolithus tricorniculatus,Amaurolithus primus,Amaurolithus spp.,Nicklithus amplificus,Triquetrorhabdulus extensus,Triquetrorhabdulus rugosus,Triquetrorhabdulus spp.,Minylitha convallis,Florisphaera profunda,Thoracosphaera sp.,Ascidian spicules,Reworked species,Nannofossil comment,File Data,Ship File Links,Shore File Links,Sample,eodp_id
361,U1478,A,1,1-1,H,1,PAL,Mudline-NANNO,0,5,0.0,0.05,,,,NN21,"NN21 - Emiliania huxleyi (Gradstein et al., 2012)",G,A,,A,,A,C,,,,,,,,,,,,,,C,,C,C,,,,F,,F,R,F,,R,R,,,,C,C,,,,,P,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,361-U1478A-1H-1-PAL-Mudline-NANNO,33939d1d939cfee8f101fcd75957f841
361,U1478,A,1,1-CC,H,CC,PAL,NANNO,0,5,6.62,6.67,,,,NN21,"NN21 - Emiliania huxleyi (Gradstein et al., 2012)",G,A,,A,,C,C,,C,,,,,,,,,,,,F,,C,C,,,,C,,,,P,,,,F,,,C,F,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,361-U1478A-1H-CC-PAL-NANNO,99b1cdaa616a00f92ddc8ee602145bc2
361,U1478,A,2,2-3,H,3,W,75/75-NANNO,0,0,10.45,10.45,,,,NN21,"NN21 - Emiliania huxleyi (Gradstein et al., 2012)",G,A,,C,,C,C,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,361-U1478A-2H-3-W 75/75-NANNO,4e9b2d1e33969111b3fbaabfd9d6b0d4
361,U1478,A,2,2-4,H,4,W,75/75-NANNO,0,0,11.95,11.95,,,,NN21,"NN21 - Emiliania huxleyi (Gradstein et al., 2012)",G,A,,C,,C,C,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,361-U1478A-2H-4-W 75/75-NANNO,bdfe222ce2ca9048f10b0dce61092584
361,U1478,A,2,2-5,H,5,W,75/75-NANNO,0,0,13.45,13.45,,,,NN21,"NN21 - Emiliania huxleyi (Gradstein et al., 2012)",G,A,,C,,C,C,,A,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,361-U1478A-2H-5-W 75/75-NANNO,fcdd0e0a8d90af3465cf3d15533d235c
361,U1478,A,2,2-CC,H,CC,PAL,NANNO,0,5,15.88,15.93,,,,NN21,"NN21 - Emiliania huxleyi (Gradstein et al., 2012)",G,A,,A,,A,A,,C,,,,,,,,,,,,F,,F,F,,,,C,,,,F,,,,F,,,F,C,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,361-U1478A-2H-CC-PAL-NANNO,d2a05c6e8697e60b64f984cb30d71dc1
361,U1478,A,3,3-3,H,3,W,75/75-NANNO,0,0,19.95,19.95,,,,NN21,"NN21 - Emiliania huxleyi (Gradstein et al., 2012)",G,A,,C,,A,C,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,361-U1478A-3H-3-W 75/75-NANNO,4cefcef058e5735ccac4b0f3be299ee3
361,U1478,A,3,3-CC,H,CC,PAL,NANNO,0,5,26.01,26.06,,,,NN21,"NN21 - Emiliania huxleyi (Gradstein et al., 2012)",G,A,,C,,C,A,,C,F,,,,,,,,,,,F,,F,F,,,,C,,,P,F,,,,R,,,C,F,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,C,,,,,,,,361-U1478A-3H-CC-PAL-NANNO,7019b9f3b8be5b79bab6e29eb65e76ce
361,U1478,A,4,4-3,H,3,W,70/70-NANNO,0,0,29.4,29.4,"B Emiliania huxleyi (Gradstein et al., 2012)",B,0.29,NN20 - NN21,"NN20 - Gephyrocapsa oceanica (Gradstein et al., 2012) to NN21 - Emiliania huxleyi (Gradstein et al., 2012)",G,A,,F,F,C,A,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,361-U1478A-4H-3-W 70/70-NANNO,0ecc4c8248c5dd2652a27acc7d34ec50
361,U1478,A,4,4-4,H,4,W,70/70-NANNO,0,0,30.9,30.9,,,,NN20,"NN20 - Gephyrocapsa oceanica (Gradstein et al., 2012)",G,A,,,,,A,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,361-U1478A-4H-4-W 70/70-NANNO,7fd7d031d463771a9f5d40f828259ba3
