Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Sample preparation comment,General comment,Group Abundance,Preservation,Actinocyclus curvatulus,Actinocyclus octonarius,Actinocyclus octonarius var. tenellus,Actinocyclus spp.,Actinoptychus senarius,Actinoptychus splendens,Alveus marinus,Amphora spp.,Asterolampra spp.,Asteromphalus elegans,Asteromphalus flabellatus,Aulacoseira spp.,Azpeitia africana,Azpeitia barronii,Azpeitia nodulifera,Azpeitia tabularis,Bacteriastrum spp.,Chaetoceros spp. (resting spores),Coscinodiscus asteromphalus,Coscinodiscus oculus-iridis,Diploneis bombus,Ethmodiscus sp. fragments,Fragilariopsis doliolus,Fragilariopsis fossilis,Fragilariopsis reinholdii,Grammatophora spp.,Hemidiscus cuneiformis,Navicula spp.,Odontella spp.,Paralia sulcata,Pinnularia spp.,Planktoniella sol,Pseudotriceratium cinnamomeum,Rhizosolenia matuyamai,Rhizosolenia praebergonii,Rhizosolenia praebergonii var. robusta,Rhizosolenia setigera,Rhizosolenia spp.,Rhizosolenia styliformis,Roperia tesselata,Shionodiscus oestrupii,Stephanopyxis spp.,Thalassionema bacillaris,Thalassionema frauenfeldii,Thalassionema nitzschioides,Thalassionema nitzschioides var. parvum,Thalassiosira convexa,Thalassiosira convexa var. aspinosa,Thalassiosira convexa var. convexa,Thalassiosira eccentrica,Thalassiosira leptopus s. ampl.,Thalassiosira lineata,Thalassiosira miocenica,Thalassiosira spp.,Thalassiothrix longissima,Triceratium favus,Triceratium spp.,other Centric,other Pennate,other Centric or Pennate comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
355-U1456C-1H-1-A 80/80-DIAT,0,0,0.8,0.8,smear,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355,U1456,C,1,H,1,A,925ebf1c7252f71c49e93cddd3965730
355-U1456C-1H-3-A 12/12-DIAT,0,0,3.12,3.12,strewn,,F,M,,,,,,,,,,,,,,,,,,R,,,X,,,,,,,X,,R,X,,,,,,,,X,,,X,X,,,X,,,,,,,,,,X,X,,,,,,,355,U1456,C,1,H,3,A,5ef9b6ec0d6afe1347bf5c2a91186070
355-U1456C-1H-CC-PAL-DIAT,0,5,7.33,7.38,smear,,R,M,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355,U1456,C,1,H,CC,PAL,d2c5601feb35b084b0be0e5cb909705f
355-U1456C-3H-CC-PAL-DIAT,0,5,17.7,17.75,smear,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355,U1456,C,3,H,CC,PAL,c29758aba7105e4df0292a85550aca91
355-U1456C-4H-CC-PAL-DIAT,0,5,27.9,27.95,smear,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355,U1456,C,4,H,CC,PAL,52dfbd11bfaada967703fe292845cce7
355-U1456C-10H-3-A 30/30-SED,0,0,70.1,70.1,smear,,X,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355,U1456,C,10,H,3,A,cfaf523fec1cb261985f38230e3c52f6
355-U1456C-12H-CC-PAL-DIAT,0,5,86.62,86.67,smear,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355,U1456,C,12,H,CC,PAL,437fd7fbc999bdd8a44b1456bf8f3016
355-U1456C-13H-CC-PAL-DIAT,0,5,95.64,95.69,smear,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355,U1456,C,13,H,CC,PAL,2721df32edb84e8d0d950c30828a9f75
355-U1456C-14H-CC-PAL-DIAT,0,5,105.27,105.32,smear,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355,U1456,C,14,H,CC,PAL,e7bff9777e1d65b48dd0a3314640a735
355-U1456C-15H-CC-PAL-DIAT,0,5,115.49,115.54,smear,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355,U1456,C,15,H,CC,PAL,0354e744286707996e23154022b56299
355-U1456C-16H-CC-PAL-DIAT,0,5,122.19,122.24,smear,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355,U1456,C,16,H,CC,PAL,e5ef21607bd25a8f4e1b5700541af6fc
355-U1456C-38X-CC-PAL-DIAT,0,5,409.05,409.1,smear,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355,U1456,C,38,X,CC,PAL,53d10e5fbd53eb15875081d0375236d2
355-U1456C-39X-CC-PAL-DIAT,0,5,414.86,414.91,processed,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355,U1456,C,39,X,CC,PAL,891d36b57455ebe8c0105a2851bf7bcf
355-U1456C-39X-CC-PAL-DIAT,0,5,414.86,414.91,smear,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355,U1456,C,39,X,CC,PAL,5330c6cc041a70a0d9cab709da6780d6
355-U1456C-40X-CC-PAL-DIAT,0,5,421.01,421.06,strewn,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355,U1456,C,40,X,CC,PAL,36d3aff0f9edc8a01290c361e10fcd3a
355-U1456C-41X-CC-PAL-DIAT,0,5,432.69,432.74,smear,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355,U1456,C,41,X,CC,PAL,5deb226e8d11337d03760a84070ac3a4
355-U1456C-42X-1-PAL-DIAT,0,5,438.2,438.25,smear,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355,U1456,C,42,X,1,PAL,62c74acb4bd8560bd4c08fe284c5358c
355-U1456C-43X-1-PAL-DIAT,0,5,438.93,438.98,smear,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355,U1456,C,43,X,1,PAL,9d3cc3b708d5abfadd66afe71f68a68f
