Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],"Reworking comment (1= <1%, 2= light 1-10%, 3= >10%)",Group abundance,Comment (general),Preservation,Percentage of benthic forams in total foram assemblage [%],"PALEO WATER DEPTH (IS=inner shelf, MS=middle shelf, OS=outer shelf)",Temperature Range,Aspect comment (etching),Large Benthic Forams [%],Ammodiscus sp.,Amphistegina bicirculata,Amphistegina lessonii,Amphistegina lobifera,Amphistegina radiata,Amphistegina sp.,Baculogypsina sphaerulata,Bolivina aenariensis,Bolivina incrassata,Bolivina sp.,Bolivina sp. (crenulate),Bolivina sp. (smooth flat),Borelis melo,Bulimina aculeata,Bulimina glomarchallengeri,Bulimina mexicana,Bulimina sp.,Calcarina calcar,Calcarina sp.,Cancris sp.,Ceratocancris sp.,Cibicides  bradyi,Cibicides refulgens,Cibicides sp.,Cibicidoides guazumalensis,Cibicidoides mexicanus,Cornuspira carinata,Coryphostoma midwayensis,Cycloclypeus carpenteri,Cycloclypeus mediterraneus,Cycloclypeus sp.,Cymbalopora sp.,Dentalina sp.,Discanomalina sp.,Discogypsina sp.,Elphidium sp.,Epistomina sp.,Gyroidinoides sp.,Hoeglundina elegans,Hyalinonetrion gracillima,Lagena sp.,Lenticulina sp.,Lepidocyclina sp.,Miliolids,Neoeponides campester,Neoeponides sp.,Neorotalia calcar,Nodosaria sp.,Nummulites sp.,Nuttallides umbonifera,Operculina ammonoides,Operculina sp.,Parasorites orbitoloides,Pavonina flabelliformis,Peneroplis sp. ?,Planorbulina sp.,Planulina ariminensis,Planulina dohertyi,Planulina sp.,Planulina wuellerstorfi,Plectofrondicularia sp.,Plectofrondicularia vaughni,Pleurostomella alternans,Polymorphina sp.,Pulvinulina sp.,Pyrgo depressa,Pyrgo sp.,Quinqueloculina sp.,Ramulina globulifera,Rectuvigerina sp.,Rectuvigerina striatissima,Reophax agglutinatus,Reusella sp.,Reusella spinulosa,Rotalina oblonga,Sigmoilopsis compressa,Sigmoilopsis schlumbergeri,Siphonina pozonensis,Siphonina tenuicarinata,Sorites orbiculus,Sphaerogypsina sp.,Sphaeroidina bulloides,Spiroloculina sp.,Stilostomella lepidula,Stilostomella spp.,Textularia sp.,Trifarina sp.,Triloculina rotunda,Unidentified agglutinants,Uvigerina canariensis,Uvigerina hispida,Uvigerina proboscidea,Uvigerina schwageri,Uvigerina sp.,Vaginulinopsis bradyi,Vaginulinopsis sp.,Valvulina sp.,Valvulineria sp.,Vulvulina sp.,Vulvulina spinosa,Ship File Links,Shore File Links,File Data
359-U1467C-24X-CC-PAL-FORAM >150,0,5,580.43,580.48,,,,P,,,,,,,,,,,C,,,,C,,C,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,
359-U1467C-26X-CC-PAL-FORAM >150,0,5,602.37,602.42,,,,M,,,,,,,,,,,C,,,,C,,C,,,,C,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,C,,,,,,,,,,,,,,,C,,,,,,,,C,C,,,,,,C,,,,,,,,,,
359-U1467C-27X-CC-PAL-FORAM >150,0,5,610.13,610.18,,,,M,,,,,,,,,,,C,,,,C,,C,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,
359-U1467C-28X-CC-PAL-FORAM >150,0,5,620.47,620.52,,,,P,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,
359-U1467C-30X-CC-PAL-FORAM >150,0,5,645.42,645.47,,,,P,,,,,,,,,,,C,,,,C,,,,,,C,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,C,,,,,,,C,C,,,,,,,,,
359-U1467C-32X-CC-PAL-FORAM >150,0,5,663.53,663.58,,,,P,,,,,,,,,,,C,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,C,,,,,,,,,
359-U1467C-34X-CC-PAL-FORAM >150,0,5,678.64,678.69,,,,P,,,,,,,,,,,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,C,,,,,,
359-U1467C-37X-CC-PAL-FORAM >150,0,5,707.87,707.92,,,,P,,,,,,,,,,,,,,,R,,,,,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,
