Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group abundance,Percentage of benthic forams in total foram assemblage [%],"Reworking comment (1= <1%, 2= light 1-10%, 3= >10%)","PALEO WATER DEPTH (IS=inner shelf, MS=middle shelf, OS=outer shelf)",Temperature Range,Aspect comment (etching),Comment (general),Large Benthic Forams [%],Acervulina mabahethi,Agglutinated spp. (indeterminate),Ammodiscus sp.,Ammonia spp.,Amphicoryna scalaris,Amphicoryna separans,Amphicoryna spp.,Amphistegina hauerina,Amphistegina lessonii,Amphistegina lobifera,Amphistegina papillosa,Amphistegina radiata,Amphistegina spp.,Anomalinella rostrata,Anomalinoides globulosus,Anomalinoides spp.,Articulina alticostata,Articulina pacifica,Assilina ammonoides,Astacolus spp.,Asterorotalia concinna,Astrononion spp.,Astrororalia milletti,Bolivina pusilla,Bolivina robusta,Bolivina sp.,Bolivina striatula,Bolivinella elegans,Bolivinita quadrilatera,Borelis spp.,Brizalina semilineata,Brizalina spp.,Bulimina aculeata,Bulimina barbata,Bulimina marginata,Bulimina sp.,Bulimina striata,Buliminella spp.,Buliminoides spp.,Cancris auriculus,Cancris spp.,Cassidulina carinata,Cassidulina sp.,Cassidulinoides spp.,Cerebrina lacunata,Challengeria spp.,Chilostomella oolina,Chilostomella sp.,Chrysalidinella dimorpha,Cibicides mediocris,Cibicides praecinctus,Cibicides spp.,Cibicides tenuimargo,Cibicides wuellerstorfi,Cibicidoides bradyi,Cibicidoides globulosus,Cibicidoides mundula,Cibicidoides renzi,Cibicidoides sp.,Cibicidoides subhaidingerii,Clavulina subangularis,Cornuspira spp.,Cristellaria bradyi,Cycloclypeus? sp.,Cymbaloporetta sp. 1,Cymbaloporetta spp.,Discorbia spp.,Discorbinella sp. 1,Discorbinella spp.,Discorbis spp.,Eggerella bradyi,Ehrenbergina pacifica,Ehrenbergina spp.,Elhpidium craticulatum,Elongobula crispum,Elongobula parallela,Elphidium advenum limbatum,Elphidium excavatum,Elphidium hispidulum,Elphidium macellum,Elphidium spp.,Epistominella exigua,Epistominella spp.,Euloxostomum pseudobeyrichi,Eusphaeroidina inflata,Favocassidulina favus,Fissurina formosa,Fissurina marginata,Fissurina sp.,Frondricularia spp.,Gaudryina convexa,Gavelinopsis praegeri,Glabratella spp.,Glandulina spp.,Globobulimina affinis,Globocassidulina spp.,Globocassidulina subglobosa,Globogyroidina boninensis,Guttulina communis,Guttulina spp.,Guttulina yabei,Gyroidina neosoldanii,Gyroidinoides spp.,Hauerina spp.,Heterolepa bradyi,Heterostegina depressa,Hoeglundina elegans,Homotrema rubra,Hyalinea spp.,Inaequilina spp.,Karreriella bradyi,Laevidentalina communis,Laevidentalina inflexa,Laevidentalina spp.,Lagena sp.,Laticarinina pauperata,Lenticulina rotulata,Lenticulina sp.,Lobatula Lobatula,Marginopora spp.,Marginulina obesa,Martinotiella spp.,Martinottiella communis,Martinottiella hosoyaensis,Melonis barleeanus,Melonis pompilioides,Melonis spp.,Migros flintii,Miliolina spp.,Miliolinella oceanica,Miliolinella sp. 1,Miliolinella subrotunda,Monalysidium spp.,Mucronina compressa,Neoeponides margaritifer,Neoeponides procerus,Neoeponides spp.,Neorotalia spp.,Nephrolepidina ferrori,Nephrolepidina Spp.,Neugeborina longiscata,Nodosaria spp.,Nonionella sp.,Nonionoides grateloupi,Nonionoides spp.,Numullites spp.,Nuttallides umbonifera,Obesopleurostomella brevis,Olgia spp.,Oolina globosa,Oolina spp.,Operculina ammonoides,Operculina complanata,Operculina spp.,Operculinella venosa,Ophthalmidium circularis,Oridorsalis spp.,Oridorsalis umbonatus,Osangulariella bradyi,Parafissurina sp.,Parasorites spp.,Patellina spp.,Patellinella spp.,Peneroplis spp.,Pileolina spp.,Planispirinella spp.,Planogypsina sp. 1,Planorbulina spp.,Planorbulinella larvata,Planospirina spp.,Planularia gemmata,Planularia spp.,Planulina spp.,Pleurostomella acuminata,Pleurostomella acuta,Pleurostomella sp. A,Pleurostomella spp.,Procerolagena spp.,Pseudoclavulina juncea,Pseudonodosaria sp.,Pseudonodosaria spp.,Pseudorotalia angusta,Pseudorotalia annectens,Pseudorotalia globosa,Pseudorotalia indopacifica,Pseudorotalia inermis,Pseudorotalia schroetiana,Pseudorotalia spp.,Pullenia bulloides,Pullenia quinqueloba,Pullenia simplex,Pullenia sp.,Pyramidulina glanduliniformis,Pyrgo denticulata,Pyrgo lucernula,Pyrgo murrhina,Pyrgo spp.,Quinqueloculina exmouthensis,Quinqueloculina lamarckiana,Quinqueloculina neocostata,Quinqueloculina patagonica,Quinqueloculina philippinensis,Quinqueloculina spp.,Quinqueloculina subpolygona,Rectobolivina bifrons,Recurvoides sp.,Reophax spp.,Reusella spp.,Rhabdammina? sp.,Rhizammina sp.,"Rhizammina sp. (Kaiho, 1992)",Rosalina spp.,Rotalinoides gaimardii,Rotalinoides spp.,Rotliammina sp.,Rudigaudryina minor,Sagrinella jugosa,Sagrinella spp.,Sahulia barkeri,Saraceneria spp.,Semicassis craticulata,Septotextularia rugosa,Sigmoidella elegantissima,Sigmoidella spp.,Sigmoilopsis schlumbergeri,Siphogeneria raphana,Siphogenerina dimorpha,Siphogenerina indica,Siphonaperta spp.,Siphoniferoides siphonifera,Siphonina tubulosa,Siphouvigerina hispida,Siphouvigerina interrupta,Siphouvigerina porrecta,Siphouvigerina proboscidae,Sorites spp.,Sphaerogypsina globulus,Sphaeroidina bulloides,Spiroloculina sp. N/A,Spiroloculina spp.,Spirotextularia fistulosa,Spirotextularia spp.,Spirotextularia tubulosa,Sprioloculina corrugata,Stilostomella abyssorum,Stilostomella gracillima,Stilostomella lepidula,Stilostomella sp.,Textularia agglutinans,Textularia catenata,Textularia lateralis,Textularia spp.,Textularia sp. 1,Textulariella barrettii,Tosaia hanzawai,Tretomphaloides spp.,Tribliolepidina spp.,Trifarina spp.,Triloculina spp.,Tritaxis fusca,Unidentified benthic forams,Uvigerina graciliformis,Uvigerina hispidocostata,Uvigerina peregrina,Uvigerina senticosa,Uvigerina spp.,Vaginulinopsis bradyi,Vertebralina spp.,Wiesnerella spp.,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
356-U1461A-1F-1-PAL-RAST-150 2000,0,0,0.0,0.0,VG [P39],A,40,,IS/N,,,"Ostracods, pterapods and fish teeth present. Some planktics amd Cibicides spp. stained.",10,R,,,,,,,,R,,,,,,,,R,,,,,,,,,R,,,,,,,,,,,,,,,R,,,,P,,,,,,,,,R,,,,,F,,,P,,,R,F,D,,P,,,,,,,,,R,,P,,,,,,,,,P,,,,,R,,P,R,,P,,,,,R,,,,,F,,,,P,P,D,,,P,,,,,,,,,,,F,,,R,,,,,,,,,,,,P,,,,,,,,,,,F,,,,,,R,R,,,,R,,,,P,,,P,,,,,,,,,,,,,,,,,,,,,,,,P,,,P,R,,A,,,,,,,,,P,,,,,R,,A,,,,,,,,,,,,,,P,F,,,,,A,F,,P,P,P,,,,,A,F,F,D,,,,F,,,A,,R,,,,,,,P,,http://web.ship.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30551661,http://web.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30551661,"http://web.ship.iodp.tamu.edu:80/resteasy-asman/re?service=getFile&recordId=30551661,",356,U1461,A,1,F,1,PAL
356-U1461A-1F-CC-PAL-FORAM-150-2000,0,5,1.55,1.6,VG [P39],A,81,,,,,Abundant ostracods and pterapods along with echinoid spines and crab plates.,30,R,,R,,,,P,,A,,R,,,,,,P,P,,,,,,,,P,,,,,,,,,P,,,,,,F,,,,,,,,,,,,,F,,,,,R,,,,,,F,F,,,F,,,,F,,,,P,F,,R,R,,,,,,,,P,,P,,,,,,,,,,,,,F,P,,,,D,,,,,,F,,,F,P,,,,,,,,P,,,P,,R,,,P,,,,,,,P,,R,,,,,,,,,,,A,,,,,,R,,P,P,F,R,,,,P,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,R,P,F,,,,,R,,,,,,R,,,A,,D,,,,,,,,,,,,,,,F,,,,,,F,F,,A,R,,,,,A,F,F,D,,,,F,,,A,,F,,,,,,,,P,,,,356,U1461,A,1,F,CC,PAL
356-U1461A-4H-CC-PAL-FORAM-150-2000,0,10,20.21,20.31,VG [P39],A,87,,,,,"Abundant ostracods, pterapods and some worm casings.",35,R,,,,,,P,,D,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,R,,,,,,,,,,,,,F,,,,,R,,,,,,A,F,,,A,,,,A,,,,,A,,F,F,,,,,,,,R,,,,,,,,P,,P,,,,,F,P,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,P,,,,,,,P,,F,,,,,,,,,,,A,,,,,,R,,,A,P,A,,,,,,R,,,,,,,,,,,,,,,R,,,,,,,P,,,,,,,R,,A,,,,,F,R,,,,,,,,F,,A,,,,,,,,,,,,,,,R,,,,,,F,,,,P,,,,,F,R,,D,,,,P,,,A,,R,,,,,,,,R,http://web.ship.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30099261,http://web.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30099261,"http://web.ship.iodp.tamu.edu:80/resteasy-asman/re?service=getFile&recordId=30099261,",356,U1461,A,4,H,CC,PAL
356-U1461A-6H-CC-PAL-FORAM-150-2000,0,10,39.26,39.36,G [P39],,82,,,,,"bryozoa present, ostracods present, pteropods presents",,,,,,,P,,,F,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,F,R,,,,F,,,,,,,,,,P,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,P,,,,,,,,,,,,,,P,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,R,R,,,,,R,,,,,,,,,R,,P,,,,,,,,,,R,,,,,P,,,,,,,P,,,,,,,,,,F,A,,,,,,,P,,F,,,,,P,,,,http://web.ship.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30103541,http://web.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30103541,"http://web.ship.iodp.tamu.edu:80/resteasy-asman/re?service=getFile&recordId=30103541,",356,U1461,A,6,H,CC,PAL
356-U1461A-8H-CC-PAL-FORAM-150-2000,0,10,54.23,54.33,M [P39],,50,,,,,"peoloids present, few sponge spicules present, pteropods present low benthic and planktic foraminifera abundance",,,,,,,,,,,,P,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,P,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,F,,,,,,,,,P,,,,,,,,,http://web.ship.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30116211,http://web.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30116211,"http://web.ship.iodp.tamu.edu:80/resteasy-asman/re?service=getFile&recordId=30116211,",356,U1461,A,8,H,CC,PAL
356-U1461A-12F-CC-PAL-FORAM-150-2000,0,5,66.32,66.37,M [P39],,85,,,,,"Ostracods present, few fish teeth present",,,,,,,,,,A,,,,R,,,,,,,,,,,,,R,,,,,,,,,,,,,,,P,,,,,,,,,,,,,A,R,,,,F,,,,,,,,,R,,,,,A,,,,R,P,,R,R,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,P,,,R,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,A,,,,,,,,,http://web.ship.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30136321,http://web.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30136321,"http://web.ship.iodp.tamu.edu:80/resteasy-asman/re?service=getFile&recordId=30136321,",356,U1461,A,12,F,CC,PAL
356-U1461A-15H-CC-PAL-FORAM-150-2000,0,5,95.47,95.52,M [P39],A,44,,,,,Ostracods found indicating a proptected bay setting.,10,R,,,,,,,,F,,,,,,,,,,,,,,,,,R,,,,,,,,,P,,,,,,P,,,,,,,,,,,,,,,,,,F,,,,,,R,F,,,D,,,,A,,,,F,,,R,F,,,,,,,,P,,,,,R,,,,,P,,,,,,R,,,,P,,,,,R,F,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,D,,,,P,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,P,,,,,,,,P,,,,,,,,,,,P,,,,R,,,,,P,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,R,P,,F,,,,A,,,,,P,,,,,,,,,http://web.ship.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30153141,http://web.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30153141,"http://web.ship.iodp.tamu.edu:80/resteasy-asman/re?service=getFile&recordId=30153141,",356,U1461,A,15,H,CC,PAL
356-U1461A-17H-CC-PAL-FORAM-150-2000,0,10,114.85,114.95,P [P39],F,48,,,,,Abundant pterapods; ostracods and bivalves (far more than benthic forams). Maybe fish teeth?,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,A,,,,,,,,,,,,R,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,R,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,R,,,,,,,356,U1461,A,17,H,CC,PAL
356-U1461A-19H-CC-PAL-FORAM-150-2000,0,10,134.11,134.21,P [P39],F,47,,,,,Some ostracods.,20,,,,,,,,,A,,P,,,,,,,,,,,,,,,R,,,,,,,,,,R,,,,,P,,,,P,,,,,,,,,A,,,,,D,,,,,,,,,,R,,,,P,,,,R,,,F,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,P,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,P,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,P,,,,,,,,,P,,,,,P,,,,http://web.ship.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30157731,http://web.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30157731,"http://web.ship.iodp.tamu.edu:80/resteasy-asman/re?service=getFile&recordId=30157731,",356,U1461,A,19,H,CC,PAL
356-U1461A-21H-CC-PAL-FORAM-150-2000,0,10,150.78,150.88,P [P39],F,43,,,,,Ostracods present and maybe fish teeth?,5,,,,,,,P,,R,,P,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,P,,,,,,,,,,,,,F,,,,,A,,,,,,,,,,A,,,,P,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,P,,,,,,,,,P,,,,,,,,,,,,,,,P,,,P,,,,,,,,,,,,,,,,,,,,P,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,P,,,,,,,,,F,,,,,,,,,,,,,,,,,R,,,,,,,,,R,,,,,,,,,,,,,,,,,,http://web.ship.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30159351,http://web.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30159351,"http://web.ship.iodp.tamu.edu:80/resteasy-asman/re?service=getFile&recordId=30159351,",356,U1461,A,21,H,CC,PAL
