Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Datum name,Datum name generic,Datum comment,Datum age average [Ma],Zone name (short),Zone name,Upper boundary age av. [Ma],Lower boundary age av. [Ma],Group abundance,Preservation,Fragmentation,Percentage of planktic forams in total foram assemblage [%],Fragmentation rank [auto-pop],"Reworking comment (1= <1%, 2=light 1-10%, 3= >10%)",Aspect comment (etching),Comment (general),Candeina nitida,Cassigerinella chipolensis,Clavatorella bermudezi,Dentoglobigerina altispira,Dentoglobigerina juxtabinaiensis,Dentoglobigerina venezuelana,Globigeriantella insueta,Globigerina bulloides,Globigerinella praesiphonifera,Globigerinella siphonifera,Globigerinita glutinata,Globigerinoides conglobatus,Globigerinoides extremus,Globigerinoides fistulosus,Globigerinoides obliquus,Globigerinoides quadrilobatus,Globigerinoides ruber (pink),Globigerinoides ruber (white),Globigerinoides sacculifer,Globigerinoides sacculifer (without sack),Globigerinoides seigliei,Globigerinoides subquadratus,Globigerinoides trilobus,Globoquadrina dehiscens,Globorotalia challengeri,Globorotalia cibaoensis,Globorotalia crassaformis,Globorotalia exilis,Globorotalia flexuosa,Globorotalia hessi,Globorotalia juanai,Globorotalia lenguaensis,Globorotalia limbata,Globorotalia margaritae,Globorotalia menardii,Globorotalia multicamerata,Globorotalia pertenuis,Globorotalia plesiotumida,Globorotalia praescitula,Globorotalia puncticulata,Globorotalia tosaensis,Globorotalia truncatulinoides,Globorotalia tumida,Globorotaloides hexagona,Globoturborotalita apertura,Globoturborotalita decoraperta,Globoturborotalita nepenthes,Globoturborotalita rubescens,Globoturborotalita tenella,Globoturborotalita woodi,Neogloboquadrina acostaensis,Neogloboquadrina dutertrei,Orbulina suturalis,Orbulina universa,Paragloborotalia mayeri,Pulleniatina (D),Pulleniatina (S),Pulleniatina finalis,Pulleniatina obliquiloculata,Pulleniatina primalis,Pulleniatina spectabilis,Sphaeroidinella dehiscens,Sphaeroidinella excavata,Sphaeroidinellopsis kochi,Sphaeroidinellopsis seminulina,Sphaeroidinellopsis subdehiscens,Turborotalita humilis,Organic matter,Pyrite,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
354-U1453A-1H-CC-PAL,0,5,9.01,9.06,,,,,,,,,C,G,M [F02],98,2,,,,,,,,,F,,R,,R,,,,,,F,R,F,R,R,,,,,,,,,,,,,,,R,,,,,,,R,R,,,,,,,,,A,,R,,,,,C,,,,,,,,,,,,,,354,U1453,A,1,H,CC,PAL,4fdf1705dd919b9e062ef5fc5767da38
354-U1453A-2H-CC-PAL,0,5,15.56,15.61,,,,,PT1a,"PT1a - Globorotalia tosaensis High-occurrence Zone (Gradstein et al., 2012)",0.61,1.88,C,G,L [F02],98,1,,,,,,,,,R,,,,F,,R,,,,R,R,C,,R,,,,,,,,,,,,,,,R,,,,,,R,R,F,,,,,,,,,A,,,,,,,A,,,,,,,,,,,,,,354,U1453,A,2,H,CC,PAL,f2d00ce09c6657358b013e45641bd430
354-U1453A-3H-CC-PAL,0,5,22.94,22.99,,,,,,,,,VR,G,L [F02],100,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,354,U1453,A,3,H,CC,PAL,7e5eac1f3f16b5d34413afbfa5b3bdf7
354-U1453A-6F-CC-PAL,0,5,38.58,38.63,,,,,PT1a,"PT1a - Globorotalia tosaensis High-occurrence Zone (Gradstein et al., 2012)",0.61,1.88,A,G,M [F02],100,2,,,,,,,,,R,,C,,,,R,,,R,F,R,A,F,R,,,R,,,,,,,,,,,,,,,,,,F,,R,F,,,,R,,,,A,,R,,,,,C,,,,,,,,,,,,,,354,U1453,A,6,F,CC,PAL,43da7d1a34e6e9c694960999a30c58d0
354-U1453A-7F-CC-PAL,0,7,40.09,40.16,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,U1453,A,7,F,CC,PAL,010c0ad9966a96e10ce4d18e0c980a5d
354-U1453A-8F-CC-PAL,0,5,47.97,48.02,,,,,PT1a,"PT1a - Globorotalia tosaensis High-occurrence Zone (Gradstein et al., 2012)",0.61,1.88,A,G,M [F02],100,2,,,very small bugs,,,,,,R,,F,,F,R,,,,,F,,C,,R,,,,,,,,,,,,,,,R,,,,,,R,,R,,,,,F,R,,,A,,,,,,,R,,,,,,,,,,,,,,354,U1453,A,8,F,CC,PAL,09351f2a8988abe8dff03f5bfcfccb2b
354-U1453A-9F-CC-PAL,0,5,51.36,51.41,,,,,,,,,VR,G,L [F02],100,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,354,U1453,A,9,F,CC,PAL,38d099367b5798c8625e1d030b602ef3
354-U1453A-10F-CC-PAL,0,5,57.97,58.02,,,,,,,,,R,G,L [F02],50,1,,,,,,,,,,,,,R,,,,,,,,F,R,,,,R,,,,,,,,,,,,R,,,,,,,,R,,,,,,,,,F,,,,,,,R,,,,,,,,,present,absent,,,,354,U1453,A,10,F,CC,PAL,ffbd688696dbca08a7f1341903ace5f7
354-U1453A-11F-CC-PAL,0,5,61.84,61.89,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,present,absent,,,,354,U1453,A,11,F,CC,PAL,f7dd5abf125a4a57c749403a96911c6e
354-U1453A-12F-CC-PAL,0,10,66.82,66.92,,,,,PT1a,"PT1a - Globorotalia tosaensis High-occurrence Zone (Gradstein et al., 2012)",0.61,1.88,C,M,M [F02],73,2,,,,,,,,,,,,,,,,R,,,,R,C,F,,,,,,,,,,,,,,,,,,,,,,R,,F,,,,,,,,,C,,,,,,,R,,,R,R,,,,,present,absent,,,,354,U1453,A,12,F,CC,PAL,1fd2aa0c9faca7f46ea2d69b9ba934ec
354-U1453A-13F-CC-PAL-FORAM-FORAM(>150),0,10,71.9,72.0,,,,,,,,,VR,G,L [F02],77,1,,,,R,,,,,,,R,,,,,,,,R,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,U1453,A,13,F,CC,PAL,7d1ffa7b2392cff6e1976a92c5baac21
354-U1453A-14F-CC-PAL,0,5,76.8,76.85,,,,,,,,,C,M,M [F02],,2,,,,,,,,,R,,F,,R,,R,R,,F,,F,A,A,,,R,R,,,,,,,,,,,,R,,,,,,,,R,,,,,R,,,,C,,R,,,,,R,,,,,,,,,,,,,,354,U1453,A,14,F,CC,PAL,270cfbee6ad6971964b7f81876c00b0a
354-U1453A-15F-CC-PAL-FORAM,0,5,80.99,81.04,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,U1453,A,15,F,CC,PAL,1b8fed6c74fbefe99d4d6abb68c2bf30
354-U1453A-16F-CC-PAL,0,7,85.99,86.06,,,,,,,,,F,G,L [F02],,1,,,,,,,,,,,,,R,R,,,,,,R,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,F,,,,,R,,,R,,,,,,present,,,,,354,U1453,A,16,F,CC,PAL,f6c4dcf8a4c27e3026e889f9b23d881e
