Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group abundance,Amphistegina sp.,Bathysiphon sp.,Cibicidoides eocenicus,Cibicidoides grimsdalei,Cibicidoides havanensis,Cibicidoides laurisae,Cibicidoides pachyderma,Cibicidoides sp.,Cibicioides mundulus,Cribrostomoides subglobosus,Dorothia brevis,Eggerella bradyi,Fursenkoina complanata,Glandulina sp.,Globocassidulina moluccensis,Globocassidulina subglobosa,Gyroidina sp.,Haplophragmoides sp.,Karrerulina sp.,Lagena sulcata,Lepidocyclina sp.,Melonis barleeanum,Nodosaria longiscata,Nodosaria sp.,Nonionella sp.,Nuttalides sp.,Oridorsalis umbonatus,Planulina weullerstorfi,Pleurostomella cylindrica,Pullenia sp.,Pullennia simplex,Pyrgo sp.,Quinqueloculina sp.,Reophax sp.,Rhabdammina sp.,Rhizammina sp.,Saccammina sp.,Sigmavirgulina tortuosa,Sphaeroidina bulloides,Stilostomella abyssorum,Stilostomella sp.,Trifarina sp.,Uvigerina hispida,Uvigerina peregrina,Uvigerina sp.,General comment,File Data,Shore File Links,eodp_id
351-U1438E-4R-CC-PAL-FORAM,351,U1438,E,4,4-CC,R,CC,PAL,FORAM,0,0,871.17,871.17,G,P,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f02c4a78bdba45e756fae5a15a046246
351-U1438E-5R-CC-PAL-FORAM,351,U1438,E,5,5-CC,R,CC,PAL,FORAM,0,7,885.81,885.88,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,877eba3474d7137e0f5490080a804d2d
351-U1438E-6R-CC-PAL-FORAM,351,U1438,E,6,6-CC,R,CC,PAL,FORAM,0,5,893.77,893.82,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,752ddb55806db5e6918b0b2e29f2d1dc
351-U1438E-7R-CC-PAL-FORAM,351,U1438,E,7,7-CC,R,CC,PAL,FORAM,0,5,905.54,905.59,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d7d11f2cdb1a3d7cfc632db116896f77
351-U1438E-8R-CC-PAL-FORAM,351,U1438,E,8,8-CC,R,CC,PAL,FORAM,0,6,913.0,913.06,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f2d0f82286d5989ef76eb6cbb7798a90
351-U1438E-9R-CC-PAL-FORAM,351,U1438,E,9,9-CC,R,CC,PAL,FORAM,0,5,921.0,921.05,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94f45de6242127d23f8a2a61c52d6993
351-U1438E-10R-CC-PAL-FORAM,351,U1438,E,10,10-CC,R,CC,PAL,FORAM,0,0,935.24,935.24,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d29ce3905c9c85350b9ff96c04652a9e
351-U1438E-11R-7-PAL-FORAM,351,U1438,E,11,11-7,R,7,PAL,FORAM,0,0,943.84,943.84,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20aac70ad2539064d5eec67e2a94de1e
351-U1438E-12R-CC-PAL-FORAM,351,U1438,E,12,12-CC,R,CC,PAL,FORAM,0,0,954.55,954.55,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1f40ecbd0b9fa3f1ed41e3e0923a2e0c
351-U1438E-13R-CC-PAL-FORAM,351,U1438,E,13,13-CC,R,CC,PAL,FORAM,0,0,962.59,962.59,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e8f0015a9b1c5a0df31b6bcbb2b89754
