Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Preservation,Group Abundance,Calcidiscus leptoporus,Calcidiscus macintyrei,Catinaster coalitus,Coccolithus miopelagicus,Coccolithus pelagicus,Coronocyclus nitescens,Cyclicargolithus floridanus,Discoaster adamanteus,Discoaster asymmetricus,Discoaster bellus,Discoaster berggrenii,Discoaster bollii,Discoaster brouweri,Discoaster calcaris,Discoaster calculosus,Discoaster deflandrei,Discoaster druggii,Discoaster exilis,Discoaster hamatus,Discoaster kugleri,Discoaster loeblichii,Discoaster moorei,Discoaster neohamatus,Discoaster pentaradiatus,Discoaster petaliformis,Discoaster prepentaradiatus,Discoaster quinqueramus,Discoaster spp.,Discoaster surculus,Discoaster tamalis,Discoaster triradiatus,Discoaster variabilis,Florisphaera profunda,Helicosphaera carteri,Helicosphaera sellii,Minylitha convallis,Nicklithus amplificus,Pontosphaera spp.,Reticulofenestra pseudoumbilicus,Reticulofenestra sp. (5-7 microns),Reticulofenestra spp. small,Rhabdosphaera spp.,Scyphosphaera spp.,Sphenolithus abies,Sphenolithus conicus,Sphenolithus dissimilis,Sphenolithus heteromorphus,Sphenolithus moriformis,Syracosphaera spp.,Triquetrorhabdulus rugosus,Umbilicosphaera sibogae,Comments,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
349-U1435A-2R-CC-PAL-NANNO,0,1,9.7,9.71,NN21,M [P33],A,C,,,,,,,,,,,,,,,,,,,,,,,R,,,R,,,,,,A,F,,,,,,,,,,F,,,,,F,,F,,,,349,U1435,A,2,R,CC,PAL,6551654879839a76d5e604d01b1a03df
349-U1435A-3R-CC-PAL-NANNO,0,1,19.43,19.44,NN15,G [P33],A,F,C,,,,,,,,,,,C,,,,,,,,,,,A,,,R,,F,,R,R,A,R,F,,,,C,A,A,F,,C,,,,,F,,F,,,,349,U1435,A,3,R,CC,PAL,17f803244d0131d3b02fea6c0dcc6a56
349-U1435A-3R-CC-W 2/3-TPCK1,0,1,19.42,19.43,NN7,M,A,F,F,,F,F,F,A,F,,,,,,,,C,F,,,F,,F,,,,,,C,,,,F,F,R,,,,,R,C,C,,,,,C,,C,,,,,,,349,U1435,A,3,R,CC,W,3e7543104e94c774bf58077d945e5197
349-U1435A-4R-CC-PAL-NANNO,0,6,26.65,26.71,NN6,M [P33],A,,F,,F,A,F,A,F,,,,,,,,C,F,,,F,,F,,,,,,C,,,,F,F,F,,,,,F,C,C,,,,F,C,,C,,,,overgrown discoasters; good preservation of non-discoasters,,,349,U1435,A,4,R,CC,PAL,8d3579cf82ae87d762745b5ca597aad0
349-U1435A-5R-CC-PAL-NANNO,0,6,39.62,39.68,NP25,M [P33],A,F,,,F,F,F,C,,,,,,,,,C,,,,,,,,,,,,C,,,,F,,,,,,F,R,C,C,R,R,,,,,,,,,medium Reticulofenestra sp. = R. bisecta,,,349,U1435,A,5,R,CC,PAL,5be944b18fca14235394a0992b004863
349-U1435A-6R-CC-PAL-NANNO,0,5,49.25,49.3,NP24,M [P33],A,F,,,F,F,F,C,,,,,,,,,F,,,,,,,,,,,,F,,,,F,,,,,,,,F,C,,,,,,,F,,,,medium Reticulofenestra sp. = R. bisecta; reworked F. tympaniformis,,,349,U1435,A,6,R,CC,PAL,1fe2deacc8254c6e3464ad32bc9df01d
349-U1435A-7R-CC-PAL-NANNO,0,6,59.54,59.6,NP23,G [P33],A,,,,F,F,F,C,,,,,,,,,F,,,,,,,,,,,,F,,,,,,,,,,R,,C,,,,,,,,C,,,,medium Reticulofenestra sp. = R. bisecta (<10microns); large Reticulofenestra sp. = R. stavensis (closed central area; >10microns); Blackites sp. = Blackites tenuis,,,349,U1435,A,7,R,CC,PAL,bfc8b7dcf4afef4758b4c25bb85b0cb3
349-U1435A-8R-CC-PAL-NANNO,0,6,71.55,71.61,NP22,G [P33],A,,,,F,C,,,,,,,,,,,F,,,,,,,,,,,,F,,,,,,,,,,,,C,C,,,,,F,,F,,,,large Reticulofenestra sp. = R. stavensis (closed central area; >10microns),,,349,U1435,A,8,R,CC,PAL,9742d346048bfceadc5644a61adcadb5
349-U1435A-9R-1-W 69/73-NANNO10,0,4,75.49,75.53,NP21,G [P33],A,,,,,A,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,,,,,,,,,,,,,,349,U1435,A,9,R,1,W,8bd85cb3308fc08daf0a46708ae71b71
349-U1435A-9R-2-W 132/136-NANNO11,0,4,77.62,77.66,NP21,M [P33],F,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,349,U1435,A,9,R,2,W,55fb1aff37f64cea9f1ebaa3ba221890
349-U1435A-9R-CC-PAL-NANNO,0,6,79.78,79.84,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 contaminated Calcidiscus sp. Common dolomite crystals and organic debris,,,349,U1435,A,9,R,CC,PAL,c1ec7d59c39806493cd6cfb322583bba
349-U1435A-10R-CC-PAL-NANNO,0,6,87.69,87.75,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 contaminated Reticulofenestra medium form. Common dolomite crystals and organic debris,,,349,U1435,A,10,R,CC,PAL,2f6ff3c6d36cc9eb96131e6dc0367c2c
349-U1435A-11R-CC-PAL-NANNO,0,6,94.99,95.05,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Common dolomite crystals and organic debris,,,349,U1435,A,11,R,CC,PAL,69521be8d7bba9f485380ef1512f10fd
349-U1435A-12R-CC-PAL-NANNO,0,6,110.04,110.1,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Common dolomite crystals and organic debris,,,349,U1435,A,12,R,CC,PAL,34000efc30d901833106a8b81466221c
349-U1435A-13R-CC-PAL-NANNO,0,5,121.81,121.86,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 contaminated C. abisectus. Common dolomite crystals and organic debris,,,349,U1435,A,13,R,CC,PAL,b0bdb05f7436198aa391c9893679c04c
349-U1435A-14R-CC-PAL-NANNO,0,8,125.49,125.57,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Common quartz, dolomite crystals and organic debris",,,349,U1435,A,14,R,CC,PAL,f001529c36c8754b3cb5ae7736a76aa5
349-U1435A-15R-CC-PAL-NANNO,0,5,138.42,138.47,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1435,A,15,R,CC,PAL,9ac402475fca35ed47e69d23355173fa
349-U1435A-16R-7-PAL-NANNO,0,5,151.81,151.86,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1435,A,16,R,7,PAL,67bf05758c3efc3af5ac0fcf85e0b791
349-U1435A-17R-CC-PAL-NANNO,0,6,160.52,160.58,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1435,A,17,R,CC,PAL,4412d63c0a2a3768425a2b2bf437c84d
349-U1435A-18R-CC-PAL-NANNO,0,5,171.98,172.03,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1435,A,18,R,CC,PAL,0503d7f20e75cf1b9e5052488a834449
349-U1435A-19R-CC-PAL-NANNO,0,6,181.27,181.33,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1435,A,19,R,CC,PAL,ece4c88b84fa48d2bebd7a6bcda45bd0
349-U1435A-20R-CC-PAL-NANNO,0,6,191.06,191.12,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1435,A,20,R,CC,PAL,dbf6270704721f1c6bfb896a5d65ff4f
349-U1435A-21R-CC-PAL-NANNO,0,8,199.95,200.03,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1435,A,21,R,CC,PAL,8c1dc0b53292d609c15d9a9e571a2549
349-U1435A-22R-CC-PAL-NANNO,0,8,200.9,200.98,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1435,A,22,R,CC,PAL,fa711fe9d3b9d178cc6aebdb9b2e1622
