Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Preservation,Group Abundance,Calcidiscus leptoporus,Calcidiscus macintyrei,Catinaster coalitus,Coccolithus miopelagicus,Coccolithus pelagicus,Coronocyclus nitescens,Cyclicargolithus floridanus,Discoaster adamanteus,Discoaster asymmetricus,Discoaster bellus,Discoaster berggrenii,Discoaster bollii,Discoaster brouweri,Discoaster calcaris,Discoaster calculosus,Discoaster deflandrei,Discoaster druggii,Discoaster exilis,Discoaster hamatus,Discoaster kugleri,Discoaster loeblichii,Discoaster moorei,Discoaster neohamatus,Discoaster pentaradiatus,Discoaster petaliformis,Discoaster prepentaradiatus,Discoaster quinqueramus,Discoaster spp.,Discoaster surculus,Discoaster tamalis,Discoaster triradiatus,Discoaster variabilis,Florisphaera profunda,Helicosphaera carteri,Helicosphaera sellii,Minylitha convallis,Nicklithus amplificus,Pontosphaera spp.,Reticulofenestra pseudoumbilicus,Reticulofenestra sp. (5-7 microns),Reticulofenestra spp. small,Rhabdosphaera spp.,Scyphosphaera spp.,Sphenolithus abies,Sphenolithus conicus,Sphenolithus dissimilis,Sphenolithus heteromorphus,Sphenolithus moriformis,Syracosphaera spp.,Triquetrorhabdulus rugosus,Umbilicosphaera sibogae,Comments,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
349-U1431E-7R-1-A 2/2-NANNO,0,0,603.32,603.32,NN11,M [P33],C,F,F,,R,R,,R,,,R,C,,F,,,C,,,,R,R,,,C,,,F,C,F,,,F,C,F,,,,F,R,,,F,R,C,,,,F,R,R,,,,,349,U1431,E,7,R,1,A,c8b9148440a915350673cde12a86108a
349-U1431E-8R-1-W 10/12-NANNO,0,2,613.1,613.12,NN11,P [P33],F,,R,,,,,,,,,F,,R,,,R,,,,,,,,R,,,,F,,,,F,F,R,,,,,F,,,,,F,,,,R,,,,,,,349,U1431,E,8,R,1,W,6d09181eaed1c38f4fdc44e1e56450b7
349-U1431E-8R-5-PAL-NANNO,0,7,619.53,619.6,NN11,P [P33],R,R,R,,,,,,,,,F,,F,,,F,,,,,,,,F,R,,R,F,,,,F,F,F,,,,R,R,,,,,C,,,,R,,,,,,,349,U1431,E,8,R,5,PAL,e33fe716a0b4d1792b7dbf11d149b247
349-U1431E-9R-5-W 39/40-NANNO,0,1,628.84,628.85,NN11,P [P33],F,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,R,F,,,,,,,,,,,,"overgrown, Discoaster unidentified",,,349,U1431,E,9,R,5,W,f3240c313d4e3ca6467dd88261debcf8
349-U1431E-9R-6-PAL-NANNO,0,5,630.86,630.91,NN11,P,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,R,,,,R,,,,"overgrown, Discoaster unidentified",,,349,U1431,E,9,R,6,PAL,bcbc34221ea5b89a95b792234aeacc15
349-U1431E-10R-4-W 12/12-NANNO,0,0,636.51,636.51,NN11,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Calcite debris,,,349,U1431,E,10,R,4,W,e031a45925fc061a7d348e44e9fdaa4a
349-U1431E-10R-4-W 13/15-NANNO,0,2,636.52,636.54,NN11,R,P,R,R,,,,,,,,R,R,,,,,,,,,,,,,R,,,,R,,,,R,,R,,,,,,,,,,R,,,,R,,,,,,,349,U1431,E,10,R,4,W,2e3deaf29694673b27d123f1faa33e43
349-U1431E-10R-4-W 145/146-NANNO-NANNO,0,1,637.91,637.92,NN11,P [P33],R,,R,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,349,U1431,E,10,R,4,W,a109f05672b81b1e335b8b1414e19000
349-U1431E-11R-1-W 52/54-NANNO39,0,2,642.62,642.64,NN11,P [P33],F,,,,,,,,,,,F,,F,,,,,,,,,,,,,,F,F,,,,F,,,,,,,,,,,,F,,,,R,,,,,,,349,U1431,E,11,R,1,W,335d25cac9c3d141221498cc4285fba3
349-U1431E-11R-3-PAL-NANNO,0,5,644.99,645.04,NN11,P [P33],R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,349,U1431,E,11,R,3,PAL,4ab6303dbc08a0189d3508446e758213
