Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Datum name,Datum type,Datum comment,Datum age average [Ma],Zone name (short),Zone name,Zone comment,Upper boundary age min [Ma],Upper boundary age av. [Ma],Upper boundary age max [Ma],Lower boundary age min [Ma],Lower boundary age av. [Ma],Lower boundary age max [Ma],Preservation,Group abundance,Percentage of planktic forams in total foram assemblage [%],?Acarinina spp.,?Morozovella spp.,Beella digitata,Candeina nitida,Cassigerinella chipolensis,Cassigerinella martinezpicoi,Catapsydrax dissimilis,Catapsydrax unicavus,Chiloguembelina cubensis,Clavatorella bermudezi,Dentoglobigerina altispira,Dentoglobigerina globosa,Dentoglobigerina sp.,Globigerina angulisuturalis,Globigerina bulloides,Globigerina ciperoensis,Globigerina druryi,Globigerina euapertura,Globigerina falconensis,Globigerina gortanii,Globigerina ouachitaensis,Globigerina praebulloides,Globigerina pseudovenezuelana,Globigerina quinqueloba,Globigerina rubescens (pink),Globigerina rubescens (white),Globigerina tapuriensis,Globigerina tripartita,Globigerinatella insueta,Globigerinella calida,Globigerinella obesa,Globigerinella siphonifera (aequilateralis),Globigerinita glutinata,Globigerinita uvula,Globigerinoides altiaperturus,Globigerinoides conglobatus,Globigerinoides extremus,Globigerinoides fistulosus,Globigerinoides obliquus,Globigerinoides primordius,Globigerinoides ruber (pink),Globigerinoides ruber (white),Globigerinoides sacculifer,Globigerinoides sicanus,Globigerinoides subquadratus,Globigerinoides tenellus,Globigerinoides trilobus,Globoquadrina baroemoenensis,Globoquadrina binaiensis,Globoquadrina dehiscens,Globoquadrina praedehiscens,Globoquadrina venezuelana,Globorotalia archeomenardii,Globorotalia birnageae,Globorotalia cibaoensis,Globorotalia continuousa,Globorotalia crassaformis,Globorotalia crassula,Globorotalia decoraperta,Globorotalia exilis,Globorotalia fimbriata,Globorotalia flexuosa,Globorotalia fohsi fohsi,Globorotalia hirsuta,Globorotalia inflata,Globorotalia juanai,Globorotalia lenguaensis,Globorotalia limbata,Globorotalia margaritae,Globorotalia menardii,Globorotalia merotumida,Globorotalia miotumida,Globorotalia miozea,Globorotalia miozea/conoidea,Globorotalia multicamerata,Globorotalia peripheroacuta,Globorotalia peripheroronda,Globorotalia pertenuis,Globorotalia plesiotumida,Globorotalia praefohsi,Globorotalia praemenardii,Globorotalia praescitula,Globorotalia pseudomiocenica,Globorotalia scitula,Globorotalia sp.,Globorotalia tosaensis,Globorotalia truncatulinoides,Globorotalia tumida,Globorotalia ungulata,Globorotaloides hexagona,Globorotaloides suteri,Globorotaloides variabilis,Globoturborotalita apertura,Globoturborotalita decoraperta,Globoturborotalita nepenthes,Globoturborotalita obliquus,Globoturborotalita woodi,Glogoturborotalita sp.,Hantkenina alabamensis,Neogloboquadrina acostaensis,Neogloboquadrina continuosa,Neogloboquadrina dutertrei,Neogloboquadrina humerosa,Neogloboquadrina incompta,Neogloboquadrina pachyderma,Neogloboquadrina pachyderma (dextral),Neogloboquadrina pachyderma (sinistral),Neogloboquadrina sp.,Orbulina sp.,Orbulina suturalis,Orbulina universa,Paragloborotalia kugleri,Paragloborotalia mayeri,Paragloborotalia nana,Paragloborotalia opima,Paragloborotalia semivera,Paragloborotalia sp.,Praeorbulina circularis,Praeorbulina glomerosa,Praeorbulina sicana,Praeorbulina sp.,Pseudohastigerina cf. naguewichiensis,Pseudohastigerina micra,Pulleniatina obliquiloculata,Pulleniatina primalis,Pulleniatina sp.,Pulleniatina spectabilis,Sphaeroidinella dehiscens,Sphaeroidinellopsis kochi,Sphaeroidinellopsis seminulina,Sphaeroidinellopsis sp.,Subbotina angiporoides,Subbotina eocaena s.l.,Subbotina linaperta s.l.,Subbotinal yeguaensis s.l.,Tenuitella gemma,Tenuitella spp. N/A,Tenuitellinata angustiumbilicata,Turborotalia ampliapertura,Turborotalia cerroazulensis,Turborotalia cocoaensis,Turborotalia cunialensis,Turborotalia increbescens,Turborotalia pomeroli,Turborotalita humilis,Comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
368-U1505C-1H-1-PAL_MUDLINE-FORAM,0,0,0.0,0.0,,,,,,,,,,,,,,M [P32],A,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,R,P,,,P,,,,,,,R,,,,R,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,P,,,,,,,,,,,,,A,,,,P,,,,,,,,,,,,,,,,,,,,,,368,U1505,C,1,H,1,PAL_MUDLINE,f0de96e7a3d1cf9b35e2121d64c0c0d3
368-U1505C-1H-CC-PAL(15-20)-FORAM,0,5,8.18,8.23,,,,,,,,,,,,,,G [P32],A,95,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,P,,R,,,,P,,,,,,A,A,,,,R,,,,,,,,,,R,,,,,,,,A,,,,,R,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,F,,,,P,,,,,F,,,,,,,,,,,,,A,,,,P,,,,,,,,,,,,,,,,,,,,,,368,U1505,C,1,H,CC,PAL,945f59416a873c8c316fb326156b4222
368-U1505C-2H-CC-PAL(19-24)-FORAM,0,5,17.69,17.74,,,,,,,,,,,,,,G,A,95,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,P,,R,,,,R,,,,,A,A,A,,,,F,,,,,,,,,,F,,,,,,,P,F,,,,,A,,,,,,,,,,,,,,P,,,P,,,,,,,,,,,,,,,F,,,,P,,,,,F,,,,,,,,,,,,,F,,,,P,,,,,,,,,,,,,,,,,,,,,,368,U1505,C,2,H,CC,PAL,6433082c5d829e3a4411607da5aba64f
368-U1505C-3H-CC-PAL(17-22)-FORAM,0,5,25.99,26.04,,,,,,,,,,,,,,G,A,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,P,P,,,P,,,,,A,A,F,,,,F,,,,,,,,,,,,,,,,,P,F,,,,,F,,,,,,,,,,,,,,,,,P,R,,,,,,,,,,,,,,F,,,,P,,,,,R,,,,,,,,,,,,,P,,,,P,,,,,,,,,,,,,,,,,,,,,,368,U1505,C,3,H,CC,PAL,d09e11e7a427328816b548b7ba226e37
368-U1505C-4H-CC-PAL(30-35)-FORAM,0,5,37.12,37.17,,,,,,,,,,,,,,G [P32],A,95,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,R,,P,P,,,R,,,,,,A,A,,,,,,,,,,,,,,P,,,,,,,,F,,,,,F,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,R,,,,P,,,,,P,,,,,,,,,,,,,A,,,,R,,,,,,,,,,,,,,,,,,,,,,368,U1505,C,4,H,CC,PAL,994da44370e6cd6de1c1643fa6d4ebe6
368-U1505C-5H-CC-PAL-FORAM,0,5,46.46,46.51,,,,,,,,,,,,,,G,A,90,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,P,,,,P,,,,,,A,F,,,,F,,,,,,,,,,R,,,,,,,P,F,,,,,R,,,,,,,,,,,,,,P,,P,R,R,,,,,,,,,,,,,,F,,,,P,,,,,P,,,,,,,,,,,,,P,,,,P,,,,,,,,,,,,,,,,,,,,,,368,U1505,C,5,H,CC,PAL,45b164399d287a10a8367a224291f648
368-U1505C-6H-CC-PAL-FORAM,0,5,56.18,56.23,,,,,,,,,,,,,,G [P32],A,95,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,P,,P,P,,,P,,,,,,A,A,,,,,,,,,,,,,,P,,,,,,,,F,,,,,F,,,,,,,,,,,,,,P,,P,P,,,,,,,,,,,,,,,F,R,,,R,,,,,P,,,,,,,,,,,,,F,,,,A,,,,,,,,,,,,,,,,,,,,,,368,U1505,C,6,H,CC,PAL,e31d6aa9d74b543a3d49cc908c8c735f
368-U1505C-7H-CC-PAL-FORAM,0,5,65.65,65.7,,,,,,,,,,,,,,G [P32],A,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,P,,P,,,,A,P,,,,P,,,,,,,,,,P,,,,,,,P,,,,,,F,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,368,U1505,C,7,H,CC,PAL,1f7b502caf62f9c82918a576b95e4b33
368-U1505C-8H-CC-PAL-FORAM,0,5,74.9,74.95,,,,,,,,,,,,,,G [P32],A,95,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,R,,,,R,R,,,,,F,A,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,P,,,,,,,,,,,,,P,,,,,,,,,,,,,,F,,,,,,,,,P,,,,,,,,,,,,,F,,,,F,,A,,,,,,,,,,,,,,,,,,,,368,U1505,C,8,H,CC,PAL,9ef9c4026d9beb752617528fc9987e77
368-U1505C-9H-CC-PAL-FORAM,0,5,84.13,84.18,,,,,,,,,,,,,,G [P32],A,95,,,,P,,,,,,,A,,,,P,,,,,,,,,,,,,,,P,,P,P,,,P,R,,,,,R,A,,,,P,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,F,,,,P,,,,,F,,,,,,,,,,,,,R,,,,R,A,F,,,,,,,,,,,,,,,,,,,,368,U1505,C,9,H,CC,PAL,27f1c379b0a8ea716aa9c17fc10ebb9e
368-U1505C-10H-CC-PAL-FORAM,0,5,93.6,93.65,,,,,,,,,,,,,,G [P32],A,95,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,P,,,,R,,,P,,,R,F,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,P,,,,,,,R,,P,,,,,F,,,,R,,,,,F,,,,,,,,,,,,,,P,,,,A,F,,,,,,,,,,,,,,,,,,,,368,U1505,C,10,H,CC,PAL,ee23181f3cb5254cb61e4ae71a448d17
368-U1505C-11H-CC-PAL-FORAM,0,5,102.73,102.78,,,,,,,,,,,,,,G [P32],A,95,,,,P,,,,,,,F,,,,,,,,,,,,,,,,,,,,,P,P,,,R,P,,P,,,R,F,,,,,,,,,P,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,R,,R,,,,,R,,,,P,,,,,F,,,,,,,,,,,,,,P,,,,A,F,,,,,,,,,,,,,,,,,,,,368,U1505,C,11,H,CC,PAL,a62be624c6988884e75fa9d564e0c948
368-U1505C-12H-CC-PAL-FORAM,0,5,111.68,111.73,,,,,,,,,,,,,,G [P32],A,95,,,,,,,,,,,F,,,,P,,,,,,,,,,,,,,,P,,P,,,,R,P,,P,,,R,A,,,,,,,,,F,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,F,,R,,,,,P,,,,P,,,,,F,,,,,,,,,,,,,,R,,,,A,F,,,,,,,,,,,,,,,,,,,,368,U1505,C,12,H,CC,PAL,17f1870eabffad0283a40c7a52778175
368-U1505C-13H-CC-PAL-FORAM,0,5,122.66,122.71,,,,,,,,,,,,,,G [P32],A,90,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,P,P,,P,,,P,A,,,,,,,,,R,,,P,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,A,,R,,,R,,,,,,R,,,,,F,,,,,,,,,,,,,,,,,,F,A,,,,,,,,,,,,,,,,,,,,368,U1505,C,13,H,CC,PAL,8db83f5fe5d5443502c2272dcb8c4e52
368-U1505C-14H-CC-PAL-FORAM,0,5,132.18,132.23,,,,,,,,,,,,,,G [P32],A,95,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,P,P,,R,,,P,A,,,,,,,,,F,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,F,,P,,,P,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,R,A,,,,,,,,,,,,,,,,,,,,368,U1505,C,14,H,CC,PAL,6c8ef20b8e90353c0dc1a236d94622a5
