Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Zone name,Preservation,Group abundance,Amaurolithus primus,Amaurolithus tricorniculatus,Calcidiscus macintyrei,Calcidiscus premacintyrei,Catinaster calyculus,Catinaster coalitus,Ceratolithus acutus,Ceratolithus larrymayeri,Coccolithus miopelagicus,Coronocyclus nitescens (circular),Coronocyclus nitescens (elliptical),Cyclicargolithus floridanus,Discoaster asymmetricus,Discoaster bellus,Discoaster berggrenii,Discoaster bollii,Discoaster brouweri,Discoaster hamatus,Discoaster kugleri,Discoaster loeblichii,Discoaster neohamatus,Discoaster prepentaradiatus,Discoaster quinqueramus,Discoaster pentaradiatus,Discoaster surculus,Discoaster tamalis,Discoaster triradiatus,Discoaster spp.,Emiliania huxleyi,Gephyrocapsa aperta,Gephyrocapsa spp. small (<4 microns),Gephyrocapsa caribbeanica (3-4 microns),Gephyrocapsa caribbeanica (4-5.5 microns),Gephyrocapsa ericsonii,Gephyrocapsa oceanica (3-4 microns),Gephyrocapsa oceanica (4-5.5 microns),Gephyrocapsa omega,Gephyrocapsa spp. (large >5.5 microns),Helicosphaera ampliaperta,Helicosphaera inversa,Helicosphaera sellii,Helicosphaera stalis,Helicosphaera walbersdorfensis,Minylitha convallis,Nicklithus amplificus,Pseudoemiliania lacunosa,Reticulofenestra asanoi,Reticulofenestra sp. 1,Reticulofenestra pseudoumbilicus,Reticulofenestra pseudoumbilicus (>7 microns),Reticulofenestra gelida,Reticulofenestra minuta,Reticulofenestra spp. small,Sphenolithus heteromorphus,Sphenolithus spp.,Triquetrorhabdulus rugosus,Braarudosphaera bigelowii,Calcidiscus leptoporus,Calcidiscus pacificanus,Calcidiscus tropicus,Calciosolenia spp.,Coccolithus pelagicus,Discoaster deflandrei,Discoaster druggii,Florisphaera profunda,Helicosphaera carteri,Helicosphaera wallichii,Oolithotus fragilis,Pontosphaera discopora,Pontosphaera japonica,Pontosphaera multipora,Pontosphaera spp.,Rhabdosphaera clavigera,Rhabdosphaera spp.,Scyphosphaera apsteinii,Syracosphaera pulchra,Umbellosphaera tenuis,Umbilicosphaera rotula,Umbilicosphaera sibogae,Umbilicosphaera sibogae var. foliosa,Reworked species,Sample comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
356-U1464D-1H-1-PAL-NANNO,0,0,0.0,0.0,,,G [P33],A,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,C,C,,,,,,,,,,P,P,,,,,,,,R,,,,,,,,,,,,,,,,,P,,,,F,,,F,,F,,,,,356,U1464,D,1,H,1,PAL,fb178af615c967dcd79c6f32145b5d76
356-U1464D-1H-CC-PAL-NANNO,0,5,3.5,3.55,NN21,"NN21 - Emiliania huxleyi (Gradstein et al., 2012)",VG [P33],C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,C,C,,,,,,,,,,F,,F,,,,,,,,,,,,,,,,,,F,,,,,,,,,,F,,,C,F,,,,,,356,U1464,D,1,H,CC,PAL,7ef45f1d59caa743225ecfc5393e16cd
356-U1464D-2H-CC-PAL-NANNO,0,5,13.11,13.16,NN20,"NN20 - Gephyrocapsa oceanica (Gradstein et al., 2012)",G [P33],D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,V,A,C,,F,R,,,,,,,,,,,,,,,,,F,,,,,F,,,,,,,,R,,,,P,,,,,,R,,,F,,,,,,,356,U1464,D,2,H,CC,PAL,242741b1de140eff90194d08be9b7982
356-U1464D-3H-CC-PAL-NANNO,0,5,22.35,22.4,,,M [P33],A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,V,A,,,C,,,,,,,,,,,,,F,,,,,,,,,,F,,,,,,,,R,,,,,,,,,,,,,F,,,,,,,356,U1464,D,3,H,CC,PAL,1af35b29f535bdc704c1888ff6e63003
356-U1464D-4H-CC-PAL-NANNO,0,5,32.16,32.21,NN19,"NN19 - Pseudoemiliania lacunosa (Gradstein et al., 2012)",G [P33],A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,C,,R,R,R,,,,,,,,,R,,,,,,F,F,,,,,R,,,,,,,,R,,,,,,,,,,R,,,F,,,,,,,356,U1464,D,4,H,CC,PAL,0fd79d2fb252e84a454be4d3d5b29f7b
356-U1464D-5H-CC-PAL-NANNO,0,5,41.8,41.85,NN19,"NN19 - Pseudoemiliania lacunosa (Gradstein et al., 2012)",M [P33],A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,V,A,,,,,,,,,,,,,,,,,,,,C,,F,,,,F,,,,,,,,,,,,,,,,,,,,,F,,F,reworked large Sphenoliths and fragments Discoaster,,,,356,U1464,D,5,H,CC,PAL,96ae5b28e3699641d8f7126b7fbc3077
356-U1464D-6H-CC-PAL-NANNO,0,5,51.28,51.33,NN19,"NN19 - Pseudoemiliania lacunosa (Gradstein et al., 2012)",G [P33],C,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,R,,,,,,C,C,,,,,R,,,,P,,,,P,,,,R,,,,,,R,,,F,,,,,,,356,U1464,D,6,H,CC,PAL,aa0ab19678c24ac67f7da733c6316e50
356-U1464D-7H-CC-PAL-NANNO,0,5,60.84,60.89,NN18,"NN18 - Discoaster brouweri (Gradstein et al., 2012)",M [P33],C,,,F,,,,,,,,,,R,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,C,,F,,,,,C,,P,,,R,,,,F,,,,R,,,,,,,P,,P,F,,,,,F,"reworked Cy. floridanus, ?C. pelagicus, Sphenolithus",,,,356,U1464,D,7,H,CC,PAL,f09b267956a8a34ff1712539390cd312
356-U1464D-8H-CC-PAL-NANNO,0,5,70.53,70.58,NN18,"NN18 - Discoaster brouweri (Gradstein et al., 2012)",M [P33],C,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,V,,,,,,,,,,,,,,,F,,,,,,V,C,,,,,,,,,,,,,F,,,,F,,F,,,,R,,,,,,,,,,356,U1464,D,8,H,CC,PAL,3908117b524c065fb1c3c0a2cd87b49e
356-U1464D-9H-CC-PAL-NANNO,0,5,79.83,79.88,NN18,"NN18 - Discoaster brouweri (Gradstein et al., 2012)",M [P33],C,,,R,,,,,,,,,,,,,,,,,,,,,,,,,C,,,A,,,,,,,,,,,,,,,C,,,,,,,,,,,,F,,,,R,,,,,,,R,,,,,,,R,,,F,,,,,,,356,U1464,D,9,H,CC,PAL,4cb3da85d68528fbf86a4582107d27fc
