Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],"Reworking comment (1= <1%, 2=light 1-10%, 3= >10%)",Group abundance,Comment (general),Preservation,Globigerinoides ruber (pink),Globorotalia tosaensis,Globigerinoides fistulosus,Globorotalia truncatulinoides,Globigerinoides extremus,Globorotalia miocenica,Globorotalia limbata,Globorotalia multicamerata,Dentoglobigerina altispira,Sphaeroidinellopsis seminulina,Pulleniatina primalis,Sphaeroidinella dehiscens,Globorotalia tumida,Globorotalia margaritae,Globoturborotalita nepenthes,Globorotalia merotumida,Globoquadrina dehiscens,Globorotalia lenguaensis,Neogloboquadrina acostaensis,Paragloborotalia mayeri,Fohsella fohsi,Fohsella robusta,Fohsella lobata,Fohsella peripheroacuta,Fohsella peripheroronda,Praeorbulina sicana,Globigerinatella insueta,Orbulina suturalis,Praeorbulina glomerosa,Catapsydrax dissimilis,Globigerina ciperoensis,Globigerinoides trilobus,Paragloborotalia kugleri,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
359-U1472A-1H-CC-PAL-FORAM >150,0,5,5.02,5.07,,,,VG,P,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,P,,,,,359,U1472,A,1,H,CC,PAL,72c7fbcdf8d3484f40ad561042ee6f84
359-U1472A-2H-CC-PAL-FORAM >150,0,5,14.62,14.67,,,,VG,,P,,P,,,,,,,,P,R,,,,,,,,,,,,,,,R,,,,C,,,,,359,U1472,A,2,H,CC,PAL,b9d89e3afaf08c72cec1872be900e5b2
359-U1472A-3H-CC-PAL-FORAM >150,0,5,24.28,24.33,,,,M,,P,,P,,,,,,,,P,R,,,,,,P,,,,,,,,,R,,,,C,,,,,359,U1472,A,3,H,CC,PAL,f1a29e62a780b2960e02220949e1d9fe
359-U1472A-4H-CC-PAL-FORAM >150,0,5,33.29,33.34,,,,G,,C,,P,,,,,,,,C,R,,,,,,P,,,,,,,,,P,,,,R,,,,,359,U1472,A,4,H,CC,PAL,937795be92eed640c81a90d69237a59a
359-U1472A-5H-CC-PAL-FORAM >150,0,5,43.06,43.11,,,,M,,,,,,,,,,,,,P,,,,,,P,,,,,,,,,P,,,,R,,,,,359,U1472,A,5,H,CC,PAL,20ab982917c1a9cc77f7445a4f4ceb4d
359-U1472A-6H-CC-PAL-FORAM >150,0,5,52.57,52.62,,,,G,,,P,,P,,P,,,,,P,R,,,,,,P,,,,,,,,,P,,,,R,,,,,359,U1472,A,6,H,CC,PAL,393ec5946a8cea4acd21817e9c6d1ebf
359-U1472A-7H-CC-PAL-FORAM >150,0,5,61.59,61.64,,,,G,,P,P,,P,,R,,,,,,R,,,,,,P,,,,,,,,,P,,,,R,,,,,359,U1472,A,7,H,CC,PAL,6b276688b516f1df0eb489cd8a5693c1
359-U1472A-8H-CC-PAL-FORAM >150,0,5,71.72,71.77,,,,G,,,P,,P,,R,,P,P,,,R,,,,,,P,,,,,,,,,P,,,,R,,,,,359,U1472,A,8,H,CC,PAL,66f17b5d53841517cc1deacd2ed2a362
359-U1472A-9H-CC-PAL-FORAM >150,0,5,80.23,80.28,,,,G,,,,,R,,R,,C,P,,P,R,P,,,,,P,,,,,,,,,P,,,,R,,,,,359,U1472,A,9,H,CC,PAL,a8a98a7d4508efc13d891c87befc4729
359-U1472A-10H-CC-PAL-FORAM >150,0,5,90.51,90.56,,,,G,,,,,P,,R,P,C,P,,,R,P,,,,,P,,,,,,,,,P,,,,R,,,,,359,U1472,A,10,H,CC,PAL,9c985561e83e2e12e8880a682a28189e
