Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Datum name,Datum name generic,Datum comment,Datum age average [Ma],Zone name (short),Zone name,Upper boundary age av. [Ma],Lower boundary age av. [Ma],Group abundance,Preservation,Fragmentation,Percentage of planktic forams in total foram assemblage [%],Fragmentation rank [auto-pop],"Reworking comment (1= <1%, 2=light 1-10%, 3= >10%)",Aspect comment (etching),Comment (general),Candeina nitida,Cassigerinella chipolensis,Clavatorella bermudezi,Dentoglobigerina altispira,Dentoglobigerina juxtabinaiensis,Dentoglobigerina venezuelana,Globigeriantella insueta,Globigerina bulloides,Globigerinella praesiphonifera,Globigerinella siphonifera,Globigerinita glutinata,Globigerinoides conglobatus,Globigerinoides extremus,Globigerinoides fistulosus,Globigerinoides obliquus,Globigerinoides quadrilobatus,Globigerinoides ruber (pink),Globigerinoides ruber (white),Globigerinoides sacculifer,Globigerinoides sacculifer (without sack),Globigerinoides seigliei,Globigerinoides subquadratus,Globigerinoides trilobus,Globoquadrina dehiscens,Globorotalia challengeri,Globorotalia cibaoensis,Globorotalia crassaformis,Globorotalia exilis,Globorotalia flexuosa,Globorotalia hessi,Globorotalia juanai,Globorotalia lenguaensis,Globorotalia limbata,Globorotalia margaritae,Globorotalia menardii,Globorotalia multicamerata,Globorotalia pertenuis,Globorotalia plesiotumida,Globorotalia praescitula,Globorotalia puncticulata,Globorotalia tosaensis,Globorotalia truncatulinoides,Globorotalia tumida,Globorotaloides hexagona,Globoturborotalita apertura,Globoturborotalita decoraperta,Globoturborotalita nepenthes,Globoturborotalita rubescens,Globoturborotalita tenella,Globoturborotalita woodi,Neogloboquadrina acostaensis,Neogloboquadrina dutertrei,Orbulina suturalis,Orbulina universa,Paragloborotalia mayeri,Pulleniatina (D),Pulleniatina (S),Pulleniatina finalis,Pulleniatina obliquiloculata,Pulleniatina primalis,Pulleniatina spectabilis,Sphaeroidinella dehiscens,Sphaeroidinella excavata,Sphaeroidinellopsis kochi,Sphaeroidinellopsis seminulina,Sphaeroidinellopsis subdehiscens,Turborotalita humilis,Organic matter,Pyrite,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
354-U1449A-1H-2-W 143/149-FORAM,0,6,2.93,2.99,,,,,PT1b,"PT1b - Globorotalia truncatulinoides Partial-range Zone (Gradstein et al., 2012)",0.0,0.61,,,,,,,,just scanned for G. ruber pink,,,,,,,,R,,,,R,,,R,,,C,F,,,,,,,,,,,,,,,,C,,,,,,,R,,,,,,,,,,A,,,,,,,F,,,,,,,,,,,,,,354,U1449,A,1,H,2,W,098197a241e17234e07911ac90f4f6d0
354-U1449A-1H-CC-PAL-FORAM,0,10,6.22,6.32,,,,,PT1b,"PT1b - Globorotalia truncatulinoides Partial-range Zone (Gradstein et al., 2012)",0.0,0.61,F,VG,VS [F02],100,4,,,,,,,,,,,R,,R,,,,,R,,,C,F,,,,,,,,,,,,,,,,C,,,,,,,R,,,,,,,,,,A,,,,,,,F,,,,,,,,,,,,,,354,U1449,A,1,H,CC,PAL,e4559f2062fba693398d63c552afba8f
354-U1449A-2H-1-W 70/76-FORAM,0,6,6.9,6.96,,,,,PT1b,"PT1b - Globorotalia truncatulinoides Partial-range Zone (Gradstein et al., 2012)",0.0,0.61,A,G,M [F02],100,2,,,,,,,,,,,F,,R,,R,,,,F,,A,R,,,,R,,,,,,,,,,,,C,,,,,,,F,R,F,,,,,,,,A,,R,,,,,A,,,R,,,,,,,,,,,354,U1449,A,2,H,1,W,99ab3f40b0c53ca48efcb7e07f2c3e19
354-U1449A-5H-1-W 104/109-FORAM,0,5,18.04,18.09,,,,,,,,0.61,R,G,L [F02],100,1,,,Very small sample size,,,,,,,,,,R,,R,,,,F,,C,R,,,,,,,,,,,,,,,,R,,,,,,,,F,R,,,,R,,,,F,,,,,,,F,,,,,,,,,,,,,,354,U1449,A,5,H,1,W,2f848bfa1e0a7282fa41a96005348f90
354-U1449A-6F-2-W 47/52-FORAM,0,5,21.97,22.02,,,,,,,,0.61,A,G,S [F02],89,3,,,v. small sample size,,,,,,,,R,,,,R,,,,R,,F,,,,,R,,,,,,,,,,,,F,,,,,,,,R,,,,,R,,,,F,,,,,,,F,,,,,,,,,,,,,,354,U1449,A,6,F,2,W,3ef696140f6f5c07fa2f2f1d088e018f
354-U1449A-6F-CC-PAL-FORAM,0,5,24.73,24.78,,,,,,,,,B,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,U1449,A,6,F,CC,PAL,9fd880c1fd326ad137337257e850aa77
354-U1449A-7H-CC-PAL-FORAM,0,10,29.41,29.51,,,,,PT1a,"PT1a - Globorotalia tosaensis High-occurrence Zone (Gradstein et al., 2012)",0.61,1.88,C,G,L [F02],98,1,,No visible etching,Large quantities of wood in sample,,R,,,,,,R,,R,,,,,R,,,F,F,,,,C,,,,,,R,,,,,,R,,,,,,R,R,A,,,,,,,,,A,,C,,,,,A,,,,,,,,,,,,,,354,U1449,A,7,H,CC,PAL,e0da2247fc08ac0f710a15cb765da2ba
354-U1449A-11X-CC-PAL-FORAMB,0,2,49.0,49.02,,,,,PT1a,"PT1a - Globorotalia tosaensis High-occurrence Zone (Gradstein et al., 2012)",0.61,1.88,C,VG,L [F02],88,1,,,,,,,,,,,,,,,R,,,R,C,R,C,R,,,,,,,,,,,,,,,,F,,,,,,R,,F,,,,,,,,,A,,R,,,,,C,,,,,,,,,,,,,,354,U1449,A,11,X,CC,PAL,a01d63522781518b4a2d2c629c43e102
354-U1449A-12X-CC-PAL-FORAM,0,0,58.7,58.7,,,,,,,,,C,VG,L [F02],,1,1,,,,,,,,,,R,,,,,,,R,,,A,R,,,,,,,,,,,,,,,,F,,,,,,,,F,,,,,,,,,C,,A,,,,,R,,,,R,,,,,,,,,,354,U1449,A,12,X,CC,PAL,55cd2dd2e6704258b3f7992c82ce578e
354-U1449A-12X-CC-PAL-FORAM,0,10,58.7,58.8,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,U1449,A,12,X,CC,PAL,b30190981e025dd1856cfbdc4a315abb
354-U1449A-13F-CC-PAL-FORAM,0,10,71.34,71.44,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,U1449,A,13,F,CC,PAL,5edf31c0f51b2b5c704865fa31fea775
354-U1449A-14F-CC-PAL-FORAM,0,10,74.17,74.27,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,U1449,A,14,F,CC,PAL,25244020cb4fbd60362f842b5637d0b7
354-U1449A-15F-CC-PAL-FORAM,0,9,78.51,78.6,,,,,,,,,R,G,L [F02],98,1,,,"large quantity of sand in sample, forams are rare",,,,,,,,R,,,,,,,,R,,C,R,,,,R,,,,,,,,,,,,R,,,,,,,,R,R,,,,R,,,,C,,,,,,,R,,,,R,,,,,,,,,,354,U1449,A,15,F,CC,PAL,56efb322977bfb7b1d54a930a17c2a82
354-U1449A-16F-CC-PAL-FORAM,0,9,83.24,83.33,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,R,,,,R,,,,F,,F,,,,,A,,,R,,,,,,,,,,,354,U1449,A,16,F,CC,PAL,8e00e8cf1ada567fc49bf3ef91b54b6f
354-U1449A-17F-CC-PAL-FORAM,0,10,88.14,88.24,,,,,,,,,C,M,S [F02],98,3,,,"Some moderate infilling of specimens, occasionally making identification difficult. clay rich sample.",,,,,,,,R,,,,R,,,,F,,C,R,,,,R,,,,,,,,,,,,R,,,,,,,,A,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,U1449,A,17,F,CC,PAL,1a2ded477160df43c1b3669a5627c721
354-U1449A-18H-CC-PAL-FORAM,0,3,97.0,97.03,,,,,PT1a,"PT1a - Globorotalia tosaensis High-occurrence Zone (Gradstein et al., 2012)",0.61,1.88,C,M,M [F02],98,2,,,moderate infilling.,,,,,,,,F,,,,R,,,,F,,C,R,,,,F,,,,,,,,,,,,R,,,,,,R,,A,R,,,,,,,,F,,F,,,,,C,,,R,R,,,,,,,,,,354,U1449,A,18,H,CC,PAL,a49fe251bfecea483f932a5cb60ff276
354-U1449A-19H-CC-PAL-FORAM,0,5,105.1,105.15,,,,,,,,,C,M,M [F02],95,2,,,very small sample size,,,,,,,,F,,R,,R,,,,C,,C,R,,,,F,,,,,,,,,,,,,,,,,,,,R,R,,,,R,R,,,F,,R,,,,,C,,,R,R,,,,,,,,,,354,U1449,A,19,H,CC,PAL,07b1be054205f9ce722e25dc49baf8b0
354-U1449A-20H-CC-PAL-FORAM,0,9,109.93,110.02,,,,,PT1a,"PT1a - Globorotalia tosaensis High-occurrence Zone (Gradstein et al., 2012)",0.61,1.88,C,G,M [F02],100,2,,,very small sample,,,,,,,,R,,,,R,,,R,R,,R,R,,,,R,,,,,,,,,,,,,,,,,,R,,R,R,,,,R,,,,R,,R,,,,,R,,,R,R,,,,,,,,,,354,U1449,A,20,H,CC,PAL,aa298b94a389de476d5cf0542f19d27e
354-U1449A-21H-CC-PAL-FORAM,0,10,113.32,113.42,,,,,,,,,A,G,L [F02],100,1,,,,,,,,,,,R,,F,,R,,,R,R,,C,R,,,,R,,,,,,,,,,,,R,,,,,,,,F,F,,,,,,,,C,,A,,,,,C,,,C,R,,,,,,,,,,354,U1449,A,21,H,CC,PAL,16d5de6000720b96419fb363b38d85d4
354-U1449A-22F-CC-PAL-FORAM,0,10,118.36,118.46,,,,,,,,,A,M,L [F02],100,1,,,"small sample, contains wood",,,,,,,,R,,R,,R,,,,R,,A,R,,,,F,,,,,,,,,,,,,,,,,,,,C,R,,,,,,,,F,,C,,,,,C,,,R,,,,,,,,,,,354,U1449,A,22,F,CC,PAL,05bfcfb31b78592ed0017985627e5d11
354-U1449A-23F-3-W 41/47-FORAM,0,6,121.51,121.57,,,,,PT1a,"PT1a - Globorotalia tosaensis High-occurrence Zone (Gradstein et al., 2012)",0.61,1.88,F,VG,L [F02],,1,,,,,,,,,,,,,R,,R,,,,,,C,R,C,,,,,,,,,,,,,,,F,,,,,,R,,F,,,,,,,,,A,,R,,,,,C,,,R,,,,,,,,,,,354,U1449,A,23,F,3,W,c3210f8de21ca00ec7a0acda919f67ff
354-U1449A-23F-CC-PAL-FORAM,0,10,123.09,123.19,,,,,PT1a,"PT1a - Globorotalia tosaensis High-occurrence Zone (Gradstein et al., 2012)",0.61,1.88,F,M,L [F02],100,1,,,"A lot of clay, moderate infilling, v. sample",,,,,,,,R,,R,,R,,,R,F,,A,F,,,,F,,,,,,,,,,,,,,,,,,R,,A,R,,,,R,,,,C,,F,,,,,C,,,,R,,,,,,,,,,354,U1449,A,23,F,CC,PAL,28fff8fc527f14f8775949c53d4e2ddc
354-U1449A-24F-CC-PAL-FORAM,0,10,127.84,127.94,,,,,,,,,C,G,L [F02],95,1,,,,,,,,,,,R,,R,,F,,,R,,,A,R,,,,R,,,,,,,,,,,,R,,,,,,,,C,R,,,,R,R,,,C,,C,,,,,C,,,R,R,,,,,,,,,,354,U1449,A,24,F,CC,PAL,2f287c9f9c6b7dfccd1980755f741432
354-U1449A-25F-CC-PAL-FORAM,0,10,132.44,132.54,,,,,,,,,A,G,M [F02],100,2,,,"v. small sample, contains wood",,,,,,,,R,,R,,R,,,R,F,,A,R,,,,F,,,,,,,,,,,,,,,,,,,,C,,,,,R,R,,,R,,R,,,,,C,,,,,,,,,,,,,,354,U1449,A,25,F,CC,PAL,b0c04a6e686282d2ac91de0f41febc8b
354-U1449A-26F-CC-PAL-FORAM,0,10,137.12,137.22,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,U1449,A,26,F,CC,PAL,a4ca70e97b91833e54422319c982128f
354-U1449A-27F-CC-PAL-FORAM,0,12,141.63,141.75,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,U1449,A,27,F,CC,PAL,e189b119d5737a1c134fe98e96915ddf
354-U1449A-28F-CC-PAL-FORAM,0,10,146.39,146.49,"T Globigerinoides fistulosus (Gradstein et al., 2012)",T Globigerinoides fistulosus,,1.88,,,,,R,M,M [F02],98,2,,,Tiny sample! Hardly any material.,,,,,,,,,,,,R,,,,R,,,R,,,,R,,,,,,,,,,,,,,,,,,,,R,R,,,,,,,,R,,,,,,,R,,,,,,,,,,,,,,354,U1449,A,28,F,CC,PAL,84f5e2b7b51d118fcecdea17bf9d2d34
