Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Zone name,Preservation,Group abundance,Amaurolithus primus,Amaurolithus tricorniculatus,Calcidiscus macintyrei,Calcidiscus premacintyrei,Catinaster calyculus,Catinaster coalitus,Ceratolithus acutus,Ceratolithus larrymayeri,Coccolithus miopelagicus,Coronocyclus nitescens (circular),Coronocyclus nitescens (elliptical),Cyclicargolithus floridanus,Discoaster asymmetricus,Discoaster bellus,Discoaster berggrenii,Discoaster bollii,Discoaster brouweri,Discoaster hamatus,Discoaster kugleri,Discoaster loeblichii,Discoaster neohamatus,Discoaster prepentaradiatus,Discoaster quinqueramus,Discoaster pentaradiatus,Discoaster surculus,Discoaster tamalis,Discoaster triradiatus,Discoaster spp.,Emiliania huxleyi,Gephyrocapsa aperta,Gephyrocapsa spp. small (<4 microns),Gephyrocapsa caribbeanica (3-4 microns),Gephyrocapsa caribbeanica (4-5.5 microns),Gephyrocapsa ericsonii,Gephyrocapsa oceanica (3-4 microns),Gephyrocapsa oceanica (4-5.5 microns),Gephyrocapsa omega,Gephyrocapsa spp. (large >5.5 microns),Helicosphaera ampliaperta,Helicosphaera inversa,Helicosphaera sellii,Helicosphaera stalis,Helicosphaera walbersdorfensis,Minylitha convallis,Nicklithus amplificus,Pseudoemiliania lacunosa,Reticulofenestra asanoi,Reticulofenestra sp. 1,Reticulofenestra pseudoumbilicus,Reticulofenestra pseudoumbilicus (>7 microns),Reticulofenestra gelida,Reticulofenestra minuta,Reticulofenestra spp. small,Sphenolithus heteromorphus,Sphenolithus spp.,Triquetrorhabdulus rugosus,Braarudosphaera bigelowii,Calcidiscus leptoporus,Calcidiscus pacificanus,Calcidiscus tropicus,Calciosolenia spp.,Coccolithus pelagicus,Discoaster deflandrei,Discoaster druggii,Florisphaera profunda,Helicosphaera carteri,Helicosphaera wallichii,Oolithotus fragilis,Pontosphaera discopora,Pontosphaera japonica,Pontosphaera multipora,Pontosphaera spp.,Rhabdosphaera clavigera,Rhabdosphaera spp.,Scyphosphaera apsteinii,Syracosphaera pulchra,Umbellosphaera tenuis,Umbilicosphaera rotula,Umbilicosphaera sibogae,Umbilicosphaera sibogae var. foliosa,Reworked species,Sample comment,Ship File Links,Shore File Links,File Data
356-U1461A-1F-CC-PAL-NANNO,0,10,1.55,1.65,NN21 [G12],"NN21 - Emiliania huxleyi (Gradstein et al., 2012)",VG [P33],A [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,C [A04],,,,,,A [A23],C [A04],,,,,,,,,,,,,,,,,,,,,,P [A30],,,,,,,,P [A30],,,,,,,,,,,,,P [A30],,,,,,
356-U1461A-4H-CC-PAL-NANNO,0,10,20.21,20.31,NN20 [G12],"NN20 - Gephyrocapsa oceanica (Gradstein et al., 2012)",G [P33],A [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C [A04],,,C [A04],,,,,,,,,,,,,,,,,,,,,,P [A30],,,,,,,,,,,,,,,,,,P [A30],,,P [A30],,,matrix of micron-scale low birefringent needles (aragonite?),,,
356-U1461A-6H-CC-PAL-NANNO,0,10,39.26,39.36,NN19 [G12],"NN19 - Pseudoemiliania lacunosa (Gradstein et al., 2012)",G [P33],C [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C [A04],F [A30],R [A30],,,F [A30],R [A30],,,,,,,,,F [A30],,F [A30],,,,,,,,,,F [A30],,,,,,,,,,,,,,,,,,,,,R [A30],,,aragonite needles,,,
356-U1461A-8H-CC-PAL-NANNO,0,10,54.23,54.33,,,M [P33],F [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F [A30],F [A30],,,,,,,,,,,,,,,,,,,,,,,,,,R [A30],,,,,,,,,,,,,,,,,,,,,,,,hardground,,,
356-U1461A-12F-CC-PAL-NANNO,0,10,66.32,66.42,,,G [P33],C [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C [A04],F [A30],R [A30],,,F [A30],R [A30],,,,,,,,,R [A30],,R [A30],,,,,,,,,,F [A30],,,,,,,,,,,,,,,,,,,,,R [A30],,,aragonite needles,,,
356-U1461A-15H-CC-PAL-NANNO,0,10,95.47,95.57,,,G [P33],C [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,F [A30],R [A30],,,R [A30],R [A30],,,,,,,,,R [A30],,,,,,,,,,,,R [A30],,,,,,,,P [A30],,,,,,,,,,,,,R [A30],,,few aragonite needles,,,
356-U1461A-17H-CC-PAL-NANNO,0,10,114.85,114.95,,,M [P33],C [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C [A04],R [A30],P [A30],,,P [A30],,,,,,,,,,R [A30],,,,,,,,,,,,P [A30],,,,,,,,,,,,,,,,,,,,,,,,aragonite needles,,,
356-U1461A-19H-CC-PAL-NANNO,0,10,134.11,134.21,,,G [P33],A [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A [A23],C [A04],F [A30],,F [A30],R [A30],R [A30],,,,,,,,,R [A30],,,,,,,,,,,,R [A30],,,,,,,,P [A30],,,,,,,,,,,,,R [A30],,,micrite and few aragonite needles,,,
356-U1461A-21H-CC-PAL-NANNO,0,10,150.78,150.88,,,G [P33],A [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A [A23],A [A23],,,F [A30],,F,,,,,,,,,R [A30],,,,,,,,,,,,F [A30],,,,,,,,,,,,,,,,,,,,,R [A30],,,,,,
356-U1461A-23H-CC-PAL-NANNO,0,10,169.18,169.28,,,G [P33],A [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A [A23],C [A04],,,F [A30],,F [A30],,,,,,,,,P [A30],,,,,,F [A30],R [A30],,,,,F [A30],,,,,,,,,,,,,,,,,,,,,R [A30],,,,,,
