Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Datum name,Datum type,Datum comment,Datum age average [Ma],Zone name (short),Zone name,Zone comment,Upper boundary age av. [Ma],Lower boundary age av. [Ma],Preservation,Group Abundance,Anthocyrtidum ophirense,Anthocyrtidium sp.,Anthocyrtidium zanguebaricum,Acrobotrys tritubus,Acrosphaera collina,Acrosphaera spinosa (=Collosphaera spinosa),Actinomma arcadophorum,Actinomma medianum,Amphirhopalum ypsilon,Anomalacantha dentata,Anthocyrtidium angulare,Anthocyrtidium ehrenbergi,Anthocyrtidium jenghisi,Anthocyrtidium pliocenica,Astrophacus sp.,Axoprunum stauraxonium,Botryostrobus auritus/australis,Botryostrobus aquilonaris,Botryostrobus miralestensis,Buccinosphaera invaginata,Calocyccletta costata,Calocycletta caepa,Calocycletta dadara,Calocycletta virginis,Carpocanistrum sp.,Carpocanopsis bramlettei,Carpocanopsis cristata,Cenosphaera sp.,Collosphaera huxleyi,Collosphaera macropora,Collosphaera tuberosa,Cycladophora davisiana,Cyrtocapsella cornuta,Cyrtocapsella japonica,Cyrtocapsella tetrapera,Diartus hughesi,Diartus petterssoni,Dictyocoryne ontongensis,Dictyocorine truncatum,Dictyocoryne profunda,Dicymocyrti laticonus,Didymocyrtis antepenultima,Didymocyrtis avita,Didymocyrtis laticonus,Didymocyrtis mammifera,Didymocyrtis penultima,Didymocyrtis prismatica,Didymocyrtis sp.,Didymocyrtis tetrathalamus tetrathalamus,Didymocyrtis tubaria,Didymocyrtis violina,Dorcadospyris alata,Dorcadospyris forcipata,Eucecryphalus sp.,Euchitonia elegans/furcata group,Eucyrtidium acuminatum,Eucyrtidium diaphanes,Eucyrtidium hexagonatum,Gyraffospyris angulata,Heliodiscus asteriscus,Hexacontium laevigatum,Hymeniastrum euclidis,Lamprocyclas marytalis,Lamprocyrtis neoheteroporus,Larcospira minor,Larcopyle quadrangula,Liriospyris reticulata,Liriospyris parkerae,Liriospyris stauropora,Lithopera bacca,Lithopera neotera,Lithopera renzae,Lithopera Thomburgi,Lophospyris pentagona hyperborea,Lophospyris pentagona pentagona,Lychnodictyum audax,Ommatartus tetrathalamus,Otosphaera auriculata,Phormospyris stabilis,Phormospyris stabilis stabilis,Phormostichoartus corbula,Phormostichoartus doliolum,Phormostichoartus fistula,Phorticium pylonium,Pterocanium praetextum,Pterocanium prismatium,Pterocanium trilobum,Pterocorys campanula,Pterocorys zancleus,Siphocampe corbula (=Lithocampe corbula),Siphonosphaera martensi,Siphonosphaera polysiphonia,Siphostichartus corona,Solenosphaera omnitobus omnitobus,Solenosphaera omnitobus procera,Solenosphaera quadrata,Spongaster berminghami,Spongaster klingi,Spongaster pentas,Spongaster tetras tetras,Spongocore puella,Spongopyle osculosa,Stichocorys delmontensis,Stichocorys johnsoni,Stichocorys peregrina,Stichocorys wolffii,Stylodictya arachnia,Stylatractus universus,Stylodictya sp.,Stylodictya validispina,Stylochlamidium  venustum,Tetrapyle octacantha,Theocorythium trachelium trachelium,Theocorythium vetulum,Zygocircus sp.,Comments,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
349-U1431D-1H-CC-PAL-RADS,0,2,3.16,3.18,,,,,NR1,Buccimphaera invaginata,,0.0,0.21,G,A,C,,R,,R,F,R,R,R,R,,,,,,,R,,,R,,,,,F,,,R,,R,F,R,,,,,,,,R,,,,,,,,,,,,,,,F,F,,C,F,R,F,R,R,,R,R,R,,,,,,,,,,C,,R,R,,,,C,F,,R,,,R,F,,,,,F,,,R,,F,R,,,,,R,,R,R,R,C,F,,F,,,,349,U1431,D,1,H,CC,PAL,d4bc91860e5b5a779d0aff911d8f5fa7
349-U1431D-2H-CC-PAL-RADS,0,2,12.15,12.17,,,,,NR2,Collosphaera tubemsa,,0.21,0.44,M,C,F,,,,R,R,,,R,,,,,,,,,,,,,,,,R,,,R,,,R,,,,,,,,,,,,,,,,,,,,,,,,R,,,F,F,R,R,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,C,R,,F,,,,349,U1431,D,2,H,CC,PAL,c8d6d6645cd8218611b5848d89edf4be
349-U1431D-3H-CC-PAL-RADS,0,2,22.09,22.11,,,,,,,,,,P,F,R,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,R,,F,"no marker, diatom Grizeratium favus",http://web.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=24491811,"http://web.ship.iodp.tamu.edu:8080/resteasy-asman/re?service=getFile&recordId=24491811,",349,U1431,D,3,H,CC,PAL,b9a2d4e74da7557e03b4a040515a673e
349-U1431D-4H-CC-PAL-RADS,0,5,32.08,32.13,,,,,,,,,,P,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,F,"no marker, Grizeratium favus",,,349,U1431,D,4,H,CC,PAL,7f33ca068ede36f3b2e1fa78d6da23d4
349-U1431D-5H-CC-PAL-RADS,0,5,41.47,41.52,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,5,H,CC,PAL,2a57fa5859bc4bab7fbbf3b6c366c61e
349-U1431D-6H-CC-PAL-RADS,0,5,50.9,50.95,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,6,H,CC,PAL,655303fd788fd6d732aa577b27a5886c
349-U1431D-7H-CC-PAL-RADS,0,5,58.53,58.58,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,7,H,CC,PAL,69a2467ee879c2e1b1bbcdd7b3a374ae
349-U1431D-8H-CC-PAL-RADS,0,4,69.5,69.54,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,just few fragments,,,349,U1431,D,8,H,CC,PAL,5785b67c90375c1983b7d5c67ea67bb7
349-U1431D-9H-CC-PAL-RADS,0,6,78.85,78.91,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dark ash,,,349,U1431,D,9,H,CC,PAL,bb121c3b329157063a575af5ab177a01
349-U1431D-10H-CC-PAL-RADS,0,5,89.01,89.06,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,10,H,CC,PAL,863ed6073716caee7a6629c76428e860
