Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Zone name,Preservation,Group abundance,Amaurolithus primus,Amaurolithus tricorniculatus,Calcidiscus macintyrei,Calcidiscus premacintyrei,Catinaster calyculus,Catinaster coalitus,Ceratolithus acutus,Ceratolithus larrymayeri,Coccolithus miopelagicus,Coronocyclus nitescens (circular),Coronocyclus nitescens (elliptical),Cyclicargolithus floridanus,Discoaster asymmetricus,Discoaster bellus,Discoaster berggrenii,Discoaster bollii,Discoaster brouweri,Discoaster hamatus,Discoaster kugleri,Discoaster loeblichii,Discoaster neohamatus,Discoaster prepentaradiatus,Discoaster quinqueramus,Discoaster pentaradiatus,Discoaster surculus,Discoaster tamalis,Discoaster triradiatus,Discoaster spp.,Emiliania huxleyi,Gephyrocapsa aperta,Gephyrocapsa spp. small (<4 microns),Gephyrocapsa caribbeanica (3-4 microns),Gephyrocapsa caribbeanica (4-5.5 microns),Gephyrocapsa ericsonii,Gephyrocapsa oceanica (3-4 microns),Gephyrocapsa oceanica (4-5.5 microns),Gephyrocapsa omega,Gephyrocapsa spp. (large >5.5 microns),Helicosphaera ampliaperta,Helicosphaera inversa,Helicosphaera sellii,Helicosphaera stalis,Helicosphaera walbersdorfensis,Minylitha convallis,Nicklithus amplificus,Pseudoemiliania lacunosa,Reticulofenestra asanoi,Reticulofenestra sp. 1,Reticulofenestra pseudoumbilicus,Reticulofenestra pseudoumbilicus (>7 microns),Reticulofenestra gelida,Reticulofenestra minuta,Reticulofenestra spp. small,Sphenolithus heteromorphus,Sphenolithus spp.,Triquetrorhabdulus rugosus,Braarudosphaera bigelowii,Calcidiscus leptoporus,Calcidiscus pacificanus,Calcidiscus tropicus,Calciosolenia spp.,Coccolithus pelagicus,Discoaster deflandrei,Discoaster druggii,Florisphaera profunda,Helicosphaera carteri,Helicosphaera wallichii,Oolithotus fragilis,Pontosphaera discopora,Pontosphaera japonica,Pontosphaera multipora,Pontosphaera spp.,Rhabdosphaera clavigera,Rhabdosphaera spp.,Scyphosphaera apsteinii,Syracosphaera pulchra,Umbellosphaera tenuis,Umbilicosphaera rotula,Umbilicosphaera sibogae,Umbilicosphaera sibogae var. foliosa,Reworked species,Sample comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
356-U1461C-1H-1-PAL-NANNO,0,0,0.0,0.0,NN21,"NN21 - Emiliania huxleyi (Gradstein et al., 2012)",G,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VA,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,C,,,,,,,,,,F,,,,,,some aragonite needles,,,,356,U1461,C,1,H,1,PAL,a3e5f3e9990178aaafdb11bdc0be07c9
356-U1461C-1H-CC-PAL-NANNO,0,10,8.29,8.39,,,VG,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VA,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,F,,,F,,,SEM confirms E. huxleyi,,,,356,U1461,C,1,H,CC,PAL,bcb1bc4bad61f0d692797a217527cd66
356-U1461C-2H-CC-PAL-NANNO,0,8,17.57,17.65,,,P,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,A,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abundant aragonite needles,,,,356,U1461,C,2,H,CC,PAL,414c56c8a729391d795b5b53669a0fbd
356-U1461C-3H-CC-PAL-NANNO,0,4,27.46,27.5,NN20,"NN20 - Gephyrocapsa oceanica (Gradstein et al., 2012)",P,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,C,C,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abundant aragonite needles,,,,356,U1461,C,3,H,CC,PAL,9c85dbef458cc34399033d76e346480e
356-U1461C-4H-CC-PAL-NANNO,0,10,36.96,37.06,NN19,"NN19 - Pseudoemiliania lacunosa (Gradstein et al., 2012)",M,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,F,R,,F,R,R,,,,,,,,,P,,F,,,,,,,,,,R,,,,,,,,P,,,,,,,,,,R,,,R,,,abundant aragonite needles,,,,356,U1461,C,4,H,CC,PAL,3e5cccb30bc38e1bfbc9e13eb6a042e9
356-U1461C-5H-CC-PAL-NANNO,0,10,41.29,41.39,,,G,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,F,R,,,,R,,,,,,,,,R,,F,,,,,,,,,,R,,,,,,,,,,,,,,,,,,R,,,R,,,few aragonite needles,,,,356,U1461,C,5,H,CC,PAL,da7505d2b6e1265587df4afd2432da72
356-U1461C-6H-CC-PAL-NANNO,0,10,53.38,53.48,,,G,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,F,R,,R,,R,,,,,,,,,P,,F,,,,,,,,,,R,,,,,,,,,,,,,,,,,,R,,,R,,,micrite,,,,356,U1461,C,6,H,CC,PAL,115bbdb5cdae8712ba714ef4da97e37a
356-U1461C-30F-CC-PAL-NANNO,0,10,248.86,248.96,,,G,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,C,F,,,F,F,,,,,,,,,F,R,F,,,,,F,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,micrite,,,,356,U1461,C,30,F,CC,PAL,2174cb12a2dcbe57a83e70c61afbb636
356-U1461C-57F-CC-PAL-NANNO,0,10,372.14,372.24,,,G,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,C,,,R,R,,,,,,,,,,F,,,,,,F,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,micrite,,,,356,U1461,C,57,F,CC,PAL,2b9a0913406be43148b2e997c554f4af
356-U1461C-60F-CC-PAL-NANNO,0,10,386.18,386.28,,,M,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,C,F,,R,R,,,,,,,,,,P,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,P,,,micrite,,,,356,U1461,C,60,F,CC,PAL,f9f7656aae0c58303a27f03998665752
356-U1461C-61F-CC-PAL-NANNO,0,10,390.89,390.99,,,P,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,C,,,,F,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,10 micron-scale micrite and dolomite common to abundant,,,,356,U1461,C,61,F,CC,PAL,88b3c6550e96ce3d37ef8a5c5225ecac
356-U1461C-64F-CC-PAL-NANNO,0,10,403.84,403.94,,,M,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,C,C,,,C,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"common 10 micron-scale micrite, few smaller dolomite rhombs",,,,356,U1461,C,64,F,CC,PAL,82b2fee799628785d0f6b59bbb3f3adc
356-U1461C-73F-CC-PAL-NANNO,0,10,443.78,443.88,,,G,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,F,,,R,R,,,,,,,,,,R,,,,,,R,F,,,,,R,,,,,,,,P,,,,,,,,,,,,,R,,,few micrite and dolomite,,,,356,U1461,C,73,F,CC,PAL,6407d7e56b5166c39f09b0630959857f
