Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Preservation,Group Abundance,Emiliania huxleyi,Gephyrocapsa omega,Gephyrocapsa sp. (<4 microns),Gephyrocapsa sp. (4-5.5 microns),Gephyrocapsa sp. (>5.5 microns),Pseudoemiliania lacunosa,Reticulofenestra bisecta (>10 microns),Reticulofenestra bisecta (5-10 microns),Reticulofenestra pseudoumbilicus,Reticulofenestra asanoi,Reticulofenestra sp. (5-7 microns),Reticulofenestra spp. small,Calcidiscus leptoporus,Calcidiscus macintyrei,Calcidiscus premacintyrei,Catinaster coalitus,Catinaster calyculus,Coccolithus eopelagicus,Coccolithus formosus,Coccolithus miopelagicus,Coccolithus pelagicus,Coronocyclus nitescens,Cyclicargolithus floridanus,Cyclicargolithus abisectus,Clausicoccus subdistichus,Discoaster adamanteus,Discoaster asymmetricus,Discoaster bellus,Discoaster berggrenii,Discoaster bollii,Discoaster brouweri,Discoaster calcaris,Discoaster calculosus,Discoaster deflandrei,Discoaster druggii,Discoaster exilis,Discoaster hamatus,Discoaster kugleri,Discoaster loeblichii,Discoaster moorei,Discoaster neohamatus,Discoaster pentaradiatus,Discoaster petaliformis,Discoaster prepentaradiatus,Discoaster quinqueramus,Discoaster spp.,Discoaster surculus,Discoaster tamalis,Discoaster triradiatus,Discoaster variabilis,Amaurolithus delicatus,Amaurolithus tricorniculatus,Amaurolithus primus,Ceratolithus cristatus,Ceratolithus acutus,Florisphaera profunda,Helicosphaera carteri,Helicosphaera euphratis,Helicosphaera burkei,Helicosphaera sellii,Minylitha convallis,Nicklithus amplificus,Pontosphaera millepuncta,Pontosphaera multipora,Pontosphaera spp.,Rhabdosphaera spp.,Scyphosphaera spp.,Sphenolithus abies,Sphenolithus conicus,Sphenolithus dissimilis,Sphenolithus heteromorphus,Sphenolithus moriformis,Sphenolithus belemnos,Sphenolithus disbelemnos,Sphenolithus pseudoheteromorphus,Sphenolithus predistentus,Sphenolithus distentus,Sphenolithus ciperoensis,Sphenolithus spp.,Syracosphaera spp.,Triquetrorhabdulus rugosus,Umbilicosphaera rotula,Umbilicosphaera sibogae,Comments,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
367-U1500B-2R-5-W 47/47-NANNO,0,0,852.19,852.19,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1500,B,2,R,5,W
367-U1500B-2R-6-W 60/60-NANNO,0,0,853.79,853.79,,P,C,,,,,,,,,C,,F,C,F,,,,,,,,C,,,,,,,F,,,F,,,,,,,,,,,,,,,,,,,F,,,,,,,F,,,,,,,,R,,,C,,,,,,,,,,,,,,R,,,,,,367,U1500,B,2,R,6,W
367-U1500B-2R-CC-PAL-NANNO,0,5,854.49,854.54,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1500,B,2,R,CC,PAL
367-U1500B-3R-CC-PAL-NANNO,0,5,855,855.05,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1500,B,3,R,CC,PAL
367-U1500B-4R-3-W 28/28-NANNO,0,0,867.8,867.8,,M,C,,,,,,,,,F,,F,F,R,,,C,,,,,,,,,,,,,,R,R,,,,,,,,,,,,,C,,,,,,F,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,367,U1500,B,4,R,3,W
367-U1500B-4R-5-W 79/79-NANNO,0,0,870.9,870.9,,M,C,,,,,,,,,C,,F,C,R,,,C,,,,,C,,,,,,,R,,R,F,,,,,,,,,,,,,,,,,,,F,,,,,,,F,,,,,,,,R,,,C,,,,,,,,,,,,,,R,,,,,,367,U1500,B,4,R,5,W
367-U1500B-4R-CC-PAL-NANNO,0,5,871.79,871.84,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1500,B,4,R,CC,PAL
367-U1500B-5R-2-W 29/29-NANNO,0,0,875.94,875.94,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1500,B,5,R,2,W
367-U1500B-5R-6-W 39/39-NANNO,0,0,881.64,881.64,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1500,B,5,R,6,W
367-U1500B-5R-CC-PAL-NANNO,0,5,883.53,883.58,,P,R,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D. micros,,,,367,U1500,B,5,R,CC,PAL
367-U1500B-6R-1-W 32/32-NANNO,0,0,884.42,884.42,,M,C,,,,,,,,,C,,C,F,R,,,C,,,,,C,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,F,,,,,,,F,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,367,U1500,B,6,R,1,W
367-U1500B-6R-4-W 69/69-NANNO,0,0,888.79,888.79,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,367,U1500,B,6,R,4,W
367-U1500B-6R-6-W 97/97-NANNO,0,0,891.22,891.22,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1500,B,6,R,6,W
367-U1500B-6R-CC-PAL-NANNO,0,5,892.39,892.44,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1500,B,6,R,CC,PAL
367-U1500B-7R-1-PAL-NANNO,0,5,894.93,894.98,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BROKEN DISCOASTER,,,,367,U1500,B,7,R,1,PAL
367-U1500B-7R-1-W 40/40-NANNO,0,0,894.2,894.2,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1500,B,7,R,1,W
367-U1500B-8R-1-W 108/108-NANNO,0,0,904.58,904.58,,P,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1500,B,8,R,1,W
367-U1500B-8R-1-W 53/53-NANNO,0,0,904.03,904.03,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REACTION TO HCl BUT NOT NANNOS,,,,367,U1500,B,8,R,1,W
367-U1500B-9R-1-PAL-NANNO,0,5,913.99,914.04,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 BROKEN COCCOLITH,,,,367,U1500,B,9,R,1,PAL
367-U1500B-10R-1-W 36/36-NANNO,0,0,923.26,923.26,,G,C,,,,,,,,,C,,C,C,C,,,,,,,,C,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,C,,,,,,,C,,,,,,,,F,R,,C,,,,,,,,,,,R,,,F,,,,,,367,U1500,B,10,R,1,W
367-U1500B-10R-2-W 45/45-NANNO,0,0,924.6,924.6,,M,C,,,,,,,,,C,,F,F,F,C,,,,,,,C,,F,,,,,,,C,F,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,367,U1500,B,10,R,2,W
367-U1500B-10R-CC-PAL-NANNO,0,5,926.23,926.28,,G,C,,,,,,,,,F,,R,C,,,,,,,,,F,,C,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,F,R,,,,,,,F,,,,,,R,C,,R,,,,,F,,,R,,,,,,367,U1500,B,10,R,CC,PAL
367-U1500B-11R-1-PAL-NANNO,0,5,933.08,933.13,,G,R,,,,,,,,,R,,R,R,,,,,,,,R,R,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,R,,,,,,,R,,R,,,,,,,,,,Helicosphaera recta,,,,367,U1500,B,11,R,1,PAL
367-U1500B-11R-1-W 15/15-NANNO,0,0,932.75,932.75,,G,A,,,,,,,,F,C,,C,A,F,F,,,,,,F,C,R,A,R,,,,,,F,C,,,F,,,,,,,,,,F,,F,,,,C,,,,,,,C,F,,,,,,,F,R,,,,,F,C,R,R,,,,,F,F,,F,,REWORKED FOSSILS,,,,367,U1500,B,11,R,1,W
367-U1500B-12R-1-PAL-NANNO,0,5,943.64,943.69,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1500,B,12,R,1,PAL
367-U1500B-12R-1-W 53/53-NANNO,0,0,942.83,942.83,,M,R,,,,,,,,,R,,R,R,,,,,,,,,,,R,,,,,,,R,R,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,367,U1500,B,12,R,1,W
367-U1500B-13R-1-PAL-NANNO,0,5,952.99,953.04,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1500,B,13,R,1,PAL
367-U1500B-13R-1-W 10/10-NANNO,0,0,952.1,952.1,,M,R,,,,,,,,,R,,R,R,,,,,,,,,,,R,,,,,,,,R,,,,,,,,,,,,,,,,,,,R,,,,,,,R,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,367,U1500,B,13,R,1,W
367-U1500B-14R-CC-PAL-NANNO,0,5,961.86,961.91,,M,F,,,,,,,,,,,R,,,,,,,,,,R,,R,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,R,,,,,H. granulata,,,,367,U1500,B,14,R,CC,PAL
367-U1500B-15R-CC-PAL-NANNO,0,5,978.28,978.33,,M,R,,,,,,,,,,,R,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1500,B,15,R,CC,PAL
367-U1500B-18R-CC-PAL-NANNO,0,5,1000.65,1000.7,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1500,B,18,R,CC,PAL
367-U1500B-19R-1-W 12/12-NANNO,0,0,1010.32,1010.32,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1500,B,19,R,1,W
367-U1500B-19R-4-NANNO,0,0,1014.61,1014.61,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1500,B,19,R,4,NANNO
367-U1500B-19R-CC-PAL-NANNO,0,5,1015.8,1015.85,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1500,B,19,R,CC,PAL
367-U1500B-20R-2-W 26/26-NANNO,0,0,1021.01,1021.01,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1500,B,20,R,2,W
367-U1500B-20R-CC-PAL-NANNO,0,5,1021.79,1021.84,,P,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,F,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1500,B,20,R,CC,PAL
367-U1500B-21R-1-W 5/5-NANNO,0,0,1029.65,1029.65,,P,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1500,B,21,R,1,W
367-U1500B-21R-2-PAL-NANNO,0,5,1031.34,1031.39,,P,R,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BROKEN RETICULOF BIGGER,,,,367,U1500,B,21,R,2,PAL
367-U1500B-21R-2-W 26/26-NANNO,0,0,1030.85,1030.85,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1500,B,21,R,2,W
367-U1500B-23R-CC-PAL-NANNO,0,5,1052.98,1053.03,,M,R,,,,,,,,,R,,R,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1500,B,23,R,CC,PAL
367-U1500B-24R-CC-PAL-NANNO,0,5,1059.09,1059.14,,P,R,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1500,B,24,R,CC,PAL
367-U1500B-25R-CC-PAL-NANNO,0,5,1068.64,1068.69,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1500,B,25,R,CC,PAL
367-U1500B-26R-2-W 25/25-NANNO,0,0,1079.82,1079.82,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1500,B,26,R,2,W
367-U1500B-26R-3-W 62/62-NANNO,0,0,1081.61,1081.61,,M,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,F,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1500,B,26,R,3,W
367-U1500B-26R-4-W 23/23-NANNO,0,0,1082.57,1082.57,,M,R,,,,,,,,,R,,R,,,,,,,,,,R,,R,,,,,,,F,,,,,,,,,,,,,,,,F,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1500,B,26,R,4,W
367-U1500B-26R-CC-PAL-NANNO,0,5,1083.98,1084.03,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1500,B,26,R,CC,PAL
367-U1500B-27R-CC-PAL-NANNO,0,5,1092.98,1093.03,,P,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,367,U1500,B,27,R,CC,PAL
367-U1500B-28R-2-W 60/60-NANNO,0,0,1099,1099,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1500,B,28,R,2,W
367-U1500B-28R-CC-PAL-NANNO,0,5,1099.2,1099.25,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1500,B,28,R,CC,PAL
367-U1500B-29R-2-W 78/78-NANNO,0,0,1109.19,1109.19,,M,C,,,,,,,,,C,,C,C,,,R,,,,,,F,R,,,,,,,,R,C,,,,,,,,,,,,,,,F,,,,C,,,,,,,F,,,,,,,,,,,C,,,,,,,,,,,F,,,C,,,,,,367,U1500,B,29,R,2,W
367-U1500B-29R-3-W 64/64-NANNO,0,0,1110.38,1110.38,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1500,B,29,R,3,W
367-U1500B-29R-CC-PAL-NANNO,0,5,1110.75,1110.8,,M,C,,,,,,,,,,,C,C,C,,,,,,,R,C,,F,,,,,,,,,,,,,R,,,,,,,,,,F,,,,C,,,,,,,,F,,,,,,F,,,R,F,,,,,R,,,,,,F,,,F,,SAND; DIFFERENT KIND OF HELICOSPH,,,,367,U1500,B,29,R,CC,PAL
367-U1500B-31R-1-W 42/42-NANNO,0,0,1127.02,1127.02,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1500,B,31,R,1,W
367-U1500B-31R-CC-PAL-NANNO,0,5,1128.12,1128.17,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1500,B,31,R,CC,PAL
367-U1500B-34R-1-PAL-NANNO,0,2,1155.76,1155.78,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1500,B,34,R,1,PAL
367-U1500B-35R-1-PAL-NANNO,0,5,1165.4,1165.45,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1500,B,35,R,1,PAL
367-U1500B-37R-1-PAL-NANNO,0,5,1185.25,1185.3,,M,C,,,,,,,,,C,,C,C,,F,,,,,,,C,,,,,,,,,F,R,,,,,R,,,,,,,,,,,,,,F,,,,,,,F,,,,,,,,F,,,F,,,R,C,,,,,,,,,,,,,,,,367,U1500,B,37,R,1,PAL
367-U1500B-37R-1-W 33/33-NANNO,0,0,1185.13,1185.13,,P,F,,,,,,,,,F,,R,F,,F,R,,,,,,R,,R,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,367,U1500,B,37,R,1,W
367-U1500B-39R-1-PAL-NANNO,0,4,1204.32,1204.36,,P,R,,,,,,,,,,,R,R,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,367,U1500,B,39,R,1,PAL
367-U1500B-40R-CC-PAL-NANNO,0,5,1214.52,1214.57,,M,F,,,,,,,,,F,,F,F,R,R,,,,,,,F,,,,,,,,,F,R,,,,,,,,,,,,,,,,,,,F,,,,,,,F,,,,,,,,R,,,F,,,,,,,,,,,,,,R,,,,,,367,U1500,B,40,R,CC,PAL
367-U1500B-42R-CC-PAL-NANNO,0,5,1239.09,1239.14,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1500,B,42,R,CC,PAL
367-U1500B-43R-1-W 37/37-NANNO,0,0,1243.37,1243.37,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1500,B,43,R,1,W
367-U1500B-43R-3-W 132/132-NANNO,0,0,1246.9,1246.9,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1500,B,43,R,3,W
367-U1500B-43R-CC-PAL-NANNO,0,5,1249.6,1249.65,,P,F,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,F,,,,,,,,,,,,,,,,F,,,,F,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,A LOT OF SPECIMENS WITH DISSOLUTION LIKE C. FLORIDANUS,,,,367,U1500,B,43,R,CC,PAL
367-U1500B-44R-2-NANNO,0,0,1254.86,1254.86,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1500,B,44,R,2,NANNO
367-U1500B-44R-CC-PAL-NANNO,0,5,1256.17,1256.22,,M,R,,,,,,,,,R,,R,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1500,B,44,R,CC,PAL
367-U1500B-45R-2-W 50/50-NANNO,0,0,1264.4,1264.4,,P,R,,,,,,,,,,,R,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1500,B,45,R,2,W
367-U1500B-45R-CC-PAL-NANNO,0,5,1271.98,1272.03,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1500,B,45,R,CC,PAL
367-U1500B-46R-6-W 60/60-NANNO,0,0,1280.2,1280.2,,M,A,,,,,,,,,,,,,,,,,,,,,F,R,C,,R,,,,,,,,,F,,,,,,,,,,,,R,,,,F,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,F,,,,,DISCOASTER >15MICRON,,,,367,U1500,B,46,R,6,W
367-U1500B-46R-CC-PAL-NANNO,0,5,1282.06,1282.11,,M,C,,,,,,,,,,,F,F,,F,,,,,,,C,,A,,,,,,,,,,,,,,,F,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,367,U1500,B,46,R,CC,PAL
