Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Datum name,Zone name (short),Zone name,Group abundance,Beella digitata,Dentoglobigerina altispira,Globigerina bulloides,Globigerina falconensis,Globigerina glutinata,Globigerinella calida,Globigerinella obesa,Globigerinella siphonifera,Globigerinoides conglobatus,Globigerinoides extremus,Globigerinoides fistulosus,Globigerinoides obliquus,Globigerinoides ruber (pink),Globigerinoides ruber (white),Globigerinoides sacculifer,Globoquadrina venezuelana,Globorotalia conoidea,Globorotalia conomiozea,Globorotalia crassaformis,Globorotalia crassula,Globorotalia flexuosa,Globorotalia hirsuta (dex),Globorotalia inflata,Globorotalia limbata,Globorotalia margaritae,Globorotalia menardii,Globorotalia merotumida,Globorotalia multicamerata,Globorotalia plesiotumida,Globorotalia pliozea,Globorotalia pseudomiocenica,Globorotalia puncticulata,Globorotalia scitula,Globorotalia sphericomiozea,Globorotalia tosaensis,Globorotalia truncatulinoides,Globorotalia tumida,Globorotaloides hexagona,"Globoturborotalita apertura (Cushman, 1918)",Globoturborotalita decoraperta,Globoturborotalita nepenthes,Globoturborotalita rubescens,"Globoturborotalita woodi (Jenkins, 1960)",Neogloboquadrina acostaensis,Neogloboquadrina dutertrei,Neogloboquadrina humerosa,Neogloboquadrina pachyderma (dextral),Neogloboquadrina pachyderma (sinistral),Orbulina universa,Pulleniatina obliquiloculata,Pulleniatina primalis,Sphaeroidinella dehiscens,Sphaeroidinellopsis kochi,Sphaeroidinellopsis seminulina,Tenuitella anfracta,preservation,File Data,Ship File Links,Shore File Links,Sample,eodp_id
361,U1474,A,1,1-1,H,1,W,70/72-FORAM,0,2,0.7,0.72,,PT1b,"PT1b - Globorotalia truncatulinoides Partial-range Zone (Gradstein et al., 2012)",C,,,R,R,,,P,F,,,,,,F,F,,,,R,,,R,D,,,R,,,,,,,R,,,P,P,R,,,,R,,A,A,,F,P,R,,,,,,,,,,,361-U1474A-1H-1-W 70/72-FORAM,ae16bca130ec3fad84d6ddde906b7910
361,U1474,A,1,1-2,H,2,W,70/72-FORAM,0,2,2.2,2.22,,PT1b,"PT1b - Globorotalia truncatulinoides Partial-range Zone (Gradstein et al., 2012)",C,,,F,F,F,R,R,F,R,,,,,F,F,,,,R,,,R,F,,,R,,,,,,,R,,,R,R,,,,,R,,F,F,,F,,R,R,,,,,,,,,,361-U1474A-1H-2-W 70/72-FORAM,03739f936fae15a68353250f4fff9586
361,U1474,A,1,1-4,H,4,W,70/72-FORAM,0,2,4.71,4.73,"B Globorotalia hirsuta (Gradstein et al., 2012)",PT1b,"PT1b - Globorotalia truncatulinoides Partial-range Zone (Gradstein et al., 2012)",C,,,F,R,,R,R,R,R,,,,R,A,R,,,,R,,,,A,,,R,,,,,,,R,,,R,R,,,,,R,,A,A,,R,,,R,,,,,,,,,,361-U1474A-1H-4-W 70/72-FORAM,9514098e88ec176f7c089594bc1e77e4
361,U1474,A,1,1-CC,H,CC,PAL,FORAM,0,5,5.38,5.43,"B Globigerinella calida (Gradstein et al., 2012)",PT1b,"PT1b - Globorotalia truncatulinoides Partial-range Zone (Gradstein et al., 2012)",C,,,,,R,R,,A,R,,,,,A,A,,,,R,,,,A,,,A,,,,,,,R,,,F,,,,,,,,A,A,,R,,F,F,,,,,,,,,,361-U1474A-1H-CC-PAL-FORAM,a531cca457a68e230ec3828923a29ffd
361,U1474,A,2,2-1,H,1,W,120/122-FORAM,0,2,6.6,6.62,,PT1b,"PT1b - Globorotalia truncatulinoides Partial-range Zone (Gradstein et al., 2012)",C,,,R,R,F,,R,R,,,,,,F,A,,,,R,,,,A,,,R,,,,,,,R,,,R,R,,,,,,,A,A,,R,,,,,,,,,,,,,361-U1474A-2H-1-W 120/122-FORAM,c0548fe5c58ea4d74817a39e853bcda6
361,U1474,A,2,2-2,H,2,W,70/72-FORAM,0,2,7.6,7.62,,PT1b,"PT1b - Globorotalia truncatulinoides Partial-range Zone (Gradstein et al., 2012)",A,P,,,R,R,,,R,,,,,,A,R,,,,F,,,,A,,,R,,,,,,,R,,,R,,R,,,,R,,,F,,R,,R,R,,,,,,,,,,361-U1474A-2H-2-W 70/72-FORAM,0188790ffb0940408329d89973637f2a
361,U1474,A,2,2-3,H,3,W,70/72-FORAM,0,2,9.1,9.12,,PT1b,"PT1b - Globorotalia truncatulinoides Partial-range Zone (Gradstein et al., 2012)",C,,,R,R,,,,R,R,,,,R,F,F,,,,R,,,,A,,,R,,,,,,,,,,R,,,,,,,,,,,,,,,,R,,,,,,,,361-U1474A-2H-3-W 70/72-FORAM,4af65a3830d8f54d2d644ec36635b9db
361,U1474,A,2,2-4,H,4,W,70/72-FORAM,0,2,10.6,10.62,,PT1b,"PT1b - Globorotalia truncatulinoides Partial-range Zone (Gradstein et al., 2012)",A,R,,F,,F,R,,F,,,,,,A,F,,,,R,,,,A,,,R,,,,,,,,,,,R,,,,,,,,F,,F,,,R,,,,,,,,,,361-U1474A-2H-4-W 70/72-FORAM,82e1091f75159f9e068558b3d3421903
361,U1474,A,2,2-5,H,5,W,70/72-FORAM,0,2,12.1,12.12,,PT1b,"PT1b - Globorotalia truncatulinoides Partial-range Zone (Gradstein et al., 2012)",A,R,,R,,,R,,F,R,,,,,F,F,,,,R,,,,D,,,R,,,,,,,,,,R,,,,,,,,,F,,R,,,F,,,,,,,,,,361-U1474A-2H-5-W 70/72-FORAM,b9bf34f66dbc20889a27248b1b9b6469
361,U1474,A,2,2-6,H,6,W,70/72-FORAM,0,2,13.6,13.62,,PT1b,"PT1b - Globorotalia truncatulinoides Partial-range Zone (Gradstein et al., 2012)",C,R,,R,R,R,R,,R,R,,,,R,A,F,,,,R,,F,,A,,,R,,,,,,,,,,R,F,,,,,,,,A,,,,R,R,,,,,,,,,,361-U1474A-2H-6-W 70/72-FORAM,48dd8a946fb4d0709548484fbcb2bd31
