Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Datum name,Datum type,Datum comment,Datum age average [Ma],Zone name (short),Zone name,Zone comment,Upper boundary age min [Ma],Upper boundary age av. [Ma],Upper boundary age max [Ma],Lower boundary age min [Ma],Lower boundary age av. [Ma],Lower boundary age max [Ma],Preservation,Group abundance,General comment,Percentage of nannos in total assemblage [%],Diatoms and siliceous plankton comment,Amaurolithus amplificus,Amaurolithus bizarrus,Amaurolithus delicatus,Amaurolithus primus,Amaurolithus tricorniculatus,Braarudosphaera bigelowii,Bramletteius serraculoides,Calcidiscus leptoporus,Calcidiscus macintyrei,Calcidiscus pacificanus,Calcidiscus premacintyrei,Calcidiscus tropicus,Calciosolenia spp.,Catinaster calyculus,Catinaster coalitus,Ceratolithus acutus,Ceratolithus armatus,Ceratolithus cristatus,Ceratolithus larrymayeri,Ceratolithus rugosus,Ceratolithus telesmus,Chiasmolithus altus,Chiasmolithus consuetus,Chiasmolithus eograndis,Chiasmolithus gigas,Chiasmolithus nitidus,Chiasmolithus oamaruensis,Chiasmolithus solitus,Chiasmolithus spp.,Clausicoccus obrutus,Clausicoccus subdistichus,Coccolithus eopelagicus,Coccolithus miopelagicus,Coccolithus pelagicus,Coronocyclus nitescens,Cryptococcolithus mediaperforatus,Cyclicargolithus abisectus,Cyclicargolithus floridanus,Dictyococcites bisectus,Dictyococcites bisectus (>10µm),Dictyococcites haqii,Dictyococcites hesslandii,Dictyococcites perplexus,Dictyococcites scrippsae,Dictyococcites spp. (<6 microns),Discoaster anartios,Discoaster asymmetricus,Discoaster aulakos,Discoaster barbadiensis,Discoaster bellus,Discoaster bergenii,Discoaster berggrenii,Discoaster binodosus,Discoaster blackstockae,Discoaster bollii,Discoaster braarudii,Discoaster brouweri,Discoaster calcaris,Discoaster challengeri,Discoaster deflandrei,Discoaster diastypus,Discoaster druggii,Discoaster elegans,Discoaster exilis,Discoaster hamatus,Discoaster kuepperi,Discoaster kugleri,Discoaster lenticularis,Discoaster lodoensis,Discoaster loeblichii,Discoaster mediosus,Discoaster musicus,Discoaster neohamatus,Discoaster neorectus,Discoaster pentaradiatus,Discoaster petaliformis,Discoaster prepentaradiatus,Discoaster quinqueramus,Discoaster salisburgensis,Discoaster surculus,Discoaster tamalis,Discoaster tanii,Discoaster tanii nodifer,Discoaster tanii ornatus,Discoaster triradiatus,Discoaster tristellifer,Discoaster variabilis,Ellipsolithus macellus,Emiliania huxleyi,Ericsonia formosa,Florisphaera profunda,Florisphaera profunda var. elongata,Gephyrocapsa (small <4 microns),Gephyrocapsa aperta,Gephyrocapsa caribbeanica (3-4 microns),Gephyrocapsa caribbeanica (4-5.5 microns),Gephyrocapsa ericsonii,Gephyrocapsa oceanica (3-4 microns),Gephyrocapsa oceanica (4-5.5 microns),Gephyrocapsa omega,Gephyrocapsa spp. (large >5.5 microns),Girgisia gammation,Hayaster perplexus,Hayella situliformis,Helicopontosphaera hyalina,Helicosphaera ampliaperta,Helicosphaera bramlettei,Helicosphaera carteri,Helicosphaera compacta,Helicosphaera euphratis,Helicosphaera granulata,Helicosphaera inversa,Helicosphaera recta,Helicosphaera sellii,Helicosphaera wallichii,Hughesius gizoensis,Isthmolithus recurvus,Markalius inversus,Minylitha convallis,Nannotetrina alata,Nannotetrina fulgens,Nannotetrina spp.,Neocrepidolithus spp.,Orthorhabdus serratus,Pontosphaera discopora,Pontosphaera japonica,Pontosphaera multipora,Pontosphaera spp.,Pseudoemiliania lacunosa,Reticulofenestra asanoi,Reticulofenestra dictyoda,Reticulofenestra gelida,Reticulofenestra hillae,Reticulofenestra lockeri,Reticulofenestra minuta,Reticulofenestra pseudoumbilicus (>7 microns),Reticulofenestra rotaria,Reticulofenestra samodurovii,Reticulofenestra spp. small,Reticulofenestra umbilicus (>14um),Rhabdosphaera clavigera,Rhabdosphaera gladius,Rhabdosphaera inflata,Rhomboaster cuspis,Sphenolithus abies,Sphenolithus belemnos,Sphenolithus calyculus,Sphenolithus capricornutus,Sphenolithus ciperoensis,Sphenolithus conspicuus,Sphenolithus delphix,Sphenolithus dissimilis,Sphenolithus distentus,Sphenolithus editus,Sphenolithus furcatolithoides,Sphenolithus heteromorphus,Sphenolithus intercalaris,Sphenolithus moriformis,Sphenolithus predistentus,Sphenolithus pseudoradians,Sphenolithus radians,Sphenolithus spiniger,Sphenolithus spp.,Syracosphaera pulchra,Tetralithoides symeonidesii,Thoracosphaera spp.,Toweius callosus,Toweius crassus,Toweius pertusus,Toweius spp.,Tranolithus orionatus,Tribrachiatus bramlettei,Tribrachiatus contortus,Tribrachiatus digitalis,Tribrachiatus orthostylus,Triquetrorhabdulus carinatus,Triquetrorhabdulus rugosus,Umbellosphaera tenuis,Umbilicosphaera hulburtiana,Umbilicosphaera rotula,Umbilicosphaera sibogae,Umbilicosphaera sibogae var. foliosa,Zygrhablithus bijugatus,Shore File Links,File Data
350-U1437D-2R-CC-PAL-NANNO,350,U1437,D,2,2-CC,R,CC,PAL,NANNO,0,5,431.95,432.0,,,,,CN12b,Discoaster surculus,,,,,,,,M,C,,,R,,,,,,,,F,VF,,,R,,,,,,,,R,,,,,,,,,,,,,,R,,,,,,,C,,,,,,F,,,,,,,,,,VF,,,,,,,,,,,,,,,,,,C,,,,,C,*,,,,,,,,,,C,,C,C,,,,,,,,,,,,,,F,,,,,,R,,,,,,,,,,,,R,,,F,,,,,,,,,,,,VF,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,VF,VF,R,,,
350-U1437D-3R-CC-PAL-NANNO,350,U1437,D,3,3-CC,R,CC,PAL,NANNO,0,5,443.45,443.5,,,,,,,,,,,,,,M,C,,,R,,,,,,,,C,F,,,VF,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,C,,,,,,F,,,,,,,,,,VF,,,,,,,,,,,,,,,,,,F,,,,,C,,,,,,,,,,,C,,C,F,,,,,,,,,,,,,,VF,,,,,,R,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,R,,,,,,,,,,,,,,VF,VF,,,,
350-U1437D-4R-CC-PAL-NANNO,350,U1437,D,4,4-CC,R,CC,PAL,NANNO,0,5,452.72,452.77,,,,2.8,,,,,,,,,,M,A,,,VF,,,,,,,,F,F,,,,,,,,,,,R,,,,,,,,,,,,,,F,,,,,,,C,,,,,,F,,,,,*,,,,,VF,,,,,,,,,,,,,,,,,,F,,,,,C,VF,,,,,,,,,,F,,C,F,,,,,,,,,,,,,,F,,,,,,R,,,,,,,,,,,,,R,,C,,,,,,,,,,,,VF,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,VF,,,,,
350-U1437D-5R-CC-PAL-NANNO,350,U1437,D,5,5-CC,R,CC,PAL,NANNO,0,5,462.04,462.09,,,,,,,,,,,,,,G,A,,,R,,,,,,,,F,F,,,R,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,C,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,VF,,,,,R,VF,,,,,,R,,,,F,,C,F,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,VF,R,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,
350-U1437D-6R-CC-PAL-NANNO,350,U1437,D,6,6-CC,R,CC,PAL,NANNO,0,5,471.1,471.15,,,,,,,,,,,,,,G,A,,,R,,,,,,,,VF,F,,,R,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,C,,,,,,F,,,,,*,,,,,VF,,,,,,,,,,,,,,,,,,F,,,,,R,F,,,,,,,,,,,,F,F,,,,,,,,,,,,,,F,,,,,,R,,,,,,,,,,,,,R,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437D-7R-CC-PAL-NANNO,350,U1437,D,7,7-CC,R,CC,PAL,NANNO,0,5,483.53,483.58,,,,,,,,,,,,,,G,A,,,B,,,,,,,,C,F,,,,,,,,,,,R,,,,,,,,,,,,,,F,,,,,,,C,,,,,,C,,,,,*,,,,,VF,,,,,,,,,,,,,,,,,,VF,,,,,VF,VF,,,,,,,,,,,,F,F,,,,,,,,,,,,,,C,,,,,,R,,,,,,,,,,,,R,,,F,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437D-8R-CC-PAL-NANNO,350,U1437,D,8,8-CC,R,CC,PAL,NANNO,0,5,490.63,490.68,,,,,,,,,,,,,,G,C,,,B,,,,,,,,F,VF,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,C,,,,,,F,,,,,,,,,,VF,,,,,,,,,,,,,,,,,,,,,,,VF,R,,,,,,,,,,,,C,F,,,,,,,,,,,,,,F,,,,,,VF,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,
350-U1437D-9R-CC-PAL-NANNO,350,U1437,D,9,9-CC,R,CC,PAL,NANNO,0,5,500.96,501.01,,,,,,,,,,,,,,G,C,,,B,,,,,,,,F,F,,,VF,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,C,,,,,,VF,,,,,,,,,,VF,,,,,,,,,,,,,,,,,,R,,,,,VF,R,,,,,,,,,,,,F,F,,,,,,,,,,,,,,VF,,,,,,VF,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,
350-U1437D-10R-6-W 110/111-NANNO,350,U1437,D,10,10-6,R,W,,110/111-NANNO,0,1,513.41,513.42,,,,,,,,,,,,,,G,C,,,B,,,,,,,,VF,F,,,VF,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,A,,,,,,VF,,,,,,,,,,VF,,,,,,,,,,,,,,,,,,R,,,,,VF,R,,,,,,,,,,,,F,,,,,,,,,,,,,,,VF,,,,,,R,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,VF,,,,,
350-U1437D-10R-CC-PAL-NANNO,350,U1437,D,10,10-CC,R,CC,PAL,NANNO,0,3,513.84,513.87,,,,,CN12a,Discoaster tamalis,,,,,,,,G,F,,,B,,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,VF,,,,,,R,,,,,,,,,,,,,,,F,,,,,,,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
