Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],"Reworking comment (1= <1%, 2=light 1-10%, 3= >10%)",Group abundance,Comment (general),Preservation,Globigerinoides ruber (pink),Globorotalia tosaensis,Globigerinoides fistulosus,Globorotalia truncatulinoides,Globigerinoides extremus,Globorotalia miocenica,Globorotalia limbata,Globorotalia multicamerata,Dentoglobigerina altispira,Sphaeroidinellopsis seminulina,Pulleniatina primalis,Sphaeroidinella dehiscens,Globorotalia tumida,Globorotalia margaritae,Globoturborotalita nepenthes,Globorotalia merotumida,Globoquadrina dehiscens,Globorotalia lenguaensis,Neogloboquadrina acostaensis,Paragloborotalia mayeri,Fohsella fohsi,Fohsella robusta,Fohsella lobata,Fohsella peripheroacuta,Fohsella peripheroronda,Praeorbulina sicana,Globigerinatella insueta,Orbulina suturalis,Praeorbulina glomerosa,Catapsydrax dissimilis,Globigerina ciperoensis,Globigerinoides trilobus,Paragloborotalia kugleri,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
359-U1466A-1H-CC-PAL-FORAM >150,0,5,4.98,5.03,,,,VG,P,,,R,,,,,,,,,,,,,,,,,,,,,,,,R,,,,P,,,,,359,U1466,A,1,H,CC,PAL,3dedbed31060b60b6232d1920a1bacbf
359-U1466A-2H-CC-REIJ-FORAM >150,0,5,13.76,13.81,,,Possible reworked G. fistulosus,VG,,,P,R,,,,,,,,,,,,,,,,,,,,,,,,R,,,,P,,,,,359,U1466,A,2,H,CC,REIJ,0d9117e829f3fd2cfc1cef652c027e4f
359-U1466A-3H-CC-PAL-FORAM >150,0,5,23.86,23.91,,,Possible reworked G. fistulosus,G,,R,P,,,,,,,,,R,R,,,,,,,,,,,,,,,R,,,,P,,,,,359,U1466,A,3,H,CC,PAL,d8e48e7466bcf11a91db1de92741be4d
359-U1466A-4H-CC-PAL-FORAM >150,0,5,32.97,33.02,,,,M,,P,R,,,,,,,,,R,R,,,,,,,,,,,,,,,R,,,,P,,,,,359,U1466,A,4,H,CC,PAL,f976091bf861b5931816cab4648710b3
359-U1466A-5H-CC-PAL-FORAM >150,0,5,42.96,43.01,,,Possible reworked G. limbata,G,,P,R,,R,,P,,,,,,R,,,,,,,,,,,,,,,R,,,,P,,,,,359,U1466,A,5,H,CC,PAL,2ce6edef397bc9f0d3003b8060dcf429
359-U1466A-6H-CC-PAL-FORAM >150,0,5,52.21,52.26,,,,G,,R,R,,R,P,R,P,,,,R,R,,,,,,,,,,,,,,,R,,,,P,,,,,359,U1466,A,6,H,CC,PAL,8970f304b090468a46d8bdbe0610b119
359-U1466A-7H-CC-PAL-FORAM >150,0,5,61.16,61.21,,,,G,,,,,R,P,R,P,R,P,,R,R,,,,,,,,,,,,,,,R,,,,P,,,,,359,U1466,A,7,H,CC,PAL,c22860e6e7ee84eff5f12e9e0998c8c9
359-U1466A-8H-CC-PAL-FORAM >150,0,5,71.32,71.37,,,,VG,,,,,P,,,,C,P,,R,R,,,,,,,,,,,,,,,R,,,,P,,,,,359,U1466,A,8,H,CC,PAL,42fa6e035d3b13d725e1dc2a2fe05f9a
359-U1466A-9H-CC-PAL-FORAM >150,0,5,79.94,79.99,,,,P,,,,,,,,,R,P,,,,,,,,,,,,,,,,,,,,,,P,,,,,359,U1466,A,9,H,CC,PAL,474d4b4a68fdff1b77cab9dcc79d25f1
359-U1466A-10H-CC-PAL-FORAM >150,0,5,88.43,88.48,,,,M,,,,,R,,P,,C,P,,,,,,,P,,,,,,,,,,,P,,,,P,,,,,359,U1466,A,10,H,CC,PAL,19cc3bc111a4284cc662dafc792ada6f
359-U1466A-11H-CC-PAL-FORAM >150,0,5,95.78,95.83,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,A,11,H,CC,PAL,e1e7fbfefec4bd464b785b6a92da0b12
359-U1466A-12F-CC-PAL-FORAM >150,0,5,99.38,99.43,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,A,12,F,CC,PAL,4f7e00f1db431cf934129d48e641bdaa
359-U1466A-13H-CC-PAL-FORAM >150,0,5,109.65,109.7,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,A,13,H,CC,PAL,2c1aedba87f23b28c2eec901bafbbb3b
359-U1466A-14H-CC-PAL-FORAM >150,0,5,119.41,119.46,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,A,14,H,CC,PAL,dcff21b3da3059b30b23725d643a0a08
359-U1466A-15H-CC-PAL-FORAM >150,0,5,128.92,128.97,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,A,15,H,CC,PAL,664fb3e6ad07d8e8fa7c8fc57a8f290f
359-U1466A-16H-CC-PAL-FORAM >150,0,5,138.56,138.61,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,A,16,H,CC,PAL,7e8f31b663ed5ee3a8cd17ce8a107d74
