Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],No. specimens/tray,Preservation,Comment,Argilloecia spp.,Bairdoppilata spp.,Blind trachyleberidids,Bradleya spp.,Cletocythereis rastromarginata,Cytheralison sp.,Cytherella sp.,Cytheropteron spp.,Dutoitella crassinodosa,Dutoitella suhmi,Glencoeleberis? sp.,Krithe spp.,Legitimocythere acanthoderma,Oertliella? sp.,Philoneptunus paragravezia,Philoneptunus cf. tricolonos,Poseidonamicus spp.,Pseudobosquetina mucronalata,Sighted trachyleberidids,Xestolebris spp.,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
371-U1506A-1R-CC-PAL-OSTRA,0,5,2.2,2.25,4.6,2,,1,,,2,,,,11,,,,2,,,,,8,,,,,,,371,U1506,A,1,R,CC,PAL,87a4d6f7a24708d6b1469105ff99bea5
371-U1506A-3R-CC-PAL-OSTRA,0,10,14.76,14.86,3.4,4,,2,,,3,,,,4,,,,4,,,,,6,,,,,,,371,U1506,A,3,R,CC,PAL,55bc63fed4352d93f53952eaa927ce43
371-U1506A-4R-CC-PAL-OSTRA,0,10,27.16,27.26,10.6,4,,3,,,4,,,1,8,,,,21,,,,,5,,,,,,,371,U1506,A,4,R,CC,PAL,25d05a605dc5cc82624454d5ef239448
371-U1506A-5R-CC-PAL-OSTRA,0,5,32.7,32.75,12,4,,,,,3,,,,6,,,,33,,,,,5,,,,,,,371,U1506,A,5,R,CC,PAL,5715d57aa555a8edf7477b8d92144e79
371-U1506A-6R-CC-PAL-OSTRA,0,10,48.14,48.24,10.8,4,,,,,1,,,,7,,,,26,,,,,10,,,,,,,371,U1506,A,6,R,CC,PAL,c7f7de5938e5fb108934948a9084990d
371-U1506A-7R-CC-PAL-OSTRA,0,3,51.8,51.83,4,4,,,,,1,,,,3,,,,9,,,,,9,,,,,,,371,U1506,A,7,R,CC,PAL,ff0582f6e3bd0c6e71275044d7f437e1
371-U1506A-8R-CC-PAL-OSTRA,0,10,68.08,68.18,4.2,4,,,,,1,,,,,,,,15,,,,,4,,,,,,,371,U1506,A,8,R,CC,PAL,a2826511e1c0cb5f198c03cb962a8487
371-U1506A-9R-CC-PAL-OSTRA,0,10,77.51,77.61,3.7,4,,,,,1,,,,,,,,26,,,,,8,,,,,,,371,U1506,A,9,R,CC,PAL,f047b6c0d0f958e2b474fbb84647a4ef
371-U1506A-10R-CC-PAL-OSTRA,0,6,87.57,87.63,9.3,5,,,,,5,,,,5,,,,12,,,,,2,,,,,,,371,U1506,A,10,R,CC,PAL,9b1c5de4fd099ae9388bc2cbba77571c
371-U1506A-11R-CC-PAL-OSTRA,0,10,96.8,96.9,4.5,5,,,,,2,,,,1,,,,15,,,,,5,,,,,,,371,U1506,A,11,R,CC,PAL,8dcb5f8fc1649817803c2ba4a773aebd
371-U1506A-12R-CC-PAL-OSTRA,0,10,107.61,107.71,5.3,5,,,,,3,,,,5,,,,14,,,,,3,,,,,,,371,U1506,A,12,R,CC,PAL,3684695a6f5ba955e14df67cc552893c
371-U1506A-13R-CC-PAL-OSTRA,0,10,116.72,116.82,4.8,5,,2,,,1,,,,4,,,,16,,,,,1,,,,,,,371,U1506,A,13,R,CC,PAL,ae948c3428bdcb0b8c3d08f918329bb1
371-U1506A-14R-CC-PAL-OSTRA,0,10,127.2,127.3,13.4,5,,1,,,4,,,,4,,,,30,,,,,20,,,,,,,371,U1506,A,14,R,CC,PAL,a1b745be0702c3283990092fc6d5fc80
371-U1506A-15R-CC-PAL-OSTRA,0,10,129.34,129.44,5.8,5,,2,,,2,,,,2,,,,9,,,,,8,,,,,,,371,U1506,A,15,R,CC,PAL,313849f5c99c416497fdedc5eecab931
371-U1506A-16R-CC-PAL-OSTRA,0,10,146.01,146.11,9,5,,,,,2,,,,,,,,21,,,,,7,,,,,,,371,U1506,A,16,R,CC,PAL,43123d8093b5b02fa2dd28a3348b9feb
371-U1506A-17R-CC-PAL-OSTRA,0,9,154.92,155.01,9.6,5,,,,,2,,,,3,,,,33,,,,,6,,,,,,,371,U1506,A,17,R,CC,PAL,b887351d44827c64ce732c4fb5db8dbc
371-U1506A-18R-CC-PAL-OSTRA,0,10,164.83,164.93,10.4,5,,1,,,5,,,,5,,,,18,,,,,19,,,,,,,371,U1506,A,18,R,CC,PAL,b5972b76fd5b4348b16510d574388608
371-U1506A-19R-CC-PAL-OSTRA,0,10,173.95,174.05,10.4,5,,,,,5,,,,8,,,,29,,,,,11,,,,,,,371,U1506,A,19,R,CC,PAL,3ff4e557f533274d7163188739038d26
371-U1506A-20R-CC-PAL-OSTRA,0,8,184.16,184.24,6.8,5,,3,,,2,,,,3,,,,16,,,,,7,,,,,,,371,U1506,A,20,R,CC,PAL,15bda6e20b0057712245b7eeb0eea55e
371-U1506A-21R-CC-PAL-OSTRA,0,10,193.32,193.42,4.4,6,,,,,1,,,,4,,,,9,,,,,4,,,,,,,371,U1506,A,21,R,CC,PAL,f0b81047e4503d333d0254f13129db4b
371-U1506A-22R-CC-PAL-OSTRA,0,10,203.52,203.62,6.8,5,,1,,,1,,,,1,,,,13,,,,,9,,,,,,,371,U1506,A,22,R,CC,PAL,ccc75591903be5a76513c334449a78d0
371-U1506A-23R-CC-PAL-OSTRA,0,10,210.76,210.86,2.4,6,,,,,2,,,,1,,,,6,,,,,3,,,,,,,371,U1506,A,23,R,CC,PAL,59ad76ac58e321f30e77ed02e66380ba
371-U1506A-24R-CC-PAL-OSTRA,0,10,223.23,223.33,3.2,6,,,,,1,,,,2,,,,9,,,,,5,,,,,,,371,U1506,A,24,R,CC,PAL,6aebb58731ca278dc165aebecfe58f96
371-U1506A-25R-CC-PAL-OSTRA,0,6,233.5,233.56,1.2,6,,,,,1,,,1,2,,,,2,,,,,4,,,,,,,371,U1506,A,25,R,CC,PAL,eea232368dc74d4738b3cf33ce8aaa66
371-U1506A-26R-CC-PAL-OSTRA,0,10,240.05,240.15,2.2,5,,,,,1,,,,,,,,3,,,,,5,,,,,,,371,U1506,A,26,R,CC,PAL,06347f78f4c1d81b6cd092a65f0cab63
371-U1506A-27R-CC-PAL-OSTRA,0,10,253.32,253.42,2.1,6,,,,,3,,,,3,,,,10,,,,,9,,,,,,,371,U1506,A,27,R,CC,PAL,d3c81aff6446475bac11ad4de6c5fee3
371-U1506A-28R-2-W 74/76-OSTRA,0,2,255.74,255.76,1.2,6,,,,,2,,,3,4,,,,27,,,,,13,,,,,,,371,U1506,A,28,R,2,W,26f34815c610c5414f07bfeca1094a83
371-U1506A-28R-4-W 72/73-OSTRA,0,1,258.72,258.73,1.5,6,,1,,,1,,,,,,,,5,,,,,,,,,,,,371,U1506,A,28,R,4,W,73005f2ec7f2aa478be43411c364706f
371-U1506A-28R-CC-PAL-OSTRA,0,5,261.9,261.95,4.8,6,,,,,,,,,,,,,1,,,,,1,,,,,,,371,U1506,A,28,R,CC,PAL,507658883dc5980867ca58c7111a54c8
371-U1506A-29R-2-W 78/84-OSTRA,0,6,264.44,264.5,5.2,7,,2,,,4,1,8,2,1,,,,,,2,,,2,,,,,,,371,U1506,A,29,R,2,W,1e69d95653b75637fdc4c49c6d6ab1c5
371-U1506A-29R-2-W 88/91-OSTRA,0,3,264.54,264.57,8.3,7,,13,,,3,5,9,31,,,,35,10,,,,,,,,3,,,,371,U1506,A,29,R,2,W,72fc95370afddbc38e33926b0e392dff
