Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],"Reworking comment (1= <1%, 2=light 1-10%, 3= >10%)",Group abundance,Comment (general),Preservation,Globigerinoides ruber (pink),Globorotalia tosaensis,Globigerinoides fistulosus,Globorotalia truncatulinoides,Globigerinoides extremus,Globorotalia miocenica,Globorotalia limbata,Globorotalia multicamerata,Dentoglobigerina altispira,Sphaeroidinellopsis seminulina,Pulleniatina primalis,Sphaeroidinella dehiscens,Globorotalia tumida,Globorotalia margaritae,Globoturborotalita nepenthes,Globorotalia merotumida,Globoquadrina dehiscens,Globorotalia lenguaensis,Neogloboquadrina acostaensis,Paragloborotalia mayeri,Fohsella fohsi,Fohsella robusta,Fohsella lobata,Fohsella peripheroacuta,Fohsella peripheroronda,Praeorbulina sicana,Globigerinatella insueta,Orbulina suturalis,Praeorbulina glomerosa,Catapsydrax dissimilis,Globigerina ciperoensis,Globigerinoides trilobus,Paragloborotalia kugleri,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
359-U1471E-5R-1-W 37/41-PAL-FORAM >150,0,4,625.77,625.81,,,,VP,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,P,,,,,359,U1471,E,5,R,1,W,9db1f6d2013dc4ef06372fa478fea4b7
359-U1471E-6R-3-W 49/51-PAL-FORAM >150,0,2,638.13,638.15,,,,VP,,,,,,,,,P,,,,,,,,,,,P,,,,,,,,,,,,P,,,,,359,U1471,E,6,R,3,W,a7f7df1e099077d1886eda16ca603c7c
359-U1471E-7R-2-W 99/102-PAL-FORAM >150,0,3,647.24,647.27,,,,VP,,,,,,,,,R,,,,,,P,R,,P,,P,,,,,,,,P,,,,P,,,,,359,U1471,E,7,R,2,W,2cd330c8b9d8ade05fa663abc39ba55b
359-U1471E-8R-5-W 15/17-PAL-FORAM >150,0,2,659.32,659.34,,,,VP,,,,,,,,,P,,,,,,,,,,,P,,,,,,,,P,,,,P,,,,,359,U1471,E,8,R,5,W,c795386cabe9f584fb0b17485cb8eb5c
359-U1471E-9R-2-W 59/62-PAL-FORAM >150,0,2,666.26,666.28,,,,VP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,359,U1471,E,9,R,2,W,cfb1a063b7a15ee12b426f6cddce7978
359-U1471E-10R-1-W 1/3-FORAM >150,0,2,673.91,673.93,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1471,E,10,R,1,W,ec69918b8427370bd828e1d56d50b8bb
359-U1471E-11R-2-W 101/103-FORAM >150,0,2,685.94,685.96,,,,VP,,,,,,,,,P,,,,,,,P,,,,P,,,,,,,,P,,,,P,,,,,359,U1471,E,11,R,2,W,74a0920ec86241a2d8bde4fe7db3afa5
359-U1471E-12R-1-W 38/40-FORAM >150,0,2,693.68,693.7,,,,VP,,,,,,,,,P,,,,,,,,,,,,,,,,,,,P,,,,P,,,,,359,U1471,E,12,R,1,W,3b92c3ce10c734ba86a596dcb3cf13c3
359-U1471E-13R-3-W 71/73-FORAM >150,0,2,706.29,706.31,,,,VP,,,,,,,,,P,,,,,,,P,,,,P,,,,,,,,P,,,,P,,,,,359,U1471,E,13,R,3,W,3f003a1ebb2fab3eee4f2150aa039e80
359-U1471E-14R-1-W 31/33-FORAM >150,0,2,713.01,713.03,,,,VP,,,,,,,,,P,,,,,,,,,,,P,,,,,,,,P,,,,P,,,,,359,U1471,E,14,R,1,W,cdbd8ebe7b8e3b5c8626ab43fb18b0c7
