Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],"Reworking comment (1= <1%, 2=light 1-10%, 3= >10%)",Group abundance,Comment (general),Preservation,Globigerinoides ruber (pink),Globorotalia tosaensis,Globigerinoides fistulosus,Globorotalia truncatulinoides,Globigerinoides extremus,Globorotalia miocenica,Globorotalia limbata,Globorotalia multicamerata,Dentoglobigerina altispira,Sphaeroidinellopsis seminulina,Pulleniatina primalis,Sphaeroidinella dehiscens,Globorotalia tumida,Globorotalia margaritae,Globoturborotalita nepenthes,Globorotalia merotumida,Globoquadrina dehiscens,Globorotalia lenguaensis,Neogloboquadrina acostaensis,Paragloborotalia mayeri,Fohsella fohsi,Fohsella robusta,Fohsella lobata,Fohsella peripheroacuta,Fohsella peripheroronda,Praeorbulina sicana,Globigerinatella insueta,Orbulina suturalis,Praeorbulina glomerosa,Catapsydrax dissimilis,Globigerina ciperoensis,Globigerinoides trilobus,Paragloborotalia kugleri,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
359-U1467C-24X-CC-PAL-FORAM >150,0,5,580.43,580.48,,,,VP,,,,,,,,,P,P,,,,,,,,,,,,,,,,,,P,,,,C,,,,,359,U1467,C,24,X,CC,PAL,80b2251c98a91ce42c94bc7105a7359a
359-U1467C-25X-CC-PAL-FORAM >150,0,5,590.28,590.33,,,few non-identifiable specimens,VP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1467,C,25,X,CC,PAL,a85bea65401160828166eb98f4689795
359-U1467C-26X-CC-PAL-FORAM >150,0,5,602.37,602.42,,,,VG,,,,,,,,,P,R,,,,,,P,R,,,C,,,,,,,,R,,,,C,,,,,359,U1467,C,26,X,CC,PAL,8dbab4d1d8bf614f77b5434edcaa3382
359-U1467C-27X-CC-PAL-FORAM >150,0,5,610.13,610.18,,,,VP,,,,,,,,,P,P,,,,,,P,,,,R,,,,,,,,R,,,,P,,,,,359,U1467,C,27,X,CC,PAL,4f2e97a7c4a44b35a1b3067cc7175a09
359-U1467C-28X-CC-PAL-FORAM >150,0,5,620.47,620.52,,,,VP,,,,,,,,,P,P,,,,,,P,,,,R,,,,,,,,P,,,,P,,,,,359,U1467,C,28,X,CC,PAL,2868dced192e152f5367daa6c081a46b
359-U1467C-29X-CC-PAL-FORAM >150,0,5,636.85,636.9,,,,P,,,,,,,,,P,,,,,,,P,,,,R,R,,,P,P,,,,,,,P,,,,,359,U1467,C,29,X,CC,PAL,66484762cd3227217c6a10af85cad6b3
359-U1467C-30X-CC-PAL-FORAM >150,0,5,645.42,645.47,,,,VP,,,,,,,,,P,,,,,,,P,,,,R,P,,,P,P,,,,,,,P,,,,,359,U1467,C,30,X,CC,PAL,30d365204cc41632900c808646bcf6e2
359-U1467C-31X-CC-PAL-FORAM >150,0,5,650.89,650.94,,,,M,,,,,,,,,,,,,,,,,,,,R,P,,,P,P,,,,,,,P,,,,,359,U1467,C,31,X,CC,PAL,34293c37004067ad90316b991f0ea911
359-U1467C-32X-CC-PAL-FORAM >150,0,5,663.53,663.58,,,,P,,,,,,,,,,,,,,,,,,,,C,P,,,P,,,,P,,,,P,,,,,359,U1467,C,32,X,CC,PAL,e58f489d08c340c909631561432f1f8d
359-U1467C-33X-CC-PAL-FORAM >150,0,5,669.74,669.79,,,,M,,,,,,,,,,P,,,,,,,,,,C,P,,,C,,,,P,,,,C,,,,,359,U1467,C,33,X,CC,PAL,1c8d923da33f008fe638ff50cd09487d
359-U1467C-34X-CC-PAL-FORAM >150,0,5,678.64,678.69,,,,M,,,,,,,,,,,,,,,,,,,,C,P,,,R,P,,,P,,,,C,,,,,359,U1467,C,34,X,CC,PAL,02c75f36b79ed8559623672bdc0b861e
359-U1467C-35X-CC-PAL-FORAM >150,0,5,687.25,687.3,,,,G,,,,,,,,,C,,,,,,,,R,,,C,P,,,,,,,C,,,,C,,,,,359,U1467,C,35,X,CC,PAL,5d2907d96a36c01ccbd439413ffda69d
359-U1467C-36X-CC-PAL-FORAM >150,0,5,704.61,704.66,,,,G,,,,,,,,,R,,,,,,,,,,,C,R,,,P,,,,C,,,,R,,,,,359,U1467,C,36,X,CC,PAL,b45554473f83ba755c744ffc1a59f92c
359-U1467C-37X-CC-PAL-FORAM >150,0,5,707.87,707.92,,,,G,,,,,,,,,R,P,,,,,,,,,,C,R,,,P,P,,,C,,,,R,,,,,359,U1467,C,37,X,CC,PAL,41d12e3fdc070c105df886df52b6b305
