Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Zone name,Preservation,Group abundance,Amaurolithus primus,Amaurolithus tricorniculatus,Calcidiscus macintyrei,Calcidiscus premacintyrei,Catinaster calyculus,Catinaster coalitus,Ceratolithus acutus,Ceratolithus larrymayeri,Coccolithus miopelagicus,Coronocyclus nitescens (circular),Coronocyclus nitescens (elliptical),Cyclicargolithus floridanus,Discoaster asymmetricus,Discoaster bellus,Discoaster berggrenii,Discoaster bollii,Discoaster brouweri,Discoaster hamatus,Discoaster kugleri,Discoaster loeblichii,Discoaster neohamatus,Discoaster prepentaradiatus,Discoaster quinqueramus,Discoaster pentaradiatus,Discoaster surculus,Discoaster tamalis,Discoaster triradiatus,Discoaster spp.,Emiliania huxleyi,Gephyrocapsa aperta,Gephyrocapsa spp. small (<4 microns),Gephyrocapsa caribbeanica (3-4 microns),Gephyrocapsa caribbeanica (4-5.5 microns),Gephyrocapsa ericsonii,Gephyrocapsa oceanica (3-4 microns),Gephyrocapsa oceanica (4-5.5 microns),Gephyrocapsa omega,Gephyrocapsa spp. (large >5.5 microns),Helicosphaera ampliaperta,Helicosphaera inversa,Helicosphaera sellii,Helicosphaera stalis,Helicosphaera walbersdorfensis,Minylitha convallis,Nicklithus amplificus,Pseudoemiliania lacunosa,Reticulofenestra asanoi,Reticulofenestra sp. 1,Reticulofenestra pseudoumbilicus,Reticulofenestra pseudoumbilicus (>7 microns),Reticulofenestra gelida,Reticulofenestra minuta,Reticulofenestra spp. small,Sphenolithus heteromorphus,Sphenolithus spp.,Triquetrorhabdulus rugosus,Braarudosphaera bigelowii,Calcidiscus leptoporus,Calcidiscus pacificanus,Calcidiscus tropicus,Calciosolenia spp.,Coccolithus pelagicus,Discoaster deflandrei,Discoaster druggii,Florisphaera profunda,Helicosphaera carteri,Helicosphaera wallichii,Oolithotus fragilis,Pontosphaera discopora,Pontosphaera japonica,Pontosphaera multipora,Pontosphaera spp.,Rhabdosphaera clavigera,Rhabdosphaera spp.,Scyphosphaera apsteinii,Syracosphaera pulchra,Umbellosphaera tenuis,Umbilicosphaera rotula,Umbilicosphaera sibogae,Umbilicosphaera sibogae var. foliosa,Reworked species,Sample comment,Ship File Links,Shore File Links,File Data
356-U1463C-1H-1-PAL-NANNO,0,0,0,0,NN21 [G12],"NN21 - Emiliania huxleyi (Gradstein et al., 2012)",G [P33],A [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,C [A04],,C [A04],,,,A [A23],C [A04],C [A04],,,,,,,,,,,,,,,,,,,,P [A30],R [A30],,,,,,,,F [A30],,,,P [A30],,,,,,R [A30],,,R [A30],,,,,,
356-U1463C-1H-CC-PAL-NANNO,0,5,4.06,4.11,NN19 [G12],"NN19 - Pseudoemiliania lacunosa (Gradstein et al., 2012)",G [P33],A [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F [A30],,,,A [A23],C [A04],C [A04],,,,,,,,,F [A30],,R [A30],,,,,,,,,,R [A30],,,,,,,,P [A30],,,,,,,,,,P [A30],,,R [A30],,,aragonite needles,,,
356-U1463C-2H-CC-PAL-NANNO,0,5,13.4,13.45,,,G [P33],A [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F [A30],,,,A [A23],C [A04],C [A04],,,,,,,,,F [A30],,F [A30],,,,,,,,,,R [A30],,,,,,,,R [A30],,,,,,,,,,P [A30],,,R [A30],,,aragonite needles,,,
356-U1463C-3H-CC-PAL-NANNO,0,5,23.21,23.26,,,M [P33],C [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C [A04],C [A04],F [A30],,R [A30],F [A30],F [A30],,,,,,,,,R [A30],,F [A30],,,,,,,,,,F [A30],,,,,,,,P [A30],,,,,,,P [A30],,,P [A30],,,F [A30],,,,,,
356-U1463C-4H-CC-PAL-NANNO,0,5,32.46,32.51,,,M [P33],A [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A [A23],A [A23],R [A30],,R [A30],R [A30],R [A30],,,,,,,,,R [A30],,R [A30],,,,,,,,,,R [A30],,,,,,,,R [A30],,,,,,,,,,R [A30],,,R [A30],,,,,,
356-U1463C-5H-CC-PAL-NANNO,0,5,41.77,41.82,,,G [P33],D [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,V [A94],A [A23],P [A30],,R [A30],P [A30],R [A30],,,,,,,,,R [A30],,,,,,F [A30],F [A30],,,,,R [A30],,,,,,,,P [A30],,,,,,,,,,R [A30],,,R [A30],,,,,,
356-U1463C-6H-CC-PAL-NANNO,0,5,51.66,51.71,,,G [P33],A [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A [A23],A [A23],R [A30],,F [A30],R [A30],R [A30],,,,,,,,,R [A30],,,,,,F [A30],C [A04],,,,,R [A30],,,,,,,,R [A30],,,,P [A30],,,,,,R [A30],,,F [A30],,,,,,
356-U1463C-7H-CC-PAL-NANNO,0,5,61.43,61.48,,,G [P33],A [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A [A23],A [A23],R [A30],,R [A30],R [A30],F [A30],,,,,,,,,F [A30],,,,,,C [A04],C [A04],,,,,R [A30],,,,,,,,,,,,,,,,,,,,,F [A30],,,,,,
356-U1463C-12H-CC-PAL-NANNO,0,5,106.37,106.42,,,G [P33],C [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A [A23],P [A30],,,,,,,,,,,,,,C [A04],,,,,,C [A04],C [A04],,,,,F [A30],,,,,,,,R [A30],,,,P [A30],,,,,,,,,F [A30],,,,,,
356-U1463C-14H-CC-PAL-NANNO,0,5,125.07,125.12,,,G [P33],C [A22],,,R [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,A [A23],F [A30],R [A30],,,R [A30],,,,,,,,,,F [A30],,,,,,C [A04],F [A30],,,,,R [A30],,,,,,,,F [A30],,,,P [A30],,,,,,P [A30],,,F [A30],,,,,,
