Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],No. specimens/tray,Preservation,Comment,Argilloecia spp.,Bairdoppilata spp.,Blind trachyleberidids,Bradleya spp.,Cletocythereis rastromarginata,Cytheralison sp.,Cytherella sp.,Cytheropteron spp.,Dutoitella crassinodosa,Dutoitella suhmi,Glencoeleberis? sp.,Krithe spp.,Legitimocythere acanthoderma,Oertliella? sp.,Philoneptunus paragravezia,Philoneptunus cf. tricolonos,Poseidonamicus spp.,Pseudobosquetina mucronalata,Sighted trachyleberidids,Xestolebris spp.,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
371-U1507A-1H-CC-PAL-OSTRA,0,5,6.17,6.22,2,4,,,,,1,,,,,,,,2,,,,,2,,,,,,,371,U1507,A,1,H,CC,PAL,7ffe8d2a44eeabef2d81da0b7debf20f
371-U1507A-2H-CC-PAL-OSTRA,0,10,15.98,16.08,3.4,4,,,,,,,,,,,,,2,,,,,,,,,,,,371,U1507,A,2,H,CC,PAL,cf4c2f82c218b42a9c6723494ac3f1b3
371-U1507A-3H-CC-PAL-OSTRA,0,10,25.1,25.2,4,4,,,,,1,,,,1,,,,1,,,,,2,,,,,,,371,U1507,A,3,H,CC,PAL,09967ae6ec68a0a8479415427346eb82
371-U1507A-4H-CC-PAL-OSTRA,0,10,34.96,35.06,2.8,4,,,,,,,,,,,,,2,,,,,1,,,,,,,371,U1507,A,4,H,CC,PAL,552fd9bb1dc9dba0fe661fa14b1a6d63
371-U1507A-5H-CC-PAL-OSTRA,0,10,44.3,44.4,4.8,4,,,,,1,,,,2,,,,3,,,,,1,,,,,,,371,U1507,A,5,H,CC,PAL,59d416930af9fb10781a7cc72c386c47
371-U1507A-6H-CC-PAL-OSTRA,0,10,53.99,54.09,2.8,4,,,,,,,,,,,,,,,,,,3,,,,,,,371,U1507,A,6,H,CC,PAL,d5879f6497fd60f72eb878d8dfc26e3c
371-U1507A-7H-CC-PAL-OSTRA,0,10,63.37,63.47,0,,small sample size,,,,,,,,,,,,,,,,,,,,,,,,371,U1507,A,7,H,CC,PAL,cac1467505257ccd61d7a23721dfb7b7
371-U1507A-8H-CC-PAL-OSTRA,0,10,72.94,73.04,3,4,,,,,1,,,,2,,,,3,,,,,1,,,,,,,371,U1507,A,8,H,CC,PAL,551e8c81637fdab6095678397e12a84e
371-U1507A-9H-CC-PAL-OSTRA,0,10,82.44,82.54,2.8,4,,,,,1,,,,,,,,3,,,,,,,,,,,,371,U1507,A,9,H,CC,PAL,c9fde33554b9e1604bdb4473d9cb5068
371-U1507A-10H-CC-PAL-OSTRA,0,10,92.03,92.13,2.6,4,,,,,1,,,,,,,,1,,,,,,,,,,,,371,U1507,A,10,H,CC,PAL,24ccf6817fba22b127511cfdca7aecd8
371-U1507A-11H-CC-PAL-OSTRA,0,10,101.48,101.58,0.8,4,,,,,1,,,,,,,,,,,,,1,,,,,,,371,U1507,A,11,H,CC,PAL,978f20caf640c81816fc4d5eba05100f
371-U1507A-12H-CC-PAL-OSTRA,0,5,111.1,111.15,3.6,4,,,,,1,,,1,,,,,3,,,,,1,,,,,,,371,U1507,A,12,H,CC,PAL,5069a770d1ad0622e9eeaf409b77792c
371-U1507A-13H-CC-PAL-OSTRA,0,5,120.69,120.74,3.8,4,,1,,,,,,1,2,,,,3,,,,,2,,,,,,,371,U1507,A,13,H,CC,PAL,fc4fd96024b7cb3af61195e521916bee
371-U1507A-14H-CC-PAL-OSTRA,0,10,130.09,130.19,7,4,,1,,,,,,,,,,,3,,,,,2,,,,,,,371,U1507,A,14,H,CC,PAL,584771628f237fca807129bde523edf6
371-U1507A-15H-CC-PAL-OSTRA,0,10,139.53,139.63,3.6,4,,,,,,,,,,,,,3,,,,,1,,,,,,,371,U1507,A,15,H,CC,PAL,4729fc45fca784d99c81b92987620345
371-U1507A-16H-CC-PAL-OSTRA,0,10,149.06,149.16,0.4,4,,,,,,,,,,,,,2,,,,,,,,,,,,371,U1507,A,16,H,CC,PAL,853e23769ca1b11e9b2db82843b57290
