Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Datum name,Datum type,Datum age average [Ma],Zone name (short),Zone name,Preservation,Group abundance,Percentage of nannos in total assemblage [%],Emiliania huxleyi,Gephyrocapsa caribbeanica,Gephyrocapsa oceanica,Gephyrocapsa sp. (<4 microns),Gephyrocapsa sp. (closed >4 microns),Gephyrocapsa sp. (4-5.5 microns),Gephyrocapsa sp. (>5.5 microns),Pseudoemiliania lacunosa,Reticulofenestra sp. (>7 microns),Reticulofenestra sp. (5-7 microns),Reticulofenestra sp. (3-5 microns),Reticulofenestra sp. (<3 microns),Reticulofenestra asanoi,Reticulofenestra pseudoumbilicus,Cyclicargolithus floridanus,Coccolithus pelagicus,Coccolithus pliopelagicus,Calcidiscus leptoporus,Calcidiscus macintyrei,Umbilicosphaera foliosa,Umbilicosphaera sibogae,Coronocyclus nitescens,Hayaster perplexus,Oolithotus sp.,Helicosphaera carteri,Helicosphaera sellii,Helicosphaera hyalina,Helicosphaera inversa,Helicosphaera wallichii,Helicosphaera spp.,Pontosphaera japonica,Pontosphaera multipora,Pontosphaera sp.,Scyphosphaera globulata,Scyphosphaera spp.,Rhabdosphaera clavigera,Syracosphaera pulchra,Syracosphaera spp.,Braarudosphaera bigelowii,Discosphaera tubifera,Umbellosphaera irregularis,Umbellosphaera tenuis,Calciosolenia murrayi,Discoaster brouweri,Discoaster asymmetricus,Discoaster tamalis,Discoaster triradiatus,Discoaster surculus,Discoaster variabilis,Discoaster pentaradiatus,Discoaster quinqueramus,Discoaster berggrenii,Discoaster blackstockae,Discoaster challengeri,Discoaster decorus,Discoaster neohamatus,Discoaster neorectus,Discoaster pansus,Discoaster quadramus,Discoaster tristellifer,Discoaster loeblichii,Discoaster spp.,Sphenolithus abies,Sphenolithus grandis,Sphenolithus neoabies,Sphenolithus spp.,Sphenolithus verensis,Ceratolithus cristatus,Ceratolithus armatus,Ceratolithus acutus,Ceratolithus larrymayeri,Ceratolithus rugosus,Ceratolithus spp.,Amaurolithus bizarrus,Amaurolithus delicatus,Amaurolithus tricorniculatus,Amaurolithus primus,Amaurolithus spp.,Nicklithus amplificus,Triquetrorhabdulus extensus,Triquetrorhabdulus rugosus,Triquetrorhabdulus spp.,Minylitha convallis,Florisphaera profunda,Thoracosphaera sp.,Ascidian spicules,Reworked species,Nannofossil comment,File Data,Ship File Links,Shore File Links,Sample,eodp_id
361,U1476,A,1,1-3,H,3,W,100/100-NANNO,0,0,4.0,4.0,,,,NN21,"NN21 - Emiliania huxleyi (Gradstein et al., 2012)",G [P41],A,,F,,C,A,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,361-U1476A-1H-3-W 100/100-NANNO,4feef78b358c790073bc0b56849308bd
361,U1476,A,1,1-4,H,4,W,50/50-NANNO,0,0,5.0,5.0,,,,NN21,"NN21 - Emiliania huxleyi (Gradstein et al., 2012)",G [P41],A,,,,F,A,,C,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,361-U1476A-1H-4-W 50/50-NANNO,5908176efd2c87c3e70d4a564cecccd6
361,U1476,A,1,1-CC,H,CC,PAL,NANNO,0,5,5.67,5.72,"B Emiliania huxleyi (Gradstein et al., 2012)",B,0.29,NN20 - NN21,"NN20 - Gephyrocapsa oceanica (Gradstein et al., 2012) to NN21 - Emiliania huxleyi (Gradstein et al., 2012)",G [P41],A,,C,,F,A,,F,C,,,,,,,R,,,,C,,F,F,,,,C,,,,,,,R,,,,C,F,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,361-U1476A-1H-CC-PAL-NANNO,2862cd0802d28252c725554309645a33
361,U1476,A,2,2-3,H,3,W,75/75-NANNO,0,0,9.45,9.45,"T Pseudoemiliania lacunosa (Gradstein et al., 2012)",T,0.44,NN19 - NN20,"NN19 - Pseudoemiliania lacunosa - NN20 - Gephyrocapsa oceanica (Gradstein et al., 2012)",G [P41],A,,,,,A,,C,F,C,,,,,,,,R,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,361-U1476A-2H-3-W 75/75-NANNO,8c3ea31fcc31bfb7473f5e8e5413dec4
361,U1476,A,2,2-4,H,4,W,75/75-NANNO,0,0,10.95,10.95,,,,NN19,"NN19 - Pseudoemiliania lacunosa (Gradstein et al., 2012)",G [P41],A,,,,,A,,A,F,C,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,361-U1476A-2H-4-W 75/75-NANNO,4835ec29bac34b0a77195fe4ed7ef838
361,U1476,A,2,2-5,H,5,W,75/75-NANNO,0,0,12.45,12.45,,,,NN19,"NN19 - Pseudoemiliania lacunosa (Gradstein et al., 2012)",G [P41],A,,,,,A,,C,F,C,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,361-U1476A-2H-5-W 75/75-NANNO,ae671ca5b4456a6f77d093d43a46e391
361,U1476,A,2,2-6,H,6,W,65/65-NANNO,0,0,13.85,13.85,,,,NN19,"NN19 - Pseudoemiliania lacunosa (Gradstein et al., 2012)",G [P41],A,,,,,A,,A,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,361-U1476A-2H-6-W 65/65-NANNO,2ca63f08c7f3756abb6b15c361a74e51
361,U1476,A,2,2-CC,H,CC,PAL,NANNO,0,5,15.39,15.44,,,,NN19,"NN19 - Pseudoemiliania lacunosa (Gradstein et al., 2012)",G [P41],A,,,,,A,,F,R,A,,,A,,,,,,,C,,,C,,,,C,,,,,,,,C,,,C,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,361-U1476A-2H-CC-PAL-NANNO,4cea6387a8aaf884d023d150a1425bc5
361,U1476,A,3,3-1,H,1,W,75/75-NANNO,0,0,15.95,15.95,,,,NN19,"NN19 - Pseudoemiliania lacunosa (Gradstein et al., 2012)",G [P41],A,,,,,A,,C,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,361-U1476A-3H-1-W 75/75-NANNO,0d6a5f5d67f92430c957a9437ffaa0b4
361,U1476,A,3,3-2,H,2,W,75/75-NANNO,0,0,17.45,17.45,,,,NN19,"NN19 - Pseudoemiliania lacunosa (Gradstein et al., 2012)",G [P41],A,,,F,F,C,C,C,,C,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,There are large C. leptoporus (5-10 microns). Only presence of reworked Discoasters is observed. No C. pelagicus.,,,,361-U1476A-3H-2-W 75/75-NANNO,4628f02e62f554e645901bb28c20dad5
