Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Zone name,Datum name,Preservation,Group abundance,Percentage of planktic forams in total foram assemblage [%],Candeina nitida,Cassigerinella chipolensis,Clavatorella bermudezi,Dentoglobigerina altispira,Globigerina angulisuturalis,Globigerina bulloides,Globigerina bulloides umbilicata,Globigerina praebulloides,Globigerina quinqueloba,Globigerina sp.,Globigerinatella insueta,Globigerinella calida,Globigerinita glutinata,Globigerinoides conglobatus,Globigerinoides extremus,Globigerinoides fistulosus,Globigerinoides obliquus,Globigerinoides ruber (pink),Globigerinoides ruber (white),Globigerinoides sacculifer,Globigerinoides sp.,Globigerinoides subquadratus,Globigerinoides tenellus,Globigerinoides trilobus,Globoquadrina dehiscens,Globoquadrina venezuelana,Globorotalia archeomenardii,Globorotalia cibaoensis,Globorotalia crassula,Globorotalia exilis,Globorotalia flexuosa,Globorotalia fohsi fohsi,Globorotalia hessi,Globorotalia hirsuta,Globorotalia ikbei,Globorotalia inflata,Globorotalia juanai,Globorotalia lenguaensis,Globorotalia limbata,Globorotalia margaritae,Globorotalia menardii,Globorotalia miozea,Globorotalia miozea/conoidea,Globorotalia multicamerata,Globorotalia orientalis,Globorotalia peripheroacuta,Globorotalia peripheroronda,Globorotalia pertenuis,Globorotalia plesiotumida,Globorotalia praefohsi,Globorotalia praeinflata,Globorotalia praemenardii,Globorotalia praescitula,Globorotalia pseudomiocenica,Globorotalia rikuchuensis,Globorotalia scitula,Globorotalia sp.,Globorotalia tosaensis,Globorotalia truncatulinoides,Globorotalia tumida,Globoturborotalita apertura,Globoturborotalita decoraperta,Globoturborotalita nepenthes,Globoturborotalita sp.,Globoturborotalita woodi,Neogloboquadrina acostaensis,Neogloboquadrina asanoi,Neogloboquadrina dutertrei,Neogloboquadrina himiensis,Neogloboquadrina humerosa,Neogloboquadrina incompta,Neogloboquadrina inglei,Neogloboquadrina kagaensis,Neogloboquadrina pachyderma,Neogloboquadrina pachyderma (dextral),Neogloboquadrina pachyderma (sinistral),Neogloboquadrina pseudopachyderma,Neogloboquadrina sp.,Orbulina sp.,Orbulina suturalis,Orbulina universa,Paragloborotalia mayeri,Praeorbulina circularis,Praeorbulina sicana,Praeorbulina sp.,Pulleniatina obliquiloculata,Pulleniatina primalis,Pulleniatina sp.,Pulleniatina spectabilis,Sphaeroidinella dehiscens,Sphaeroidinellopsis kochi,Sphaeroidinellopsis seminulina,Sphaeroidinellopsis sp.,Turborotalita humilis,Comments,Ship File Links,Shore File Links,File Data
346-U1429A-1H-CC-PAL,0,5,6.35,6.4,,,,G ,D ,99,,,,,,A,,,,,,R,,,,,,,F,F,,,,,,,,,,,,,,,,F,,,,,R,,,,,,,,,,,,,,,,,,R,,,,,,,,,A,,,R,,,,R,,,,,,R,,,,,R,,,,,,,,,,,,
346-U1429A-2H-CC-PAL,0,5,16.11,16.16,,,,G ,D ,99,,,,,,A,,,,,,,R,,,,,,F,F,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,A,,,R,,,,R,,,,,,R,,,,,R,,,,,,,,,,,,
346-U1429A-3H-CC-PAL,0,5,25.77,25.82,,,,G ,D ,99,,,,,,A,,,,,,R,R,,,,,,F,R,,,,,,,,,,,,,R,,,F,,,,,R,,,,,,,,,,,,,,,,,,R,,,,,,,,,A,,,R,,,,R,,,,,,R,,,,,R,,,,,,,,,,,,
346-U1429A-4H-CC-PAL,0,5,35.27,35.32,,,,G ,D ,99,,,,,,F,,,F,,,R,R,,,,,,R,R,,,,,,,,,,,,,,,,F,,,,,R,,,,,,,,,,,,,,,,,,R,,,,,,,,,F,,,A,,,,F,,,,,,,,,,,F,,,,,,,,,,,,
346-U1429A-5H-CC-PAL,0,5,44.78,44.83,,,,G ,D ,99,,,,,,F,,,,,,R,,R,,,,,F,R,,,,,,,,,,,,,,,,F,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,R,,,,,,,,,,R,,,,,F,,,,R,,,,,,,,
346-U1429A-7H-CC-PAL,0,5,61.38,61.43,,,,VG ,D ,99,,,,,,F,,,,,,R,,F,,,,,F,F,,,,,,,,,,,R,,,,,F,,,,,F,,,,,,,,,,,,,,,,,,F,,,,,,,,,A,,,R,,,,,,,,,,F,,,,,F,,,,R,,,,,,,,
346-U1429A-8H-CC-PAL,0,5,70.97,71.02,,,"T Globigerinoides ruber (pink) (Thompson et al., 1979)",VG ,D ,99,,,,,,D,,,,,,,R,,,,,R,F,R,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,
346-U1429A-9H-CC-PAL,0,5,80.62,80.67,,,,G ,D ,99,,,,,,F,,,,,,R,,,,,,R,F,R,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,A,,,,F,,,,,,R,,,,,R,,,,,,,,,,,,
346-U1429A-10H-CC-PAL,0,5,90.15,90.2,,,,G ,D ,99,,,,,,A,,,F,,,R,,,,,,R,F,R,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,A,,,F,,,,F,,,,,,R,,,,,R,,,,,,,,,,,,
346-U1429A-11H-CC-PAL,0,5,99.67,99.72,,,,M ,D ,99,,,,,,A,,,,,,,R,R,,,,R,F,R,,,,,,,,,,,,,,,,F,,,,,R,,,,,,,,,,,,,,,,,,R,R,,,,,,,,A,,,,,,,,,,,,,R,,,,,F,,,,,,,,,,,,
346-U1429A-12H-CC-PAL,0,5,109.14,109.19,,,,VG ,D ,99,,,,,,A,,,,,,,R,R,,,,R,F,R,,,,,,,,,,,,,,,,R,,,,,R,,,,,,,,,,,,,,,,,,F,,,,,,,,,A,,,A,,,,F,,,,,,,,,,,,,,,,,,,,,,,
346-U1429A-13H-4-PAL-FORAM,0,1,114.57,114.58,,,,P ,F ,100,,,,,,D,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1429A-15H-CC-PAL,0,5,128.05,128.1,,,,VG ,D ,99,,,,,,A,,,A,,,,,,,,,R,F,R,,,,,,,,,,,,,,,,F,,,,,F,,,,,,,,,,,,,,,,,,R,,,,,,,,,F,,,F,,,,F,,,,,,R,,,,,F,,,,,,,,,,,,
346-U1429A-17H-CC-PAL,0,4,147.12,147.16,,,,G ,D ,99,,,,,,,,,,,,,,R,,,,R,A,F,,,,,,,,,,,,,,,,F,,,,,R,,,,,,,,,,,,,,,,,,F,,,,,,,,,A,,,F,,,,F,,,,,,R,,,,,F,,,,R,,,,,,,,
346-U1429A-18H-6-FORAM,0,2,152.89,152.91,,,,G ,D ,99,,,,,,A,,,,,,,,,,,,R,F,,,,,,,,,,,,,,R,,,F,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,A,,,,,,,,,,,,,R,,,,,F,,,,,,,,,,,,
346-U1429A-20H-CC-PAL,0,5,165.93,165.98,,,,G ,D ,99,,,,,,R,,,,,,,,,,,,F,A,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,A,,,,,,,,,,,,,F,,,,,F,,,,,,,,,,,,
346-U1429A-21H-CC-PAL,0,4,175.75,175.79,,,,G ,D ,99,,,,,,F,,,,,,,,,,,,,F,F,,,,,,,,,,,R,,R,,,F,,,,,F,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,F,,,,,,,,,,,R,,,,,A,,,,,,,,,,,,
346-U1429A-22H-2-PAL,0,5,178.04,178.09,,,,VG ,D ,99,,,,,,F,,,F,,,,,R,,,,R,A,F,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,A,,,,,,,,,,,,,F,,,,,F,,,,,,,,,,,,
