Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Preservation,Group Abundance,Emiliania huxleyi,Gephyrocapsa omega,Gephyrocapsa sp. (<4 microns),Gephyrocapsa sp. (4-5.5 microns),Gephyrocapsa sp. (>5.5 microns),Pseudoemiliania lacunosa,Reticulofenestra bisecta (>10 microns),Reticulofenestra bisecta (5-10 microns),Reticulofenestra pseudoumbilicus,Reticulofenestra asanoi,Reticulofenestra sp. (5-7 microns),Reticulofenestra spp. small,Calcidiscus leptoporus,Calcidiscus macintyrei,Calcidiscus premacintyrei,Catinaster coalitus,Catinaster calyculus,Coccolithus eopelagicus,Coccolithus formosus,Coccolithus miopelagicus,Coccolithus pelagicus,Coronocyclus nitescens,Cyclicargolithus floridanus,Cyclicargolithus abisectus,Clausicoccus subdistichus,Discoaster adamanteus,Discoaster asymmetricus,Discoaster bellus,Discoaster berggrenii,Discoaster bollii,Discoaster brouweri,Discoaster calcaris,Discoaster calculosus,Discoaster deflandrei,Discoaster druggii,Discoaster exilis,Discoaster hamatus,Discoaster kugleri,Discoaster loeblichii,Discoaster moorei,Discoaster neohamatus,Discoaster pentaradiatus,Discoaster petaliformis,Discoaster prepentaradiatus,Discoaster quinqueramus,Discoaster spp.,Discoaster surculus,Discoaster tamalis,Discoaster triradiatus,Discoaster variabilis,Amaurolithus delicatus,Amaurolithus tricorniculatus,Amaurolithus primus,Ceratolithus cristatus,Ceratolithus acutus,Florisphaera profunda,Helicosphaera carteri,Helicosphaera euphratis,Helicosphaera burkei,Helicosphaera sellii,Minylitha convallis,Nicklithus amplificus,Pontosphaera millepuncta,Pontosphaera multipora,Pontosphaera spp.,Rhabdosphaera spp.,Scyphosphaera spp.,Sphenolithus abies,Sphenolithus conicus,Sphenolithus dissimilis,Sphenolithus heteromorphus,Sphenolithus moriformis,Sphenolithus belemnos,Sphenolithus disbelemnos,Sphenolithus pseudoheteromorphus,Sphenolithus predistentus,Sphenolithus distentus,Sphenolithus ciperoensis,Sphenolithus spp.,Syracosphaera spp.,Triquetrorhabdulus rugosus,Umbilicosphaera rotula,Umbilicosphaera sibogae,Comments,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
367-U1499A-1H-CC-PAL-NANNO,0,5,7.45,7.5,,M,C,C,,C,C,,,,,,,,,F,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,F,,,,,,,,,,,,,,,,,,,,,,,F,,,F,,,,,367,U1499,A,1,H,CC,PAL,f70486583f059a68a3da91aceea642a9
367-U1499A-2H-3-W 56/57-NANNO,0,1,11.06,11.07,,M,F,F,,C,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,R,,,,,,,,,,,,,,,,,,,,,,,R,,,F,,,,,367,U1499,A,2,H,3,W,cec5fd8c37ce1aa8d797b64e5914c2ba
367-U1499A-2H-5-W 64/64-NANNO,0,0,14.14,14.14,,G,C,F,,A,C,,,,,,,,,F,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,F,,,,,,,,,R,,,,,,,,,,,,,,C,,,C,,,,,367,U1499,A,2,H,5,W,0b7e621be1494fb569eee9d12f1374d2
367-U1499A-2H-CC-PAL-NANNO,0,5,17.33,17.38,,M,C,F,,A,C,,,,,,,,,F,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,F,,,,,,,,,,,,,,,,,,,,,,,F,,,F,,,,,367,U1499,A,2,H,CC,PAL,ab75d0122799dc0fdb9956859eb400ed
367-U1499A-3H-CC-PAL-NANNO,0,5,26.84,26.89,,G,C,,,C,C,,,,,,,C,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,C,,,,,,,,,F,,R,,,,,,,,,,,,,,,C,,,,,367,U1499,A,3,H,CC,PAL,f30c105d5f5566d646446f91d1b09c75
367-U1499A-4H-3-W 38/39-NANNO,0,1,29.88,29.89,,G,C,,,A,C,,,,,,,R,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,C,,,C,,,,,367,U1499,A,4,H,3,W,6bbdb7a278dfafb7e5c3f8ff1c835ca3
367-U1499A-4H-5-W 39/40-NANNO,0,1,32.89,32.9,,VG,C,,,A,C,,,,,R,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,C,F,,,,,,,,F,,,,,,,,,,,,,,,C,,,C,,,,,367,U1499,A,4,H,5,W,36337afa959cc8c5b22ce9664ac28056
367-U1499A-4H-CC-PAL-NANNO,0,5,36.36,36.41,,G,C,,,C,C,F,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,F,C,,,,,,,,F,C,,,,,,,,,,,,,,F,,,F,,,,,367,U1499,A,4,H,CC,PAL,f413217d15614f864b3b9e325749a974
367-U1499A-5H-CC-PAL-NANNO,0,5,45.68,45.73,,G,C,,,C,,,C,,,,R,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,R,R,,,,,,,,,,,,F,,,F,,,,,367,U1499,A,5,H,CC,PAL,1c8a2c309705cfa4c4e3e9c2821990bd
367-U1499A-6H-3-W 120/121-NANNO,0,1,49.7,49.71,,VG,A,,,A,C,,A,,,,R,F,A,C,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,F,,,,F,,,,F,,,,,,C,C,,,,,,,,F,C,R,F,,,,,,,,,,,,C,,C,C,Slumping,,,,367,U1499,A,6,H,3,W,39fde52109dd91620376d957a0974e5c
367-U1499A-6H-5-W 90/91-NANNO,0,1,52.4,52.41,,VG,A,,,A,F,,A,,,,,C,A,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,C,C,,,,,,,,C,C,R,R,,,,,,,,,,,,C,,,C,Slumping,,,,367,U1499,A,6,H,5,W,b861e8010de7d0679d3089ce2f47c7dc
367-U1499A-6H-CC-PAL-NANNO,0,5,55.59,55.64,,VG,A,,,F,,,C,,,,,,,C,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,C,,,,,,,,C,C,F,R,,,,,,,,,,,,C,,,,Slumping,,,,367,U1499,A,6,H,CC,PAL,81109f43c8607f5184820be4c7c2c569
367-U1499A-7H-5-W 96/96-NANNO,0,0,61.92,61.92,,VG,A,,,A,,,D,,,,,C,C,C,F,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,A,C,,,,,,,,,C,,,,,,,,,,,,,,,,,C,Slumping,,,,367,U1499,A,7,H,5,W,9ea3f0585c1e371870fe32101b08dfc3
367-U1499A-7H-CC-PAL-NANNO,0,5,65.1,65.15,,VG,A,,,,,,,,,F,,,,,,,,,,,,,,,,,,F,,,,C,,,,,,,,,,,C,,,,,,F,F,,,,,,,C,,,,,,,,,F,F,,C,,,,,,,,,,,,C,,,C,Slumping,,,,367,U1499,A,7,H,CC,PAL,d60b565d74a04f74dc6225c323a99ab0
367-U1499A-8H-CC-PAL-NANNO,0,5,74.44,74.49,,VG,A,,,,,,C,,,,,F,C,C,F,,,,,,,F,,,,,,C,,,,C,,,,,,,,,,,C,,,,,F,F,,,,,,,,C,C,,,,,,,,C,C,,,,,,,,,,,,,,C,,,C,Slumping,,,,367,U1499,A,8,H,CC,PAL,771121a43877d6abd3fefd7edcbf0bdc
367-U1499A-9H-CC-PAL-NANNO,0,5,83.47,83.52,,VG,A,,,,,,C,,,,,,,C,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,F,,,,,,,,A,C,,,,,,,,C,C,,F,,,,,,,,,,,,C,,,C,Slumping,,,,367,U1499,A,9,H,CC,PAL,4d671d1f492e65a65fbfd4c545a2909b
367-U1499A-10H-CC-PAL-NANNO,0,5,93.38,93.43,,VG,A,,,C,,,A,,,,,,,C,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,F,,,,,,,,R,,,,,,D,C,,,,,,,,,,,C,,,,,,,,,,,,,,,F,Slumping,,,,367,U1499,A,10,H,CC,PAL,e5e0a19376ba7bb727aa329a1252a449
367-U1499A-11H-CC-PAL-NANNO,0,5,103.09,103.14,,M,C,,,C,,,A,,,,,C,C,C,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,D,F,,,,,,,,,,,R,,,,,,,,,,,,,,F,F,Pleistocene,,,,367,U1499,A,11,H,CC,PAL,3e0ebf482742db011f6e41f5c143f2dd
367-U1499A-12H-CC-PAL-NANNO,0,5,112.56,112.61,,G,F,,,F,C,,F,,,,,,,R,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,R,,,,,,,,,,,,,,,F,Pleistocene,,,,367,U1499,A,12,H,CC,PAL,4e2e8408226bbc1f4bbc2c3456bbb67c
367-U1499A-13H-CC-PAL-NANNO,0,5,121.28,121.33,,M,F,,,F,F,,C,,,,,R,C,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,C,F,,,,,,,,,,,,,,,,,,,,,,,,,,,Pleistocene,,,,367,U1499,A,13,H,CC,PAL,09d802c21534093a06c267f2baac2858
367-U1499A-14H-CC-PAL-NANNO,0,5,131.19,131.24,,G,C,,,A,F,,C,,,,R,F,C,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,R,,,F,Pleistocene,,,,367,U1499,A,14,H,CC,PAL,4525c109d22eb7304f7f08844a0ddf44
367-U1499A-15H-CC-PAL-NANNO,0,5,138.8,138.85,,G,F,,,,,,C,,,,,C,C,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,C,R,,,,,,,,,,,,,,,,,,,,,,,,,,R,Pleistocene,,,,367,U1499,A,15,H,CC,PAL,2457ba1390b4d9679a259bfa8685d640
367-U1499A-16H-CC-PAL-NANNO,0,5,148.28,148.33,,M,F,,,C,R,,C,,,,,F,C,F,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,R,,,,,A,F,,,R,,,,,,,,,,,,,,,,,,,,,,,F,Pleistocene,,,,367,U1499,A,16,H,CC,PAL,f3f288833e21eb741d672f7ebe69c8e8
367-U1499A-17H-CC-PAL-NANNO,0,5,156.53,156.58,,G,A,,,,,F,A,,,R,,F,C,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,R,,,,,A,F,,,,,,,,F,C,R,,,,,,,,,,,,,F,,,F,Pleistocene,,,,367,U1499,A,17,H,CC,PAL,c65ccd8923e4f39f51b17b5cbe430989
367-U1499A-18H-CC-PAL-NANNO,0,5,162.32,162.37,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1499,A,18,H,CC,PAL,5d79e50051235a0a23c50de0b6ec4f32
367-U1499A-19X-CC-PAL-NANNO,0,5,170.93,170.98,,G,C,,,A,C,F,A,,,,,F,A,C,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,C,C,,,R,,,,,C,C,,R,,,,,,,,,,,,F,,,F,,,,,367,U1499,A,19,X,CC,PAL,ae7cc6777f720b139a1e3f2f1a5c0134
367-U1499A-20X-CC-PAL-NANNO,0,5,181.7,181.75,,G,F,,,C,F,F,C,,,,,F,C,R,,,,,,,,R,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,R,F,,,,,,,,R,,,,,,,,,,,,,,,R,,,R,,,,,367,U1499,A,20,X,CC,PAL,f90794fb38b7c4aa9e331cc20f85bae0
367-U1499A-21X-CC-PAL-NANNO,0,5,190.11,190.16,,G,C,,,C,F,,C,,,R,,,C,F,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,R,,,,,F,F,,R,,,,,,,,,,,,F,,,F,1 R. PSEUDOUMBILICA,,,,367,U1499,A,21,X,CC,PAL,b459b6b3f629bce584861f1380a43b5a
367-U1499A-22X-CC-PAL-NANNO,0,5,201.06,201.11,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1499,A,22,X,CC,PAL,903b561eb8b7cc2736310bb40fb9d15b
367-U1499A-23X-CC-PAL-NANNO,0,5,210.94,210.99,,M,F,,,F,,,C,,,,,R,C,F,F,,,,,,,F,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,R,,,,,R,R,,,,,,,,,,,,,,R,,,R,,,,,367,U1499,A,23,X,CC,PAL,0a7adbb002869edaefa4db14b2cd9df6
367-U1499A-24X-CC-PAL-NANNO,0,5,220.72,220.77,,M,F,,,,,,C,,,,,,C,F,R,,,,,,,F,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D. brouweri broken,,,,367,U1499,A,24,X,CC,PAL,794aa7c92df46e6db32ea7e7f6678fff
367-U1499A-25X-CC-PAL-NANNO,0,2,220.6,220.62,,M,F,,,R,,,C,,,,,,C,F,F,,,,,,,F,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,F,F,,R,,,,,,,,,,,,F,,,F,3 R.ASANOI???,,,,367,U1499,A,25,X,CC,PAL,4a59f514aff527e5f65e06716c4fef72
367-U1499A-26X-2-W 22/23-NANNO,0,1,232.02,232.03,,P,R,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,R,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALMOST BARREN,,,,367,U1499,A,26,X,2,W,a959e9eb58d3a2decae4c6f6b1e5342a
367-U1499A-26X-3-W 140/140-NANNO,0,0,234.7,234.7,,P,R,,,,,,F,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALMOST BARREN,,,,367,U1499,A,26,X,3,W,a32f2f37659064a3b08b51766409736c
367-U1499A-26X-CC-PAL-NANNO,0,5,240.14,240.19,,M,F,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,broken discoaster,,,,367,U1499,A,26,X,CC,PAL,2e4dc86244b9c35f0339735f83159120
367-U1499A-27X-2-W 75/75-NANNO,0,0,242.25,242.25,,M,F,,,,,,F,,,,,,F,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,R,,,,,F,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1499,A,27,X,2,W,c004590000bbc9a90d23cd37fa04d946
367-U1499A-27X-5-W 69/70-NANNO,0,1,246.69,246.7,,M,R,,,,,,R,,,,,,R,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,R,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1499,A,27,X,5,W,1922a2581b0156c861e57a6e0d6eeab6
367-U1499A-27X-CC-PAL-NANNO,0,5,249.77,249.82,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,broken discoaster,,,,367,U1499,A,27,X,CC,PAL,ec31442d6d52ada7fdf2a48706766214
367-U1499A-28X-2-W 73/73-NANNO,0,0,251.93,251.93,,M,F,,,,,,R,,,,,,F,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,F,,,,,F,,,,,,,,,R,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1499,A,28,X,2,W,65a179e2b4ff4bded056f406c75a039f
367-U1499A-28X-5-W 75/75-NANNO,0,0,256.45,256.45,,M,C,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,C,,,,,,,,R,,,F,,,R,,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DISCOASTER ABUNDANT, SOME REWORKED",,,,367,U1499,A,28,X,5,W,ebbc44d5045ec9b295814cb3ac138fcc
367-U1499A-28X-CC-PAL-NANNO,0,5,259.23,259.28,,G,R,,,,,,,,,,,F,R,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,broken discoaster,,,,367,U1499,A,28,X,CC,PAL,a076a6240d6f6bb37046f3d4ad7d2843
