Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name,Preservation palynofacies,Dinocysts,Sporomorphs,Prasinophytes,Acritarchs,Foraminiferal linings,Black phytoclasts,Brown phytoclasts,Amorphous organic matter,Saccate pollen,Nothofagus pollen,Other pollen,Spores,Fungal spores,Dinocysts reworked,Pollen/spores reworked,Total in situ dinocysts,Achomosphaera spp.,Aiora fenestrata,Areosphaeridium diktyoplokus,Arcticacysta sp.,Batiacasphaera sp.,Batiacasphaera cooperi,Batiacasphaera minuta,Batiacasphaera sphaerica,Brigantedinium spp.,Brigantedinium pyinei,Cerebrocysta spp.,Chiropteridium galea,Corrudinium sp.,Cryodinium meridianum,Deflandrea antarctica,Deflandrea phosphoritica,Distatodinium sp.,Edwardsiella sexispinosa,Enneadocysta,Filisphaera filifera,Gelatia inflata,Hystrichokolpoma sp.,Hystrichokolpoma bullatum,Hystrichokolpoma truncatum,Hystrichosphaeridium,Impagidinium sp.,Impagidinium pallidum,Impagidinium patulum,Invertocysta tabulata,Islandinium round brown/spiny,Lejeunecysta sp.,Lejeunecysta acuminata,Lejeunecysta adeliensis,Lejeunecysta attenuata,Lejeunecysta cowiei,Lejeunecysta katatonos,Lejeunecysta fallax,Lejeunecysta rotunda,Malvinia escutiana,Nematosphaeropsis labyrinthea,Operculodinium sp.,Operculodinium? eirikianum,Operculodinium janduchenei,Operculodinium piaseckii,Palaeocystodinium sp.,Phelodinium sp.,Pyxidinopsis sp.,Protoperidinium sp.1,Protoperidinium sp. 2,Protoperidinium sp. 3,Selenopemphix antarctica,Selenopemphix brinkhuisii,Selenopemphix dionaeacysta,Selenopemphix kepion,Selenopemphix nephroides,Selenopemphix undulata,Selenopemphix sp. 1,Spinidinium macmurdoense,Spiniferites elongatus,Spiniferites mirabilis,Spiniferites ramosus,Unipontidinium aquaeductum,Vozzhennikovia apertura,Leiosphaeridia sp.,Cymatiosphaera transparent sp. 1,Cymatiosphaera brown sp. 3,Cymatiosphaera brown sp. 4,Cymatiosphaera sp.,Comments,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
374-U1524A-1H-CC-PAL-PALY,0,5,3.97,4.02,,P,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374,U1524,A,1,H,CC,PAL,cc517d9e9cc774ae78e3d40d0afdfa17
374-U1524A-6H-CC-PAL-PALY,0,5,51.98,52.03,,P,B,B,B,F,B,B,B,B,B,B,B,B,B,B,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,374,U1524,A,6,H,CC,PAL,d9303d1516451fd8dffc33140b7e4a4c
374-U1524A-10H-CC-PAL-PALY,0,5,89.94,89.99,,M,B,B,B,F,B,B,B,B,B,B,F,B,B,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"old plant material, Enneadocysta",,,,374,U1524,A,10,H,CC,PAL,1e8f94ea8de8011415a60e2ba9f615a8
374-U1524A-14H-CC-PAL-PALY,0,6,127.47,127.53,,M,BR,F,BR,F,B,F,F,BR,B,B,B,B,B,F,B,,,,,,,,,,X,,,,,,,,,,X,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,X,X,,,,proto sp 1 is proto spp,,,,374,U1524,A,14,H,CC,PAL,860081907a481c5ff51df5284d271b1f
374-U1524A-18H-CC-PAL-PALY,0,5,160.86,160.91,,M,BR,F,B,F,B,C,C,BR,BR,B,B,B,B,F,BR,,,,,,,,,,X,,,,,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,X,X,,,,,,,,,374,U1524,A,18,H,CC,PAL,0d15c737c0f54a577bd291274c9bc586
374-U1524A-22H-CC-PAL-PALY,0,5,199.66,199.71,,G,F,F,BR,F,B,F,F,F,B,B,B,B,B,B,B,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,X,X,,,,Selenop striae/S brinkhuis,,,,374,U1524,A,22,H,CC,PAL,95243466d3a62e2646e726a691e52df4
374-U1524A-25H-CC-PAL-PALY,0,5,227.81,227.86,,G,C,C,F,F,B,F,F,A,B,B,B,B,B,B,B,,,,,,,,,,XX,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,X,X,,,X,,,,,,,,,X,X,,,,Lejeunecysta reticulata acuminata,,,,374,U1524,A,25,H,CC,PAL,219b2b67133a522635438c21e75b6237
374-U1524A-28H-CC-PAL-PALY,0,5,256.48,256.53,,M,BR,BR,B,BR,B,B,B,C,B,B,B,B,B,B,B,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,X,,,,,,,,,374,U1524,A,28,H,CC,PAL,81e7b79364756007511f55a7a940286b
374-U1524A-32X-CC-PAL-PALY,0,5,273.01,273.06,,M,F,B,B,F,B,B,B,B,B,B,B,B,B,B,B,,,,,,,,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,X,X,,,,,,,,374,U1524,A,32,X,CC,PAL,5c3f28ee85caf063d656b40dd7cfb741
374-U1524A-34X-CC-PAL-PALY,0,5,290.31,290.36,,P,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374,U1524,A,34,X,CC,PAL,a309823580f6bb20e392b849a4cf1d12
